vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,55815,431142,320040,62412,160050,61564,38220,2189,3827,0,50345,526700
2_4,55815,431142,319176,62412,160050,61564,38220,2189,3827,0,50333,527576
2_5,61305,434586,314580,62496,151884,62467,38220,2189,2881,0,50186,531510
2_6,78690,460164,313410,63330,143718,64358,38220,2189,1935,0,49745,496545
2_7,93330,482910,312348,64103,135552,66207,38220,2189,989,0,50793,465663
2_T,0,322494,256377,55502,135903,0,36840,1980,990,0,67741,834477
2_J,0,286728,258813,54192,144069,0,36840,1980,1936,0,52010,875736
2_Q,0,256602,261249,53248,150594,0,36840,1980,2881,0,41620,907290
2_K,0,239796,264522,52920,147024,0,36840,1980,3784,0,27843,937595
2_A,0,232860,262284,52542,152808,0,36840,1980,3784,0,10092,959114
3_4,55815,431142,318312,62412,160050,61564,38220,2189,3827,0,50321,528452
3_5,55815,425502,312474,62124,151884,61564,38220,2189,2881,0,50174,549477
3_6,70455,448950,311304,62958,143718,63413,38220,2189,1935,0,49733,519429
3_7,84180,471696,310242,63731,135552,65261,38220,2189,989,0,50781,489463
3_T,0,322494,256377,55502,135903,0,36840,1980,990,0,67729,834489
3_J,0,286728,258813,54192,144069,0,36840,1980,1936,0,51998,875748
3_Q,0,256602,261249,53248,150594,0,36840,1980,2881,0,41608,907302
3_K,0,239796,264522,52920,147024,0,36840,1980,3784,0,27831,937607
3_A,0,232860,262284,52542,152808,0,36840,1980,3784,0,10080,959126
4_5,55815,415422,306993,61035,151884,61564,38220,2189,2881,0,50162,566139
4_6,70455,435402,304986,61680,143718,63413,38220,2189,1935,0,49721,540585
4_7,84180,457422,303924,62453,135552,65261,38220,2189,989,0,50769,511345
4_T,0,322494,256377,55502,135903,0,36840,1980,990,0,67717,834501
4_J,0,286728,258813,54192,144069,0,36840,1980,1936,0,51986,875760
4_Q,0,256602,261249,53248,150594,0,36840,1980,2881,0,41596,907314
4_K,0,239796,264522,52920,147024,0,36840,1980,3784,0,27819,937619
4_A,0,232860,262284,52542,152808,0,36840,1980,3784,0,10068,959138
5_6,70455,438222,287601,61608,135096,63413,38220,2189,1935,0,49601,563964
5_7,84180,460242,286539,62381,126930,65261,38220,2189,989,0,50649,534724
5_T,0,323568,256350,55464,127764,0,36840,1980,0,0,70635,839703
5_J,0,284694,254676,54093,135903,0,36840,1980,990,0,54708,888420
5_Q,0,240528,257112,52722,142428,0,36840,1980,1935,0,55916,922843
5_K,0,237060,260385,52821,138858,0,36840,1980,2838,0,13907,967615
5_A,0,230124,258147,52443,144642,0,36840,1980,2838,0,9921,975369
6_7,87840,469302,269694,62453,118308,65304,38220,2189,989,0,49803,548202
6_T,0,326424,239988,55536,119142,0,36840,1980,0,0,69790,862604
6_J,0,250860,255486,52902,127764,0,36840,1980,0,0,95266,891206
6_Q,0,242874,253812,52812,134262,0,36840,1980,989,0,17259,971476
6_K,0,239406,257085,52911,130692,0,36840,1980,1892,0,13035,978463
6_A,0,239406,257085,52911,136476,0,36840,1980,1892,0,9210,976504
7_T,0,259080,223626,53046,110520,0,36840,1980,0,0,142621,884591
7_J,0,252312,239124,52974,119142,0,36840,1980,0,0,23977,985955
7_Q,0,246108,254622,52902,126474,0,36840,1980,0,0,17436,975942
7_K,0,242478,253785,53001,122526,0,36840,1980,946,0,13077,987671
7_A,0,241026,253785,53001,128310,0,36840,1980,946,0,9063,987353
T_J,0,154638,186204,51534,118956,0,35460,1980,990,0,21680,1140862
T_Q,0,154638,202404,51462,126288,0,35460,1980,990,0,17151,1121931
T_K,0,154638,218604,51534,125586,0,35460,1980,990,0,13096,1110416
T_A,0,164076,223626,52812,130119,0,35460,1980,990,0,9217,1094024
J_Q,0,148104,204840,51372,132813,0,35460,1980,1935,0,17274,1118526
J_K,0,148104,221040,51444,132111,0,35460,1980,1935,0,13219,1107011
J_A,0,156816,226062,52722,137370,0,35460,1980,1935,0,9340,1090619
Q_K,0,145200,224313,51543,128541,0,35460,1980,2838,0,13342,1109087
Q_A,0,151008,228498,52632,138294,0,35460,1980,2838,0,9463,1092131
K_A,0,151008,232608,52920,114606,0,35460,1980,2838,0,9586,1111298
