vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,85095,492918,338979,67260,51330,65301,38340,2349,0,990,11779,557963
2_4,82350,490062,338115,67260,51330,65259,38340,2349,0,990,11577,564672
2_5,79605,487206,337359,67260,51330,65217,38340,2349,0,990,11375,571273
2_6,76860,502008,347379,68682,47085,65175,38340,2349,0,990,10744,552692
2_7,83265,510366,348081,69054,52869,66079,38340,2349,0,990,10542,530369
2_8,83265,510366,347649,69054,52869,66079,38340,2349,0,990,10530,530813
2_9,86010,513222,347325,69054,52869,66121,38340,2349,0,990,10708,525316
2_T,97905,520524,342705,69138,42894,67109,38340,2349,0,0,10751,520589
2_J,100650,523380,342705,69138,42894,67151,38340,2349,0,0,10929,514768
2_Q,103395,526236,342705,69138,42894,67193,38340,2349,0,0,11107,508947
3_4,76860,476382,334608,66699,51330,64356,38340,2349,0,990,11403,588987
3_5,74115,473526,333852,66699,51330,64314,38340,2349,0,990,11201,595588
3_6,71370,488328,343872,68121,47085,64272,38340,2349,0,990,10570,577007
3_7,77775,496686,344574,68493,52869,65176,38340,2349,0,990,10368,554684
3_8,83265,510366,346785,69054,52869,66079,38340,2349,0,990,10518,531689
3_9,83265,510366,346461,69054,52869,66079,38340,2349,0,990,10506,532025
3_T,95160,517668,341841,69138,42894,67067,38340,2349,0,0,10549,527298
3_J,97905,520524,341841,69138,42894,67109,38340,2349,0,0,10727,521477
3_Q,100650,523380,341841,69138,42894,67151,38340,2349,0,0,10905,515656
4_5,68625,459846,330453,66138,51330,63411,38340,2349,0,990,11027,619795
4_6,65880,474648,340473,67560,47085,63369,38340,2349,0,990,10396,601214
4_7,72285,483006,341175,67932,52869,64273,38340,2349,0,990,10194,578891
4_8,77775,496686,343386,68493,52869,65176,38340,2349,0,990,10344,555896
4_9,83265,510366,345705,69054,52869,66079,38340,2349,0,990,10494,532793
4_T,92415,514812,341085,69138,42894,67025,38340,2349,0,0,10347,533899
4_J,95160,517668,341085,69138,42894,67067,38340,2349,0,0,10525,528078
4_Q,97905,520524,341085,69138,42894,67109,38340,2349,0,0,10703,522257
5_6,60390,460968,337182,66999,47085,62466,38340,2349,0,990,10222,625313
5_7,66795,469326,337884,67371,52869,63370,38340,2349,0,990,10020,602990
5_8,72285,483006,340095,67932,52869,64273,38340,2349,0,990,10170,579995
5_9,77775,496686,342414,68493,52869,65176,38340,2349,0,990,10320,556892
5_T,92415,514812,340437,69138,42894,67025,38340,2349,0,0,10335,534559
5_J,92415,514812,340437,69138,42894,67025,38340,2349,0,0,10323,534571
5_Q,95160,517668,340437,69138,42894,67067,38340,2349,0,0,10501,528750
6_7,61305,460968,336102,66999,47085,62467,38340,2349,0,990,9282,626417
6_8,66795,474648,338313,67560,47085,63370,38340,2349,0,990,9475,603379
6_9,72285,488328,340632,68121,47085,64273,38340,2349,0,990,9625,580276
6_T,86925,506454,338655,68766,37110,66122,38340,2349,0,0,9640,557943
6_J,92415,520134,341298,69327,37110,67025,38340,2349,0,0,9790,534516
6_Q,92415,520134,341298,69327,37110,67025,38340,2349,0,0,9778,534528
7_8,61305,460968,335238,66999,54327,62467,38340,2349,43,990,9258,620020
7_9,66795,474648,337557,67560,54327,63370,38340,2349,43,990,9408,596917
7_T,81435,492774,335580,68205,44352,65219,38340,2349,43,0,9423,574584
7_J,86925,506454,338223,68766,44352,66122,38340,2349,43,0,9573,551157
7_Q,92415,520134,340866,69327,44352,67025,38340,2349,43,0,9723,527730
8_9,69540,477504,337233,67560,54327,63412,38340,2349,43,990,9586,591420
8_T,75030,484416,334014,67833,44352,64315,38340,2349,43,0,9601,592011
8_J,80520,498096,336657,68394,44352,65218,38340,2349,43,0,9751,568584
8_Q,86010,511776,339300,68955,44352,66121,38340,2349,43,0,9901,545157
9_T,77775,472998,328236,66555,44352,64357,38340,2349,43,0,9779,607520
9_J,83265,486678,330879,67116,44352,65260,38340,2349,43,0,9929,584093
9_Q,88755,500358,333522,67677,44352,66163,38340,2349,43,0,10079,560666
T_J,86010,492918,309360,67044,33894,65302,38340,2349,43,0,9999,607045
T_Q,91500,506598,312003,67605,33894,66205,38340,2349,43,0,10149,583618
J_Q,94245,509454,312003,67605,33894,66247,38340,2349,43,0,10327,577797
