vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,82350,490062,338979,67260,58572,65259,38328,2349,43,990,11601,556511
2_4,79605,487206,338115,67260,58572,65217,38328,2349,43,990,11399,563220
2_5,76860,484350,337359,67260,58572,65175,38328,2349,43,990,11197,569821
2_6,74115,499152,347379,68682,54327,65133,38328,2349,43,990,10566,551240
2_7,83265,510366,348081,69054,60111,66079,38328,2349,43,990,10554,523084
2_8,83265,505770,346248,68865,58653,66079,38328,2349,0,990,10380,531377
2_9,86010,508626,345924,68865,58653,66121,38328,2349,0,990,10558,525880
2_T,101565,518058,341304,68949,48678,67152,38328,2349,0,0,10601,515320
2_J,104310,520914,341304,68949,48678,67194,38328,2349,0,0,10779,509499
2_K,103395,482808,326127,69138,50325,67193,37638,2349,44,0,11107,562180
3_4,74115,473526,334608,66699,58572,64314,38328,2349,43,990,11225,587535
3_5,71370,470670,333852,66699,58572,64272,38328,2349,43,990,11023,594136
3_6,68625,485472,343872,68121,54327,64230,38328,2349,43,990,10392,575555
3_7,77775,496686,344574,68493,60111,65176,38328,2349,43,990,10380,547399
3_8,83265,505770,345384,68865,58653,66079,38328,2349,0,990,10368,532253
3_9,83265,505770,345060,68865,58653,66079,38328,2349,0,990,10356,532589
3_T,98820,515202,340440,68949,48678,67110,38328,2349,0,0,10399,522029
3_J,101565,518058,340440,68949,48678,67152,38328,2349,0,0,10577,516208
3_K,100650,479952,325263,69138,50325,67151,37638,2349,44,0,10905,568889
4_5,65880,456990,330453,66138,58572,63369,38328,2349,43,990,10849,618343
4_6,63135,471792,340473,67560,54327,63327,38328,2349,43,990,10218,599762
4_7,72285,483006,341175,67932,60111,64273,38328,2349,43,990,10206,571606
4_8,77775,492090,341985,68304,58653,65176,38328,2349,0,990,10194,556460
4_9,83265,505770,344304,68865,58653,66079,38328,2349,0,990,10344,533357
4_T,96075,512346,339684,68949,48678,67068,38328,2349,0,0,10197,528630
4_J,98820,515202,339684,68949,48678,67110,38328,2349,0,0,10375,522809
4_K,97905,477096,324507,69138,50325,67109,37638,2349,44,0,10703,575490
5_6,57645,458112,337182,66999,54327,62424,38328,2349,43,990,10044,623861
5_7,66795,469326,337884,67371,60111,63370,38328,2349,43,990,10032,595705
5_8,72285,478410,338694,67743,58653,64273,38328,2349,0,990,10020,580559
5_9,77775,492090,341013,68304,58653,65176,38328,2349,0,990,10170,557456
5_T,96075,512346,339036,68949,48678,67068,38328,2349,0,0,10185,529290
5_J,96075,512346,339036,68949,48678,67068,38328,2349,0,0,10173,529302
5_K,95160,474240,323859,69138,50325,67067,37638,2349,44,0,10501,581983
6_7,61305,460968,336102,66999,54327,62467,38328,2349,43,990,9294,619132
6_8,66795,470052,336912,67371,52869,63370,38328,2349,0,990,9325,603943
6_9,72285,483732,339231,67932,52869,64273,38328,2349,0,990,9475,580840
6_T,90585,503988,337254,68577,42894,66165,38328,2349,0,0,9490,552674
6_J,96075,517668,339897,69138,42894,67068,38328,2349,0,0,9640,529247
6_K,92415,476706,324720,69327,44541,67025,37638,2349,44,0,9778,587761
7_8,61305,460968,335238,66999,60111,62467,38328,2349,43,990,9270,614236
7_9,66795,474648,337557,67560,60111,63370,38328,2349,43,990,9420,591133
7_T,81435,492774,335580,68205,50136,65219,38328,2349,43,0,9435,568800
7_J,86925,506454,338223,68766,50136,66122,38328,2349,43,0,9585,545373
7_K,92415,476706,324288,69327,51783,67025,37638,2349,87,0,9723,580963
8_9,69540,464604,327966,66327,58572,63412,38328,2349,43,990,9463,610710
8_T,84180,482730,325989,66972,48597,65261,38328,2349,43,0,9478,588377
8_J,89670,496410,328632,67533,48597,66164,38328,2349,43,0,9628,564950
8_K,95160,478998,323964,69327,50298,67067,37638,2349,43,0,9901,577559
9_T,86925,471312,320211,65694,48597,65303,38328,2349,43,0,9656,603886
9_J,92415,484992,322854,66255,48597,66206,38328,2349,43,0,9806,580459
9_K,97905,467580,318186,68049,50298,67109,37638,2349,43,0,10079,593068
T_J,95160,491796,301335,66183,38139,66248,38328,2349,43,0,9876,602847
T_K,100650,474384,296829,67977,39840,67151,37638,2349,43,0,10149,615294
J_K,103395,477240,296829,67977,39840,67193,37638,2349,43,0,10327,609473
