vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,76860,484350,338979,67260,73056,65175,38304,2349,129,990,11245,553607
2_4,74115,481494,338115,67260,73056,65133,38304,2349,129,990,11043,560316
2_5,74115,481494,337359,67260,73056,65133,38304,2349,129,990,11031,561084
2_6,74115,494556,345978,68493,67353,65133,38304,2349,86,990,10428,544519
2_7,86010,503304,345279,68676,71679,66121,38304,2349,43,990,10254,519295
2_8,89670,500838,343446,68487,70221,66164,38304,2349,0,990,10080,521755
2_9,92415,503694,343122,68487,70221,66206,38304,2349,0,990,10258,516258
2_J,105225,473292,323325,68760,61893,67195,37614,2349,44,0,10451,562156
2_Q,101565,475194,324726,68949,63351,67152,37614,2349,87,0,10601,560716
2_K,97905,477096,326127,69138,64809,67109,37614,2349,130,0,10751,559276
3_4,68625,467814,334608,66699,73056,64230,38304,2349,129,990,10869,584631
3_5,68625,467814,333852,66699,73056,64230,38304,2349,129,990,10857,585399
3_6,68625,480876,342471,67932,67353,64230,38304,2349,86,990,10254,568834
3_7,80520,489624,341772,68115,71679,65218,38304,2349,43,990,10080,543610
3_8,89670,500838,342582,68487,70221,66164,38304,2349,0,990,10068,522631
3_9,89670,500838,342258,68487,70221,66164,38304,2349,0,990,10056,522967
3_J,102480,470436,322461,68760,61893,67153,37614,2349,44,0,10249,568865
3_Q,98820,472338,323862,68949,63351,67110,37614,2349,87,0,10399,567425
3_K,95160,474240,325263,69138,64809,67067,37614,2349,130,0,10549,565985
4_5,63135,454134,330453,66138,73056,63327,38304,2349,129,990,10683,609606
4_6,63135,467196,339072,67371,67353,63327,38304,2349,86,990,10080,593041
4_7,75030,475944,338373,67554,71679,64315,38304,2349,43,990,9906,567817
4_8,84180,487158,339183,67926,70221,65261,38304,2349,0,990,9894,546838
4_9,89670,500838,341502,68487,70221,66164,38304,2349,0,990,10044,523735
4_J,99735,467580,321705,68760,61893,67111,37614,2349,44,0,10047,575466
4_Q,96075,469482,323106,68949,63351,67068,37614,2349,87,0,10197,574026
4_K,92415,471384,324507,69138,64809,67025,37614,2349,130,0,10347,572586
5_6,57645,458112,337182,66999,67353,62424,38304,2349,86,990,10068,610792
5_7,66795,464730,336483,67182,71679,63370,38304,2349,43,990,9894,590485
5_8,75030,475944,337293,67554,70221,64315,38304,2349,0,990,9882,570422
5_9,80520,489624,339612,68115,70221,65218,38304,2349,0,990,10032,547319
5_J,99735,467580,321057,68760,61893,67111,37614,2349,44,0,10035,576126
5_Q,96075,469482,322458,68949,63351,67068,37614,2349,87,0,10185,574686
5_K,92415,471384,323859,69138,64809,67025,37614,2349,130,0,10335,573246
6_7,66795,457152,328077,66138,64356,63370,38304,2349,43,990,9183,615547
6_8,75030,468366,328887,66510,62898,64315,38304,2349,0,990,9214,595441
6_9,80520,482046,331206,67071,62898,65218,38304,2349,0,990,9364,572338
6_J,99735,472338,321918,68949,54624,67111,37614,2349,0,0,9502,578164
6_Q,96075,470772,321918,68949,56109,67068,37614,2349,44,0,9490,581916
6_K,92415,472674,323319,69138,57567,67025,37614,2349,87,0,9640,580476
7_8,75030,456030,319188,65277,68601,64315,38304,2349,43,990,9024,613153
7_9,80520,469710,321507,65838,68601,65218,38304,2349,43,990,9174,590050
7_J,99735,462822,312651,67716,60327,67111,37614,2349,43,0,9312,592624
7_Q,99735,472338,321486,68949,61866,67111,37614,2349,43,0,9435,571378
7_K,95160,470772,321486,68949,63351,67067,37614,2349,87,0,9423,576046
8_9,83265,460230,311916,64605,67062,65260,38304,2349,43,990,9217,609063
8_J,102480,456162,303492,66483,58788,67153,37614,2349,43,0,9355,608385
8_Q,102480,465678,312327,67716,60327,67153,37614,2349,43,0,9478,587139
8_K,102480,475194,321162,68949,61866,67153,37614,2349,43,0,9601,565893
9_J,105225,444744,297714,65205,58788,67195,37614,2349,43,0,9533,623894
9_Q,105225,454260,306549,66438,60327,67195,37614,2349,43,0,9656,602648
9_K,105225,463776,315384,67671,61866,67195,37614,2349,43,0,9779,581402
J_Q,104310,422922,271905,66555,51516,67194,36924,2349,87,0,9876,678666
J_K,104310,255522,280308,55832,53055,67194,36924,2349,87,0,196051,660672
Q_K,100650,258264,281709,52605,54513,67151,36924,2349,130,0,13565,844444
