vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,52155,444432,328356,65401,161691,61521,38268,2253,2838,990,22782,531617
2_4,49410,441576,327492,65401,161691,61479,38268,2253,2838,990,22580,538326
2_5,49410,441576,326736,65401,161691,61479,38268,2253,2838,990,22568,539094
2_6,57645,458112,328596,65962,161691,62424,38268,2253,2838,990,22127,511398
2_7,68625,475236,326859,66607,153525,64230,38268,2253,1892,990,22142,491677
2_8,76860,484278,323397,66880,145359,65175,38268,2253,946,990,22130,485768
2_9,88755,496902,319908,67092,137193,66163,38268,2253,0,990,22504,472276
2_Q,0,392022,258294,59534,137193,0,36888,1980,990,0,44726,780677
2_K,0,356256,260730,57370,145359,0,36888,1980,1936,0,40946,810839
2_A,0,304428,260928,55011,153525,0,36888,1980,2882,0,43047,853615
3_4,43920,427896,323985,64840,161691,60576,38268,2253,2838,990,22406,562641
3_5,43920,427896,323229,64840,161691,60576,38268,2253,2838,990,22394,563409
3_6,52155,444432,325089,65401,161691,61521,38268,2253,2838,990,21953,535713
3_7,63135,461556,323352,66046,153525,63327,38268,2253,1892,990,21968,515992
3_8,76860,484278,322533,66880,145359,65175,38268,2253,946,990,22118,486644
3_9,86010,494046,319044,67092,137193,66121,38268,2253,0,990,22302,478985
3_Q,0,389166,258294,59534,137193,0,36888,1980,990,0,44524,783735
3_K,0,353400,260730,57370,145359,0,36888,1980,1936,0,40744,813897
3_A,0,301572,260928,55011,153525,0,36888,1980,2882,0,42845,856673
4_5,38430,414216,319830,64279,161691,59673,38268,2253,2838,990,22220,587616
4_6,46665,430752,321690,64840,161691,60618,38268,2253,2838,990,21779,559920
4_7,57645,447876,319953,65485,153525,62424,38268,2253,1892,990,21794,540199
4_8,71370,470598,319134,66319,145359,64272,38268,2253,946,990,21944,510851
4_9,86010,494046,318288,67092,137193,66121,38268,2253,0,990,22290,479753
4_Q,0,386310,258294,59534,137193,0,36888,1980,990,0,44322,786793
4_K,0,350544,260730,57370,145359,0,36888,1980,1936,0,40542,816955
4_A,0,299418,260928,55011,153525,0,36888,1980,2882,0,41941,859731
5_6,46665,430752,321042,64840,161691,60618,38268,2253,2838,990,21767,560580
5_7,52155,438792,318063,65113,153525,61521,38268,2253,1892,990,21782,557950
5_8,63135,459384,317244,65947,145359,63327,38268,2253,946,990,21932,533519
5_9,76860,482832,316398,66720,137193,65175,38268,2253,0,990,22278,503337
5_Q,0,386310,258294,59534,137193,0,36888,1980,990,0,44310,786805
5_K,0,350544,260730,57370,145359,0,36888,1980,1936,0,40530,816967
5_A,0,299418,260928,55011,153525,0,36888,1980,2882,0,41929,859743
6_7,55815,431568,312798,64024,153525,61564,38268,2253,1892,990,21044,568563
6_8,66795,448692,311142,64669,145359,63370,38268,2253,946,990,21195,548625
6_9,80520,471414,310296,65442,137193,65218,38268,2253,0,990,21541,519169
6_Q,0,389166,258294,59534,137193,0,36888,1980,990,0,43573,784686
6_K,0,353400,260730,57370,145359,0,36888,1980,1936,0,39793,814848
6_A,0,314826,263166,55572,153525,0,36888,1980,2882,0,41353,842112
7_8,69540,454368,293973,64597,136737,63412,38268,2253,946,990,21264,565956
7_9,83265,477090,293127,65370,128571,65260,38268,2253,0,990,21610,536500
7_Q,0,394500,258267,59496,129054,0,36888,1980,0,0,45276,786843
7_K,0,355626,256593,57271,137193,0,36888,1980,990,0,42704,823059
7_A,0,243996,259029,52911,145359,0,36888,1980,1936,0,113968,856237
8_9,86010,486150,276498,65442,119949,65302,38268,2253,0,990,21680,549762
8_Q,0,397356,241905,59568,120432,0,36888,1980,0,0,45346,808829
8_K,0,256506,257403,53091,129054,0,36888,1980,0,0,153856,823526
8_A,0,246342,255729,53001,137193,0,36888,1980,990,0,9355,970826
9_Q,0,264726,225543,53235,111810,0,36888,1980,0,0,187307,830815
9_K,0,257958,241041,53163,120432,0,36888,1980,0,0,13439,987403
9_A,0,249738,256539,53091,129054,0,36888,1980,0,0,9533,975481
Q_K,0,174240,193548,53334,119949,0,35508,1980,990,0,13782,1118973
Q_A,0,172788,209748,53262,128571,0,35508,1980,990,0,9876,1099581
K_A,0,165528,212184,53172,136737,0,35508,1980,1936,0,9999,1095260
