vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses
2_3,57645,458112,334590,66633,130731,62424,38280,2285,1935,990,18638,540041
2_4,54900,455256,333726,66633,130731,62382,38280,2285,1935,990,18436,546750
2_5,54900,455256,332970,66633,130731,62382,38280,2285,1935,990,18424,547518
2_6,63135,467196,333429,67005,129273,63327,38280,2285,1892,990,17821,527671
2_7,68625,480876,335532,67566,129273,64230,38280,2285,1892,990,17971,504784
2_8,76860,486450,331260,67650,121107,65175,38280,2285,946,990,17824,503477
2_9,88755,498348,327906,67923,112941,66163,38280,2285,0,990,18002,490711
2_J,101565,478506,309648,68324,104613,67152,37590,2285,44,0,18526,524051
2_K,0,392676,263076,59883,114399,0,36900,1980,1033,0,38013,804344
2_A,0,344358,263274,57097,122565,0,36900,1980,1979,0,40114,844037
3_4,49410,441576,330219,66072,130731,61479,38280,2285,1935,990,18262,571065
3_5,49410,441576,329463,66072,130731,61479,38280,2285,1935,990,18250,571833
3_6,57645,453516,329922,66444,129273,62424,38280,2285,1892,990,17647,551986
3_7,63135,467196,332025,67005,129273,63327,38280,2285,1892,990,17797,529099
3_8,76860,486450,330396,67650,121107,65175,38280,2285,946,990,17812,504353
3_9,86010,495492,327042,67923,112941,66121,38280,2285,0,990,17800,497420
3_J,98820,475650,308784,68324,104613,67110,37590,2285,44,0,18324,530760
3_K,0,389820,263076,59883,114399,0,36900,1980,1033,0,37811,807402
3_A,0,341502,263274,57097,122565,0,36900,1980,1979,0,39912,847095
4_5,43920,427896,326064,65511,130731,60576,38280,2285,1935,990,18076,596040
4_6,52155,439836,326523,65883,129273,61521,38280,2285,1892,990,17473,576193
4_7,57645,453516,328626,66444,129273,62424,38280,2285,1892,990,17623,553306
4_8,71370,472770,326997,67089,121107,64272,38280,2285,946,990,17638,528560
4_9,86010,495492,326286,67923,112941,66121,38280,2285,0,990,17788,498188
4_J,96075,472794,308028,68324,104613,67068,37590,2285,44,0,18122,537361
4_K,0,386964,263076,59883,114399,0,36900,1980,1033,0,37609,810460
4_A,0,338646,263274,57097,122565,0,36900,1980,1979,0,39710,850153
5_6,46665,430752,324633,65511,129273,60618,38280,2285,1892,990,17461,593944
5_7,52155,444432,326736,66072,129273,61521,38280,2285,1892,990,17611,571057
5_8,63135,461556,325107,66717,121107,63327,38280,2285,946,990,17626,551228
5_9,76860,484278,324396,67551,112941,65175,38280,2285,0,990,17776,521772
5_J,96075,472794,307380,68324,104613,67068,37590,2285,44,0,18110,538021
5_K,0,386964,263076,59883,114399,0,36900,1980,1033,0,37597,810472
5_A,0,338646,263274,57097,122565,0,36900,1980,1979,0,39698,850165
6_7,55815,434388,316929,64839,127734,61564,38280,2285,1892,990,16738,590850
6_8,66795,451512,315300,65484,119568,63370,38280,2285,946,990,16754,571020
6_9,80520,474234,314589,66318,111402,65218,38280,2285,0,990,16904,541564
6_J,99735,475086,306840,68324,103128,67111,37590,2285,0,0,17373,534832
6_K,0,385788,261675,59694,112941,0,36900,1980,990,0,36698,815638
6_A,0,350022,264111,57469,121107,0,36900,1980,1936,0,38960,839819
7_8,69540,444288,310143,64395,119568,63412,38280,2285,946,990,16931,581526
7_9,83265,463542,308595,65040,111402,65260,38280,2285,0,990,17081,556564
7_J,102480,463668,300846,67046,103128,67153,37590,2285,0,0,17550,550558
7_K,0,388644,261675,59694,112941,0,36900,1980,990,0,36875,812605
7_A,0,350022,264111,57469,121107,0,36900,1980,1936,0,38948,839831
8_9,86010,469782,291534,64968,102780,65302,38280,2285,0,990,17151,573222
8_J,105225,469908,283947,66974,94506,67195,37590,2285,0,0,17620,567054
8_K,0,392598,261648,59595,104802,0,36900,1980,0,0,41326,813455
8_A,0,249078,259974,53100,112941,0,36900,1980,990,0,148561,848780
9_J,107970,476148,267156,67046,85884,67237,37590,2285,0,0,17690,583298
9_K,0,259968,245286,53262,96180,0,36900,1980,0,0,183287,835441
9_A,0,251748,260784,53190,104802,0,36900,1980,0,0,9656,993244
J_K,0,221298,210639,53523,87369,0,36210,1980,44,0,13782,1087459
J_A,0,216462,226569,53451,95991,0,36210,1980,44,0,9876,1071721
K_A,0,171336,214422,53550,105777,0,35520,1980,1033,0,10149,1118537
