,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,3_7,2o,63.84,12.59,23.57
1,3_7,1o,63.26,12.84,23.89
2,2_3,2o,63.19,13.29,23.52
3,2_3,1o,62.56,13.55,23.88
4,3_6,2o,62.53,12.45,25.02
5,2_7,2o,62.23,4.84,32.93
6,3_6,1o,61.92,12.71,25.37
7,2_7,1o,61.75,4.9,33.35
8,2_7,1o,61.67,4.95,33.38
9,2_7,ssame,61.38,5.01,33.62
10,3_4,2o,61.31,12.79,25.9
11,2_6,2o,61.19,4.82,33.99
12,3_5,2o,60.85,12.77,26.38
13,2_6,1o,60.68,4.88,34.44
14,3_4,1o,60.65,13.07,26.28
15,2_6,1o,60.61,4.93,34.47
16,2_6,ssame,60.28,4.99,34.73
17,3_5,1o,60.2,13.06,26.75
18,3_7,sdifferent,60.01,12.1,27.89
19,2_4,2o,59.96,4.88,35.15
20,2_5,2o,59.79,4.86,35.35
21,2_4,1o,59.42,4.94,35.64
22,2_3,sdifferent,59.39,12.79,27.82
23,2_4,1o,59.35,4.97,35.68
24,2_5,1o,59.25,4.92,35.83
25,2_5,1o,59.19,4.96,35.85
26,2_4,ssame,58.98,5.03,35.98
27,2_5,ssame,58.82,5.02,36.16
28,3_6,sdifferent,58.78,11.98,29.23
29,2_7,sdifferent,58.46,4.54,37.0
30,3_4,sdifferent,57.63,12.31,30.05
31,2_6,sdifferent,57.49,4.52,37.99
32,3_5,sdifferent,57.22,12.3,30.48
33,4_7,2o,56.41,4.8,38.79
34,2_4,sdifferent,56.35,4.58,39.08
35,2_5,sdifferent,56.2,4.56,39.24
36,4_7,1o,55.72,4.91,39.37
37,4_7,1o,55.71,4.89,39.4
38,4_6,2o,55.54,4.78,39.68
39,4_7,ssame,55.2,5.0,39.8
40,4_6,1o,54.83,4.89,40.28
41,4_6,1o,54.82,4.88,40.3
42,4_5,2o,54.39,4.82,40.79
43,4_6,ssame,54.29,4.98,40.73
44,5_6,2o,54.11,4.77,41.13
45,5_7,2o,54.1,5.64,40.25
46,4_5,1o,53.67,4.92,41.41
47,4_5,1o,53.65,4.91,41.43
48,5_7,1o,53.37,5.76,40.87
49,5_6,1o,53.37,4.87,41.77
50,5_7,1o,53.37,5.75,40.87
