,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,3_8,2o,70.82,6.8,22.38
1,3_9,2o,70.7,7.24,22.05
2,3_8,1o,70.32,6.97,22.71
3,3_9,1o,70.22,7.42,22.36
4,3_7,2o,69.46,6.7,23.84
5,2_3,2o,69.11,7.41,23.48
6,3_7,1o,68.92,6.89,24.19
7,2_3,1o,68.57,7.58,23.84
8,3_6,2o,68.15,6.61,25.24
9,3_6,1o,67.58,6.81,25.61
10,3_4,2o,66.83,6.94,26.23
11,3_5,2o,66.78,6.93,26.29
12,3_8,sdifferent,66.61,6.59,26.8
13,3_9,sdifferent,66.52,7.0,26.49
14,3_4,1o,66.23,7.15,26.61
15,3_5,1o,66.18,7.15,26.66
16,3_7,sdifferent,65.34,6.51,28.15
17,2_3,sdifferent,65.04,7.18,27.79
18,2_7,2o,64.84,1.99,33.17
19,2_9,2o,64.76,1.99,33.25
20,2_8,2o,64.48,1.98,33.54
21,2_7,1o,64.38,2.03,33.59
22,2_9,1o,64.29,2.03,33.68
23,2_7,1o,64.28,2.08,33.64
24,2_9,1o,64.21,2.08,33.72
25,3_6,sdifferent,64.11,6.44,29.45
26,2_7,ssame,64.01,2.12,33.88
27,2_8,1o,64.01,2.02,33.97
28,2_9,ssame,63.93,2.12,33.95
29,2_8,1o,63.91,2.07,34.02
30,2_6,2o,63.87,1.99,34.14
31,2_8,ssame,63.63,2.11,34.27
32,2_6,1o,63.38,2.03,34.59
33,2_6,1o,63.29,2.08,34.64
34,2_6,ssame,62.98,2.12,34.9
35,3_4,sdifferent,62.89,6.76,30.35
36,2_4,2o,62.85,2.04,35.12
37,3_5,sdifferent,62.84,6.75,30.41
38,2_5,2o,62.8,2.03,35.17
39,2_4,1o,62.33,2.08,35.59
40,2_5,1o,62.28,2.07,35.65
41,2_4,1o,62.25,2.11,35.63
42,2_5,1o,62.2,2.11,35.68
43,2_4,ssame,61.91,2.15,35.93
44,2_5,ssame,61.86,2.15,35.98
45,4_9,2o,61.26,1.94,36.8
46,2_7,sdifferent,60.87,1.9,37.23
47,2_9,sdifferent,60.8,1.9,37.3
48,4_9,1o,60.63,2.02,37.36
49,4_9,1o,60.63,2.03,37.33
50,2_8,sdifferent,60.53,1.89,37.58
51,4_9,ssame,60.19,2.11,37.7
52,2_6,sdifferent,59.96,1.9,38.14
53,4_8,2o,59.84,1.93,38.23
54,4_7,2o,59.19,1.94,38.88
55,4_8,1o,59.17,2.02,38.81
56,4_8,1o,59.16,2.01,38.83
57,5_9,2o,59.13,2.81,38.06
58,2_4,sdifferent,59.02,1.95,39.04
59,2_5,sdifferent,58.97,1.94,39.09
60,4_8,ssame,58.63,2.1,39.27
61,5_8,2o,58.58,1.93,39.5
62,4_7,1o,58.52,2.01,39.47
63,4_7,1o,58.51,2.03,39.47
64,5_9,1o,58.48,2.9,38.62
65,5_9,1o,58.47,2.9,38.64
66,4_6,2o,58.39,1.94,39.67
67,5_7,2o,57.98,1.93,40.09
68,4_7,ssame,57.97,2.1,39.93
69,5_9,ssame,57.95,2.99,39.05
70,5_8,1o,57.9,2.01,40.09
71,5_8,1o,57.88,2.01,40.11
72,4_6,1o,57.7,2.02,40.28
73,4_6,1o,57.69,2.03,40.28
74,4_5,2o,57.52,1.98,40.49
75,5_6,2o,57.46,1.93,40.61
76,4_9,sdifferent,57.44,1.89,40.67
77,5_7,1o,57.29,2.02,40.7
78,5_7,1o,57.29,2.01,40.7
79,5_8,ssame,57.28,2.09,40.62
80,4_6,ssame,57.14,2.1,40.77
81,4_5,1o,56.82,2.06,41.12
82,4_5,1o,56.82,2.06,41.12
83,5_6,1o,56.76,2.02,41.23
84,5_6,1o,56.75,2.02,41.23
85,5_7,ssame,56.67,2.1,41.23
86,6_7,2o,56.61,1.89,41.5
87,6_9,2o,56.42,3.27,40.31
88,6_8,2o,56.42,2.67,40.91
89,4_5,ssame,56.24,2.14,41.63
90,5_6,ssame,56.13,2.1,41.78
91,4_8,sdifferent,56.11,1.88,42.01
92,6_7,1o,55.88,1.97,42.15
93,6_7,1o,55.88,1.97,42.15
94,6_9,1o,55.72,3.37,40.9
95,6_9,1o,55.71,3.37,40.93
96,6_8,1o,55.69,2.77,41.54
97,6_8,1o,55.67,2.76,41.56
98,4_7,sdifferent,55.52,1.88,42.6
99,5_9,sdifferent,55.48,2.7,41.83
100,6_7,ssame,55.22,2.06,42.72
101,6_9,ssame,55.14,3.47,41.39
102,6_8,ssame,55.03,2.86,42.11
103,5_8,sdifferent,54.95,1.88,43.17
104,4_6,sdifferent,54.78,1.89,43.33
105,5_7,sdifferent,54.41,1.88,43.71
106,4_5,sdifferent,53.99,1.92,44.09
107,5_6,sdifferent,53.93,1.89,44.19
108,7_8,2o,53.84,3.06,43.11
109,7_9,2o,53.49,3.54,42.97
110,6_7,sdifferent,53.12,1.85,45.03
111,7_8,1o,53.06,3.15,43.78
112,7_8,1o,53.05,3.15,43.8
113,6_9,sdifferent,52.96,3.13,43.92
114,6_8,sdifferent,52.93,2.57,44.49
115,7_9,1o,52.75,3.64,43.62
116,7_9,1o,52.73,3.64,43.64
117,7_8,ssame,52.35,3.25,44.41
118,7_9,ssame,52.11,3.73,44.16
119,7_8,sdifferent,50.53,2.93,46.54
120,7_9,sdifferent,50.23,3.37,46.4
121,8_9,2o,50.23,3.75,46.01
122,8_9,1o,49.43,3.86,46.71
123,8_9,1o,49.41,3.86,46.73
124,8_9,ssame,48.73,3.96,47.31
125,2_2,2o,48.65,1.82,49.53
126,2_2,1o,48.27,1.86,49.87
127,8_9,sdifferent,47.2,3.57,49.23
128,2_K,2o,44.21,0.76,55.04
129,2_Q,2o,43.86,1.0,55.14
130,2_J,2o,43.52,1.4,55.08
131,2_K,1o,43.47,0.8,55.74
132,2_A,2o,43.37,0.54,56.1
133,2_Q,1o,43.12,1.04,55.84
134,2_K,1o,42.8,0.84,56.36
135,2_J,1o,42.77,1.44,55.79
136,2_A,1o,42.61,0.57,56.82
137,2_Q,1o,42.47,1.09,56.44
138,2_J,1o,42.14,1.48,56.38
139,2_A,1o,41.94,0.62,57.44
140,2_K,sdifferent,41.65,0.75,57.6
141,2_Q,sdifferent,41.34,0.98,57.67
142,2_J,sdifferent,41.04,1.35,57.6
143,2_A,sdifferent,40.86,0.54,58.6
144,6_A,2o,40.73,0.43,58.84
145,6_K,2o,40.45,0.65,58.9
146,9_A,2o,40.44,0.42,59.13
147,4_K,2o,40.43,0.7,58.86
148,5_K,2o,40.43,0.69,58.87
149,7_A,2o,40.43,0.42,59.15
150,7_K,2o,40.4,0.65,58.96
151,8_K,2o,40.35,0.65,59.0
152,7_Q,2o,40.33,0.9,58.77
153,6_Q,2o,40.11,0.89,59.0
154,8_A,2o,40.1,0.42,59.48
155,4_Q,2o,40.09,0.95,58.96
156,5_Q,2o,40.09,0.94,58.97
157,6_J,2o,40.04,1.3,58.66
158,6_A,1o,39.82,0.52,59.66
159,4_A,2o,39.77,0.48,59.75
160,5_A,2o,39.77,0.47,59.76
161,4_J,2o,39.75,1.34,58.91
162,5_J,2o,39.75,1.33,58.92
163,9_A,1o,39.56,0.51,59.94
164,6_K,1o,39.54,0.73,59.73
165,9_K,2o,39.54,0.65,59.81
166,5_K,1o,39.53,0.77,59.7
167,4_K,1o,39.53,0.77,59.7
168,7_A,1o,39.52,0.51,59.98
169,7_K,1o,39.48,0.73,59.79
170,8_K,1o,39.44,0.74,59.82
171,7_Q,1o,39.42,0.98,59.6
172,6_A,1o,39.25,0.52,60.23
173,8_A,1o,39.19,0.51,60.31
174,6_Q,1o,39.19,0.97,59.84
175,4_Q,1o,39.18,1.02,59.8
176,5_Q,1o,39.18,1.02,59.8
177,8_Q,2o,39.13,0.9,59.97
178,6_J,1o,39.13,1.38,59.49
179,7_J,2o,39.12,1.3,59.59
180,6_K,1o,38.96,0.73,60.31
181,9_A,1o,38.96,0.5,60.54
182,4_K,1o,38.95,0.78,60.27
183,5_K,1o,38.95,0.78,60.27
184,7_A,1o,38.94,0.5,60.55
185,7_K,1o,38.91,0.73,60.36
186,7_Q,1o,38.86,0.98,60.15
187,8_K,1o,38.86,0.74,60.4
188,4_A,1o,38.84,0.55,60.6
189,5_A,1o,38.84,0.55,60.6
190,5_J,1o,38.83,1.41,59.76
191,4_J,1o,38.83,1.41,59.76
192,2_K,ssame,38.81,0.88,60.31
193,9_K,1o,38.63,0.73,60.64
194,6_Q,1o,38.63,0.98,60.39
195,4_Q,1o,38.62,1.03,60.35
196,5_Q,1o,38.62,1.02,60.36
197,8_A,1o,38.61,0.5,60.89
198,6_J,1o,38.58,1.38,60.03
199,2_Q,ssame,38.47,1.12,60.4
200,9_Q,2o,38.33,0.89,60.78
201,6_A,sdifferent,38.31,0.49,61.2
202,5_J,1o,38.28,1.42,60.3
203,4_J,1o,38.28,1.43,60.29
204,4_A,1o,38.26,0.56,61.17
205,5_A,1o,38.26,0.56,61.18
206,8_Q,1o,38.19,0.98,60.83
207,7_J,1o,38.17,1.38,60.45
208,2_J,ssame,38.13,1.52,60.35
209,9_A,sdifferent,38.06,0.48,61.45
210,6_K,sdifferent,38.05,0.69,61.26
211,4_K,sdifferent,38.04,0.73,61.23
212,9_K,1o,38.04,0.73,61.23
213,5_K,sdifferent,38.04,0.73,61.23
214,7_A,sdifferent,38.03,0.48,61.48
215,7_K,sdifferent,38.0,0.69,61.3
216,7_Q,sdifferent,37.96,0.93,61.11
217,8_K,sdifferent,37.96,0.7,61.34
218,2_A,ssame,37.93,0.66,61.42
219,8_J,2o,37.92,1.3,60.79
220,6_Q,sdifferent,37.75,0.92,61.33
221,4_Q,sdifferent,37.74,0.96,61.3
222,5_Q,sdifferent,37.74,0.96,61.3
223,8_A,sdifferent,37.73,0.48,61.78
224,6_J,sdifferent,37.71,1.3,60.99
225,7_J,1o,37.63,1.38,60.98
