,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,5_T,2o,72.06,5.85,22.1
1,5_T,1o,71.59,6.01,22.4
2,5_9,2o,70.73,5.7,23.57
3,5_9,1o,70.23,5.88,23.89
4,2_5,2o,70.2,6.33,23.46
5,2_5,1o,69.68,6.5,23.82
6,5_8,2o,69.36,5.6,25.04
7,5_8,1o,68.82,5.8,25.38
8,3_5,2o,68.66,6.18,25.16
9,3_5,1o,68.11,6.38,25.51
10,5_7,2o,68.05,5.51,26.45
11,5_T,sdifferent,67.83,5.66,26.5
12,5_7,1o,67.47,5.72,26.81
13,4_5,2o,67.13,6.03,26.84
14,5_6,2o,67.05,5.41,27.53
15,2_3,2o,66.95,1.45,31.6
16,2_4,2o,66.78,1.43,31.79
17,5_9,sdifferent,66.59,5.54,27.87
18,4_5,1o,66.54,6.26,27.2
19,2_3,1o,66.53,1.51,31.96
20,2_3,1o,66.51,1.49,32.0
21,5_6,1o,66.45,5.64,27.91
22,2_4,1o,66.37,1.5,32.12
23,2_4,1o,66.35,1.47,32.19
24,2_3,ssame,66.26,1.55,32.19
25,2_5,sdifferent,66.12,6.12,27.77
26,2_4,ssame,66.11,1.54,32.35
27,2_7,2o,65.85,1.38,32.77
28,3_8,2o,65.64,1.35,33.01
29,4_9,2o,65.45,1.32,33.22
30,2_8,2o,65.44,1.37,33.19
31,2_9,2o,65.42,1.37,33.22
32,2_7,1o,65.4,1.42,33.18
33,3_4,2o,65.37,1.4,33.22
34,2_T,2o,65.34,1.39,33.28
35,2_7,1o,65.32,1.46,33.22
36,5_8,sdifferent,65.31,5.47,29.23
37,3_9,2o,65.29,1.34,33.38
38,3_T,2o,65.21,1.36,33.44
39,3_8,1o,65.2,1.41,33.4
40,2_6,2o,65.11,1.38,33.5
41,3_8,1o,65.1,1.43,33.46
42,4_T,2o,65.08,1.33,33.59
43,2_7,ssame,65.06,1.5,33.44
44,4_9,1o,65.02,1.39,33.59
45,2_8,1o,64.98,1.41,33.61
46,2_9,1o,64.96,1.4,33.64
47,3_4,1o,64.93,1.47,33.6
48,4_9,1o,64.91,1.41,33.68
49,3_4,1o,64.91,1.46,33.63
50,2_8,1o,64.9,1.45,33.65
51,2_T,1o,64.88,1.42,33.7
52,2_9,1o,64.87,1.45,33.68
53,3_8,ssame,64.85,1.49,33.66
54,3_9,1o,64.84,1.39,33.77
55,2_T,1o,64.79,1.47,33.73
56,3_T,1o,64.75,1.41,33.83
57,3_9,1o,64.74,1.42,33.84
58,3_5,sdifferent,64.68,6.01,29.31
59,4_9,ssame,64.66,1.48,33.86
60,3_T,1o,64.66,1.44,33.9
61,2_6,1o,64.64,1.42,33.94
62,4_T,1o,64.64,1.4,33.96
63,3_4,ssame,64.63,1.53,33.84
64,2_8,ssame,64.63,1.49,33.88
65,3_7,2o,64.62,1.35,34.03
66,2_9,ssame,64.6,1.49,33.91
67,2_6,1o,64.57,1.47,33.96
68,4_T,1o,64.53,1.42,34.05
69,2_T,ssame,64.52,1.51,33.97
70,3_9,ssame,64.47,1.48,34.04
71,4_8,2o,64.41,1.33,34.26
72,3_T,ssame,64.39,1.5,34.11
73,2_6,ssame,64.28,1.5,34.22
74,4_T,ssame,64.27,1.49,34.24
75,3_7,1o,64.15,1.41,34.44
76,5_7,sdifferent,64.08,5.39,30.53
77,3_7,1o,64.06,1.44,34.5
78,4_8,1o,63.95,1.4,34.65
79,3_6,2o,63.88,1.36,34.76
80,4_8,1o,63.85,1.41,34.74
81,3_7,ssame,63.77,1.49,34.73
82,4_8,ssame,63.57,1.48,34.95
83,4_7,2o,63.39,1.33,35.28
84,3_6,1o,63.39,1.41,35.2
85,3_6,1o,63.31,1.44,35.25
86,4_5,sdifferent,63.25,5.89,30.85
87,5_6,sdifferent,63.15,5.31,31.54
88,3_6,ssame,62.99,1.5,35.51
