,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,6_K,2o,75.16,2.81,22.03
1,2_6,2o,75.12,2.85,22.03
2,6_Q,2o,74.81,2.8,22.39
3,6_J,2o,74.81,2.4,22.79
4,6_K,1o,74.68,2.94,22.38
5,2_6,1o,74.66,2.95,22.39
6,6_J,1o,74.32,2.52,23.17
7,6_Q,1o,74.31,2.93,22.76
8,3_6,2o,73.56,2.72,23.72
9,6_T,2o,73.38,2.29,24.33
10,3_6,1o,73.06,2.85,24.08
11,6_T,1o,72.86,2.43,24.71
12,6_9,2o,72.43,2.19,25.38
13,4_6,2o,72.0,2.59,25.41
14,6_9,1o,71.88,2.35,25.78
15,4_6,1o,71.47,2.76,25.77
16,6_8,2o,71.01,2.08,26.91
17,2_6,sdifferent,70.82,2.72,26.46
18,6_K,sdifferent,70.8,2.71,26.49
19,6_J,sdifferent,70.48,2.33,27.19
20,6_Q,sdifferent,70.47,2.7,26.83
21,6_8,1o,70.44,2.26,27.31
22,5_6,2o,70.44,2.48,27.08
23,6_7,2o,69.95,1.99,28.06
24,5_6,1o,69.89,2.66,27.45
25,6_7,1o,69.37,2.18,28.46
26,3_6,sdifferent,69.36,2.63,28.01
27,6_T,sdifferent,69.16,2.24,28.6
28,6_9,sdifferent,68.25,2.17,29.58
29,4_6,sdifferent,67.91,2.54,29.55
30,2_3,2o,67.39,0.59,32.03
31,2_4,2o,67.18,0.56,32.25
32,2_5,2o,67.03,0.55,32.43
33,6_8,sdifferent,66.94,2.08,30.97
34,2_3,1o,66.94,0.64,32.41
35,2_3,1o,66.93,0.62,32.45
36,2_4,1o,66.75,0.63,32.62
37,2_4,1o,66.72,0.6,32.68
38,2_3,ssame,66.66,0.68,32.66
39,2_5,1o,66.6,0.62,32.78
40,2_5,1o,66.56,0.58,32.86
41,5_6,sdifferent,66.46,2.46,31.08
42,2_4,ssame,66.46,0.67,32.87
43,2_5,ssame,66.31,0.66,33.03
44,2_7,2o,66.3,0.49,33.21
45,2_K,2o,66.13,0.51,33.36
46,6_7,sdifferent,65.96,2.01,32.03
47,3_K,2o,65.96,0.48,33.56
48,3_8,2o,65.88,0.46,33.67
49,4_K,2o,65.83,0.46,33.71
50,2_Q,2o,65.82,0.5,33.69
51,2_7,1o,65.82,0.53,33.65
52,4_9,2o,65.81,0.44,33.74
53,2_9,2o,65.78,0.49,33.73
54,2_7,1o,65.75,0.58,33.67
55,3_4,2o,65.74,0.54,33.72
56,2_8,2o,65.72,0.48,33.8
57,5_K,2o,65.71,0.44,33.85
58,2_K,1o,65.65,0.55,33.8
59,3_Q,2o,65.64,0.47,33.89
60,3_9,2o,65.61,0.46,33.94
61,3_5,2o,65.59,0.52,33.89
62,2_K,1o,65.53,0.59,33.88
63,4_Q,2o,65.52,0.44,34.04
64,3_K,1o,65.49,0.54,33.97
65,2_7,ssame,65.46,0.61,33.92
66,2_J,2o,65.42,0.5,34.09
67,3_8,1o,65.4,0.51,34.08
68,5_Q,2o,65.4,0.43,34.18
69,2_T,2o,65.38,0.49,34.13
70,4_K,1o,65.37,0.53,34.1
71,3_K,1o,65.36,0.56,34.08
72,4_9,1o,65.35,0.51,34.14
73,2_Q,1o,65.33,0.53,34.13
74,3_8,1o,65.3,0.55,34.15
75,2_9,1o,65.29,0.52,34.18
76,3_4,1o,65.27,0.61,34.12
77,5_T,2o,65.26,0.42,34.32
78,5_K,1o,65.26,0.52,34.22
79,2_K,ssame,65.25,0.63,34.13
80,3_4,1o,65.25,0.59,34.15
81,3_J,2o,65.24,0.47,34.29
82,2_8,1o,65.23,0.51,34.26
83,4_K,1o,65.23,0.54,34.23
84,4_9,1o,65.22,0.53,34.25
85,2_Q,1o,65.21,0.58,34.21
86,3_T,2o,65.21,0.46,34.34
87,2_9,1o,65.19,0.57,34.24
88,3_Q,1o,65.17,0.52,34.31
89,2_8,1o,65.14,0.56,34.3
90,3_9,1o,65.13,0.51,34.36
91,4_J,2o,65.12,0.44,34.44
92,3_5,1o,65.12,0.6,34.28
93,5_K,1o,65.11,0.52,34.37
94,3_5,1o,65.09,0.58,34.33
95,3_K,ssame,65.08,0.62,34.31
96,4_T,2o,65.08,0.43,34.48
97,4_Q,1o,65.05,0.51,34.44
98,3_7,2o,65.04,0.46,34.5
99,3_Q,1o,65.03,0.55,34.42
100,3_8,ssame,65.02,0.6,34.38
101,3_9,1o,65.01,0.54,34.45
102,5_J,2o,65.0,0.42,34.58
103,4_K,ssame,64.96,0.61,34.43
104,4_9,ssame,64.95,0.6,34.45
105,3_4,ssame,64.95,0.66,34.39
106,5_Q,1o,64.94,0.5,34.56
107,2_J,1o,64.92,0.53,34.54
108,2_Q,ssame,64.92,0.62,34.47
109,4_Q,1o,64.9,0.53,34.57
110,2_9,ssame,64.89,0.61,34.5
111,2_T,1o,64.89,0.52,34.59
112,2_8,ssame,64.84,0.6,34.56
113,5_K,ssame,64.84,0.6,34.56
114,3_5,ssame,64.8,0.65,34.55
115,5_T,1o,64.8,0.5,34.7
116,2_J,1o,64.8,0.58,34.62
117,2_T,1o,64.78,0.57,34.65
118,5_Q,1o,64.78,0.51,34.71
119,3_J,1o,64.76,0.52,34.72
120,3_Q,ssame,64.75,0.61,34.65
121,3_T,1o,64.72,0.51,34.76
122,3_9,ssame,64.72,0.6,34.68
123,4_8,2o,64.65,0.44,34.91
124,5_T,1o,64.65,0.51,34.84
125,4_J,1o,64.64,0.51,34.85
126,4_Q,ssame,64.63,0.6,34.77
127,3_J,1o,64.62,0.55,34.83
128,4_T,1o,64.61,0.5,34.89
129,3_T,1o,64.6,0.54,34.85
130,5_9,2o,64.59,0.43,34.98
131,3_7,1o,64.54,0.52,34.94
132,5_J,1o,64.53,0.5,34.97
133,5_Q,ssame,64.52,0.59,34.9
134,2_J,ssame,64.5,0.62,34.89
135,4_J,1o,64.49,0.53,34.98
