,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_7,2o,75.13,4.06,20.81
1,2_7,1o,74.67,4.16,21.17
2,7_Q,2o,74.46,3.45,22.08
3,7_Q,1o,73.99,3.59,22.43
4,3_7,2o,73.57,3.92,22.51
5,3_7,1o,73.08,4.06,22.86
6,7_J,2o,73.03,3.35,23.63
7,7_J,1o,72.53,3.5,23.98
8,4_7,2o,72.02,3.79,24.19
9,7_T,2o,71.6,3.24,25.16
10,4_7,1o,71.49,3.96,24.55
11,7_T,1o,71.08,3.4,25.52
12,2_7,sdifferent,70.78,3.88,25.34
13,5_7,2o,70.47,3.66,25.86
14,7_9,2o,70.27,3.14,26.58
15,7_Q,sdifferent,70.12,3.35,26.53
16,5_7,1o,69.92,3.85,26.23
17,7_9,1o,69.72,3.32,26.96
18,6_7,2o,69.34,3.5,27.16
19,3_7,sdifferent,69.32,3.79,26.89
20,7_8,2o,69.27,3.04,27.69
21,7_J,sdifferent,68.79,3.27,27.94
22,6_7,1o,68.76,3.71,27.53
23,7_8,1o,68.68,3.24,28.07
24,2_6,2o,68.38,0.71,30.91
25,2_6,1o,68.0,0.79,31.21
26,2_6,1o,67.94,0.74,31.31
27,4_7,sdifferent,67.88,3.69,28.43
28,2_6,ssame,67.7,0.82,31.48
29,2_3,2o,67.6,0.79,31.61
30,7_T,sdifferent,67.47,3.19,29.34
31,2_3,1o,67.17,0.84,31.98
32,2_3,1o,67.16,0.82,32.02
33,2_4,2o,67.11,0.76,32.12
34,3_6,2o,66.94,0.68,32.38
35,2_5,2o,66.91,0.74,32.35
36,2_3,ssame,66.81,0.88,32.31
37,2_4,1o,66.69,0.83,32.48
38,2_4,1o,66.66,0.8,32.54
39,3_6,1o,66.52,0.76,32.71
40,2_5,1o,66.49,0.82,32.69
41,3_6,1o,66.48,0.74,32.79
42,2_5,1o,66.45,0.78,32.77
43,5_7,sdifferent,66.44,3.59,29.97
44,2_4,ssame,66.32,0.87,32.81
45,7_9,sdifferent,66.23,3.11,30.66
46,2_8,2o,66.19,0.7,33.1
47,3_6,ssame,66.19,0.82,32.99
48,2_5,ssame,66.11,0.86,33.03
49,3_8,2o,66.01,0.68,33.3
50,2_Q,2o,65.89,0.72,33.39
51,2_J,2o,65.84,0.71,33.45
52,2_9,2o,65.84,0.7,33.46
53,2_T,2o,65.77,0.7,33.53
54,2_8,1o,65.7,0.74,33.56
55,3_4,2o,65.67,0.74,33.59
56,2_8,1o,65.65,0.79,33.56
57,6_J,2o,65.63,0.6,33.77
58,4_6,2o,65.54,0.66,33.8
59,4_9,2o,65.54,0.66,33.81
60,3_8,1o,65.53,0.74,33.73
61,3_8,1o,65.47,0.77,33.76
62,3_5,2o,65.47,0.72,33.82
63,3_Q,2o,65.43,0.69,33.88
