,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_7,2o,74.42,4.77,20.81
1,2_7,1o,73.96,4.87,21.17
2,3_7,2o,72.87,4.62,22.51
3,3_7,1o,72.38,4.76,22.86
4,7_J,2o,72.3,4.08,23.63
5,7_J,1o,71.82,4.21,23.97
6,4_7,2o,71.33,4.48,24.19
7,7_T,2o,70.87,3.97,25.16
8,4_7,1o,70.8,4.65,24.55
9,7_T,1o,70.36,4.12,25.52
10,2_7,sdifferent,70.07,4.58,25.34
11,5_7,2o,69.79,4.34,25.86
12,7_9,2o,69.54,3.87,26.58
13,5_7,1o,69.23,4.54,26.23
14,7_9,1o,69.0,4.04,26.96
15,6_7,2o,68.67,4.17,27.16
16,3_7,sdifferent,68.63,4.48,26.89
17,7_8,2o,68.54,3.77,27.69
18,2_6,2o,68.12,0.96,30.91
19,6_7,1o,68.09,4.38,27.53
20,7_J,sdifferent,68.08,3.98,27.94
21,7_8,1o,67.97,3.96,28.07
22,2_6,1o,67.75,1.04,31.21
23,2_6,1o,67.69,1.0,31.31
24,2_6,ssame,67.44,1.08,31.48
25,2_3,2o,67.35,1.04,31.61
26,4_7,sdifferent,67.19,4.38,28.43
27,2_3,1o,66.92,1.1,31.98
28,2_3,1o,66.9,1.08,32.02
29,2_4,2o,66.86,1.02,32.12
30,7_T,sdifferent,66.76,3.89,29.34
31,3_6,2o,66.68,0.94,32.38
32,2_5,2o,66.65,1.0,32.35
33,2_3,ssame,66.56,1.14,32.31
34,2_4,1o,66.43,1.09,32.48
35,2_4,1o,66.41,1.06,32.54
36,3_6,1o,66.27,1.02,32.71
37,2_5,1o,66.23,1.08,32.69
38,3_6,1o,66.22,0.99,32.79
39,2_5,1o,66.19,1.04,32.77
40,2_4,ssame,66.06,1.12,32.81
41,3_6,ssame,65.94,1.07,32.99
42,2_5,ssame,65.85,1.11,33.03
43,5_7,sdifferent,65.76,4.27,29.97
44,2_8,2o,65.65,0.96,33.4
45,2_J,2o,65.64,0.96,33.4
46,2_9,2o,65.58,0.96,33.46
47,2_T,2o,65.56,0.95,33.48
48,7_9,sdifferent,65.52,3.82,30.66
49,3_8,2o,65.47,0.94,33.6
50,6_J,2o,65.46,0.85,33.69
51,3_4,2o,65.42,0.99,33.59
52,4_9,2o,65.28,0.91,33.81
53,4_6,2o,65.28,0.92,33.8
54,3_5,2o,65.21,0.97,33.82
55,3_J,2o,65.18,0.93,33.89
56,2_8,1o,65.15,0.99,33.86
57,2_J,1o,65.14,1.0,33.86
58,5_T,2o,65.14,0.89,33.97
59,3_9,2o,65.12,0.93,33.95
60,3_T,2o,65.1,0.93,33.97
61,2_8,1o,65.1,1.04,33.86
62,2_9,1o,65.08,0.99,33.93
63,2_J,1o,65.07,1.05,33.88
64,2_T,1o,65.06,0.99,33.95
65,2_9,1o,65.03,1.04,33.93
66,2_T,1o,65.01,1.04,33.95
67,6_J,1o,65.01,0.93,34.06
68,4_J,2o,65.0,0.91,34.09
69,3_8,1o,64.97,0.99,34.03
70,3_4,1o,64.96,1.06,33.98
71,3_4,1o,64.94,1.05,34.01
72,4_T,2o,64.92,0.9,34.17
73,3_8,1o,64.92,1.02,34.06
74,6_J,1o,64.9,0.93,34.17
75,5_J,2o,64.88,0.89,34.23
