,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_J,2o,77.23,2.09,20.68
1,2_J,1o,76.83,2.16,21.01
2,3_J,2o,76.75,2.06,21.19
3,3_J,1o,76.34,2.15,21.52
4,4_J,2o,76.27,2.03,21.69
5,4_J,1o,75.85,2.13,22.02
6,5_J,2o,75.8,2.01,22.19
7,6_J,2o,75.75,1.97,22.28
8,5_J,1o,75.36,2.12,22.52
9,6_J,1o,75.28,2.09,22.63
10,J_K,2o,74.79,1.49,23.71
11,7_J,2o,74.61,1.86,23.53
12,J_K,1o,74.39,1.6,24.02
13,7_J,1o,74.12,1.99,23.88
14,9_J,2o,73.69,1.78,24.53
15,8_J,2o,73.43,1.76,24.81
16,J_Q,2o,73.35,1.39,25.26
17,9_J,1o,73.19,1.92,24.89
18,J_Q,1o,72.92,1.51,25.57
19,8_J,1o,72.92,1.91,25.17
20,2_J,sdifferent,72.8,2.01,25.2
21,3_J,sdifferent,72.34,2.0,25.66
22,4_J,sdifferent,71.9,1.98,26.12
23,T_J,2o,71.69,1.69,26.62
24,5_J,sdifferent,71.46,1.97,26.57
25,6_J,sdifferent,71.38,1.94,26.68
26,T_J,1o,71.23,1.84,26.93
27,9_A,2o,70.62,7.42,21.96
28,6_A,2o,70.59,7.13,22.28
29,J_K,sdifferent,70.52,1.5,27.98
30,8_A,2o,70.32,7.44,22.24
31,7_J,sdifferent,70.32,1.85,27.83
32,T_A,2o,70.24,7.62,22.14
33,9_A,1o,70.16,7.56,22.28
34,2_T,2o,70.12,0.49,29.39
35,7_A,2o,70.12,7.48,22.4
36,6_A,1o,70.09,7.28,22.63
37,2_A,2o,70.05,7.77,22.17
38,8_A,1o,69.85,7.59,22.56
39,T_A,1o,69.85,7.76,22.39
40,2_T,1o,69.81,0.57,29.62
41,3_T,2o,69.75,0.46,29.79
42,2_T,1o,69.73,0.53,29.74
43,3_A,2o,69.64,7.67,22.69
44,7_A,1o,69.63,7.63,22.74
45,2_T,ssame,69.6,0.61,29.79
46,2_A,1o,69.57,7.91,22.52
47,2_9,2o,69.53,0.48,29.98
48,9_J,sdifferent,69.45,1.78,28.76
49,3_T,1o,69.44,0.54,30.02
50,2_7,2o,69.42,0.48,30.09
51,4_T,2o,69.4,0.43,30.17
52,5_T,2o,69.36,0.42,30.22
53,3_T,1o,69.36,0.52,30.13
54,2_8,2o,69.23,0.47,30.3
55,4_A,2o,69.23,7.58,23.19
56,3_T,ssame,69.22,0.6,30.18
57,8_J,sdifferent,69.22,1.78,29.01
58,J_Q,sdifferent,69.19,1.42,29.39
59,3_8,2o,69.19,0.45,30.36
60,3_9,2o,69.17,0.45,30.38
61,3_A,1o,69.14,7.82,23.03
62,2_9,1o,69.14,0.57,30.29
63,2_9,1o,69.14,0.52,30.33
64,4_9,2o,69.13,0.44,30.43
65,4_T,1o,69.08,0.51,30.41
66,5_T,1o,69.05,0.5,30.45
67,2_7,1o,69.03,0.52,30.45
68,2_7,1o,69.01,0.57,30.42
69,4_T,1o,68.99,0.5,30.51
70,5_T,1o,68.95,0.5,30.55
71,2_9,ssame,68.93,0.61,30.46
72,4_T,ssame,68.85,0.59,30.56
73,2_8,1o,68.84,0.51,30.65
74,2_8,1o,68.83,0.56,30.61
75,5_A,2o,68.82,7.5,23.68
76,2_7,ssame,68.81,0.61,30.58
77,5_T,ssame,68.81,0.59,30.6
78,3_8,1o,68.79,0.54,30.67
79,3_8,1o,68.78,0.51,30.71
80,3_9,1o,68.77,0.54,30.69
81,3_9,1o,68.77,0.51,30.72
82,4_9,1o,68.73,0.52,30.75
83,4_A,1o,68.72,7.74,23.53
84,4_9,1o,68.72,0.51,30.77
85,2_8,ssame,68.62,0.6,30.78
86,3_8,ssame,68.57,0.6,30.83
87,3_9,ssame,68.55,0.6,30.85
88,4_9,ssame,68.51,0.6,30.89
89,2_6,2o,68.34,0.49,31.16
90,5_A,1o,68.3,7.67,24.03
91,6_T,2o,68.17,0.39,31.45
92,3_7,2o,68.11,0.45,31.43
93,2_6,1o,67.92,0.53,31.55
94,2_6,1o,67.9,0.58,31.51
95,4_8,2o,67.88,0.43,31.69
96,6_T,1o,67.83,0.47,31.7
97,5_9,2o,67.83,0.42,31.75
98,6_T,1o,67.72,0.47,31.81
99,3_7,1o,67.7,0.51,31.79
100,3_7,1o,67.68,0.54,31.78
101,T_J,sdifferent,67.66,1.72,30.63
102,2_3,2o,67.66,0.57,31.77
103,2_6,ssame,67.61,0.62,31.77
104,6_T,ssame,67.51,0.55,31.94
105,4_8,1o,67.46,0.52,32.02
106,4_8,1o,67.45,0.5,32.05
107,5_9,1o,67.41,0.51,32.08
108,3_7,ssame,67.4,0.6,32.0
109,5_9,1o,67.4,0.5,32.1
110,2_K,2o,67.38,0.52,32.1
111,2_4,2o,67.29,0.54,32.16
112,2_Q,2o,67.29,0.51,32.2
113,2_3,1o,67.22,0.63,32.15
114,2_3,1o,67.22,0.61,32.17
115,4_8,ssame,67.17,0.59,32.24
116,7_T,2o,67.15,0.38,32.47
117,5_9,ssame,67.11,0.59,32.3
118,3_6,2o,67.03,0.47,32.5
119,3_K,2o,67.01,0.49,32.5
120,2_5,2o,66.94,0.52,32.54
121,3_Q,2o,66.93,0.48,32.59
122,2_K,1o,66.93,0.56,32.51
123,2_3,ssame,66.92,0.67,32.42
124,2_K,1o,66.88,0.6,32.52
125,2_4,1o,66.85,0.58,32.56
126,2_4,1o,66.85,0.62,32.54
127,2_Q,1o,66.84,0.55,32.61
128,8_K,2o,66.82,0.4,32.78
129,4_7,2o,66.81,0.43,32.76
130,2_Q,1o,66.81,0.59,32.6
131,7_T,1o,66.79,0.46,32.75
132,7_T,1o,66.69,0.46,32.85
133,6_9,2o,66.69,0.39,32.93
134,4_K,2o,66.66,0.46,32.88
135,2_K,ssame,66.61,0.64,32.75
136,3_6,1o,66.58,0.52,32.89
137,5_8,2o,66.58,0.41,33.0
138,4_Q,2o,66.57,0.45,32.98
139,3_6,1o,66.57,0.55,32.88
140,3_K,1o,66.56,0.55,32.9
141,2_4,ssame,66.54,0.66,32.81
142,2_Q,ssame,66.54,0.63,32.83
143,7_Q,2o,66.52,0.39,33.09
144,9_A,sdifferent,66.51,7.11,26.38
145,3_K,1o,66.51,0.57,32.92
146,2_5,1o,66.49,0.56,32.95
147,2_5,1o,66.48,0.61,32.92
148,3_Q,1o,66.47,0.54,33.0
149,6_A,sdifferent,66.46,6.86,26.68
150,7_T,ssame,66.45,0.54,33.01
151,3_Q,1o,66.44,0.56,33.0
152,4_7,1o,66.36,0.52,33.13
153,8_K,1o,66.36,0.49,33.15
154,4_7,1o,66.36,0.5,33.13
155,6_K,2o,66.36,0.4,33.24
156,7_K,2o,66.32,0.39,33.28
157,8_K,1o,66.32,0.48,33.2
158,5_K,2o,66.3,0.44,33.26
159,6_Q,2o,66.27,0.39,33.34
160,6_9,1o,66.25,0.47,33.28
161,8_A,sdifferent,66.24,7.14,26.63
162,3_K,ssame,66.23,0.63,33.14
163,6_9,1o,66.22,0.47,33.31
164,5_Q,2o,66.22,0.43,33.35
165,T_A,sdifferent,66.22,7.3,26.48
166,3_6,ssame,66.2,0.61,33.19
167,4_K,1o,66.19,0.53,33.28
168,3_Q,ssame,66.16,0.62,33.22
169,2_5,ssame,66.16,0.64,33.19
170,4_K,1o,66.15,0.54,33.31
171,5_8,1o,66.14,0.5,33.36
172,5_8,1o,66.13,0.49,33.38
173,4_Q,1o,66.1,0.52,33.38
174,8_T,2o,66.09,0.38,33.53
175,4_Q,1o,66.08,0.53,33.39
176,7_A,sdifferent,66.04,7.18,26.78
177,7_Q,1o,66.04,0.48,33.48
178,8_K,ssame,66.04,0.57,33.39
179,7_Q,1o,66.03,0.47,33.5
180,4_7,ssame,66.0,0.59,33.42
181,2_A,sdifferent,65.99,7.44,26.58
182,3_4,2o,65.98,0.51,33.5
183,9_K,2o,65.94,0.42,33.64
184,2_T,sdifferent,65.93,0.5,33.56
185,6_9,ssame,65.86,0.55,33.58
186,6_K,1o,65.86,0.49,33.65
187,4_K,ssame,65.86,0.61,33.52
188,6_K,1o,65.84,0.48,33.67
189,7_K,1o,65.84,0.48,33.68
190,5_K,1o,65.82,0.52,33.65
191,7_K,1o,65.81,0.47,33.71
192,5_K,1o,65.79,0.52,33.69
193,4_Q,ssame,65.79,0.61,33.61
194,5_8,ssame,65.77,0.58,33.65
195,6_Q,1o,65.77,0.47,33.75
196,6_Q,1o,65.77,0.48,33.75
197,5_Q,1o,65.74,0.51,33.75
198,7_Q,ssame,65.73,0.56,33.71
199,4_6,2o,65.73,0.44,33.83
200,5_Q,1o,65.72,0.51,33.77
201,8_T,1o,65.7,0.46,33.84
202,7_9,2o,65.67,0.38,33.95
203,3_5,2o,65.63,0.49,33.88
204,8_Q,2o,65.63,0.4,33.97
205,8_T,1o,65.62,0.47,33.92
206,3_A,sdifferent,65.6,7.36,27.04
207,3_T,sdifferent,65.6,0.49,33.91
208,6_K,ssame,65.53,0.57,33.9
209,3_4,1o,65.52,0.57,33.91
210,3_4,1o,65.51,0.59,33.9
211,5_7,2o,65.51,0.41,34.08
212,7_K,ssame,65.51,0.56,33.93
213,5_K,ssame,65.49,0.6,33.9
214,9_K,1o,65.46,0.5,34.04
215,6_Q,ssame,65.45,0.56,33.98
216,6_8,2o,65.44,0.38,34.18
217,9_K,1o,65.42,0.5,34.08
218,5_Q,ssame,65.42,0.59,33.99
219,2_9,sdifferent,65.34,0.5,34.16
220,8_T,ssame,65.34,0.55,34.12
221,4_T,sdifferent,65.26,0.48,34.25
222,4_6,1o,65.25,0.51,34.24
223,4_6,1o,65.24,0.53,34.22
224,2_7,sdifferent,65.23,0.5,34.27
225,5_T,sdifferent,65.23,0.48,34.29
226,4_A,sdifferent,65.22,7.28,27.5
227,7_9,1o,65.21,0.46,34.33
228,9_T,2o,65.21,0.4,34.39
229,7_9,1o,65.19,0.46,34.35
230,3_5,1o,65.15,0.58,34.28
231,3_5,1o,65.15,0.55,34.29
232,8_Q,1o,65.14,0.48,34.37
233,3_4,ssame,65.13,0.65,34.23
234,9_K,ssame,65.13,0.58,34.3
235,8_Q,1o,65.12,0.48,34.4
236,2_8,sdifferent,65.07,0.49,34.44
237,5_7,1o,65.04,0.49,34.47
238,5_7,1o,65.04,0.5,34.46
239,3_8,sdifferent,65.02,0.49,34.49
240,3_9,sdifferent,65.0,0.49,34.51
241,6_8,1o,64.98,0.46,34.56
242,4_9,sdifferent,64.96,0.49,34.55
243,6_8,1o,64.95,0.46,34.59
244,5_A,sdifferent,64.83,7.21,27.95
245,8_Q,ssame,64.81,0.56,34.63
246,7_9,ssame,64.81,0.54,34.65
247,4_6,ssame,64.8,0.6,34.6
248,9_T,1o,64.8,0.48,34.72
249,9_Q,2o,64.75,0.41,34.84
250,3_5,ssame,64.75,0.63,34.61
251,9_T,1o,64.72,0.48,34.81
252,T_K,2o,64.69,0.42,34.89
253,6_7,2o,64.64,0.38,34.98
254,8_9,2o,64.61,0.38,35.01
255,5_7,ssame,64.6,0.58,34.82
256,6_8,ssame,64.52,0.55,34.93
257,7_8,2o,64.43,0.37,35.2
258,5_6,2o,64.43,0.42,35.14
259,9_T,ssame,64.42,0.56,35.02
260,4_5,2o,64.32,0.47,35.21
261,9_Q,1o,64.24,0.49,35.26
262,T_K,1o,64.24,0.5,35.25
263,9_Q,1o,64.23,0.49,35.28
264,2_6,sdifferent,64.22,0.51,35.27
265,6_7,1o,64.16,0.46,35.38
266,6_7,1o,64.14,0.46,35.4
267,6_T,sdifferent,64.12,0.45,35.43
268,T_K,1o,64.12,0.5,35.38
269,8_9,1o,64.12,0.47,35.42
270,8_9,1o,64.11,0.47,35.42
271,3_7,sdifferent,64.03,0.49,35.48
272,7_8,1o,63.94,0.45,35.6
273,7_8,1o,63.92,0.45,35.62
274,5_6,1o,63.92,0.51,35.56
275,5_6,1o,63.92,0.51,35.57
276,9_Q,ssame,63.89,0.57,35.54
277,T_K,ssame,63.82,0.58,35.59
278,4_8,sdifferent,63.82,0.48,35.7
279,4_5,1o,63.82,0.55,35.63
280,4_5,1o,63.82,0.54,35.63
281,5_9,sdifferent,63.77,0.48,35.75
282,8_9,ssame,63.69,0.55,35.76
283,6_7,ssame,63.64,0.54,35.82
284,2_3,sdifferent,63.6,0.58,35.82
285,T_Q,2o,63.5,0.42,36.08
286,7_8,ssame,63.47,0.53,36.0
287,5_6,ssame,63.4,0.59,36.01
288,4_5,ssame,63.35,0.62,36.03
289,2_4,sdifferent,63.26,0.56,36.18
290,2_K,sdifferent,63.24,0.53,36.24
291,7_T,sdifferent,63.18,0.44,36.38
292,2_Q,sdifferent,63.17,0.52,36.31
293,T_Q,1o,63.03,0.5,36.48
294,3_6,sdifferent,63.01,0.5,36.49
295,2_5,sdifferent,62.93,0.54,36.53
296,T_Q,1o,62.92,0.5,36.58
297,3_K,sdifferent,62.9,0.52,36.58
298,3_Q,sdifferent,62.83,0.51,36.66
299,4_7,sdifferent,62.82,0.48,36.7
300,8_K,sdifferent,62.72,0.47,36.81
301,6_9,sdifferent,62.7,0.45,36.85
302,5_8,sdifferent,62.62,0.47,36.91
303,T_Q,ssame,62.59,0.58,36.83
304,4_K,sdifferent,62.57,0.51,36.92
305,4_Q,sdifferent,62.5,0.5,37.0
306,7_Q,sdifferent,62.45,0.46,37.09
307,6_K,sdifferent,62.27,0.47,37.26
308,7_K,sdifferent,62.26,0.46,37.28
309,5_K,sdifferent,62.24,0.5,37.26
310,6_Q,sdifferent,62.21,0.46,37.33
311,8_T,sdifferent,62.19,0.45,37.36
312,5_Q,sdifferent,62.18,0.49,37.33
313,3_4,sdifferent,62.06,0.55,37.4
314,9_K,sdifferent,61.91,0.48,37.61
315,4_6,sdifferent,61.81,0.49,37.7
316,7_9,sdifferent,61.76,0.44,37.8
317,3_5,sdifferent,61.73,0.53,37.75
318,5_7,sdifferent,61.63,0.47,37.9
319,8_Q,sdifferent,61.63,0.46,37.91
320,6_8,sdifferent,61.56,0.44,38.0
321,9_T,sdifferent,61.38,0.46,38.17
322,9_Q,sdifferent,60.82,0.47,38.71
323,6_7,sdifferent,60.81,0.44,38.75
324,8_9,sdifferent,60.77,0.45,38.78
325,T_K,sdifferent,60.76,0.48,38.76
326,7_8,sdifferent,60.62,0.43,38.95
327,5_6,sdifferent,60.61,0.48,38.91
328,4_5,sdifferent,60.52,0.52,38.96
329,T_Q,sdifferent,59.67,0.47,39.86
330,Q_K,2o,50.99,11.34,37.67
331,2_2,2o,50.41,0.61,48.98
332,Q_K,1o,50.28,11.5,38.21
333,Q_K,1o,50.27,11.5,38.23
334,2_2,1o,50.03,0.65,49.32
335,3_3,2o,49.76,0.53,49.71
336,Q_K,ssame,49.71,11.67,38.62
337,3_3,1o,49.37,0.59,50.04
338,4_4,2o,49.17,0.47,50.36
339,4_4,1o,48.78,0.54,50.68
340,5_5,2o,48.65,0.41,50.94
341,6_6,2o,48.43,0.37,51.2
342,5_5,1o,48.25,0.5,51.25
343,6_6,1o,48.02,0.46,51.52
344,7_7,2o,47.99,0.35,51.66
345,Q_K,sdifferent,47.95,10.56,41.48
346,7_7,1o,47.59,0.44,51.97
347,8_8,2o,47.33,0.34,52.33
348,9_9,2o,47.22,0.36,52.42
349,8_8,1o,46.94,0.43,52.63
350,9_9,1o,46.83,0.44,52.72
351,T_T,2o,45.76,0.36,53.89
352,T_T,1o,45.41,0.44,54.15
353,J_J,2o,33.68,1.66,64.66
354,K_K,2o,32.29,0.38,67.33
355,Q_Q,2o,32.05,0.37,67.57
356,K_K,1o,31.71,0.46,67.83
357,Q_Q,1o,31.48,0.46,68.06
358,K_A,2o,28.36,4.4,67.24
359,Q_A,2o,27.97,5.49,66.54
360,K_A,1o,27.14,4.5,68.35
361,K_A,sdifferent,26.88,4.22,68.9
362,Q_A,1o,26.77,5.61,67.62
363,Q_A,sdifferent,26.54,5.29,68.17
364,A_A,2o,12.32,1.23,86.45
365,J_A,sdifferent,7.16,85.69,7.16
366,J_A,2o,7.16,90.67,2.17
