,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_J,2o,76.13,3.11,20.76
1,2_J,1o,75.71,3.19,21.09
2,3_J,2o,75.65,3.07,21.28
3,3_J,1o,75.23,3.17,21.6
4,4_J,2o,75.19,3.03,21.78
5,6_J,2o,75.04,2.95,22.01
6,4_J,1o,74.74,3.15,22.1
7,5_J,2o,74.73,3.0,22.27
8,6_J,1o,74.58,3.08,22.34
9,5_J,1o,74.27,3.13,22.6
10,8_J,2o,74.12,2.85,23.03
11,7_J,2o,73.86,2.84,23.3
12,J_Q,2o,73.75,2.39,23.86
13,8_J,1o,73.65,2.99,23.36
14,J_Q,1o,73.4,2.51,24.09
15,7_J,1o,73.38,2.99,23.64
16,9_J,2o,72.59,2.76,24.65
17,9_J,1o,72.15,2.91,24.95
18,T_J,2o,72.08,2.69,25.23
19,2_J,sdifferent,71.73,3.0,25.27
20,T_J,1o,71.7,2.84,25.46
21,2_K,2o,71.48,7.76,20.76
22,3_J,sdifferent,71.28,2.98,25.74
23,3_K,2o,71.06,7.66,21.28
24,2_K,1o,71.02,7.88,21.09
25,4_J,sdifferent,70.84,2.96,26.2
26,8_K,2o,70.78,7.32,21.9
27,6_J,sdifferent,70.69,2.89,26.42
28,9_K,2o,70.68,7.25,22.08
29,4_K,2o,70.65,7.57,21.78
30,3_K,1o,70.6,7.8,21.6
31,6_K,2o,70.59,7.4,22.01
32,2_T,2o,70.59,0.71,28.7
33,7_K,2o,70.48,7.35,22.17
34,5_J,sdifferent,70.41,2.94,26.65
35,2_T,1o,70.35,0.8,28.85
36,8_K,1o,70.32,7.46,22.22
37,T_K,2o,70.3,7.45,22.24
38,9_K,1o,70.27,7.39,22.34
39,5_K,2o,70.24,7.49,22.27
40,3_T,2o,70.23,0.68,29.09
41,2_T,1o,70.21,0.75,29.03
42,4_K,1o,70.18,7.72,22.1
43,2_T,ssame,70.15,0.84,29.02
44,6_K,1o,70.11,7.54,22.34
45,7_K,1o,70.01,7.5,22.49
46,3_T,1o,69.99,0.76,29.25
47,T_K,1o,69.97,7.6,22.43
48,4_T,2o,69.87,0.65,29.48
49,3_T,1o,69.84,0.74,29.42
50,5_T,2o,69.83,0.65,29.52
51,8_J,sdifferent,69.83,2.81,27.37
52,3_T,ssame,69.77,0.82,29.41
53,5_K,1o,69.76,7.64,22.6
54,2_9,2o,69.71,0.7,29.59
55,4_T,1o,69.62,0.74,29.64
56,7_J,sdifferent,69.59,2.81,27.61
57,5_T,1o,69.59,0.73,29.68
58,J_Q,sdifferent,69.57,2.39,28.04
59,4_T,1o,69.47,0.73,29.8
60,5_T,1o,69.43,0.73,29.84
61,4_T,ssame,69.39,0.81,29.8
62,2_9,1o,69.39,0.78,29.83
63,2_7,2o,69.37,0.7,29.93
64,3_9,2o,69.35,0.67,29.98
65,2_8,2o,69.35,0.7,29.95
66,5_T,ssame,69.35,0.81,29.83
67,2_9,1o,69.32,0.74,29.93
68,4_9,2o,69.31,0.66,30.04
69,3_8,2o,69.3,0.68,30.02
70,2_9,ssame,69.18,0.82,30.0
71,3_9,1o,69.02,0.75,30.23
72,2_7,1o,68.98,0.74,30.28
73,4_9,1o,68.98,0.74,30.28
74,2_7,1o,68.98,0.79,30.23
75,2_8,1o,68.96,0.74,30.3
76,2_8,1o,68.96,0.78,30.26
77,3_9,1o,68.95,0.73,30.32
78,6_T,2o,68.93,0.6,30.47
79,3_8,1o,68.91,0.74,30.36
80,3_8,1o,68.91,0.76,30.33
81,4_9,1o,68.9,0.73,30.37
82,3_9,ssame,68.8,0.81,30.39
83,2_7,ssame,68.78,0.82,30.4
84,4_9,ssame,68.75,0.81,30.44
85,2_8,ssame,68.75,0.82,30.42
86,3_8,ssame,68.7,0.82,30.47
87,6_T,1o,68.67,0.68,30.65
88,2_6,2o,68.58,0.7,30.72
89,6_T,1o,68.51,0.69,30.8
90,9_J,sdifferent,68.44,2.74,28.81
91,6_T,ssame,68.37,0.77,30.86
92,2_6,1o,68.18,0.74,31.08
93,2_6,1o,68.16,0.79,31.05
94,3_7,2o,68.06,0.67,31.27
95,T_J,sdifferent,68.03,2.69,29.28
96,5_9,2o,68.01,0.64,31.35
97,4_8,2o,68.0,0.65,31.35
98,2_Q,2o,67.94,0.73,31.33
99,2_6,ssame,67.9,0.82,31.28
100,7_T,2o,67.83,0.61,31.57
101,2_3,2o,67.76,0.77,31.46
102,5_9,1o,67.66,0.72,31.62
103,3_7,1o,67.65,0.76,31.6
104,3_7,1o,67.64,0.73,31.63
105,4_8,1o,67.59,0.74,31.67
106,5_9,1o,67.58,0.72,31.7
107,4_8,1o,67.58,0.73,31.7
108,3_Q,2o,67.58,0.7,31.72
109,2_Q,1o,67.54,0.81,31.65
110,7_T,1o,67.54,0.69,31.78
111,2_Q,1o,67.5,0.77,31.72
112,2_4,2o,67.4,0.75,31.85
113,7_T,1o,67.39,0.69,31.92
114,7_Q,2o,67.37,0.62,32.01
115,3_7,ssame,67.37,0.81,31.82
116,5_9,ssame,67.35,0.8,31.84
117,2_3,1o,67.35,0.81,31.84
118,2_3,1o,67.34,0.84,31.82
119,2_K,sdifferent,67.32,7.41,25.27
120,4_8,ssame,67.3,0.81,31.89
121,3_6,2o,67.27,0.67,32.06
122,2_Q,ssame,67.27,0.85,31.87
123,4_Q,2o,67.22,0.67,32.11
124,7_T,ssame,67.22,0.77,32.01
125,6_Q,2o,67.21,0.61,32.18
126,3_Q,1o,67.17,0.78,32.05
127,6_9,2o,67.16,0.59,32.25
128,3_Q,1o,67.13,0.76,32.11
129,2_5,2o,67.04,0.73,32.23
130,2_3,ssame,67.01,0.87,32.12
131,2_4,1o,66.98,0.79,32.23
132,2_4,1o,66.97,0.82,32.21
133,7_Q,1o,66.96,0.7,32.34
134,8_T,2o,66.94,0.62,32.44
135,3_K,sdifferent,66.93,7.33,25.74
136,7_Q,1o,66.92,0.71,32.37
137,3_Q,ssame,66.89,0.84,32.26
138,5_Q,2o,66.87,0.65,32.48
139,3_6,1o,66.84,0.73,32.43
140,3_6,1o,66.83,0.76,32.41
141,4_Q,1o,66.81,0.75,32.44
142,6_9,1o,66.79,0.68,32.53
143,6_Q,1o,66.79,0.69,32.52
144,4_Q,1o,66.76,0.75,32.49
145,4_7,2o,66.76,0.65,32.6
146,6_Q,1o,66.74,0.7,32.56
147,6_9,1o,66.71,0.68,32.61
148,5_8,2o,66.7,0.64,32.66
149,7_Q,ssame,66.69,0.79,32.53
150,8_K,sdifferent,66.66,7.02,26.32
151,8_T,1o,66.64,0.7,32.66
152,2_4,ssame,66.63,0.86,32.51
153,9_K,sdifferent,66.61,6.96,26.43
154,2_5,1o,66.61,0.77,32.62
155,2_5,1o,66.6,0.81,32.59
156,4_K,sdifferent,66.55,7.25,26.2
157,4_Q,ssame,66.52,0.83,32.65
158,6_Q,ssame,66.5,0.78,32.72
159,8_T,1o,66.49,0.7,32.81
160,3_6,ssame,66.49,0.81,32.7
161,8_Q,2o,66.48,0.63,32.88
162,6_K,sdifferent,66.48,7.1,26.42
163,5_Q,1o,66.45,0.73,32.82
164,6_9,ssame,66.42,0.76,32.82
165,5_Q,1o,66.4,0.74,32.87
166,2_T,sdifferent,66.4,0.71,32.88
167,7_K,sdifferent,66.39,7.05,26.56
168,T_K,sdifferent,66.32,7.16,26.51
169,4_7,1o,66.32,0.73,32.94
170,4_7,1o,66.31,0.72,32.97
171,8_T,ssame,66.29,0.78,32.93
172,5_8,1o,66.27,0.72,33.01
173,2_5,ssame,66.26,0.85,32.89
174,5_8,1o,66.25,0.72,33.03
175,5_K,sdifferent,66.17,7.18,26.65
176,5_Q,ssame,66.15,0.82,33.03
177,6_8,2o,66.12,0.59,33.29
178,3_4,2o,66.09,0.72,33.19
179,3_T,sdifferent,66.07,0.7,33.23
180,8_Q,1o,66.06,0.71,33.23
181,7_9,2o,66.06,0.6,33.35
182,8_Q,1o,66.01,0.72,33.27
183,9_T,2o,66.01,0.63,33.36
184,4_7,ssame,65.97,0.8,33.23
185,4_6,2o,65.97,0.65,33.38
186,5_8,ssame,65.9,0.8,33.3
187,8_Q,ssame,65.76,0.8,33.44
188,3_5,2o,65.73,0.7,33.57
189,4_T,sdifferent,65.73,0.69,33.57
190,5_T,sdifferent,65.7,0.69,33.61
191,6_8,1o,65.68,0.68,33.64
192,6_8,1o,65.66,0.68,33.66
193,9_T,1o,65.66,0.71,33.63
194,7_9,1o,65.66,0.68,33.66
195,3_4,1o,65.64,0.79,33.57
196,3_4,1o,65.64,0.78,33.58
197,7_9,1o,65.59,0.68,33.72
198,9_T,1o,65.58,0.71,33.71
199,9_Q,2o,65.56,0.64,33.8
200,2_9,sdifferent,65.54,0.7,33.75
201,4_6,1o,65.51,0.73,33.76
202,4_6,1o,65.51,0.72,33.77
203,5_7,2o,65.46,0.63,33.91
204,8_9,2o,65.46,0.61,33.93
205,9_T,ssame,65.32,0.78,33.89
206,3_5,1o,65.28,0.76,33.97
207,3_5,1o,65.27,0.78,33.95
208,7_9,ssame,65.27,0.76,33.97
209,6_8,ssame,65.26,0.76,33.99
210,3_4,ssame,65.22,0.85,33.93
211,3_9,sdifferent,65.21,0.69,34.1
212,2_7,sdifferent,65.19,0.7,34.11
213,2_8,sdifferent,65.17,0.7,34.13
214,4_9,sdifferent,65.17,0.69,34.14
215,9_Q,1o,65.12,0.72,34.16
216,3_8,sdifferent,65.12,0.7,34.18
217,9_Q,1o,65.09,0.72,34.19
218,4_6,ssame,65.09,0.8,34.11
219,8_9,1o,65.06,0.69,34.25
220,7_8,2o,65.02,0.6,34.38
221,5_7,1o,65.0,0.71,34.28
222,5_7,1o,64.99,0.71,34.3
223,8_9,1o,64.99,0.69,34.32
224,6_7,2o,64.88,0.58,34.53
225,6_T,sdifferent,64.86,0.65,34.48
226,3_5,ssame,64.85,0.84,34.31
227,9_Q,ssame,64.8,0.8,34.4
228,5_6,2o,64.67,0.63,34.7
229,8_9,ssame,64.65,0.77,34.58
230,5_7,ssame,64.57,0.79,34.64
231,7_8,1o,64.55,0.68,34.77
232,7_8,1o,64.55,0.68,34.77
233,2_6,sdifferent,64.46,0.7,34.84
234,4_5,2o,64.43,0.67,34.9
235,6_7,1o,64.42,0.67,34.91
