,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_J,2o,75.43,4.07,20.5
1,2_J,1o,75.03,4.17,20.8
2,3_J,2o,74.97,4.02,21.01
3,7_J,2o,74.64,3.88,21.48
4,3_J,1o,74.55,4.14,21.31
5,4_J,2o,74.51,3.98,21.51
6,6_J,2o,74.37,3.88,21.75
7,7_J,1o,74.2,4.01,21.79
8,4_J,1o,74.08,4.11,21.82
9,5_J,2o,74.06,3.94,22.0
10,6_J,1o,73.93,4.02,22.05
11,5_J,1o,73.61,4.08,22.31
12,8_J,2o,73.11,3.79,23.11
13,8_J,1o,72.7,3.92,23.38
14,9_J,2o,72.7,3.72,23.58
15,T_J,2o,72.55,3.66,23.79
16,9_J,1o,72.34,3.86,23.8
17,T_J,1o,72.26,3.8,23.93
18,2_Q,2o,71.45,8.05,20.5
19,2_T,2o,71.32,0.96,27.72
20,2_T,1o,71.16,1.04,27.8
21,2_J,sdifferent,71.05,3.94,25.02
22,3_Q,2o,71.04,7.95,21.01
23,2_Q,1o,71.02,8.18,20.8
24,2_T,ssame,70.98,1.08,27.94
25,2_T,1o,70.97,1.0,28.02
26,3_T,2o,70.95,0.93,28.12
27,7_Q,2o,70.87,7.65,21.48
28,3_T,1o,70.79,1.01,28.2
29,4_Q,2o,70.63,7.86,21.51
30,3_J,sdifferent,70.61,3.91,25.48
31,4_T,2o,70.6,0.9,28.5
32,3_T,ssame,70.6,1.07,28.33
33,3_T,1o,70.6,0.99,28.41
34,3_Q,1o,70.59,8.09,21.31
35,6_Q,2o,70.57,7.69,21.75
36,5_T,2o,70.56,0.89,28.54
37,8_Q,2o,70.46,7.56,21.98
38,4_T,1o,70.43,0.98,28.59
39,7_Q,1o,70.41,7.8,21.79
40,2_9,2o,70.41,0.94,28.65
41,5_T,1o,70.39,0.97,28.63
42,9_Q,2o,70.37,7.48,22.14
43,7_J,sdifferent,70.28,3.79,25.93
44,4_T,1o,70.23,0.98,28.79
45,4_T,ssame,70.22,1.06,28.72
46,5_Q,2o,70.22,7.78,22.0
47,5_T,1o,70.19,0.98,28.83
48,4_J,sdifferent,70.18,3.88,25.94
49,5_T,ssame,70.18,1.06,28.76
50,4_Q,1o,70.17,8.01,21.82
51,2_9,1o,70.16,1.02,28.82
52,6_Q,1o,70.11,7.84,22.05
53,2_9,1o,70.06,0.98,28.97
54,8_Q,1o,70.06,7.71,22.23
55,3_9,2o,70.05,0.9,29.05
56,6_J,sdifferent,70.04,3.8,26.16
57,2_7,2o,70.03,0.93,29.03
58,9_Q,1o,70.02,7.64,22.34
59,4_9,2o,70.01,0.89,29.1
60,T_Q,2o,70.01,7.69,22.3
61,2_9,ssame,69.97,1.06,28.97
62,2_8,2o,69.8,0.92,29.28
63,3_9,1o,69.79,0.99,29.22
64,5_J,sdifferent,69.76,3.85,26.39
65,5_Q,1o,69.75,7.94,22.31
66,4_9,1o,69.75,0.97,29.27
67,3_8,2o,69.75,0.91,29.34
68,T_Q,1o,69.73,7.85,22.42
69,2_7,1o,69.68,0.97,29.35
70,3_9,1o,69.68,0.97,29.35
71,2_7,1o,69.66,1.02,29.32
72,6_T,2o,69.65,0.85,29.49
73,4_9,1o,69.63,0.96,29.4
74,3_9,ssame,69.59,1.05,29.36
75,4_9,ssame,69.55,1.05,29.4
76,2_7,ssame,69.49,1.06,29.45
77,2_8,1o,69.48,1.01,29.51
78,6_T,1o,69.47,0.93,29.59
79,2_8,1o,69.44,0.96,29.6
80,3_8,1o,69.43,0.99,29.58
81,3_8,1o,69.38,0.96,29.65
82,2_8,ssame,69.29,1.05,29.66
83,6_T,1o,69.27,0.94,29.8
84,3_8,ssame,69.24,1.05,29.71
85,6_T,ssame,69.2,1.01,29.79
86,8_J,sdifferent,68.9,3.72,27.38
87,2_6,2o,68.8,0.93,30.27
88,7_T,2o,68.76,0.86,30.37
89,3_7,2o,68.72,0.9,30.37
90,5_9,2o,68.71,0.87,30.42
91,7_T,1o,68.57,0.94,30.49
92,9_J,sdifferent,68.57,3.66,27.77
93,T_J,sdifferent,68.49,3.62,27.89
94,4_8,2o,68.45,0.88,30.67
95,5_9,1o,68.43,0.96,30.61
96,2_6,1o,68.42,0.96,30.61
97,2_6,1o,68.41,1.01,30.58
98,7_T,1o,68.36,0.95,30.7
99,3_7,1o,68.34,0.96,30.7
100,3_7,1o,68.33,0.99,30.68
101,5_9,1o,68.31,0.96,30.73
102,7_T,ssame,68.27,1.02,30.71
103,2_6,ssame,68.17,1.05,30.78
104,5_9,ssame,68.15,1.04,30.81
105,4_8,1o,68.11,0.97,30.93
106,3_7,ssame,68.08,1.05,30.87
107,4_8,1o,68.05,0.96,30.99
108,2_3,2o,67.98,1.0,31.02
109,6_9,2o,67.85,0.83,31.31
110,4_8,ssame,67.84,1.04,31.12
111,8_T,2o,67.8,0.87,31.33
112,2_4,2o,67.62,0.97,31.41
113,2_3,1o,67.59,1.04,31.37
114,2_3,1o,67.59,1.06,31.35
115,6_9,1o,67.57,0.91,31.52
116,8_T,1o,67.56,0.95,31.5
117,3_6,2o,67.49,0.9,31.61
118,6_9,1o,67.44,0.91,31.64
119,4_7,2o,67.42,0.88,31.7
