,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_K,2o,77.94,1.31,20.76
1,2_K,1o,77.55,1.36,21.09
2,3_K,2o,77.46,1.27,21.27
3,3_K,1o,77.06,1.34,21.6
4,4_K,2o,76.98,1.25,21.77
5,9_K,2o,76.57,1.18,22.24
6,4_K,1o,76.57,1.33,22.1
7,5_K,2o,76.51,1.22,22.26
8,8_K,2o,76.31,1.17,22.52
9,9_K,1o,76.12,1.28,22.61
10,6_K,2o,76.1,1.17,22.72
11,5_K,1o,76.09,1.32,22.6
12,7_K,2o,76.05,1.16,22.79
13,8_K,1o,75.85,1.27,22.88
14,6_K,1o,75.64,1.27,23.09
15,7_K,1o,75.59,1.26,23.16
16,Q_K,2o,75.15,1.12,23.73
17,J_K,2o,74.86,1.11,24.03
18,Q_K,1o,74.74,1.22,24.04
19,T_K,2o,74.57,1.1,24.33
20,J_K,1o,74.45,1.21,24.34
21,T_K,1o,74.15,1.2,24.65
22,2_K,sdifferent,73.45,1.28,25.27
23,Q_A,2o,73.35,4.41,22.24
24,9_A,2o,73.29,4.46,22.24
25,6_A,2o,73.15,4.12,22.72
26,J_A,2o,73.06,4.4,22.54
27,2_A,2o,73.04,4.71,22.25
28,8_A,2o,73.01,4.47,22.52
29,3_K,sdifferent,73.0,1.27,25.73
30,Q_A,1o,72.96,4.51,22.52
31,9_A,1o,72.82,4.57,22.61
32,T_A,2o,72.77,4.39,22.84
33,7_A,2o,72.73,4.48,22.79
34,6_A,1o,72.69,4.23,23.09
35,J_A,1o,72.67,4.5,22.83
36,3_A,2o,72.61,4.62,22.76
37,2_A,1o,72.59,4.81,22.61
38,4_K,sdifferent,72.55,1.26,26.19
39,8_A,1o,72.54,4.58,22.88
40,T_A,1o,72.37,4.5,23.13
41,7_A,1o,72.25,4.6,23.16
42,4_A,2o,72.19,4.55,23.26
43,3_A,1o,72.15,4.74,23.11
44,9_K,sdifferent,72.12,1.21,26.67
45,5_K,sdifferent,72.11,1.24,26.64
46,8_K,sdifferent,71.88,1.2,26.92
47,5_A,2o,71.76,4.49,23.76
48,6_K,sdifferent,71.71,1.2,27.09
49,4_A,1o,71.71,4.67,23.62
50,7_K,sdifferent,71.65,1.19,27.16
51,5_A,1o,71.27,4.62,24.11
52,Q_K,sdifferent,70.85,1.16,27.99
53,J_K,sdifferent,70.59,1.15,28.26
54,T_K,sdifferent,70.32,1.14,28.53
55,2_Q,2o,70.18,0.53,29.3
56,2_J,2o,69.86,0.52,29.63
57,2_Q,1o,69.84,0.61,29.55
58,3_Q,2o,69.81,0.5,29.69
59,2_Q,1o,69.79,0.57,29.64
60,2_Q,ssame,69.63,0.65,29.72
61,2_T,2o,69.54,0.5,29.95
62,2_J,1o,69.51,0.6,29.89
