,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_Q,2o,77.58,1.7,20.72
1,2_Q,1o,77.19,1.76,21.05
2,3_Q,2o,77.1,1.67,21.23
3,3_Q,1o,76.7,1.75,21.56
4,4_Q,2o,76.63,1.64,21.73
5,4_Q,1o,76.21,1.73,22.06
6,5_Q,2o,76.16,1.62,22.22
7,7_Q,2o,76.05,1.57,22.38
8,6_Q,2o,75.75,1.57,22.69
9,5_Q,1o,75.72,1.72,22.56
10,7_Q,1o,75.59,1.67,22.74
11,6_Q,1o,75.28,1.68,23.04
12,Q_K,2o,75.15,1.1,23.75
13,9_Q,2o,75.13,1.48,23.39
14,8_Q,2o,74.87,1.47,23.66
15,Q_K,1o,74.75,1.2,24.06
16,9_Q,1o,74.65,1.6,23.75
17,8_Q,1o,74.38,1.59,24.03
18,J_Q,2o,73.42,1.41,25.18
19,T_Q,2o,73.13,1.39,25.48
20,2_Q,sdifferent,73.12,1.64,25.23
21,J_Q,1o,72.99,1.53,25.49
22,T_Q,1o,72.69,1.52,25.79
23,3_Q,sdifferent,72.67,1.63,25.7
24,J_A,2o,72.32,5.49,22.19
25,4_Q,sdifferent,72.23,1.62,26.15
26,9_A,2o,72.19,5.55,22.26
27,6_A,2o,72.08,5.23,22.69
28,T_A,2o,72.03,5.48,22.49
29,7_A,2o,72.02,5.6,22.38
30,J_A,1o,71.94,5.61,22.45
31,2_A,2o,71.94,5.85,22.21
32,8_A,2o,71.9,5.57,22.54
33,5_Q,sdifferent,71.79,1.61,26.61
34,9_A,1o,71.72,5.67,22.61
35,7_Q,sdifferent,71.65,1.56,26.78
36,T_A,1o,71.64,5.6,22.76
37,6_A,1o,71.6,5.35,23.04
38,7_A,1o,71.54,5.72,22.74
39,3_A,2o,71.52,5.76,22.72
40,2_A,1o,71.47,5.96,22.56
41,8_A,1o,71.43,5.69,22.88
42,6_Q,sdifferent,71.38,1.57,27.05
43,4_A,2o,71.1,5.67,23.23
44,3_A,1o,71.04,5.89,23.07
45,Q_K,sdifferent,70.85,1.14,28.01
46,9_Q,sdifferent,70.79,1.5,27.72
47,5_A,2o,70.68,5.6,23.72
48,4_A,1o,70.61,5.81,23.58
49,8_Q,sdifferent,70.55,1.49,27.96
50,5_A,1o,70.18,5.75,24.07
51,2_J,2o,70.15,0.51,29.34
52,2_T,2o,69.83,0.5,29.67
53,2_J,1o,69.82,0.59,29.59
54,3_J,2o,69.78,0.48,29.74
55,2_J,1o,69.76,0.55,29.69
56,2_J,ssame,69.62,0.63,29.76
57,2_T,1o,69.5,0.58,29.92
58,3_T,2o,69.47,0.46,30.07
59,2_7,2o,69.46,0.49,30.05
