,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_Q,2o,76.48,2.72,20.8
1,2_Q,1o,76.08,2.79,21.13
2,3_Q,2o,76.01,2.68,21.31
3,3_Q,1o,75.59,2.77,21.64
4,8_Q,2o,75.56,2.55,21.89
5,4_Q,2o,75.54,2.64,21.82
6,7_Q,2o,75.3,2.55,22.16
7,4_Q,1o,75.11,2.75,22.15
8,8_Q,1o,75.11,2.67,22.22
9,5_Q,2o,75.08,2.61,22.31
10,6_Q,2o,75.03,2.55,22.42
11,7_Q,1o,74.84,2.66,22.49
12,5_Q,1o,74.63,2.73,22.64
13,6_Q,1o,74.58,2.66,22.76
14,9_Q,2o,74.03,2.47,23.5
15,J_Q,2o,73.82,2.41,23.78
16,9_Q,1o,73.61,2.59,23.81
17,T_Q,2o,73.52,2.4,24.09
18,J_Q,1o,73.47,2.53,24.0
19,2_K,2o,73.33,5.87,20.8
20,T_Q,1o,73.16,2.52,24.32
21,3_K,2o,72.91,5.77,21.31
22,2_K,1o,72.9,5.96,21.13
23,8_K,2o,72.64,5.47,21.89
24,4_K,2o,72.49,5.69,21.82
25,3_K,1o,72.47,5.89,21.64
26,J_K,2o,72.38,5.33,22.28
27,7_K,2o,72.35,5.49,22.16
28,9_K,2o,72.23,5.39,22.38
29,8_K,1o,72.19,5.59,22.22
30,T_K,2o,72.08,5.32,22.59
31,5_K,2o,72.07,5.62,22.31
32,6_K,2o,72.06,5.52,22.42
33,2_Q,sdifferent,72.05,2.64,25.31
34,J_K,1o,72.05,5.46,22.49
35,4_K,1o,72.04,5.81,22.15
36,7_K,1o,71.89,5.62,22.49
37,9_K,1o,71.83,5.51,22.66
38,T_K,1o,71.75,5.45,22.8
39,5_K,1o,71.61,5.75,22.64
40,3_Q,sdifferent,71.61,2.61,25.78
41,6_K,1o,71.59,5.65,22.76
42,4_Q,sdifferent,71.17,2.59,26.23
43,8_Q,sdifferent,71.16,2.52,26.32
44,7_Q,sdifferent,70.92,2.52,26.56
45,5_Q,sdifferent,70.74,2.57,26.69
46,6_Q,sdifferent,70.69,2.52,26.79
47,2_J,2o,70.62,0.73,28.65
48,2_J,1o,70.37,0.81,28.82
49,2_T,2o,70.3,0.72,28.98
50,3_J,2o,70.25,0.7,29.04
51,2_J,1o,70.24,0.77,28.98
52,2_J,ssame,70.16,0.85,28.99
53,2_T,1o,70.04,0.8,29.15
54,3_J,1o,70.0,0.78,29.22
55,3_T,2o,69.94,0.69,29.37
56,2_T,1o,69.92,0.76,29.32
57,4_J,2o,69.9,0.67,29.43
58,6_J,2o,69.88,0.61,29.5
59,3_J,1o,69.87,0.76,29.37
60,2_T,ssame,69.83,0.84,29.33
61,3_J,ssame,69.78,0.84,29.38
62,9_Q,sdifferent,69.78,2.45,27.77
63,3_T,1o,69.67,0.77,29.56
64,J_Q,sdifferent,69.64,2.41,27.95
65,4_J,1o,69.64,0.75,29.61
66,6_J,1o,69.62,0.69,29.69
67,4_T,2o,69.58,0.66,29.76
68,5_J,2o,69.55,0.65,29.8
69,5_T,2o,69.55,0.65,29.8
70,3_T,1o,69.54,0.75,29.71
71,4_J,1o,69.5,0.75,29.75
72,2_9,2o,69.48,0.71,29.82
73,6_J,1o,69.48,0.7,29.83
74,3_T,ssame,69.45,0.83,29.72
75,2_7,2o,69.41,0.7,29.88
76,4_J,ssame,69.41,0.83,29.76
77,6_J,ssame,69.39,0.78,29.83
78,2_8,2o,69.39,0.7,29.91
79,T_Q,sdifferent,69.36,2.4,28.23
80,3_8,2o,69.34,0.68,29.97
81,4_T,1o,69.31,0.74,29.94
82,5_T,1o,69.28,0.74,29.99
83,5_J,1o,69.28,0.73,29.99
84,4_T,1o,69.18,0.74,30.09
85,5_J,1o,69.13,0.74,30.13
86,5_T,1o,69.13,0.74,30.13
87,2_9,1o,69.13,0.79,30.08
88,3_9,2o,69.11,0.68,30.21
89,2_K,sdifferent,69.09,5.6,25.31
90,2_9,1o,69.08,0.75,30.17
91,4_T,ssame,69.08,0.82,30.1
92,4_9,2o,69.07,0.66,30.26
93,5_T,ssame,69.04,0.82,30.14
94,5_J,ssame,69.04,0.82,30.14
95,2_7,1o,69.02,0.74,30.23
96,2_8,1o,69.0,0.74,30.26
97,2_7,1o,69.0,0.79,30.2
98,2_8,1o,68.98,0.79,30.23
99,3_8,1o,68.95,0.74,30.31
100,3_8,1o,68.94,0.77,30.29
101,7_J,2o,68.93,0.62,30.45
102,2_9,ssame,68.91,0.83,30.25
103,2_7,ssame,68.8,0.83,30.36
104,2_8,ssame,68.78,0.83,30.39
105,3_9,1o,68.76,0.76,30.48
106,3_8,ssame,68.73,0.83,30.44
107,4_9,1o,68.72,0.75,30.54
108,3_9,1o,68.71,0.74,30.55
109,3_K,sdifferent,68.69,5.53,25.78
110,4_9,1o,68.66,0.74,30.6
111,7_J,1o,68.66,0.7,30.64
112,6_T,2o,68.62,0.6,30.78
113,3_9,ssame,68.53,0.82,30.65
114,7_J,1o,68.51,0.71,30.78
115,4_9,ssame,68.49,0.82,30.69
116,8_K,sdifferent,68.42,5.26,26.32
117,7_J,ssame,68.36,0.79,30.86
118,6_T,1o,68.34,0.68,30.98
119,4_K,sdifferent,68.3,5.46,26.23
120,J_K,sdifferent,68.28,5.15,26.57
121,6_T,1o,68.19,0.69,31.12
122,2_6,2o,68.18,0.7,31.12
123,7_K,sdifferent,68.16,5.28,26.56
124,3_7,2o,68.1,0.68,31.22
125,9_K,sdifferent,68.08,5.19,26.72
126,8_J,2o,68.05,0.63,31.32
127,4_8,2o,68.04,0.66,31.3
128,6_T,ssame,68.03,0.77,31.2
129,T_K,sdifferent,68.01,5.14,26.85
130,5_K,sdifferent,67.91,5.4,26.69
131,6_K,sdifferent,67.89,5.31,26.79
132,5_9,2o,67.77,0.64,31.58
133,2_6,1o,67.77,0.73,31.5
134,8_J,1o,67.76,0.71,31.53
135,2_6,1o,67.75,0.79,31.46
136,3_7,1o,67.68,0.73,31.58
137,2_3,2o,67.68,0.78,31.54
138,3_7,1o,67.67,0.76,31.56
139,7_T,2o,67.67,0.61,31.72
140,4_8,1o,67.61,0.75,31.64
141,4_8,1o,67.61,0.73,31.65
142,8_J,1o,67.61,0.72,31.68
143,2_6,ssame,67.48,0.82,31.7
144,8_J,ssame,67.43,0.8,31.77
145,5_9,1o,67.4,0.73,31.87
146,3_7,ssame,67.39,0.82,31.78
147,7_T,1o,67.37,0.69,31.94
148,5_9,1o,67.34,0.73,31.94
149,4_8,ssame,67.32,0.82,31.86
150,2_4,2o,67.31,0.76,31.93
151,2_3,1o,67.25,0.85,31.9
152,2_3,1o,67.25,0.82,31.92
153,7_T,1o,67.23,0.7,32.08
154,5_9,ssame,67.09,0.81,32.1
155,9_J,2o,67.09,0.64,32.27
156,7_T,ssame,67.0,0.78,32.23
157,2_5,2o,66.96,0.74,32.31
158,2_3,ssame,66.92,0.88,32.2
159,2_4,1o,66.89,0.8,32.32
160,2_4,1o,66.88,0.83,32.29
161,3_6,2o,66.87,0.67,32.46
162,6_9,2o,66.85,0.59,32.56
163,4_7,2o,66.8,0.65,32.55
164,8_T,2o,66.78,0.62,32.59
165,9_J,1o,66.75,0.72,32.53
166,5_8,2o,66.74,0.64,32.62
167,9_J,1o,66.67,0.72,32.61
168,2_4,ssame,66.54,0.87,32.59
169,2_5,1o,66.52,0.78,32.7
170,2_5,1o,66.51,0.82,32.67
171,8_T,1o,66.47,0.71,32.82
172,6_9,1o,66.46,0.68,32.87
173,9_J,ssame,66.43,0.8,32.77
174,3_6,1o,66.43,0.73,32.85
175,3_6,1o,66.42,0.76,32.83
176,2_J,sdifferent,66.41,0.73,32.86
177,6_9,1o,66.4,0.68,32.93
178,4_7,1o,66.35,0.74,32.91
179,4_7,1o,66.35,0.73,32.92
180,8_T,1o,66.32,0.71,32.97
181,5_8,1o,66.29,0.73,32.98
182,5_8,1o,66.29,0.73,32.98
183,7_9,2o,66.23,0.6,33.17
184,2_5,ssame,66.16,0.86,32.98
185,2_T,sdifferent,66.12,0.72,33.16
186,7_8,2o,66.11,0.6,33.29
187,6_9,ssame,66.08,0.76,33.16
188,3_J,sdifferent,66.08,0.72,33.2
189,3_6,ssame,66.07,0.81,33.12
190,8_T,ssame,66.07,0.79,33.14
191,T_J,2o,66.04,0.65,33.31
192,3_4,2o,66.0,0.73,33.27
193,4_7,ssame,65.99,0.81,33.2
194,5_8,ssame,65.93,0.81,33.26
195,6_8,2o,65.82,0.59,33.59
196,9_T,2o,65.82,0.63,33.55
197,7_9,1o,65.82,0.69,33.49
198,3_T,sdifferent,65.79,0.71,33.5
199,7_9,1o,65.76,0.69,33.55
200,4_J,sdifferent,65.75,0.71,33.54
201,6_J,sdifferent,65.73,0.66,33.61
202,T_J,1o,65.66,0.73,33.61
203,T_J,1o,65.66,0.73,33.61
204,3_5,2o,65.65,0.71,33.65
205,7_8,1o,65.65,0.69,33.67
206,7_8,1o,65.65,0.69,33.66
207,8_9,2o,65.63,0.61,33.75
208,4_6,2o,65.56,0.65,33.79
209,3_4,1o,65.55,0.79,33.66
210,3_4,1o,65.55,0.8,33.65
211,5_7,2o,65.5,0.64,33.86
212,4_T,sdifferent,65.46,0.7,33.84
213,9_T,1o,65.46,0.71,33.82
214,5_T,sdifferent,65.42,0.7,33.88
215,5_J,sdifferent,65.42,0.7,33.88
216,7_9,ssame,65.39,0.77,33.84
217,9_T,1o,65.38,0.71,33.91
218,6_8,1o,65.35,0.68,33.98
219,T_J,ssame,65.35,0.8,33.85
220,6_8,1o,65.35,0.68,33.97
221,2_9,sdifferent,65.31,0.71,33.98
222,8_9,1o,65.22,0.7,34.08
223,2_7,sdifferent,65.22,0.71,34.08
224,7_8,ssame,65.22,0.77,34.01
