,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_T,2o,74.42,5.39,20.19
1,2_T,1o,74.03,5.5,20.47
2,3_T,2o,73.97,5.33,20.7
3,6_T,2o,73.75,5.18,21.07
4,3_T,1o,73.56,5.46,20.98
5,4_T,2o,73.52,5.28,21.21
6,5_T,2o,73.43,5.24,21.33
7,6_T,1o,73.32,5.33,21.35
8,4_T,1o,73.09,5.42,21.48
9,5_T,1o,73.0,5.4,21.61
10,7_T,2o,72.22,5.08,22.7
11,7_T,1o,71.82,5.23,22.94
12,8_T,2o,71.81,5.0,23.19
13,9_T,2o,71.72,4.94,23.34
14,8_T,1o,71.47,5.16,23.38
15,9_T,1o,71.42,5.1,23.47
16,2_9,2o,71.41,1.19,27.39
17,2_9,1o,71.26,1.27,27.46
18,2_9,ssame,71.1,1.31,27.58
19,2_9,1o,71.09,1.23,27.67
20,3_9,2o,71.05,1.16,27.79
21,4_9,2o,71.01,1.15,27.84
22,3_9,1o,70.89,1.24,27.86
23,4_9,1o,70.85,1.23,27.92
24,3_9,1o,70.72,1.22,28.06
25,3_9,ssame,70.72,1.3,27.97
26,2_8,2o,70.72,1.17,28.11
27,4_9,ssame,70.68,1.3,28.02
28,3_8,2o,70.67,1.15,28.18
29,4_9,1o,70.67,1.22,28.11
30,2_8,1o,70.5,1.25,28.25
31,3_8,1o,70.45,1.23,28.32
32,2_7,2o,70.43,1.17,28.4
33,2_8,1o,70.39,1.21,28.4
34,3_8,1o,70.34,1.21,28.45
35,2_8,ssame,70.34,1.29,28.37
36,3_8,ssame,70.29,1.29,28.42
37,2_7,1o,70.14,1.26,28.6
38,2_7,1o,70.1,1.21,28.69
39,2_T,sdifferent,70.09,5.19,24.72
40,2_7,ssame,69.99,1.29,28.71
41,5_9,2o,69.73,1.14,29.13
42,3_T,sdifferent,69.66,5.16,25.18
43,5_9,1o,69.55,1.22,29.23
44,6_T,sdifferent,69.44,5.03,25.53
45,2_6,2o,69.41,1.17,29.42
46,5_9,1o,69.37,1.22,29.41
47,4_8,2o,69.37,1.13,29.5
48,5_9,ssame,69.3,1.3,29.4
49,4_T,sdifferent,69.24,5.12,25.64
50,5_T,sdifferent,69.15,5.09,25.76
51,4_8,1o,69.13,1.21,29.66
52,3_7,2o,69.12,1.14,29.74
53,2_J,2o,69.09,10.72,20.19
54,2_6,1o,69.06,1.21,29.73
55,2_6,1o,69.05,1.26,29.7
56,4_8,1o,69.01,1.2,29.79
57,6_9,2o,68.88,1.1,30.02
58,4_8,ssame,68.88,1.28,29.83
59,2_6,ssame,68.84,1.29,29.87
60,3_7,1o,68.81,1.23,29.96
61,3_7,1o,68.76,1.2,30.04
62,3_J,2o,68.69,10.61,20.7
63,6_9,1o,68.69,1.18,30.13
64,2_J,1o,68.64,10.88,20.47
65,6_J,2o,68.59,10.34,21.07
66,3_7,ssame,68.58,1.28,30.13
67,6_9,1o,68.5,1.18,30.32
68,6_9,ssame,68.42,1.26,30.32
69,4_J,2o,68.28,10.51,21.21
70,2_3,2o,68.27,1.23,30.5
71,5_J,2o,68.23,10.44,21.33
72,3_J,1o,68.23,10.79,20.98
73,7_J,2o,68.2,10.22,21.58
74,5_8,2o,68.14,1.12,30.74
75,6_J,1o,68.13,10.52,21.35
76,3_6,2o,68.1,1.14,30.76
77,8_J,2o,68.08,10.18,21.75
78,7_T,sdifferent,68.06,4.95,26.99
79,2_3,1o,67.91,1.27,30.82
80,2_4,2o,67.91,1.21,30.89
81,7_9,2o,67.91,1.1,30.99
82,2_3,1o,67.9,1.29,30.8
83,5_8,1o,67.88,1.2,30.92
84,2_5,2o,67.87,1.2,30.93
85,4_J,1o,67.82,10.7,21.48
86,4_7,2o,67.81,1.12,31.07
87,9_J,2o,67.81,10.34,21.85
88,7_J,1o,67.79,10.41,21.8
89,5_J,1o,67.77,10.63,21.61
90,5_8,1o,67.76,1.2,31.04
91,8_T,sdifferent,67.73,4.89,27.38
92,3_6,1o,67.72,1.2,31.08
93,8_J,1o,67.72,10.37,21.91
94,3_6,1o,67.72,1.23,31.06
95,9_T,sdifferent,67.68,4.85,27.47
96,7_9,1o,67.68,1.18,31.14
97,2_3,ssame,67.62,1.33,31.05
98,5_8,ssame,67.56,1.28,31.16
99,7_9,1o,67.55,1.18,31.27
100,2_4,1o,67.54,1.25,31.22
101,2_4,1o,67.53,1.28,31.19
102,9_J,1o,67.51,10.54,21.96
103,2_5,1o,67.5,1.24,31.27
104,4_7,1o,67.49,1.2,31.31
105,2_5,1o,67.48,1.28,31.24
106,3_6,ssame,67.43,1.28,31.29
107,4_7,1o,67.43,1.19,31.38
108,7_9,ssame,67.41,1.26,31.33
109,6_8,2o,67.33,1.08,31.59
110,2_4,ssame,67.24,1.32,31.44
111,2_9,sdifferent,67.22,1.16,31.62
112,2_5,ssame,67.2,1.32,31.48
113,4_7,ssame,67.18,1.27,31.55
114,8_9,2o,67.16,1.11,31.73
115,6_8,1o,67.06,1.16,31.78
116,6_8,1o,66.93,1.16,31.91
117,8_9,1o,66.89,1.19,31.92
118,3_9,sdifferent,66.88,1.15,31.96
119,5_7,2o,66.86,1.11,32.03
120,4_9,sdifferent,66.84,1.15,32.01
121,8_9,1o,66.83,1.19,31.98
122,4_6,2o,66.79,1.12,32.09
123,5_6,2o,66.76,1.11,32.13
124,6_8,ssame,66.72,1.24,32.04
125,8_9,ssame,66.63,1.27,32.11
126,3_4,2o,66.6,1.18,32.23
127,3_5,2o,66.56,1.17,32.27
128,2_8,sdifferent,66.54,1.14,32.32
129,5_7,1o,66.52,1.19,32.29
130,3_8,sdifferent,66.5,1.14,32.36
131,5_7,1o,66.46,1.19,32.35
132,4_6,1o,66.39,1.19,32.42
133,4_6,1o,66.39,1.2,32.41
134,7_8,2o,66.36,1.08,32.56
135,5_6,1o,66.36,1.2,32.45
136,5_6,1o,66.35,1.19,32.45
137,6_7,2o,66.31,1.07,32.62
138,2_7,sdifferent,66.24,1.14,32.62
139,3_4,1o,66.2,1.25,32.55
140,3_4,1o,66.2,1.24,32.56
141,3_5,1o,66.16,1.23,32.61
142,3_5,1o,66.15,1.25,32.6
143,5_7,ssame,66.14,1.27,32.58
144,7_8,1o,66.04,1.16,32.79
145,4_6,ssame,66.03,1.27,32.7
146,5_6,ssame,65.99,1.27,32.74
147,7_8,1o,65.98,1.16,32.86
148,6_7,1o,65.96,1.15,32.89
149,6_7,1o,65.89,1.15,32.96
150,3_4,ssame,65.83,1.31,32.86
151,3_5,ssame,65.79,1.31,32.9
152,7_8,ssame,65.71,1.24,33.05
153,5_9,sdifferent,65.66,1.15,33.19
