,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_T,2o,75.77,3.51,20.72
1,2_T,1o,75.35,3.6,21.05
2,3_T,2o,75.3,3.46,21.24
3,3_T,1o,74.86,3.57,21.56
4,4_T,2o,74.83,3.43,21.74
5,5_T,2o,74.73,3.41,21.86
6,4_T,1o,74.38,3.55,22.06
7,5_T,1o,74.27,3.54,22.18
8,6_T,2o,73.59,3.25,23.16
9,T_Q,2o,73.4,2.78,23.82
10,6_T,1o,73.12,3.4,23.48
11,T_Q,1o,73.04,2.91,24.05
12,8_T,2o,72.68,3.14,24.17
13,7_T,2o,72.42,3.14,24.44
14,8_T,1o,72.19,3.31,24.5
15,T_J,2o,71.95,2.67,25.37
16,7_T,1o,71.92,3.31,24.78
17,T_J,1o,71.58,2.82,25.6
18,2_T,sdifferent,71.4,3.36,25.24
19,9_T,2o,71.15,3.06,25.79
20,3_T,sdifferent,70.96,3.34,25.7
21,9_T,1o,70.68,3.23,26.09
22,4_T,sdifferent,70.52,3.32,26.16
23,5_T,sdifferent,70.41,3.31,26.27
24,2_9,2o,70.0,0.69,29.31
25,2_9,1o,69.7,0.78,29.53
26,3_9,2o,69.64,0.66,29.7
27,2_9,1o,69.62,0.73,29.65
28,2_7,2o,69.61,0.69,29.7
29,4_9,2o,69.6,0.65,29.75
30,2_8,2o,69.59,0.69,29.73
31,3_8,2o,69.54,0.67,29.79
32,2_9,ssame,69.49,0.82,29.69
33,6_T,sdifferent,69.35,3.18,27.47
34,3_9,1o,69.33,0.74,29.93
35,4_9,1o,69.29,0.73,29.98
36,3_9,1o,69.24,0.72,30.03
37,2_7,1o,69.24,0.78,29.98
38,T_Q,sdifferent,69.24,2.75,28.0
39,2_7,1o,69.22,0.73,30.05
40,2_8,1o,69.22,0.77,30.01
41,2_8,1o,69.2,0.73,30.07
42,4_9,1o,69.2,0.72,30.08
43,3_8,1o,69.17,0.75,30.07
44,3_8,1o,69.15,0.73,30.12
45,3_9,ssame,69.11,0.8,30.08
46,4_9,ssame,69.07,0.8,30.13
47,2_K,2o,69.07,10.21,20.72
48,2_7,ssame,69.04,0.81,30.14
49,2_8,ssame,69.02,0.81,30.17
50,3_8,ssame,68.97,0.81,30.22
51,8_K,2o,68.67,9.72,21.6
52,3_K,2o,68.66,10.1,21.24
53,2_K,1o,68.59,10.36,21.05
54,2_6,2o,68.54,0.69,30.76
55,8_T,sdifferent,68.49,3.1,28.41
56,9_K,2o,68.4,9.88,21.73
57,7_K,2o,68.37,9.76,21.87
