,vs_Hand,type,Equity_%,Draws_%,Loses_%
0,2_T,2o,75.07,4.47,20.46
1,2_T,1o,74.67,4.57,20.76
2,3_T,2o,74.61,4.42,20.97
3,3_T,1o,74.19,4.54,21.27
4,4_T,2o,74.15,4.37,21.47
5,5_T,2o,74.06,4.35,21.59
6,4_T,1o,73.71,4.51,21.77
7,5_T,1o,73.61,4.49,21.9
8,7_T,2o,73.2,4.17,22.63
9,6_T,2o,72.93,4.18,22.89
10,7_T,1o,72.74,4.33,22.93
11,6_T,1o,72.46,4.34,23.2
12,T_J,2o,72.43,3.64,23.94
13,T_J,1o,72.14,3.78,24.08
14,8_T,2o,71.67,4.08,24.25
15,9_T,2o,71.26,4.01,24.73
16,8_T,1o,71.24,4.25,24.52
17,9_T,1o,70.88,4.18,24.94
18,2_T,sdifferent,70.72,4.3,24.98
19,2_9,2o,70.7,0.93,28.37
20,2_9,1o,70.47,1.01,28.52
21,2_9,1o,70.35,0.97,28.68
22,3_9,2o,70.34,0.9,28.77
23,4_9,2o,70.3,0.88,28.82
24,2_9,ssame,70.29,1.05,28.66
25,3_T,sdifferent,70.29,4.27,25.44
26,3_9,1o,70.1,0.98,28.92
27,4_9,1o,70.06,0.97,28.97
28,2_8,2o,70.04,0.92,29.05
29,3_8,2o,69.99,0.9,29.11
30,2_7,2o,69.99,0.93,29.08
31,3_9,1o,69.97,0.96,29.07
32,4_9,1o,69.93,0.96,29.11
33,3_9,ssame,69.91,1.04,29.05
34,4_9,ssame,69.87,1.04,29.09
35,4_T,sdifferent,69.86,4.24,25.9
36,5_T,sdifferent,69.76,4.23,26.02
37,2_8,1o,69.74,1.0,29.26
38,3_8,1o,69.69,0.98,29.33
39,2_8,1o,69.68,0.96,29.37
40,2_7,1o,69.64,0.96,29.4
41,2_7,1o,69.64,1.01,29.35
42,3_8,1o,69.62,0.96,29.42
43,2_8,ssame,69.56,1.04,29.4
44,3_8,ssame,69.51,1.04,29.45
45,2_7,ssame,69.47,1.05,29.48
46,2_Q,2o,69.11,10.43,20.46
47,5_9,2o,69.01,0.88,30.11
48,7_T,sdifferent,68.95,4.08,26.97
49,2_J,2o,68.85,0.96,30.19
50,2_6,2o,68.76,0.92,30.32
51,5_9,1o,68.76,0.96,30.28
52,6_T,sdifferent,68.71,4.08,27.21
53,3_Q,2o,68.71,10.32,20.97
54,4_8,2o,68.68,0.88,30.44
55,3_7,2o,68.68,0.9,30.42
56,2_Q,1o,68.65,10.58,20.76
57,5_9,1o,68.62,0.96,30.42
58,2_J,1o,68.55,1.04,30.41
59,7_Q,2o,68.51,9.99,21.5
60,5_9,ssame,68.49,1.04,30.47
61,3_J,2o,68.48,0.93,30.59
62,2_J,1o,68.45,1.0,30.55
63,2_6,1o,68.38,1.0,30.61
64,8_Q,2o,68.38,9.94,21.68
65,2_6,1o,68.38,0.96,30.66
66,4_8,1o,68.37,0.96,30.68
67,T_J,sdifferent,68.37,3.6,28.03
68,3_7,1o,68.31,0.98,30.71
69,4_Q,2o,68.31,10.22,21.47
70,2_J,ssame,68.31,1.08,30.61
71,3_7,1o,68.3,0.96,30.74
72,6_J,2o,68.3,0.85,30.85
73,4_8,1o,68.29,0.95,30.76
74,5_Q,2o,68.26,10.15,21.59
75,3_Q,1o,68.24,10.49,21.27
76,6_Q,2o,68.2,10.04,21.76
77,3_J,1o,68.18,1.01,30.81
78,2_6,ssame,68.14,1.04,30.82
79,4_J,2o,68.13,0.9,30.97
80,9_Q,2o,68.1,10.11,21.79
81,4_8,ssame,68.1,1.03,30.87
82,5_J,2o,68.09,0.89,31.01
83,3_J,1o,68.07,0.99,30.94
84,2_3,2o,68.07,0.99,30.94
85,3_7,ssame,68.06,1.04,30.9
86,7_Q,1o,68.05,10.17,21.79
87,6_J,1o,67.99,0.93,31.08
88,8_Q,1o,67.97,10.12,21.91
89,6_9,2o,67.96,0.83,31.21
90,3_J,ssame,67.93,1.07,31.0
91,6_J,1o,67.89,0.94,31.18
92,4_Q,1o,67.83,10.4,21.77
93,4_J,1o,67.82,0.98,31.2
94,5_J,1o,67.78,0.97,31.24
95,5_Q,1o,67.77,10.33,21.9
96,9_Q,1o,67.75,10.28,21.96
97,6_J,ssame,67.75,1.01,31.23
98,6_Q,1o,67.73,10.21,22.05
99,2_4,2o,67.71,0.96,31.33
100,4_J,1o,67.7,0.98,31.32
101,6_9,1o,67.68,0.91,31.41
102,2_3,1o,67.68,1.05,31.27
103,2_3,1o,67.68,1.03,31.29
104,2_5,2o,67.67,0.96,31.38
105,5_J,1o,67.66,0.98,31.36
106,8_T,sdifferent,67.57,4.0,28.43
107,4_J,ssame,67.56,1.06,31.38
108,6_9,1o,67.55,0.91,31.54
109,5_J,ssame,67.52,1.06,31.42
110,5_8,2o,67.45,0.87,31.68
111,3_6,2o,67.45,0.89,31.66
112,7_J,2o,67.41,0.86,31.73
113,4_7,2o,67.38,0.87,31.74
114,6_9,ssame,67.38,0.99,31.63
115,2_3,ssame,67.37,1.09,31.54
116,2_4,1o,67.31,1.0,31.69
117,2_4,1o,67.3,1.04,31.66
118,2_5,1o,67.27,1.0,31.73
119,2_5,1o,67.26,1.04,31.7
120,9_T,sdifferent,67.24,3.95,28.81
121,5_8,1o,67.12,0.95,31.93
122,7_9,2o,67.11,0.84,32.05
123,7_J,1o,67.09,0.94,31.97
124,3_6,1o,67.05,0.97,31.97
125,5_8,1o,67.04,0.95,32.01
126,3_6,1o,67.04,0.95,32.01
127,2_4,ssame,66.99,1.08,31.93
128,7_J,1o,66.98,0.95,32.08
129,4_7,1o,66.98,0.96,32.06
130,4_7,1o,66.97,0.95,32.08
131,2_5,ssame,66.95,1.08,31.98
132,7_J,ssame,66.82,1.02,32.15
133,7_9,1o,66.82,0.92,32.27
134,5_8,ssame,66.78,1.03,32.19
135,3_6,ssame,66.73,1.03,32.24
136,7_9,1o,66.68,0.92,32.4
137,4_7,ssame,66.66,1.03,32.31
138,2_9,sdifferent,66.52,0.92,32.57
139,7_9,ssame,66.5,1.0,32.5
140,8_J,2o,66.48,0.87,32.65
141,5_7,2o,66.43,0.87,32.71
142,3_4,2o,66.4,0.93,32.67
143,6_8,2o,66.4,0.82,32.78
144,3_5,2o,66.36,0.93,32.72
145,3_9,sdifferent,66.18,0.91,32.92
146,8_9,2o,66.18,0.84,32.98
147,4_6,2o,66.15,0.87,32.99
148,4_9,sdifferent,66.14,0.9,32.96
149,8_J,1o,66.12,0.95,32.94
150,8_J,1o,66.07,0.95,32.97
151,6_8,1o,66.03,0.9,33.07
152,5_7,1o,66.02,0.95,33.03
153,5_7,1o,66.0,0.95,33.06
154,3_4,1o,65.97,1.01,33.02
155,6_8,1o,65.97,0.9,33.13
156,3_4,1o,65.97,0.99,33.03
157,3_5,1o,65.93,1.01,33.06
158,3_5,1o,65.93,0.99,33.08
159,2_8,sdifferent,65.87,0.91,33.23
160,8_J,ssame,65.85,1.03,33.12
161,8_9,1o,65.84,0.92,33.24
162,3_8,sdifferent,65.82,0.9,33.28
163,7_8,2o,65.8,0.83,33.37
164,2_7,sdifferent,65.79,0.91,33.3
165,8_9,1o,65.77,0.92,33.31
166,4_6,1o,65.73,0.95,33.32
167,4_6,1o,65.71,0.94,33.35
168,6_8,ssame,65.67,0.98,33.35
169,5_7,ssame,65.62,1.03,33.35
170,3_4,ssame,65.58,1.07,33.35
171,9_J,2o,65.57,0.88,33.56
172,3_5,ssame,65.54,1.07,33.4
173,8_9,ssame,65.52,1.0,33.48
174,7_8,1o,65.43,0.91,33.66
175,6_7,2o,65.37,0.82,33.81
176,7_8,1o,65.36,0.91,33.73
177,4_6,ssame,65.33,1.02,33.65
178,5_6,2o,65.19,0.86,33.95
179,9_J,1o,65.19,0.95,33.86
180,9_J,1o,65.16,0.95,33.88
181,2_Q,sdifferent,65.1,9.92,24.98
182,7_8,ssame,65.05,0.99,33.96
183,4_5,2o,65.05,0.9,34.04
184,5_9,sdifferent,64.96,0.9,34.14
185,6_7,1o,64.93,0.9,34.17
186,6_7,1o,64.93,0.9,34.17
187,9_J,ssame,64.9,1.03,34.07
188,5_6,1o,64.76,0.94,34.3
189,5_6,1o,64.74,0.94,34.32
190,3_Q,sdifferent,64.73,9.83,25.44
191,2_J,sdifferent,64.72,0.95,34.34
192,2_6,sdifferent,64.65,0.91,34.44
193,4_8,sdifferent,64.62,0.9,34.49
194,4_5,1o,64.6,0.99,34.41
195,4_5,1o,64.6,0.98,34.42
196,3_7,sdifferent,64.58,0.9,34.52
197,7_Q,sdifferent,64.54,9.53,25.93
198,6_7,ssame,64.52,0.98,34.51
199,8_Q,sdifferent,64.46,9.49,26.04
200,3_J,sdifferent,64.38,0.93,34.69
201,4_Q,sdifferent,64.35,9.75,25.9
202,5_Q,sdifferent,64.3,9.68,26.02
203,5_6,ssame,64.29,1.02,34.69
204,6_Q,sdifferent,64.26,9.58,26.16
205,9_Q,sdifferent,64.25,9.66,26.09
206,6_J,sdifferent,64.21,0.89,34.9
207,4_5,ssame,64.14,1.06,34.81
208,4_J,sdifferent,64.05,0.92,35.03
209,2_3,sdifferent,64.02,0.97,35.01
210,5_J,sdifferent,64.01,0.92,35.06
211,6_9,sdifferent,63.98,0.86,35.16
212,2_4,sdifferent,63.68,0.95,35.37
213,2_5,sdifferent,63.64,0.94,35.42
214,5_8,sdifferent,63.48,0.89,35.62
215,3_6,sdifferent,63.45,0.9,35.66
216,7_J,sdifferent,63.39,0.89,35.71
217,4_7,sdifferent,63.38,0.89,35.73
218,7_9,sdifferent,63.19,0.87,35.94
219,8_J,sdifferent,62.53,0.9,36.57
220,6_8,sdifferent,62.5,0.85,36.65
221,5_7,sdifferent,62.5,0.89,36.61
222,3_4,sdifferent,62.47,0.94,36.59
223,3_5,sdifferent,62.43,0.93,36.64
224,8_9,sdifferent,62.32,0.87,36.8
225,4_6,sdifferent,62.24,0.89,36.87
226,7_8,sdifferent,61.95,0.86,37.19
227,9_J,sdifferent,61.68,0.9,37.41
228,6_7,sdifferent,61.52,0.85,37.63
229,5_6,sdifferent,61.37,0.89,37.75
230,4_5,sdifferent,61.23,0.92,37.85
231,2_K,2o,55.75,2.08,42.17
232,3_K,2o,55.59,2.05,42.37
