type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_2,0,273408,317153,44132,109272,87137,39138,2246,2064,44,30903,806807,51.08,1.8,47.12
1o,2_3,62100,454380,323242,64318,109159,89433,38220,2221,2064,44,34941,532182,66.88,2.04,31.08
1o,2_4,62100,449911,321071,64131,107438,89433,38220,2221,2064,44,34543,541128,66.38,2.02,31.6
1o,2_5,62100,449911,320378,64131,107438,89433,38220,2221,2064,44,34406,541958,66.34,2.01,31.65
1o,2_6,79200,471884,318551,64776,98248,89461,38216,2221,2064,44,33793,513846,68.02,1.97,30.01
1o,2_7,171900,542440,257975,52036,85386,90441,20556,1256,2064,44,135599,352607,71.49,7.92,20.59
1o,2_8,97200,454625,300837,65421,89288,89489,37522,2221,2064,44,33724,539869,66.5,1.97,31.53
1o,2_9,97200,454277,300540,65421,89288,89489,37522,2221,2064,44,34057,540181,66.46,1.99,31.55
1o,2_T,137700,345436,198914,33904,77400,90441,20127,990,2064,44,452661,352623,52.97,26.44,20.59
1o,2_J,0,281933,258899,53800,97713,89461,36836,1980,2064,44,53652,835922,48.05,3.13,48.82
1o,2_Q,0,254854,262087,53041,101777,89433,36840,1980,2064,44,40827,869357,46.84,2.38,50.77
1o,2_K,0,241630,262087,52614,107438,89433,36840,1980,2064,44,26323,891851,46.38,1.54,52.08
1o,2_A,0,237519,261259,52427,109159,89433,36840,1980,2064,44,8848,912731,46.18,0.52,53.3
1o,2_3,62100,454380,323242,64318,109455,89433,38220,2221,2021,44,35279,531591,66.89,2.06,31.05
1o,3_3,0,269848,310374,43945,105452,87137,39090,2246,2021,44,25707,826440,50.23,1.5,48.26
1o,3_4,62100,437361,311103,62913,106115,89433,38220,2221,2021,44,34414,566359,64.91,2.01,33.08
1o,3_5,62100,437361,310410,62913,106115,89433,38220,2221,2021,44,34277,567189,64.87,2.0,33.12
1o,3_6,79200,459334,308583,63558,96925,89461,38216,2221,2021,44,33664,539077,66.55,1.97,31.48
1o,3_7,162900,528959,254118,51603,85386,90441,20556,1256,2021,44,133407,381613,69.92,7.79,22.29
1o,3_8,97200,454074,299973,65421,87810,89489,37522,2221,2021,44,33712,542817,66.33,1.97,31.7
1o,3_9,97200,450327,298297,65234,87863,89489,37522,2221,2021,44,33884,548202,66.01,1.98,32.02
1o,3_T,137700,341325,197280,33717,75975,90441,20127,990,2021,44,450634,362050,52.54,26.32,21.14
1o,3_J,0,277983,257520,53613,96288,89461,36836,1980,2021,44,53479,843079,47.64,3.12,49.24
1o,3_Q,0,250904,260708,52854,100352,89433,36840,1980,2021,44,40654,876514,46.44,2.37,51.19
1o,3_K,0,237680,260708,52427,106013,89433,36840,1980,2021,44,26150,899008,45.97,1.53,52.5
1o,3_A,0,233569,259880,52240,107734,89433,36840,1980,2021,44,8675,919888,45.77,0.51,53.72
1o,2_4,62100,449895,320999,64131,108030,89475,38220,2221,1978,44,35106,540105,66.41,2.05,31.54
1o,3_4,62100,437345,311103,62913,106411,89475,38220,2221,1978,44,34639,565855,64.93,2.02,33.05
1o,4_4,0,267000,304135,43758,101632,87179,39042,2246,1978,44,21164,844126,49.47,1.24,49.3
1o,4_5,62100,425346,300550,61695,104792,89475,38220,2221,1978,44,34148,591735,63.45,1.99,34.56
1o,4_6,79200,447319,298723,62340,95602,89503,38216,2221,1978,44,33535,563623,65.13,1.96,32.92
1o,4_7,153900,515478,250369,51170,85386,90483,20556,1256,1978,44,131215,410469,68.37,7.66,23.97
1o,4_8,97200,444734,290527,64203,86487,89531,37522,2221,1978,44,33583,564274,65.08,1.96,32.95
