type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_2,0,280528,338339,44319,62607,88138,39234,2390,86,990,11100,844573,50.03,0.65,49.32
1o,2_3,78300,476300,333481,66589,64187,90462,38316,2349,86,990,10426,550818,67.22,0.61,32.17
1o,2_4,75600,473484,332689,66589,64187,90462,38316,2349,86,990,9975,557577,66.85,0.58,32.56
1o,2_5,72900,470668,331996,66589,64187,90462,38316,2349,86,990,9608,564153,66.49,0.56,32.95
1o,2_6,72900,487864,341885,67994,60145,90462,38316,2349,86,990,9110,540203,67.92,0.53,31.55
1o,2_7,81900,494450,341244,68177,64085,90462,38316,2349,86,990,8903,521342,69.03,0.52,30.45
1o,2_8,84600,492085,339469,67990,62364,90462,38316,2349,86,990,8743,524850,68.84,0.51,30.65
1o,2_9,87300,494901,339172,67990,62364,90462,38316,2349,86,990,8958,519416,69.14,0.52,30.33
1o,2_T,103500,504472,334713,68078,51046,90490,38312,2349,86,990,9043,509225,69.73,0.53,29.74
1o,2_J,191700,577946,328343,57730,45261,91470,20676,1400,86,990,36995,359707,76.83,2.16,21.01
1o,2_Q,102600,468993,320144,68265,52997,90490,37622,2349,86,990,9386,558382,66.84,0.55,32.61
1o,2_K,99000,470823,321523,68452,54718,90490,37622,2349,86,990,9552,556699,66.93,0.56,32.51
1o,2_A,178200,552086,244412,48930,53772,91470,20247,990,86,990,135463,385658,69.57,7.91,22.52
1o,2_3,78300,476300,333481,66589,64187,90420,38316,2349,86,990,10789,550497,67.22,0.63,32.15
1o,3_3,0,279104,328619,44319,62607,88096,39186,2390,86,990,10143,856764,49.37,0.59,50.04
1o,3_4,70200,460048,329213,66032,64187,90420,38316,2349,86,990,9827,580636,65.52,0.57,33.91
1o,3_5,67500,457232,328520,66032,64187,90420,38316,2349,86,990,9460,587212,65.15,0.55,34.29
1o,3_6,67500,474428,338409,67437,60145,90420,38316,2349,86,990,8962,563262,66.58,0.52,32.89
1o,3_7,76500,481014,337768,67620,64085,90420,38316,2349,86,990,8755,544401,67.7,0.51,31.79
1o,3_8,84600,492085,338605,67990,62364,90420,38316,2349,86,990,8730,525769,68.78,0.51,30.71
1o,3_9,84600,492085,338308,67990,62364,90420,38316,2349,86,990,8757,526039,68.77,0.51,30.72
1o,3_T,100800,501656,333849,68078,51046,90448,38312,2349,86,990,8842,515848,69.36,0.52,30.13
1o,3_J,188100,575360,326075,57730,45261,91428,20676,1400,86,990,36776,368422,76.34,2.15,21.52
1o,3_Q,99900,466177,319280,68265,52997,90448,37622,2349,86,990,9185,565005,66.47,0.54,33.0
1o,3_K,96300,468007,320659,68452,54718,90448,37622,2349,86,990,9351,563322,66.56,0.55,32.9
1o,3_A,174600,549500,243404,48930,53772,91428,20247,990,86,990,133984,394373,69.14,7.82,23.03
1o,2_4,75600,473484,332617,66589,64187,90378,38316,2349,86,990,10588,557120,66.85,0.62,32.54
1o,3_4,70200,460048,329213,66032,64187,90378,38316,2349,86,990,10077,580428,65.51,0.59,33.9
1o,4_4,0,277680,319979,44319,62607,88054,39138,2390,86,990,9299,867762,48.78,0.54,50.68
1o,4_5,62100,443796,325152,65475,64187,90378,38316,2349,86,990,9312,610163,63.82,0.54,35.63
1o,4_6,62100,460992,335041,66880,60145,90378,38316,2349,86,990,8814,586213,65.25,0.51,34.24
1o,4_7,71100,467578,334400,67063,64085,90378,38316,2349,86,990,8607,567352,66.36,0.5,33.13
1o,4_8,79200,478649,335237,67433,62364,90378,38316,2349,86,990,8582,548720,67.45,0.5,32.05
1o,4_9,84600,492085,337552,67990,62364,90378,38316,2349,86,990,8744,526850,68.72,0.51,30.77
1o,4_T,98100,498840,333093,68078,51046,90406,38312,2349,86,990,8641,522363,68.99,0.5,30.51
1o,4_J,184500,572774,323915,57730,45261,91386,20676,1400,86,990,36557,377029,75.85,2.13,22.02
1o,4_Q,97200,463361,318524,68265,52997,90406,37622,2349,86,990,8984,571520,66.1,0.52,33.38
1o,4_K,93600,465191,319903,68452,54718,90406,37622,2349,86,990,9150,569837,66.19,0.53,33.28
1o,4_A,171000,546914,242396,48930,53772,91386,20247,990,86,990,132613,402980,68.72,7.74,23.53
1o,2_5,72900,470668,331861,66589,64187,90336,38316,2349,86,990,10387,563635,66.48,0.61,32.92
1o,3_5,67500,457232,328457,66032,64187,90336,38316,2349,86,990,9876,586943,65.15,0.58,34.28
1o,4_5,62100,443796,325152,65475,64187,90336,38316,2349,86,990,9478,610039,63.82,0.55,35.63
1o,5_5,0,276256,312419,44319,62607,88012,39090,2390,86,990,8539,877596,48.25,0.5,51.25
1o,5_6,56700,447556,331781,66323,60145,90336,38316,2349,86,990,8666,609056,63.92,0.51,35.57
1o,5_7,65700,454142,331140,66506,64085,90336,38316,2349,86,990,8459,590195,65.04,0.49,34.47
1o,5_8,73800,465213,331977,66876,62364,90336,38316,2349,86,990,8434,571563,66.13,0.49,33.38
1o,5_9,79200,478649,334292,67433,62364,90336,38316,2349,86,990,8596,549693,67.4,0.5,32.1
1o,5_T,98100,498840,332445,68078,51046,90364,38312,2349,86,990,8628,523066,68.95,0.5,30.55
1o,5_J,180900,570188,321863,57730,45261,91344,20676,1400,86,990,36338,385528,75.36,2.12,22.52
1o,5_Q,94500,460545,317876,68265,52997,90364,37622,2349,86,990,8783,577927,65.74,0.51,33.75
1o,5_K,90900,462375,319255,68452,54718,90364,37622,2349,86,990,8949,576244,65.82,0.52,33.65
1o,5_A,167400,544328,241388,48930,53772,91344,20247,990,86,990,131350,411479,68.3,7.67,24.03
1o,2_6,72900,487864,341696,67994,60145,90336,38316,2349,86,990,10000,539628,67.9,0.58,31.51
1o,3_6,67500,474428,338292,67437,60145,90336,38316,2349,86,990,9489,562936,66.57,0.55,32.88
1o,4_6,62100,460992,334987,66880,60145,90336,38316,2349,86,990,9091,586032,65.24,0.53,34.22
1o,5_6,56700,447556,331781,66323,60145,90336,38316,2349,86,990,8777,608945,63.92,0.51,35.56
1o,6_6,0,280528,307318,44506,59341,88012,39042,2390,86,990,7924,882167,48.02,0.46,51.52
1o,6_7,60300,450372,330746,66323,58424,90336,38316,2349,86,990,7939,606123,64.14,0.46,35.4
1o,6_8,65700,459339,331583,66693,56703,90336,38316,2349,86,990,7914,592295,64.95,0.46,34.59
1o,6_9,71100,472775,333898,67250,56703,90336,38316,2349,86,990,8076,570425,66.22,0.47,33.31
1o,6_T,89100,492966,332051,67895,45385,90364,38312,2349,86,990,8108,544698,67.72,0.47,31.81
1o,6_J,180900,575011,321121,57917,39600,91344,20676,1400,86,990,35800,387459,75.28,2.09,22.63
1o,6_Q,94500,465742,318715,68452,47336,90364,37622,2349,86,990,8263,577885,65.77,0.48,33.75
1o,6_K,90900,467572,320094,68639,49057,90364,37622,2349,86,990,8429,576202,65.86,0.49,33.65
1o,6_A,180900,560395,242140,49363,53772,91344,20247,990,86,990,124620,387457,70.09,7.28,22.63
1o,2_7,81900,494450,341010,68177,64085,90336,38316,2349,86,990,9784,520821,69.01,0.57,30.42
1o,3_7,76500,481014,337606,67620,64085,90336,38316,2349,86,990,9273,544129,67.68,0.54,31.78
1o,4_7,71100,467578,334301,67063,64085,90336,38316,2349,86,990,8875,567225,66.36,0.52,33.13
1o,5_7,65700,454142,331095,66506,64085,90336,38316,2349,86,990,8561,590138,65.04,0.5,34.46
1o,6_7,60300,450372,330746,66323,58720,90336,38316,2349,86,990,7946,605820,64.16,0.46,35.38
1o,7_7,0,276968,300539,44319,62607,88012,38994,2390,86,990,7523,889876,47.59,0.44,51.97
1o,7_8,65700,446789,322047,65475,62466,90336,38316,2349,86,990,7742,610008,63.92,0.45,35.62
1o,7_9,71100,460225,324362,66032,62466,90336,38316,2349,86,990,7904,588138,65.19,0.46,34.35
1o,7_T,89100,480416,322515,66677,51148,90364,38312,2349,86,990,7936,562411,66.69,0.46,32.85
1o,7_J,171900,561530,317120,57484,46686,91344,20676,1400,86,990,34141,408947,74.12,1.99,23.88
1o,7_Q,94500,465191,318283,68452,52944,90364,37622,2349,86,990,8208,573315,66.04,0.48,33.48
1o,7_K,90900,463622,318283,68452,54718,90364,37622,2349,86,990,8213,576705,65.84,0.48,33.68
1o,7_A,180900,556284,239930,49176,52347,91344,20247,990,86,990,130644,389366,69.63,7.63,22.74
1o,2_8,84600,492069,339199,67990,62660,90420,38316,2349,43,990,9570,524098,68.83,0.56,30.61
1o,3_8,84600,492069,338407,67990,62660,90420,38316,2349,43,990,9236,525224,68.79,0.54,30.67
1o,4_8,79200,478633,335102,67433,62660,90420,38316,2349,43,990,8838,548320,67.46,0.52,32.02
1o,5_8,73800,465197,331896,66876,62660,90420,38316,2349,43,990,8524,571233,66.14,0.5,33.36
1o,6_8,65700,459323,331547,66693,57295,90420,38316,2349,43,990,7909,591719,64.98,0.46,34.56
1o,7_8,65700,446773,322047,65475,62762,90420,38316,2349,43,990,7772,609657,63.94,0.45,35.6
1o,8_8,0,275544,294840,44132,58787,88096,38946,2390,43,990,7375,901161,46.94,0.43,52.63
1o,8_9,73800,451026,314934,64814,61143,90420,38316,2349,43,990,7964,606505,64.11,0.47,35.42
1o,8_T,91800,471217,313087,65459,49825,90448,38312,2349,43,990,7996,580778,65.62,0.47,33.92
1o,8_J,166500,550635,313227,57051,46686,91428,20676,1400,43,990,32714,430954,72.92,1.91,25.17
1o,8_Q,97200,458667,309269,67234,51621,90448,37622,2349,43,990,8268,588593,65.14,0.48,34.37
