type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2o,2_2,0,286180,332797,44215,31464,106717,39130,2390,1032,44,11599,856736,49.29,0.68,50.03
2o,2_3,195585,558300,313874,55991,30982,120425,20673,1400,1032,44,33566,380432,75.82,1.96,22.22
2o,2_4,100005,457632,295187,66575,35635,118513,37522,2349,1032,44,10512,587298,65.09,0.61,34.3
2o,2_5,97350,454856,294395,66575,35635,118513,37522,2349,1032,44,10146,593887,64.72,0.59,34.68
2o,2_6,94695,448426,313896,66646,40831,118368,37526,2349,1032,44,9529,578962,65.63,0.56,33.81
2o,2_7,92040,456120,318324,67895,45038,118368,37526,2349,1032,44,9268,564300,66.5,0.54,32.96
2o,2_8,89385,453866,317829,67895,40302,118368,37526,2349,1032,44,9014,574694,65.91,0.53,33.56
2o,2_9,89385,453866,317433,67895,47232,118368,37526,2349,1032,44,9041,568133,66.29,0.53,33.18
2o,2_T,92040,452108,315779,67710,45297,118368,37526,2349,1032,44,9082,570969,66.12,0.53,33.35
2o,2_J,94695,454884,315581,67710,45297,118368,37526,2349,1032,44,9300,565518,66.43,0.54,33.03
2o,2_Q,97350,457660,315482,67710,45297,118368,37526,2349,1032,44,9518,559968,66.74,0.56,32.7
2o,2_K,100005,460436,315482,67710,45297,118368,37526,2349,1032,44,9736,554319,67.06,0.57,32.37
2o,2_A,0,184802,162368,26836,35321,120425,20004,990,1032,44,805169,355313,32.23,47.02,20.75
2o,3_3,0,223360,194796,30340,38145,118529,16290,1441,1032,44,32692,1055635,36.44,1.91,61.65
2o,3_4,183195,542496,298803,55561,30982,120425,20664,1400,1032,44,30534,427168,73.27,1.78,24.95
2o,3_5,179655,539949,298011,55561,30982,120425,20664,1400,1032,44,30150,434431,72.87,1.76,25.37
2o,3_6,176115,555714,306659,56995,7815,120401,20667,1400,1032,44,25210,440252,72.82,1.47,25.71
2o,3_7,172575,553167,306065,56995,38607,120401,20667,1400,1032,44,25247,416104,74.22,1.47,24.3
2o,3_8,177885,563877,307705,57425,38607,120401,20667,1400,1032,44,26857,396404,75.28,1.57,23.15
2o,3_9,177885,563877,307309,57425,38607,120401,20667,1400,1032,44,33796,389861,75.26,1.97,22.77
2o,3_T,181425,561714,305831,57240,36672,120401,20667,1400,1032,44,33819,392059,75.13,1.98,22.9
2o,3_J,184965,564261,305633,57240,36672,120401,20667,1400,1032,44,34019,385970,75.47,1.99,22.54
2o,3_Q,188505,566808,305534,57240,36672,120401,20667,1400,1032,44,34219,379782,75.82,2.0,22.18
2o,3_K,192045,569355,305534,57240,36672,120401,20667,1400,1032,44,34419,373495,76.18,2.01,21.81
2o,3_A,0,0,0,0,0,121481,0,0,1032,44,1552986,36761,7.16,90.7,2.15
2o,4_4,0,145184,224106,44030,27442,106727,33478,2389,1032,44,9391,1118481,34.13,0.55,65.32
2o,4_5,92040,396056,268617,64819,34109,118517,36832,2349,1032,44,9293,688596,59.24,0.54,40.21
2o,4_6,89385,389626,288217,64890,39305,118372,36836,2349,1032,44,8676,673572,60.16,0.51,39.34
2o,4_7,86730,397320,292645,66139,43512,118372,36836,2349,1032,44,8415,658910,61.03,0.49,38.48
2o,4_8,84075,401524,300275,67342,40302,118368,36836,2349,1032,44,8291,651866,61.45,0.48,38.07
2o,4_9,92925,412436,301103,67710,45526,118368,36836,2349,1032,44,8310,625665,62.98,0.49,36.54
2o,4_T,92925,407902,299449,67525,43591,118368,36836,2349,1032,44,8122,634161,62.49,0.47,37.04
2o,4_J,95580,410678,299251,67525,43591,118368,36836,2349,1032,44,8340,628710,62.8,0.49,36.72
2o,4_Q,98235,413454,299152,67525,43591,118368,36836,2349,1032,44,8558,623160,63.11,0.5,36.39
2o,4_K,100890,416230,299152,67525,43591,118368,36836,2349,1032,44,8776,617511,63.42,0.51,36.06
2o,4_A,0,122150,133083,26651,33615,120425,18927,990,1032,44,799286,456101,26.68,46.68,26.64
2o,5_5,0,144486,214602,44030,27442,106727,33454,2389,1032,44,8467,1129631,33.53,0.49,65.97
2o,5_6,84075,377478,284943,64337,39305,118372,36836,2349,1032,44,8371,695162,58.91,0.49,40.6
2o,5_7,81420,385172,289371,65586,43512,118372,36836,2349,1032,44,8110,680500,59.78,0.47,39.74
2o,5_8,78765,389376,297001,66789,40302,118368,36836,2349,1032,44,7986,673456,60.2,0.47,39.33
2o,5_9,87615,400288,297829,67157,45526,118368,36836,2349,1032,44,8005,647255,61.73,0.47,37.8
2o,5_T,92925,407902,298756,67525,43591,118368,36836,2349,1032,44,7985,634991,62.45,0.47,37.08
2o,5_J,92925,407902,298558,67525,43591,118368,36836,2349,1032,44,7974,635200,62.44,0.47,37.1
2o,5_Q,95580,410678,298459,67525,43591,118368,36836,2349,1032,44,8192,629650,62.75,0.48,36.77
2o,5_K,98235,398964,298459,67098,43591,118368,36836,2349,1032,44,23327,624001,62.2,1.36,36.44
2o,5_A,0,121452,133083,26651,33615,120425,18927,990,1032,44,706230,549855,26.64,41.24,32.11
2o,6_6,0,138902,209653,43845,47286,106414,33438,2389,1032,44,7383,1121918,34.05,0.43,65.52
2o,6_7,67260,365244,289840,64943,41817,118344,36840,2349,1032,44,7456,717135,57.68,0.44,41.88
2o,6_8,64605,369448,297470,66146,38607,118340,36840,2349,1032,44,7332,710091,58.1,0.43,41.47
2o,6_9,69915,378282,298298,66514,50105,118340,36840,2349,1032,44,7351,683234,59.67,0.43,39.9
2o,6_T,75225,385896,299225,66882,48170,118340,36840,2349,1032,44,7331,670970,60.39,0.43,39.19
2o,6_J,80535,398044,301608,67435,48170,118340,36840,2349,1032,44,7488,650419,61.58,0.44,37.99
