type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2o,2_2,0,256864,298046,42920,149322,103737,39114,2174,3827,0,40415,775885,52.33,2.36,45.31
2o,2_3,60180,407362,306940,59432,152250,115589,38196,2157,3827,0,76417,489954,66.92,4.46,28.61
2o,2_4,60180,402142,301311,59154,143183,115617,38192,2157,3827,0,76064,510477,65.75,4.44,29.81
2o,2_5,65490,409070,297788,59429,134116,115645,38188,2157,3827,0,75930,510664,65.74,4.43,29.82
2o,2_6,82305,433707,296675,60196,125049,115673,38184,2157,3827,0,76731,477800,67.61,4.48,27.9
2o,2_7,157530,447590,224131,44223,130098,117650,20496,1184,3827,0,226190,339385,66.97,13.21,19.82
2o,2_8,117705,314765,191704,32755,123168,117650,20127,990,3827,0,450215,339398,53.89,26.29,19.82
2o,2_9,0,280488,247184,52817,125454,115673,36804,1980,3827,0,80354,767723,50.47,4.69,44.84
2o,2_T,0,251058,249468,51932,134521,115645,36808,1980,3827,0,53017,814048,49.36,3.1,47.54
2o,2_J,0,230622,251752,51413,142005,115617,36812,1980,3827,0,36342,841934,48.71,2.12,49.17
2o,2_Q,0,227308,254855,51506,139782,115589,36816,1980,3827,0,16337,864304,48.57,0.95,50.48
2o,2_K,0,227308,254855,51506,145320,115589,36816,1980,3827,0,12004,863099,48.89,0.7,50.41
2o,2_A,0,220680,252679,51136,152250,115589,36816,1980,3827,0,8054,869293,48.76,0.47,50.77
2o,3_3,0,256864,294806,42920,149322,103737,39066,2174,3827,0,33075,786513,52.14,1.93,45.93
2o,3_4,60180,392552,295908,58090,143183,115617,38192,2157,3827,0,75730,526868,64.81,4.42,30.77
2o,3_5,65490,396166,291566,58180,134116,115645,38188,2157,3827,0,75596,531373,64.55,4.41,31.03
2o,3_6,82305,420105,290453,58947,125049,115673,38184,2157,3827,0,76397,499207,66.38,4.46,29.15
2o,3_7,157530,447590,222826,44223,130098,117650,20496,1184,3827,0,225010,341870,66.89,13.14,19.97
2o,3_8,117705,314765,191290,32755,123168,117650,20127,990,3827,0,448144,341883,53.86,26.17,19.97
2o,3_9,0,280488,247184,52817,125454,115673,36804,1980,3827,0,80020,768057,50.47,4.67,44.86
2o,3_T,0,251058,249468,51932,134521,115645,36808,1980,3827,0,52683,814382,49.36,3.08,47.56
2o,3_J,0,230622,251752,51413,142005,115617,36812,1980,3827,0,36008,842268,48.71,2.1,49.19
2o,3_Q,0,227308,254855,51506,139782,115589,36816,1980,3827,0,16003,864638,48.57,0.93,50.5
2o,3_K,0,227308,254855,51506,145320,115589,36816,1980,3827,0,11670,863433,48.89,0.68,50.43
2o,3_A,0,220680,252679,51136,152250,115589,36816,1980,3827,0,7720,869627,48.76,0.45,50.79
2o,4_4,0,260354,289412,43105,127535,104040,39010,2174,3827,0,26507,816340,50.78,1.55,47.67
2o,4_5,65490,398776,274887,58109,125751,115786,38184,2157,3827,0,75277,554060,63.25,4.4,32.36
