type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2o,2_2,0,281992,333480,44400,42465,107196,39186,2354,215,44,15045,845927,49.72,0.88,49.4
2o,2_3,71685,476576,334393,67252,42465,119160,38268,2317,215,44,13407,546522,67.3,0.78,31.92
2o,2_4,71685,472218,332244,67067,40759,119160,38268,2317,215,44,13010,555317,66.81,0.76,32.43
2o,2_5,74340,469938,330194,66882,39053,119160,38268,2317,215,44,12697,559196,66.6,0.74,32.66
2o,2_6,86730,483626,330689,67250,37347,119160,38268,2317,215,44,12088,534570,68.07,0.71,31.22
2o,2_7,95580,494538,331418,67618,35641,119160,38268,2317,215,44,12034,515471,69.19,0.7,30.1
2o,2_8,186735,577134,306447,57855,14745,121221,20646,1364,215,44,62568,363330,75.13,3.65,21.22
2o,2_9,95580,448766,314138,67433,35870,119160,37578,2317,215,44,11952,579251,65.47,0.7,33.83
2o,2_T,96465,447370,313841,67433,35641,119160,37578,2317,215,44,11940,580300,65.41,0.7,33.89
2o,2_J,92925,449128,315000,67618,37347,119160,37578,2317,215,44,12105,578867,65.49,0.71,33.81
2o,2_Q,89385,451584,316258,67803,38355,119160,37578,2317,215,44,12270,577335,65.57,0.72,33.72
2o,2_K,174345,412676,206535,37055,27720,121221,20157,990,215,44,348016,363330,58.46,20.32,21.22
2o,2_A,0,303210,261538,54810,40759,119160,36888,1980,215,44,41891,851809,47.81,2.45,49.75
2o,3_3,0,281992,324840,44400,42465,107196,39138,2354,215,44,13105,856555,49.21,0.77,50.02
2o,3_4,66375,463384,330228,66699,40759,119160,38268,2317,215,44,12676,572179,65.84,0.74,33.42
2o,3_5,66375,459026,328178,66514,39053,119160,38268,2317,215,44,12363,580791,65.36,0.72,33.92
