type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2o,2_2,0,262448,316098,43290,121539,104613,39174,2282,2881,44,24476,795459,52.12,1.43,46.46
2o,2_3,55755,435275,319171,64373,123735,116493,38256,2253,2881,44,23386,530682,67.64,1.37,30.99
2o,2_4,55755,435275,318379,64373,123735,116493,38256,2253,2881,44,23165,531695,67.6,1.35,31.05
2o,2_5,55755,430917,316329,64188,122029,116493,38256,2253,2881,44,22852,540307,67.11,1.33,31.55
2o,2_6,64605,446885,318181,64741,122029,116493,38256,2253,2881,44,22419,513517,68.7,1.31,29.99
2o,2_7,77880,465769,316654,65384,112962,116521,38252,2253,2881,44,22409,491295,70.0,1.31,28.69
2o,2_8,86730,474775,313428,65659,103895,116549,38248,2253,2881,44,22387,485455,70.34,1.31,28.35
2o,2_9,163725,535026,266874,53860,100191,118554,20586,1292,2881,44,98986,350285,73.76,5.78,20.46
2o,2_T,99120,452282,295325,65873,94828,116577,37554,2253,2881,44,23091,522476,68.14,1.35,30.51
2o,2_J,163725,451207,213468,40057,99306,118554,20187,990,2881,44,251601,350284,64.85,14.69,20.46
2o,2_Q,0,341874,253372,56145,105777,116549,36868,1980,2881,44,45384,751430,53.47,2.65,43.88
2o,2_K,0,304878,255656,54345,114146,116521,36872,1980,2881,44,43561,781420,51.82,2.54,45.64
2o,2_A,0,258358,256583,52604,118197,116493,36876,1980,2881,44,39781,828507,49.29,2.32,48.39
2o,3_3,0,261052,309618,43290,121539,104613,39126,2282,2881,44,19918,807941,51.65,1.16,47.18
2o,3_4,50445,422083,315006,63820,123735,116493,38256,2253,2881,44,22663,554625,66.29,1.32,32.39
2o,3_5,50445,417725,312956,63635,122029,116493,38256,2253,2881,44,22350,563237,65.8,1.31,32.89
2o,3_6,59295,433693,314808,64188,122029,116493,38256,2253,2881,44,21917,536447,67.39,1.28,31.33
2o,3_7,72570,452577,313281,64831,112962,116521,38252,2253,2881,44,21907,514225,68.69,1.28,30.03
2o,3_8,86730,474775,312636,65659,103895,116549,38248,2253,2881,44,22053,486581,70.3,1.29,28.42
2o,3_9,160185,532479,265155,53860,100191,118554,20586,1292,2881,44,97991,359086,73.31,5.72,20.97
2o,3_T,96465,449506,294533,65873,94828,116577,37554,2253,2881,44,22528,529262,67.77,1.32,30.91
2o,3_J,160185,448660,212778,40057,99306,118554,20187,990,2881,44,249577,359085,64.45,14.58,20.97
2o,3_Q,0,339098,253372,56145,105777,116549,36868,1980,2881,44,44821,754769,53.3,2.62,44.08
2o,3_K,0,302102,255656,54345,114146,116521,36872,1980,2881,44,42998,784759,51.66,2.51,45.83
2o,3_A,0,256272,256583,52604,118197,116493,36876,1980,2881,44,38528,831846,49.17,2.25,48.58
2o,4_4,0,261052,303813,43290,121539,104613,39078,2282,2881,44,16449,817263,51.31,0.96,47.73
2o,4_5,45135,408891,311039,63267,122029,116493,38256,2253,2881,44,22129,579887,64.84,1.29,33.87
2o,4_6,53985,424859,312891,63820,122029,116493,38256,2253,2881,44,21696,553097,66.43,1.27,32.3
2o,4_7,64605,441665,311364,64463,112962,116521,38252,2253,2881,44,21686,535608,67.45,1.27,31.28
2o,4_8,77880,463863,310719,65291,103895,116549,38248,2253,2881,44,21832,508849,69.01,1.28,29.72
2o,4_9,160185,532479,263535,53860,100191,118554,20586,1292,2881,44,97338,361359,73.21,5.68,21.1
2o,4_T,96465,449506,293840,65873,94828,116577,37554,2253,2881,44,22307,530176,67.73,1.3,30.96
2o,4_J,160185,448660,212088,40057,99306,118554,20187,990,2881,44,247994,361358,64.41,14.48,21.1
2o,4_Q,0,339098,253372,56145,105777,116549,36868,1980,2881,44,44600,754990,53.3,2.6,44.09
2o,4_K,0,302102,255656,54345,114146,116521,36872,1980,2881,44,42777,784980,51.66,2.5,45.84
2o,4_A,0,256272,256583,52604,118197,116493,36876,1980,2881,44,38307,832067,49.17,2.24,48.59
2o,5_5,0,257562,297326,43105,117517,104623,39030,2282,2881,44,13201,834733,50.48,0.77,48.75
2o,5_6,53985,412659,303356,62617,120503,116497,38256,2253,2881,44,21429,577824,65.0,1.25,33.75
2o,5_7,64605,429465,301829,63260,111436,116525,38252,2253,2881,44,21419,560335,66.03,1.25,32.72
2o,5_8,77880,451663,301184,64088,102369,116553,38248,2253,2881,44,21565,533576,67.58,1.26,31.16
2o,5_9,151335,519222,259879,53430,100191,118554,20586,1292,2881,44,94887,390003,71.68,5.54,22.78
2o,5_T,96465,448984,293246,65873,93061,116577,37554,2253,2881,44,22170,533196,67.57,1.29,31.14
2o,5_J,160185,444648,210217,39872,97600,118554,20187,990,2881,44,246418,370708,63.96,14.39,21.65
2o,5_Q,0,335262,252015,55960,104071,116549,36868,1980,2881,44,44287,762387,52.89,2.59,44.52
2o,5_K,0,298266,254299,54160,112440,116521,36872,1980,2881,44,42464,792377,51.24,2.48,46.28
2o,5_A,0,252436,255226,52419,116491,116493,36876,1980,2881,44,37994,839464,48.76,2.22,49.03
2o,6_6,0,258958,292871,43105,117517,104623,38982,2282,2881,44,10397,840644,50.3,0.61,49.09
2o,6_7,68145,422651,296723,62196,111436,116525,38252,2253,2881,44,20683,570515,65.47,1.21,33.32
2o,6_8,81420,441535,295259,62839,102369,116553,38248,2253,2881,44,20829,548074,66.78,1.22,32.01
2o,6_9,155760,521769,258457,53430,100191,118554,20586,1292,2881,44,93719,385621,72.01,5.47,22.52
2o,6_T,100005,438158,287321,64624,93061,116577,37554,2253,2881,44,21434,548392,66.72,1.25,32.03
2o,6_J,164610,447195,209527,39872,97600,118554,20187,990,2881,44,244518,366326,64.33,14.28,21.39
2o,6_Q,0,338038,252015,55960,104071,116549,36868,1980,2881,44,43551,760347,53.05,2.54,44.4
2o,6_K,0,301042,254299,54160,112440,116521,36872,1980,2881,44,41728,790337,51.41,2.44,46.16
2o,6_A,0,230100,257402,51691,116491,116493,36876,1980,2881,44,75784,822562,47.54,4.43,48.04
2o,7_7,0,264542,286667,43290,95730,104926,38926,2282,2881,44,8687,864329,49.02,0.51,50.48
2o,7_8,84075,447443,278877,62768,94004,116694,38244,2253,2881,44,20914,564107,65.83,1.22,32.94
2o,7_9,159300,510714,248599,52181,92566,118578,20583,1292,2881,44,92007,413559,70.47,5.37,24.15
2o,7_T,102660,444066,271092,64553,84696,116718,37550,2253,2881,44,21519,564272,65.79,1.26,32.95
2o,7_J,180540,445854,200863,38746,89975,118578,20184,990,2881,44,244068,369581,64.16,14.25,21.58
2o,7_Q,0,341498,252018,55867,94717,116573,36864,1980,2881,44,47935,761927,52.7,2.8,44.5
2o,7_K,0,233778,250380,51505,103373,116549,36868,1980,2881,44,115411,799535,46.57,6.74,46.69
2o,7_A,0,228370,253483,51598,107424,116521,36872,1980,2881,44,6480,906651,46.67,0.38,52.95
2o,8_8,0,273616,281822,43660,73943,105229,38870,2282,2881,44,7559,882398,48.03,0.44,51.53
2o,8_9,171690,508904,239668,51177,84941,118602,20580,1292,2881,44,90679,421846,70.07,5.3,24.64
2o,8_T,105315,449974,254962,64621,76331,116859,37546,2253,2881,44,21625,579893,64.87,1.26,33.87
2o,8_J,197355,440594,192403,37497,82350,118602,20181,990,2881,44,247813,371594,63.83,14.47,21.7
2o,8_Q,0,242154,236397,51665,86352,116714,36860,1980,2881,44,154431,782826,45.26,9.02,45.72
2o,8_K,0,236412,251202,51597,94195,116573,36864,1980,2881,44,10605,909951,46.24,0.62,53.14
2o,8_A,0,230828,250383,51690,98357,116549,36868,1980,2881,44,6552,916172,46.11,0.38,53.51
2o,9_9,0,214286,144099,29970,98805,116718,16182,1321,2881,44,33565,1054433,36.46,1.96,61.58
2o,9_T,201780,518525,228958,50295,75381,118626,20568,1292,2881,44,84330,409624,71.15,4.92,23.92
2o,9_J,0,0,0,0,0,119634,0,0,2881,44,1552530,37215,7.16,90.67,2.17
2o,9_Q,0,111680,140667,25402,84941,118602,19503,990,2881,44,64484,1143110,29.48,3.77,66.76
2o,9_K,0,122150,148143,26651,92566,118578,19506,990,2881,44,48227,1132568,31.04,2.82,66.14
2o,9_A,0,131922,155619,27900,100191,118554,19509,990,2881,44,31359,1123335,32.56,1.83,65.6
2o,T_T,0,140996,175520,44030,52156,105532,33354,2281,2881,44,6672,1148838,32.52,0.39,67.09
2o,T_J,0,97720,128518,23968,76660,118626,19101,990,2881,44,176697,1067099,27.36,10.32,62.32
2o,T_Q,0,192892,198287,50530,78228,116859,36166,1980,2881,44,14964,1019473,39.59,0.87,59.54
2o,T_K,0,190282,213500,50462,86071,116718,36170,1980,2881,44,10713,1003483,40.77,0.63,58.6
2o,T_A,0,188886,229121,50533,90621,116577,36174,1980,2881,44,6758,988729,41.86,0.39,57.74
2o,J_J,0,0,0,29970,97920,116718,8004,990,2881,44,36948,1418829,14.98,2.16,82.86
2o,J_Q,0,111680,137175,25402,85106,118602,19104,990,2881,44,63306,1148014,29.26,3.7,67.04
2o,J_K,0,122150,144510,26651,86457,118578,19107,990,2881,44,47349,1143587,30.45,2.77,66.79
2o,J_A,0,131922,151596,27900,68514,118554,19110,990,2881,44,30700,1160093,30.46,1.79,67.75
2o,Q_Q,0,0,56490,43845,78317,105219,27524,1978,2881,44,6073,1389933,18.47,0.35,81.17
2o,Q_K,0,152164,202405,50555,96322,116690,35484,1980,2881,44,10983,1042796,38.46,0.64,60.9
2o,Q_A,0,150768,217867,50626,100872,116549,35488,1980,2881,44,7028,1028201,39.54,0.41,60.05
2o,K_K,0,0,59718,43475,99406,104916,27532,1978,2881,44,6087,1366267,19.85,0.36,79.79
2o,K_A,0,147278,220970,50719,104923,116521,35492,1980,2881,44,7149,1024347,39.76,0.42,59.82
2o,A_A,0,0,62946,43290,116001,104613,27540,1978,2881,44,5641,1347370,20.98,0.33,78.69
