type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2o,2_2,0,263844,321174,43290,115307,104654,39210,2318,1892,990,19704,799921,52.13,1.15,46.72
2o,2_3,58410,439776,323167,65227,117503,116534,38292,2285,1892,990,17119,531109,67.98,1.0,31.02
2o,2_4,55755,437000,322375,65227,117503,116534,38292,2285,1892,990,16669,537782,67.62,0.97,31.41
2o,2_5,53100,434224,321682,65227,117503,116534,38292,2285,1892,990,16303,544272,67.26,0.95,31.79
2o,2_6,61065,450192,323534,65780,117503,116534,38292,2285,1892,990,15870,518367,68.8,0.93,30.27
2o,2_7,66375,463384,325620,66333,117503,116534,38292,2285,1892,990,15992,497104,70.03,0.93,29.03
2o,2_8,71685,466998,321611,66423,108436,116562,38288,2285,1892,990,15835,501299,69.8,0.92,29.28
2o,2_9,82305,478780,318484,66698,99369,116590,38284,2285,1892,990,16052,490575,70.41,0.94,28.65
2o,2_T,98235,492992,314783,66912,88191,116618,38280,2285,1892,990,16468,474658,71.32,0.96,27.72
2o,2_J,166380,542457,283440,55704,100191,118595,20616,1328,1892,990,69771,350940,75.43,4.07,20.5
2o,2_Q,166380,527967,238089,48140,100191,118595,20247,990,1892,990,137884,350939,71.45,8.05,20.5
2o,2_K,0,400420,254623,60966,99369,116590,36904,1980,1892,990,29234,709336,56.87,1.71,41.43
2o,2_A,0,359548,254731,57820,108436,116562,36908,1980,1892,990,28458,744979,54.83,1.66,43.51
2o,3_3,0,262448,313614,43290,115307,104654,39162,2318,1892,990,16226,812403,51.61,0.95,47.45
2o,3_4,50445,423808,319002,64674,117503,116534,38292,2285,1892,990,16167,560712,66.31,0.94,32.75
2o,3_5,47790,421032,318309,64674,117503,116534,38292,2285,1892,990,15801,567202,65.95,0.92,33.13
2o,3_6,55755,437000,320161,65227,117503,116534,38292,2285,1892,990,15368,541297,67.49,0.9,31.61
2o,3_7,61065,450192,322247,65780,117503,116534,38292,2285,1892,990,15490,520034,68.72,0.9,30.37
2o,3_8,71685,466998,320819,66423,108436,116562,38288,2285,1892,990,15501,502425,69.75,0.91,29.34
2o,3_9,79650,476004,317692,66698,99369,116590,38284,2285,1892,990,15489,497361,70.05,0.9,29.05
2o,3_T,95580,490216,313991,66912,88191,116618,38280,2285,1892,990,15905,481444,70.95,0.93,28.12
2o,3_J,162840,539910,281583,55704,100191,118595,20616,1328,1892,990,68914,359741,74.97,4.02,21.01
2o,3_Q,162840,525420,237123,48140,100191,118595,20247,990,1892,990,136136,359740,71.04,7.95,21.01
2o,3_K,0,397644,254623,60966,99369,116590,36904,1980,1892,990,28671,712675,56.7,1.67,41.62
2o,3_A,0,356772,254731,57820,108436,116562,36908,1980,1892,990,27895,748318,54.67,1.63,43.7
2o,4_4,0,261052,306864,43290,115307,104654,39114,2318,1892,990,13244,823579,51.13,0.77,48.1
2o,4_5,42480,407840,315035,64121,117503,116534,38292,2285,1892,990,15412,589920,64.65,0.9,34.45
2o,4_6,50445,423808,316887,64674,117503,116534,38292,2285,1892,990,14979,564015,66.19,0.87,32.94
2o,4_7,55755,437000,318973,65227,117503,116534,38292,2285,1892,990,15101,542752,67.42,0.88,31.7
2o,4_8,66375,453806,317545,65870,108436,116562,38288,2285,1892,990,15112,525143,68.45,0.88,30.67
2o,4_9,79650,476004,316999,66698,99369,116590,38284,2285,1892,990,15268,498275,70.01,0.89,29.1
2o,4_T,92925,487440,313298,66912,88191,116618,38280,2285,1892,990,15455,488018,70.6,0.9,28.5
2o,4_J,159300,537363,279825,55704,100191,118595,20616,1328,1892,990,68170,368330,74.51,3.98,21.51
2o,4_Q,159300,522873,236157,48140,100191,118595,20247,990,1892,990,134600,368329,70.63,7.86,21.51
2o,4_K,0,394868,254623,60966,99369,116590,36904,1980,1892,990,28221,715901,56.54,1.65,41.81
2o,4_A,0,353996,254731,57820,108436,116562,36908,1980,1892,990,27445,751544,54.51,1.6,43.89
2o,5_5,0,259656,300924,43290,115307,104654,39066,2318,1892,990,10700,833507,50.7,0.62,48.68
2o,5_6,45135,410616,313712,64121,117503,116534,38292,2285,1892,990,14674,586550,64.89,0.86,34.26
2o,5_7,50445,423808,315798,64674,117503,116534,38292,2285,1892,990,14796,565287,66.12,0.86,33.01
2o,5_8,61065,440614,314370,65317,108436,116562,38288,2285,1892,990,14807,547678,67.15,0.86,31.98
2o,5_9,74340,462812,313824,66145,99369,116590,38284,2285,1892,990,14963,520810,68.71,0.87,30.42
2o,5_T,92925,487440,312704,66912,88191,116618,38280,2285,1892,990,15318,488749,70.56,0.89,28.54
2o,5_J,155760,534816,278166,55704,100191,118595,20616,1328,1892,990,67510,376736,74.06,3.94,22.0
2o,5_Q,155760,520326,235191,48140,100191,118595,20247,990,1892,990,133247,376735,70.22,7.78,22.0
2o,5_K,0,392092,254623,60966,99369,116590,36904,1980,1892,990,27855,719043,56.38,1.63,41.99
2o,5_A,0,351220,254731,57820,108436,116562,36908,1980,1892,990,27079,754686,54.34,1.58,44.07
2o,6_6,0,261052,295794,43290,115307,104654,39018,2318,1892,990,8571,839418,50.48,0.5,49.02
2o,6_7,53985,426584,315303,64674,117503,116534,38292,2285,1892,990,14060,560202,66.46,0.82,32.72
2o,6_8,59295,434556,312651,64949,108436,116562,38288,2285,1892,990,14071,558329,66.57,0.82,32.61
2o,6_9,69915,454676,312105,65777,99369,116590,38284,2285,1892,990,14227,536194,67.85,0.83,31.31
2o,6_T,87615,479304,310985,66544,88191,116618,38280,2285,1892,990,14582,505018,69.65,0.85,29.49
2o,6_J,160185,537363,276606,55704,100191,118595,20616,1328,1892,990,66480,372354,74.37,3.88,21.75
2o,6_Q,160185,522873,234225,48140,100191,118595,20247,990,1892,990,131623,372353,70.57,7.69,21.75
2o,6_K,0,394868,254623,60966,99369,116590,36904,1980,1892,990,27119,717003,56.54,1.58,41.87
2o,6_A,0,366144,256907,58373,108436,116562,36908,1980,1892,990,26511,737601,55.38,1.55,43.08
2o,7_7,0,262448,291474,43290,115307,104654,38970,2318,1892,990,7665,843296,50.3,0.45,49.25
2o,7_8,61950,427742,307644,63885,108436,116562,38288,2285,1892,990,14254,568376,65.97,0.83,33.19
2o,7_9,72570,444548,306279,64528,99369,116590,38284,2285,1892,990,14410,550559,67.01,0.84,32.15
2o,7_T,90270,468478,305159,65295,88191,116618,38280,2285,1892,990,14765,520081,68.76,0.86,30.37
2o,7_J,163725,539910,275145,55704,100191,118595,20616,1328,1892,990,66369,367839,74.64,3.88,21.48
2o,7_Q,163725,525420,233259,48140,100191,118595,20247,990,1892,990,131017,367838,70.87,7.65,21.48
2o,7_K,0,397644,254623,60966,99369,116590,36904,1980,1892,990,27302,714044,56.7,1.59,41.7
