type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2o,2_2,0,277804,334402,43845,47019,106456,39258,2390,43,990,10775,849322,49.77,0.63,49.6
2o,2_3,82305,470946,327740,65864,48541,118386,38340,2349,43,990,10112,546688,67.48,0.59,31.93
2o,2_4,79650,468170,326948,65864,48541,118386,38340,2349,43,990,9662,553361,67.12,0.56,32.32
2o,2_5,76995,465394,326255,65864,48541,118386,38340,2349,43,990,9296,559851,66.76,0.54,32.7
2o,2_6,74340,479352,335959,67252,44843,118382,38340,2349,43,990,8595,541859,67.85,0.5,31.65
2o,2_7,80535,487488,336688,67620,50067,118382,38340,2349,43,990,8354,521448,69.06,0.49,30.45
2o,2_8,80535,487488,336292,67620,50067,118382,38340,2349,43,990,8329,521869,69.04,0.49,30.48
2o,2_9,83190,490264,335995,67620,50067,118382,38340,2349,43,990,8543,516521,69.34,0.5,30.17
2o,2_T,94695,497688,331646,67710,38889,118410,38336,2349,43,990,8628,512920,69.54,0.5,29.95
2o,2_J,97350,500464,331646,67710,38889,118410,38336,2349,43,990,8846,507271,69.86,0.52,29.63
2o,2_Q,100005,503240,331646,67710,38889,118410,38336,2349,43,990,9064,501622,70.18,0.53,29.3
2o,2_K,195585,571902,322409,57240,43831,120443,20676,1400,43,990,22385,355400,77.94,1.31,20.76
2o,2_A,182310,560808,269210,56995,38607,120443,20307,990,43,990,80633,380968,73.04,4.71,22.25
2o,3_3,0,276408,324682,43845,47019,106456,39210,2390,43,990,9457,861804,49.12,0.55,50.33
2o,3_4,74340,454978,323575,65311,48541,118386,38340,2349,43,990,9160,576291,65.81,0.53,33.66
2o,3_5,71685,452202,322882,65311,48541,118386,38340,2349,43,990,8794,582781,65.45,0.51,34.03
2o,3_6,69030,466160,332586,66699,44843,118382,38340,2349,43,990,8093,564789,66.54,0.47,32.98
2o,3_7,75225,474296,333315,67067,50067,118382,38340,2349,43,990,7852,544378,67.75,0.46,31.79
2o,3_8,80535,487488,335500,67620,50067,118382,38340,2349,43,990,7995,522995,68.99,0.47,30.54
2o,3_9,80535,487488,335203,67620,50067,118382,38340,2349,43,990,7980,523307,68.97,0.47,30.56
2o,3_T,92040,494912,330854,67710,38889,118410,38336,2349,43,990,8065,519706,69.18,0.47,30.35
2o,3_J,94695,497688,330854,67710,38889,118410,38336,2349,43,990,8283,514057,69.49,0.48,30.02
2o,3_Q,97350,500464,330854,67710,38889,118410,38336,2349,43,990,8501,508408,69.81,0.5,29.69
2o,3_K,192045,569355,320276,57240,43831,120443,20676,1400,43,990,21804,364201,77.46,1.27,21.27
2o,3_A,178770,558261,267968,56995,38607,120443,20307,990,43,990,79161,389769,72.61,4.62,22.76
2o,4_4,0,275012,316042,43845,47019,106456,39162,2390,43,990,8365,872980,48.53,0.49,50.98
2o,4_5,66375,439010,319608,64758,48541,118386,38340,2349,43,990,8405,605499,64.15,0.49,35.36
2o,4_6,63720,452968,329312,66146,44843,118382,38340,2349,43,990,7704,587507,65.24,0.45,34.31
2o,4_7,69915,461104,330041,66514,50067,118382,38340,2349,43,990,7463,567096,66.45,0.44,33.12
2o,4_8,75225,474296,332226,67067,50067,118382,38340,2349,43,990,7606,545713,67.69,0.44,31.87
2o,4_9,80535,487488,334510,67620,50067,118382,38340,2349,43,990,7759,524221,68.93,0.45,30.61
2o,4_T,89385,492136,330161,67710,38889,118410,38336,2349,43,990,7615,526280,68.82,0.44,30.74
2o,4_J,92040,494912,330161,67710,38889,118410,38336,2349,43,990,7833,520631,69.14,0.46,30.41
2o,4_Q,94695,497688,330161,67710,38889,118410,38336,2349,43,990,8051,514982,69.45,0.47,30.08
2o,4_K,188505,566808,318242,57240,43831,120443,20676,1400,43,990,21336,372790,76.98,1.25,21.77
2o,4_A,175230,555714,266726,56995,38607,120443,20307,990,43,990,77901,398358,72.19,4.55,23.26
2o,5_5,0,273616,308482,43845,47019,106456,39114,2390,43,990,7441,882908,48.0,0.43,51.56
2o,5_6,58410,439776,326137,65593,44843,118382,38340,2349,43,990,7399,610042,63.94,0.43,35.63
2o,5_7,64605,447912,326866,65961,50067,118382,38340,2349,43,990,7158,589631,65.15,0.42,34.43
2o,5_8,69915,461104,329051,66514,50067,118382,38340,2349,43,990,7301,568248,66.39,0.43,33.19
2o,5_9,75225,474296,331335,67067,50067,118382,38340,2349,43,990,7454,546756,67.63,0.44,31.93
2o,5_T,89385,492136,329567,67710,38889,118410,38336,2349,43,990,7478,527011,68.79,0.44,30.78
2o,5_J,89385,492136,329567,67710,38889,118410,38336,2349,43,990,7467,527022,68.79,0.44,30.78
2o,5_Q,92040,494912,329567,67710,38889,118410,38336,2349,43,990,7685,521373,69.1,0.45,30.45
2o,5_K,184965,564261,316307,57240,43831,120443,20676,1400,43,990,20952,381196,76.51,1.22,22.26
2o,5_A,171690,553167,265484,56995,38607,120443,20307,990,43,990,76824,406764,71.76,4.49,23.76
