type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2o,2_2,0,273616,334402,43845,67809,106330,39222,2390,172,990,10247,833281,50.74,0.6,48.66
2o,2_3,74340,462618,327740,65864,69331,118260,38304,2349,172,990,9584,542752,67.74,0.56,31.7
2o,2_4,71685,459842,326948,65864,69331,118260,38304,2349,172,990,9134,549425,67.38,0.53,32.09
2o,2_5,71685,459842,326255,65864,69331,118260,38304,2349,172,990,8997,550255,67.34,0.53,32.14
2o,2_6,71685,472218,334602,67067,63927,118256,38304,2349,172,990,8349,534385,68.3,0.49,31.21
2o,2_7,83190,480850,333974,67250,67445,118256,38304,2349,172,990,8161,511363,69.66,0.48,29.86
2o,2_8,86730,478570,332221,67065,65739,118256,38304,2349,172,990,7960,513948,69.52,0.46,30.01
2o,2_9,89385,481346,331924,67065,65739,118256,38304,2349,172,990,8174,508600,69.82,0.48,29.7
2o,2_T,184965,564261,322409,57240,43831,120317,20676,1400,172,990,42608,353435,76.87,2.49,20.64
2o,2_J,101775,453978,313275,67340,56496,118284,37610,2349,172,990,8382,551653,67.29,0.49,32.22
2o,2_Q,98235,455736,314632,67525,58202,118284,37610,2349,172,990,8547,550022,67.38,0.5,32.12
2o,2_K,94695,457494,315989,67710,59908,118284,37610,2349,172,990,8712,548391,67.46,0.51,32.03
2o,2_A,171690,510387,226226,44164,59397,120317,20217,990,172,990,178754,379000,67.43,10.44,22.13
2o,3_3,0,272220,324682,43845,67809,106330,39174,2390,172,990,8929,845763,50.09,0.52,49.39
2o,3_4,66375,446650,323575,65311,69331,118260,38304,2349,172,990,8632,572355,66.07,0.5,33.43
2o,3_5,66375,446650,322882,65311,69331,118260,38304,2349,172,990,8495,573185,66.03,0.5,33.47
2o,3_6,66375,459026,331229,66514,63927,118256,38304,2349,172,990,7847,557315,66.99,0.46,32.55
2o,3_7,77880,467658,330601,66697,67445,118256,38304,2349,172,990,7659,534293,68.35,0.45,31.2
2o,3_8,86730,478570,331429,67065,65739,118256,38304,2349,172,990,7626,515074,69.47,0.45,30.08
2o,3_9,86730,478570,331132,67065,65739,118256,38304,2349,172,990,7611,515386,69.46,0.44,30.1
2o,3_T,181425,561714,320276,57240,43831,120317,20676,1400,172,990,42027,362236,76.39,2.45,21.15
2o,3_J,99120,451202,312483,67340,56496,118284,37610,2349,172,990,7819,558439,66.93,0.46,32.61
2o,3_Q,95580,452960,313840,67525,58202,118284,37610,2349,172,990,7984,556808,67.02,0.47,32.52
2o,3_K,92040,454718,315197,67710,59908,118284,37610,2349,172,990,8149,555177,67.1,0.48,32.42
2o,3_A,168150,507840,225398,44164,59397,120317,20217,990,172,990,176868,387801,67.02,10.33,22.65
2o,4_4,0,270824,316042,43845,67809,106330,39126,2390,172,990,7837,856939,49.5,0.46,50.05
2o,4_5,61065,433458,319608,64758,69331,118260,38304,2349,172,990,8106,595903,64.73,0.47,34.8
2o,4_6,61065,445834,327955,65961,63927,118256,38304,2349,172,990,7458,580033,65.69,0.44,33.87
2o,4_7,72570,454466,327327,66144,67445,118256,38304,2349,172,990,7270,557011,67.05,0.42,32.53
2o,4_8,81420,465378,328155,66512,65739,118256,38304,2349,172,990,7237,537792,68.17,0.42,31.41
2o,4_9,86730,478570,330439,67065,65739,118256,38304,2349,172,990,7390,516300,69.42,0.43,30.15
2o,4_T,177885,559167,318242,57240,43831,120317,20676,1400,172,990,41559,370825,75.92,2.43,21.66
2o,4_J,96465,448426,311790,67340,56496,118284,37610,2349,172,990,7369,565013,66.57,0.43,33.0
2o,4_Q,92925,450184,313147,67525,58202,118284,37610,2349,172,990,7534,563382,66.66,0.44,32.9
2o,4_K,89385,451942,314504,67710,59908,118284,37610,2349,172,990,7699,561751,66.74,0.45,32.81
2o,4_A,164610,505293,224570,44164,59397,120317,20217,990,172,990,175194,396390,66.62,10.23,23.15
2o,5_5,0,270824,308482,43845,67809,106330,39078,2390,172,990,7371,865013,49.05,0.43,50.52
2o,5_6,55755,437000,326137,65593,63927,118256,38304,2349,172,990,7321,596500,64.74,0.43,34.84
2o,5_7,64605,443554,325509,65776,67445,118256,38304,2349,172,990,7133,578211,65.82,0.42,33.77
2o,5_8,72570,454466,326337,66144,65739,118256,38304,2349,172,990,7100,559877,66.89,0.41,32.7
2o,5_9,77880,467658,328621,66697,65739,118256,38304,2349,172,990,7253,538385,68.13,0.42,31.44
2o,5_T,177885,559167,316307,57240,43831,120317,20676,1400,172,990,41404,372915,75.8,2.42,21.78
2o,5_J,96465,448426,311196,67340,56496,118284,37610,2349,172,990,7232,565744,66.54,0.42,33.04
2o,5_Q,92925,450184,312553,67525,58202,118284,37610,2349,172,990,7397,564113,66.62,0.43,32.94
2o,5_K,89385,451942,313910,67710,59908,118284,37610,2349,172,990,7562,562482,66.71,0.44,32.85
2o,5_A,164610,505293,223742,44164,59397,120317,20217,990,172,990,173932,398480,66.57,10.16,23.27
2o,6_6,0,271522,302002,43845,60879,106330,39030,2390,172,990,6321,878823,48.31,0.37,51.32
2o,6_7,64605,436410,317430,64758,60695,118260,38304,2349,172,990,6401,601930,64.47,0.37,35.15
2o,6_8,72570,447322,318258,65126,58989,118260,38304,2349,172,990,6368,583596,65.55,0.37,34.08
2o,6_9,77880,460514,320542,65679,58989,118260,38304,2349,172,990,6521,562104,66.79,0.38,32.83
2o,6_T,169035,550620,313517,56995,38607,120317,20676,1400,172,990,38902,401073,74.31,2.27,23.42
2o,6_J,96465,452960,312058,67525,49505,118284,37610,2349,172,990,6630,567756,66.46,0.39,33.16
2o,6_Q,92925,451404,312058,67525,51272,118284,37610,2349,172,990,6619,571096,66.26,0.39,33.35
