type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2o,2_2,0,255468,313922,42920,150905,103737,39186,2282,2838,990,24087,775969,53.28,1.41,45.32
2o,2_3,50445,423808,316995,64003,153833,115589,38268,2253,2838,990,21089,522193,68.27,1.23,30.5
2o,2_4,47790,421032,316203,64003,153833,115589,38268,2253,2838,990,20639,528866,67.91,1.21,30.89
2o,2_5,47790,421032,315510,64003,153833,115589,38268,2253,2838,990,20502,529696,67.87,1.2,30.93
2o,2_6,55755,437000,317362,64556,153833,115589,38268,2253,2838,990,20069,503791,69.41,1.17,29.42
2o,2_7,66375,453806,315835,65199,144766,115617,38264,2253,2838,990,20059,486302,70.43,1.17,28.4
2o,2_8,74340,462812,312609,65474,135699,115645,38260,2253,2838,990,20037,481347,70.72,1.17,28.11
2o,2_9,85845,475292,309347,65688,126632,115673,38256,2253,2838,990,20450,469040,71.41,1.19,27.39
2o,2_T,153990,526653,265693,53675,130983,117650,20586,1292,2838,990,92237,345717,74.42,5.39,20.19
2o,2_J,153990,488013,223681,43671,130983,117650,20217,990,2838,990,183565,345716,69.09,10.72,20.19
2o,2_Q,0,376270,249947,58126,126632,115673,36876,1980,2838,990,42261,700711,56.61,2.47,40.92
2o,2_K,0,341336,252231,55960,135699,115645,36880,1980,2838,990,38467,730278,55.1,2.25,42.65
2o,2_A,0,290804,252339,53607,144766,115617,36884,1980,2838,990,40451,772028,52.55,2.36,45.09
2o,3_3,0,254072,307442,42920,150905,103737,39138,2282,2838,990,19529,788451,52.81,1.14,46.05
2o,3_4,42480,407840,312830,63450,153833,115589,38268,2253,2838,990,20137,551796,66.6,1.18,32.23
2o,3_5,42480,407840,312137,63450,153833,115589,38268,2253,2838,990,20000,552626,66.56,1.17,32.27
2o,3_6,50445,423808,313989,64003,153833,115589,38268,2253,2838,990,19567,526721,68.1,1.14,30.76
2o,3_7,61065,440614,312462,64646,144766,115617,38264,2253,2838,990,19557,509232,69.12,1.14,29.74
2o,3_8,74340,462812,311817,65474,135699,115645,38260,2253,2838,990,19703,482473,70.67,1.15,28.18
2o,3_9,83190,472516,308555,65688,126632,115673,38256,2253,2838,990,19887,475826,71.05,1.16,27.79
2o,3_T,150450,524106,263974,53675,130983,117650,20586,1292,2838,990,91242,354518,73.97,5.33,20.7
2o,3_J,150450,485466,222853,43671,130983,117650,20217,990,2838,990,181679,354517,68.69,10.61,20.7
2o,3_Q,0,373494,249947,58126,126632,115673,36876,1980,2838,990,41698,704050,56.45,2.44,41.12
2o,3_K,0,338560,252231,55960,135699,115645,36880,1980,2838,990,37904,733617,54.94,2.21,42.84
2o,3_A,0,288028,252339,53607,144766,115617,36884,1980,2838,990,39888,775367,52.39,2.33,45.28
2o,4_4,0,252676,301637,42920,150905,103737,39090,2282,2838,990,15602,799627,52.39,0.91,46.7
