type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2o,2_2,0,269428,328453,43660,93569,105487,39210,2354,1032,990,14942,813179,51.64,0.87,47.49
2o,2_3,61065,450192,329366,66146,95033,117395,38292,2317,1032,990,13075,537401,67.85,0.76,31.38
2o,2_4,58410,447416,328574,66146,95033,117395,38292,2317,1032,990,12625,544074,67.49,0.74,31.77
2o,2_5,58410,447416,327881,66146,95033,117395,38292,2317,1032,990,12488,544904,67.45,0.73,31.82
2o,2_6,66375,459026,328376,66514,93327,117395,38292,2317,1032,990,11879,526781,68.54,0.69,30.76
2o,2_7,74340,469938,329105,66882,91621,117395,38292,2317,1032,990,11825,508567,69.61,0.69,29.7
2o,2_8,74340,469938,328709,66882,91621,117395,38292,2317,1032,990,11800,508988,69.59,0.69,29.73
2o,2_9,85845,478406,324799,66972,82554,117423,38288,2317,1032,990,11882,501796,70.0,0.69,29.31
2o,2_T,171690,553167,302678,56995,69399,119456,20646,1364,1032,990,60034,354853,75.77,3.51,20.72
2o,2_J,98235,457660,307341,67432,73311,117451,37594,2317,1032,990,12225,536716,67.94,0.71,31.34
2o,2_Q,94695,459418,308698,67617,75017,117451,37594,2317,1032,990,12390,535085,68.03,0.72,31.25
2o,2_K,171690,513837,226775,44409,83259,119456,20217,990,1032,990,174799,354850,69.07,10.21,20.72
2o,2_A,0,366160,256799,58190,85966,117423,36908,1980,1032,990,31251,755605,54.05,1.83,44.13
2o,3_3,0,268032,319813,43660,93569,105487,39162,2354,1032,990,12544,825661,51.05,0.73,48.22
2o,3_4,53100,434224,325201,65593,95033,117395,38292,2317,1032,990,12123,567004,66.18,0.71,33.11
2o,3_5,53100,434224,324508,65593,95033,117395,38292,2317,1032,990,11986,567834,66.14,0.7,33.16
2o,3_6,61065,445834,325003,65961,93327,117395,38292,2317,1032,990,11377,549711,67.23,0.66,32.1
2o,3_7,69030,456746,325732,66329,91621,117395,38292,2317,1032,990,11323,531497,68.3,0.66,31.04
2o,3_8,74340,469938,327917,66882,91621,117395,38292,2317,1032,990,11466,510114,69.54,0.67,29.79
2o,3_9,83190,475630,324007,66972,82554,117423,38288,2317,1032,990,11319,508582,69.64,0.66,29.7
2o,3_T,168150,550620,300683,56995,69399,119456,20646,1364,1032,990,59315,363654,75.3,3.46,21.24
2o,3_J,95580,454884,306549,67432,73311,117451,37594,2317,1032,990,11662,543502,67.58,0.68,31.74
2o,3_Q,92040,456642,307906,67617,75017,117451,37594,2317,1032,990,11827,541871,67.66,0.69,31.65
2o,3_K,168150,511290,225947,44409,83259,119456,20217,990,1032,990,172913,363651,68.66,10.1,21.24
2o,3_A,0,363384,256799,58190,85966,117423,36908,1980,1032,990,30688,758944,53.88,1.79,44.32
2o,4_4,0,266636,312118,43660,93569,105487,39114,2354,1032,990,10507,836837,50.51,0.61,48.87
2o,4_5,47790,421032,321234,65040,95033,117395,38292,2317,1032,990,11597,590552,64.83,0.68,34.49
2o,4_6,55755,432642,321729,65408,93327,117395,38292,2317,1032,990,10988,572429,65.93,0.64,33.43
2o,4_7,63720,443554,322458,65776,91621,117395,38292,2317,1032,990,10934,554215,66.99,0.64,32.37
2o,4_8,69030,456746,324643,66329,91621,117395,38292,2317,1032,990,11077,532832,68.24,0.65,31.12
2o,4_9,83190,475630,323314,66972,82554,117423,38288,2317,1032,990,11098,509496,69.6,0.65,29.75
2o,4_T,164610,548073,298787,56995,69399,119456,20646,1364,1032,990,58709,372243,74.83,3.43,21.74
2o,4_J,92925,452108,305856,67432,73311,117451,37594,2317,1032,990,11212,550076,67.22,0.65,32.12
2o,4_Q,89385,453866,307213,67617,75017,117451,37594,2317,1032,990,11377,548445,67.31,0.66,32.03
2o,4_K,164610,508743,225119,44409,83259,119456,20217,990,1032,990,171239,372240,68.26,10.0,21.74
2o,4_A,0,360608,256799,58190,85966,117423,36908,1980,1032,990,30238,762170,53.72,1.77,44.51
