type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
2o,2_2,0,262448,321174,43290,122237,104612,39198,2318,1935,990,19528,794574,52.46,1.14,46.4
2o,2_3,55755,437000,323167,65227,124433,116492,38280,2285,1935,990,16943,529797,68.07,0.99,30.94
2o,2_4,53100,434224,322375,65227,124433,116492,38280,2285,1935,990,16493,536470,67.71,0.96,31.33
2o,2_5,53100,434224,321682,65227,124433,116492,38280,2285,1935,990,16356,537300,67.67,0.96,31.38
2o,2_6,61065,445834,322177,65595,122727,116492,38280,2285,1935,990,15747,519177,68.76,0.92,30.32
2o,2_7,66375,459026,324263,66148,122727,116492,38280,2285,1935,990,15869,497914,69.99,0.93,29.08
2o,2_8,74340,464718,320254,66238,113660,116520,38276,2285,1935,990,15712,497376,70.04,0.92,29.05
2o,2_9,85845,476500,317127,66513,104593,116548,38272,2285,1935,990,15929,485767,70.7,0.93,28.37
2o,2_T,162840,539910,283440,55704,100191,118553,20616,1328,1935,990,76512,350285,75.07,4.47,20.46
2o,2_J,98235,459062,299942,66912,95350,116576,37578,2285,1935,990,16468,516971,68.85,0.96,30.19
2o,2_Q,162840,501270,225411,44101,107121,118553,20217,990,1935,990,178593,350283,69.11,10.43,20.46
2o,2_K,0,376944,254515,58465,106299,116548,36892,1980,1935,990,35592,722144,55.75,2.08,42.17
2o,2_A,0,329862,254623,55685,115366,116520,36896,1980,1935,990,37576,760871,53.37,2.19,44.44
2o,3_3,0,261052,313614,43290,122237,104612,39150,2318,1935,990,16050,807056,51.93,0.94,47.13
2o,3_4,47790,421032,319002,64674,124433,116492,38280,2285,1935,990,15991,559400,66.4,0.93,32.67
2o,3_5,47790,421032,318309,64674,124433,116492,38280,2285,1935,990,15854,560230,66.36,0.93,32.72
2o,3_6,55755,432642,318804,65042,122727,116492,38280,2285,1935,990,15245,542107,67.45,0.89,31.66
2o,3_7,61065,445834,320890,65595,122727,116492,38280,2285,1935,990,15367,520844,68.68,0.9,30.42
2o,3_8,74340,464718,319462,66238,113660,116520,38276,2285,1935,990,15378,498502,69.99,0.9,29.11
2o,3_9,83190,473724,316335,66513,104593,116548,38272,2285,1935,990,15366,492553,70.34,0.9,28.77
2o,3_T,159300,537363,281583,55704,100191,118553,20616,1328,1935,990,75655,359086,74.61,4.42,20.97
2o,3_J,95580,456286,299150,66912,95350,116576,37578,2285,1935,990,15905,523757,68.48,0.93,30.59
2o,3_Q,159300,498723,224583,44101,107121,118553,20217,990,1935,990,176707,359084,68.71,10.32,20.97
2o,3_K,0,374168,254515,58465,106299,116548,36892,1980,1935,990,35029,725483,55.59,2.05,42.37
2o,3_A,0,327086,254623,55685,115366,116520,36896,1980,1935,990,37013,764210,53.21,2.16,44.63
2o,4_4,0,259656,306864,43290,122237,104612,39102,2318,1935,990,13068,818232,51.45,0.76,47.79
2o,4_5,42480,407840,315035,64121,124433,116492,38280,2285,1935,990,15465,582948,65.05,0.9,34.04
2o,4_6,50445,419450,315530,64489,122727,116492,38280,2285,1935,990,14856,564825,66.15,0.87,32.99
2o,4_7,55755,432642,317616,65042,122727,116492,38280,2285,1935,990,14978,543562,67.38,0.87,31.74
2o,4_8,69030,451526,316188,65685,113660,116520,38276,2285,1935,990,14989,521220,68.68,0.88,30.44
2o,4_9,83190,473724,315642,66513,104593,116548,38272,2285,1935,990,15145,493467,70.3,0.88,28.82
2o,4_T,155760,534816,279825,55704,100191,118553,20616,1328,1935,990,74911,367675,74.15,4.37,21.47
2o,4_J,92925,453510,298457,66912,95350,116576,37578,2285,1935,990,15455,530331,68.13,0.9,30.97
2o,4_Q,155760,496176,223755,44101,107121,118553,20217,990,1935,990,175033,367673,68.31,10.22,21.47
2o,4_K,0,371392,254515,58465,106299,116548,36892,1980,1935,990,34579,728709,55.42,2.02,42.56
2o,4_A,0,324310,254623,55685,115366,116520,36896,1980,1935,990,36563,767436,53.05,2.14,44.82
2o,5_5,0,259656,300924,43290,122237,104612,39054,2318,1935,990,10982,826306,51.1,0.64,48.26
2o,5_6,45135,410616,313712,64121,122727,116492,38280,2285,1935,990,14719,581292,65.19,0.86,33.95
2o,5_7,50445,423808,315798,64674,122727,116492,38280,2285,1935,990,14841,560029,66.43,0.87,32.71
2o,5_8,61065,440614,314370,65317,113660,116520,38276,2285,1935,990,14852,542420,67.45,0.87,31.68
2o,5_9,74340,462812,313824,66145,104593,116548,38272,2285,1935,990,15008,515552,69.01,0.88,30.11
2o,5_T,155760,534816,278166,55704,100191,118553,20616,1328,1935,990,74480,369765,74.06,4.35,21.59
2o,5_J,92925,453510,297863,66912,95350,116576,37578,2285,1935,990,15318,531062,68.09,0.89,31.01
2o,5_Q,155760,496176,222927,44101,107121,118553,20217,990,1935,990,173771,369763,68.26,10.15,21.59
2o,5_K,0,371392,254515,58465,106299,116548,36892,1980,1935,990,34442,728846,55.42,2.01,42.57
2o,5_A,0,324310,254623,55685,115366,116520,36896,1980,1935,990,36426,767573,53.05,2.13,44.83
2o,6_6,0,257562,294437,43105,118215,104622,39006,2318,1935,990,8501,841613,50.35,0.5,49.15
2o,6_7,53985,414384,306362,63471,121201,116496,38280,2285,1935,990,13975,578940,65.37,0.82,33.81
2o,6_8,64605,431190,304934,64114,112134,116524,38276,2285,1935,990,13986,561331,66.4,0.82,32.78
2o,6_9,77880,453388,304388,64942,103067,116552,38272,2285,1935,990,14142,534463,67.96,0.83,31.21
2o,6_T,151335,524106,274471,55274,100191,118553,20616,1328,1935,990,71568,391937,72.93,4.18,22.89
2o,6_J,96465,455764,297368,66912,93583,116576,37578,2285,1935,990,14582,528266,68.3,0.85,30.85
2o,6_Q,160185,494711,220918,43916,105415,118553,20217,990,1935,990,171833,372641,68.2,10.04,21.76
2o,6_K,0,370332,253158,58280,104593,116548,36892,1980,1935,990,33530,734066,55.17,1.96,42.87
2o,6_A,0,335398,255442,56053,113660,116520,36896,1980,1935,990,35682,757748,53.66,2.08,44.25
2o,7_7,0,258958,290117,43105,118215,104622,38958,2318,1935,990,7595,845491,50.18,0.44,49.38
2o,7_8,67260,424376,299927,63050,112134,116524,38276,2285,1935,990,14169,571378,65.8,0.83,33.37
2o,7_9,80535,443260,298562,63693,103067,116552,38272,2285,1935,990,14325,548828,67.11,0.84,32.05
2o,7_T,154875,526653,273010,55274,100191,118553,20616,1328,1935,990,71457,387422,73.2,4.17,22.63
2o,7_J,99120,444938,291542,65663,93583,116576,37578,2285,1935,990,14765,543329,67.41,0.86,31.73
2o,7_Q,163725,497258,220090,43916,105415,118553,20217,990,1935,990,171089,368126,68.51,9.99,21.5
2o,7_K,0,373108,253158,58280,104593,116548,36892,1980,1935,990,33713,731107,55.33,1.97,42.7
2o,7_A,0,335398,255442,56053,113660,116520,36896,1980,1935,990,35636,757794,53.66,2.08,44.26
2o,8_8,0,264542,284183,43290,96428,104925,38902,2318,1935,990,6737,868054,48.91,0.39,50.7
2o,8_9,83190,449168,282279,63622,94702,116693,38268,2285,1935,990,14431,564741,66.18,0.84,32.98
2o,8_T,158415,515598,263113,54025,92566,118577,20613,1328,1935,990,69904,415240,71.67,4.08,24.25
2o,8_J,101775,450846,275412,65592,85218,116717,37574,2285,1935,990,14871,559089,66.48,0.87,32.65
2o,8_Q,179655,496607,211288,42790,97790,118577,20214,990,1935,990,170207,371261,68.38,9.94,21.68
2o,8_K,0,377258,253161,58187,95239,116572,36888,1980,1935,990,38118,731976,55.03,2.23,42.75
2o,8_A,0,236394,251523,51690,104593,116548,36892,1980,1935,990,143478,766281,46.87,8.38,44.75
2o,9_9,0,273616,279743,43660,74641,105228,38846,2318,1935,990,6304,885023,47.95,0.37,51.69
2o,9_T,170805,513788,254143,53021,84941,118601,20610,1328,1935,990,68724,423418,71.26,4.01,24.73
2o,9_J,104430,456754,259381,65660,76853,116858,37570,2285,1935,990,14987,574601,65.57,0.88,33.56
2o,9_Q,196470,492506,202690,41541,90165,118601,20211,990,1935,990,173040,373165,68.1,10.11,21.79
2o,9_K,0,246864,237540,51850,86874,116713,36884,1980,1935,990,177809,752865,45.65,10.38,43.97
2o,9_A,0,239204,252345,51782,95239,116572,36888,1980,1935,990,6877,908492,46.54,0.4,53.06
2o,T_T,0,214286,141615,29970,98805,116717,16182,1361,1935,990,32838,1057605,36.32,1.92,61.77
2o,T_J,200895,524223,244084,52139,75381,118625,20598,1328,1935,990,62255,409851,72.43,3.64,23.94
2o,T_Q,0,0,0,0,0,119633,0,0,1935,990,1552532,37214,7.16,90.67,2.17
2o,T_K,0,111680,140775,25402,84941,118601,19533,990,1935,990,47620,1159837,29.48,2.78,67.74
2o,T_A,0,121452,148251,26651,92566,118577,19536,990,1935,990,30752,1150604,31.01,1.8,67.2
2o,J_J,0,145882,174584,44215,52502,105531,33354,2317,1935,990,6329,1144665,32.78,0.37,66.85
2o,J_Q,0,97720,130003,23968,82540,118625,19131,990,1935,990,131690,1104712,27.79,7.69,64.52
2o,J_K,0,211204,204644,52103,78620,116858,36190,1980,1935,990,11074,996706,41.14,0.65,58.21
2o,J_A,0,206676,219857,52035,86985,116717,36194,1980,1935,990,7119,981816,42.25,0.42,57.34
2o,Q_Q,0,0,0,29970,105735,116717,8016,990,1935,990,26963,1420988,15.44,1.57,82.99
2o,Q_K,0,111680,138660,25402,91871,118601,19134,990,1935,990,41082,1161959,29.74,2.4,67.86
