type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
sdifferent,2_3,160380,517852,270577,52787,20052,121220,20616,1328,215,44,70188,477045,68.04,4.1,27.86
sdifferent,2_4,86670,407166,276883,61040,32463,119167,37452,2283,215,44,17986,670935,59.77,1.05,39.18
sdifferent,2_5,84240,404626,276091,61040,32463,119167,37452,2283,215,44,17673,677010,59.43,1.03,39.54
sdifferent,2_6,81810,414106,284433,62318,34014,119163,37479,2284,215,44,17028,659410,60.5,0.99,38.51
sdifferent,2_7,81810,422454,291643,63428,34781,119159,37506,2285,215,44,17096,641883,61.52,1.0,37.49
sdifferent,2_8,81810,419416,289917,63260,28851,119159,37506,2285,215,44,16938,652903,60.88,0.99,38.13
sdifferent,2_9,84240,417782,288290,63092,33922,119159,37506,2285,215,44,16791,648978,61.12,0.98,37.9
sdifferent,2_T,90720,418054,286762,62924,32403,119159,37506,2285,215,44,16823,645409,61.33,0.98,37.69
sdifferent,2_J,93150,420594,286564,62924,32403,119159,37506,2285,215,44,16988,640472,61.6,0.99,37.4
sdifferent,2_Q,0,182232,159832,25899,16556,121220,20007,990,215,44,755222,430087,30.78,44.11,25.12
sdifferent,2_K,0,225876,236225,48882,33922,119159,36816,1980,215,44,13209,995976,41.06,0.77,58.17
sdifferent,2_A,0,219932,229751,47940,33864,119163,36789,1979,215,44,9656,1012971,40.28,0.56,59.16
sdifferent,3_4,149040,503166,257733,52383,20052,121220,20607,1328,215,44,65481,521035,65.75,3.82,30.43
sdifferent,3_5,145800,500802,256941,52383,20052,121220,20607,1328,215,44,65165,527747,65.37,3.81,30.82
sdifferent,3_6,154710,513124,257779,52787,20052,121220,20607,1328,215,44,59803,510635,66.69,3.49,29.82
sdifferent,3_7,162810,525446,259202,53191,20052,121220,20607,1328,215,44,61214,486975,67.99,3.57,28.44
sdifferent,3_8,170910,534096,259625,53427,18709,121220,20607,1328,215,44,62513,469610,68.92,3.65,27.43
sdifferent,3_9,174150,532154,258130,53259,17366,121220,20607,1328,215,44,68761,465070,68.82,4.02,27.16
sdifferent,3_T,182250,531942,256734,53091,15847,121220,20607,1328,215,44,68775,460251,69.1,4.02,26.88
sdifferent,3_J,185490,534306,256536,53091,15847,121220,20607,1328,215,44,68922,454698,69.42,4.03,26.55
