type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
sdifferent,2_3,63990,356218,268506,51991,110699,116467,38106,2123,2967,0,122567,578670,59.05,7.16,33.79
sdifferent,2_4,72090,361230,264347,52063,103368,116495,38102,2123,2967,0,122418,577101,59.15,7.15,33.7
sdifferent,2_5,132030,356788,200951,37239,99093,118496,20466,1148,2967,0,303418,439708,56.6,17.72,25.68
sdifferent,2_6,83430,347956,254663,53355,96245,116519,37435,2124,2967,0,123484,594126,58.09,7.21,34.7
sdifferent,2_7,28350,197862,166985,26403,91336,118496,20067,990,2967,0,642721,416127,38.16,37.54,24.3
sdifferent,2_8,0,222706,227846,48348,103734,116491,36772,1980,2967,0,87192,864268,44.43,5.09,50.47
sdifferent,2_9,0,214728,229926,48108,110431,116463,36776,1980,2967,0,49470,901455,44.47,2.89,52.65
sdifferent,2_T,0,209788,232753,48210,112365,116435,36780,1980,2967,0,32350,918676,44.46,1.89,53.65
sdifferent,2_J,0,209788,232753,48210,117454,116435,36780,1980,2967,0,22794,923143,44.76,1.33,53.91
sdifferent,2_Q,0,212826,233984,48378,113017,116435,36780,1980,2967,0,16755,929182,44.76,0.98,54.27
sdifferent,2_K,0,212826,233984,48378,119431,116435,36780,1980,2967,0,12679,926844,45.13,0.74,54.13
sdifferent,2_A,0,205746,226180,47268,118030,116439,36753,1979,2967,0,9170,947772,44.11,0.54,55.35
sdifferent,3_4,72090,364242,248851,51988,95613,116636,37939,2121,2967,0,122307,597550,57.96,7.14,34.9
sdifferent,3_5,132030,344266,191770,36096,92896,118520,20443,1147,2967,0,301303,470866,54.9,17.6,27.5
sdifferent,3_6,83430,350968,239320,53280,88490,116660,37272,2122,2967,0,123388,614407,56.91,7.21,35.88
sdifferent,3_7,40500,191904,159388,25380,85139,118520,20044,989,2967,0,643872,423601,37.66,37.6,24.74
sdifferent,3_8,0,220486,227801,48246,96417,116515,36772,1980,2967,0,91054,870066,43.87,5.32,50.81
sdifferent,3_9,0,212878,226307,48006,103100,116491,36772,1980,2967,0,49361,914442,43.71,2.88,53.4
sdifferent,3_T,0,207938,229134,48108,105034,116463,36776,1980,2967,0,32241,931663,43.71,1.88,54.41
sdifferent,3_J,0,207938,229134,48108,110123,116463,36776,1980,2967,0,22685,936130,44.0,1.32,54.67
sdifferent,3_Q,0,210976,230365,48276,105686,116463,36776,1980,2967,0,16646,942169,44.0,0.97,55.02
sdifferent,3_K,0,210976,230365,48276,112100,116463,36776,1980,2967,0,12570,939831,44.38,0.73,54.89
sdifferent,3_A,0,203896,222561,47166,110699,116467,36749,1979,2967,0,9061,960759,43.36,0.53,56.11
sdifferent,4_5,140130,340394,183495,35189,86699,118544,20420,1146,2967,0,299526,483794,54.25,17.49,28.25
sdifferent,4_6,83430,353980,224076,53340,80735,116801,37109,2120,2967,0,123292,634454,55.75,7.2,37.05
sdifferent,4_7,44550,180476,151986,24237,78942,118544,20021,988,2967,0,658854,430739,36.37,38.48,25.16
sdifferent,4_8,0,220486,213464,48306,88662,116656,36609,1978,2967,0,90958,892218,42.58,5.31,52.11
sdifferent,4_9,0,213696,227009,48072,95915,116515,36772,1980,2967,0,49349,920029,43.39,2.88,53.73
sdifferent,4_T,0,208624,226262,48174,97703,116491,36772,1980,2967,0,32132,941199,43.16,1.88,54.97
sdifferent,4_J,0,208624,226262,48174,102792,116491,36772,1980,2967,0,22576,945666,43.45,1.32,55.23
sdifferent,4_Q,0,211662,227493,48342,98355,116491,36772,1980,2967,0,16537,951705,43.45,0.97,55.58
sdifferent,4_K,0,211662,227493,48342,104769,116491,36772,1980,2967,0,12461,949367,43.83,0.73,55.44
sdifferent,4_A,0,204582,219689,47232,103368,116495,36745,1979,2967,0,8952,970295,42.81,0.52,56.67
sdifferent,5_6,167670,347116,172922,34398,79159,118568,20388,1145,2967,0,290802,477169,55.15,16.98,27.87
sdifferent,5_7,0,0,0,0,0,119576,0,0,2967,0,1467218,122543,7.16,85.69,7.16
sdifferent,5_8,0,97636,128936,23277,85532,118544,19343,988,2967,0,215169,1019912,27.87,12.57,59.56
sdifferent,5_9,0,106512,135905,24420,91729,118520,19366,989,2967,0,157905,1053991,29.22,9.22,61.55
sdifferent,5_T,0,115388,142874,25563,97116,118496,19389,990,2967,0,116457,1073064,30.53,6.8,62.67
sdifferent,5_J,0,115388,142874,25563,97116,118496,19389,990,2967,0,92289,1097232,30.53,5.39,64.08
sdifferent,5_Q,0,118558,143973,25731,92679,118496,19389,990,2967,0,71090,1118431,30.53,4.15,65.32
sdifferent,5_K,0,118558,143973,25731,99093,118496,19389,990,2967,0,53910,1129197,30.91,3.15,65.95
sdifferent,5_A,0,116022,142874,25563,99093,118496,19389,990,2967,0,35050,1151860,30.68,2.05,67.27
sdifferent,6_7,0,88760,113192,22134,74264,118568,18921,987,2967,0,546147,726364,25.68,31.9,42.42
sdifferent,6_8,0,176522,179387,47250,81025,116801,35729,1975,2967,0,76647,994001,37.47,4.48,58.05
sdifferent,6_9,0,172744,193328,47190,88278,116660,35892,1977,2967,0,48626,1004642,38.49,2.84,58.67
sdifferent,6_T,0,171476,207665,47265,91721,116519,36055,1979,2967,0,31493,1005164,39.46,1.84,58.7
sdifferent,6_J,0,180986,212147,48408,95787,116519,36078,1980,2967,0,21954,995478,40.58,1.28,58.14
sdifferent,6_Q,0,180986,212147,48408,91200,116519,36078,1980,2967,0,15782,1006237,40.31,0.92,58.77
sdifferent,6_K,0,180986,212147,48408,97614,116519,36078,1980,2967,0,11706,1003899,40.69,0.68,58.63
sdifferent,6_A,0,182888,212147,48408,96245,116519,36078,1980,2967,0,8310,1006762,40.72,0.49,58.8
sdifferent,7_8,0,97636,120161,23277,80994,118544,18944,988,2967,0,212349,1036444,27.07,12.4,60.53
sdifferent,7_9,0,106512,126992,24420,81411,118520,18967,989,2967,0,163214,1068312,28.08,9.53,62.39
sdifferent,7_T,0,115388,133586,25563,63924,118496,18990,990,2967,0,123402,1108998,28.03,7.21,64.77
sdifferent,7_J,0,115388,133586,25563,92679,118496,18990,990,2967,0,93821,1109824,29.71,5.48,64.81
sdifferent,7_Q,0,118558,134685,25731,92679,118496,18990,990,2967,0,73136,1126072,29.97,4.27,65.76
sdifferent,7_K,0,118558,134685,25731,92679,118496,18990,990,2967,0,61541,1137667,29.97,3.59,66.44
sdifferent,7_A,0,116022,133586,25563,91336,118496,18990,990,2967,0,43195,1161159,29.66,2.52,67.81
sdifferent,8_9,0,124898,173456,45846,95049,116636,35179,1976,2967,0,45807,1070490,34.81,2.68,62.52
sdifferent,8_T,0,123630,187640,45921,98492,116495,35342,1978,2967,0,30824,1069015,35.77,1.8,62.43
sdifferent,8_J,0,132506,192221,47064,103192,116495,35365,1979,2967,0,21787,1058728,36.9,1.27,61.83
sdifferent,8_Q,0,138846,199530,48174,100006,116491,35392,1980,2967,0,15855,1053063,37.57,0.93,61.5
sdifferent,8_K,0,142016,200277,48342,105077,116491,35392,1980,2967,0,11796,1047966,38.11,0.69,61.2
sdifferent,8_A,0,140114,199046,48174,103734,116491,35392,1980,2967,0,8091,1056315,37.84,0.47,61.69
sdifferent,9_T,0,115388,188489,45687,100426,116467,35346,1978,2967,0,28935,1076621,35.43,1.69,62.88
sdifferent,9_J,0,121728,192323,46662,109079,116467,35369,1979,2967,0,21412,1064318,36.59,1.25,62.16
sdifferent,9_Q,0,128068,199632,47772,105893,116463,35396,1980,2967,0,15664,1058469,37.27,0.91,61.82
sdifferent,9_K,0,131238,200379,47940,111774,116463,35396,1980,2967,0,11731,1052436,37.85,0.69,61.46
sdifferent,9_A,0,134408,201126,48108,110431,116463,35396,1980,2967,0,8176,1053249,38.01,0.48,61.51
sdifferent,T_J,0,112852,193172,46428,106043,116439,35373,1979,2967,0,19205,1077846,35.93,1.12,62.95
sdifferent,T_Q,0,119192,200481,47538,102857,116435,35400,1980,2967,0,15289,1070165,36.61,0.89,62.5
sdifferent,T_K,0,121728,201228,47706,113708,116435,35400,1980,2967,0,11540,1059612,37.44,0.67,61.88
sdifferent,T_A,0,124898,201975,47874,112365,116435,35400,1980,2967,0,8111,1060299,37.6,0.47,61.92
sdifferent,J_Q,0,119192,200481,47538,107946,116435,35400,1980,2967,0,15260,1065105,36.91,0.89,62.2
sdifferent,J_K,0,121728,201228,47706,118797,116435,35400,1980,2967,0,11511,1054552,37.74,0.67,61.59
sdifferent,J_A,0,124898,201975,47874,117454,116435,35400,1980,2967,0,8082,1055239,37.9,0.47,61.63
sdifferent,Q_K,0,124264,202459,47874,114360,116435,35400,1980,2967,0,11632,1054933,37.71,0.68,61.61
sdifferent,Q_A,0,127434,203206,48042,113017,116435,35400,1980,2967,0,8203,1055620,37.87,0.48,61.65
sdifferent,K_A,0,127434,203206,48042,119431,116435,35400,1980,2967,0,8192,1049217,38.25,0.48,61.28
