type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
sdifferent,2_3,60750,430298,301149,61422,71795,118215,38232,2253,1161,44,23367,603618,63.38,1.36,35.25
sdifferent,2_4,60750,426256,299126,61254,70452,118215,38232,2253,1161,44,23056,611505,62.94,1.35,35.71
sdifferent,2_5,63180,424120,297202,61086,69109,118215,38232,2253,1161,44,22787,614915,62.76,1.33,35.91
sdifferent,2_6,71280,438828,298838,61596,69109,118215,38232,2253,1161,44,22348,590400,64.21,1.31,34.48
sdifferent,2_7,162810,520790,256052,51395,48807,120276,20586,1292,1161,44,99578,429513,69.1,5.82,25.08
sdifferent,2_8,87480,415588,280891,62010,61954,118243,37538,2253,1161,44,22180,622962,62.32,1.3,36.38
sdifferent,2_9,87480,415588,280594,62010,61954,118243,37538,2253,1161,44,22165,623274,62.31,1.29,36.4
sdifferent,2_T,88290,414636,280297,62010,61778,118243,37538,2253,1161,44,22471,623583,62.27,1.31,36.42
sdifferent,2_J,129600,320062,185069,31331,47997,120276,20127,990,1161,44,426118,429529,50.03,24.89,25.08
sdifferent,2_Q,0,256148,239184,50100,65363,118215,36852,1980,1161,44,44783,898474,44.91,2.62,52.47
sdifferent,2_K,0,235160,239184,49288,70452,118215,36852,1980,1161,44,33923,926045,43.94,1.98,54.08
sdifferent,2_A,0,219404,238437,48714,71795,118215,36852,1980,1161,44,18422,957280,43.02,1.08,55.91
sdifferent,3_4,60750,414896,290134,60144,69051,118219,38205,2252,1161,44,22915,634533,61.6,1.34,37.06
sdifferent,3_5,63180,412760,288210,59976,67708,118219,38205,2252,1161,44,22661,637928,61.42,1.32,37.26
sdifferent,3_6,71280,427468,289846,60486,67708,118219,38205,2252,1161,44,22222,613413,62.88,1.3,35.82
