type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
sdifferent,2_3,65610,444056,310858,63150,44365,119118,38256,2317,258,44,13268,611004,63.54,0.77,35.68
sdifferent,2_4,65610,440014,308835,62982,43022,119118,38256,2317,258,44,12957,618891,63.1,0.76,36.14
sdifferent,2_5,68040,437878,306911,62814,41679,119118,38256,2317,258,44,12688,622301,62.92,0.74,36.34
sdifferent,2_6,79380,450450,307316,63156,40336,119118,38256,2317,258,44,12117,599556,64.28,0.71,35.01
sdifferent,2_7,170910,537768,291522,54555,13638,121179,20646,1364,258,44,66470,433950,70.78,3.88,25.34
sdifferent,2_8,87480,420322,292313,63498,40512,119118,37566,2317,258,44,12045,636831,62.11,0.7,37.19
sdifferent,2_9,84240,418416,291917,63498,40512,119118,37566,2317,258,44,12030,642388,61.78,0.7,37.52
sdifferent,2_T,84240,417782,291620,63498,40336,119118,37566,2317,258,44,12018,643507,61.72,0.7,37.58
sdifferent,2_J,81810,419416,292653,63666,40869,119118,37566,2317,258,44,12139,642448,61.77,0.71,37.52
sdifferent,2_Q,81810,422956,293785,63834,36432,119118,37566,2317,258,44,12260,641924,61.8,0.72,37.49
sdifferent,2_K,132030,323734,186168,31499,32070,121179,20127,990,258,44,430241,433964,49.53,25.13,25.34
sdifferent,2_A,0,253464,240514,50094,44365,119118,36876,1980,258,44,37226,928365,43.61,2.17,54.22
sdifferent,3_4,65610,428654,299843,61872,41621,119122,38229,2316,258,44,12816,641919,61.76,0.75,37.49
sdifferent,3_5,68040,426518,297919,61704,40278,119122,38229,2316,258,44,12562,645314,61.58,0.73,37.69
sdifferent,3_6,79380,439090,298324,62046,38935,119122,38229,2316,258,44,11991,622569,62.94,0.7,36.36
sdifferent,3_7,162810,525446,287510,54151,13638,121179,20646,1364,258,44,64827,460431,69.32,3.79,26.89
sdifferent,3_8,87480,419820,291521,63498,39143,119118,37566,2317,258,44,12033,639506,61.95,0.7,37.35
sdifferent,3_9,84240,414876,289894,63330,39169,119118,37566,2317,258,44,11885,649607,61.37,0.69,37.94
sdifferent,3_T,84240,414242,289597,63330,38993,119118,37566,2317,258,44,11873,650726,61.3,0.69,38.0
sdifferent,3_J,81810,415876,290630,63498,39526,119118,37566,2317,258,44,11994,649667,61.36,0.7,37.94
sdifferent,3_Q,81810,419416,291762,63666,35089,119118,37566,2317,258,44,12115,649143,61.38,0.71,37.91
sdifferent,3_K,132030,320062,184655,31331,30727,121179,20127,990,258,44,428359,442542,49.14,25.02,25.84
sdifferent,3_A,0,249924,239283,49926,43022,119118,36876,1980,258,44,37081,934792,43.24,2.17,54.59
sdifferent,4_5,68040,415660,289026,60594,38877,119126,38202,2315,258,44,12426,667736,60.28,0.73,39.0
sdifferent,4_6,79380,428232,289431,60936,37534,119126,38202,2315,258,44,11865,644981,61.64,0.69,37.67
sdifferent,4_7,154710,513124,283597,53747,13638,121179,20646,1364,258,44,63184,486813,67.88,3.69,28.43
sdifferent,4_8,87480,411472,283024,62388,37742,119122,37539,2316,258,44,11907,659012,60.82,0.7,38.49
sdifferent,4_9,87480,416280,289201,63330,37800,119118,37566,2317,258,44,11873,647037,61.52,0.69,37.79
sdifferent,4_T,86670,412608,287673,63162,37650,119118,37566,2317,258,44,11728,653510,61.15,0.68,38.17
sdifferent,4_J,84240,414242,288706,63330,38183,119118,37566,2317,258,44,11849,652451,61.2,0.69,38.1
sdifferent,4_Q,84240,417782,289838,63498,33746,119118,37566,2317,258,44,11970,651927,61.23,0.7,38.07
sdifferent,4_K,135270,318120,183142,31163,29384,121179,20127,990,258,44,426576,446051,49.04,24.91,26.05
sdifferent,4_A,0,247654,238052,49758,41679,119118,36876,1980,258,44,37572,939313,42.95,2.19,54.86
sdifferent,5_6,79380,417374,280637,59826,36133,119130,38175,2314,258,44,11733,667300,60.34,0.69,38.97
