type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
sdifferent,2_3,73710,443230,307185,62382,42964,119122,38253,2348,258,44,9696,613112,63.63,0.57,35.81
sdifferent,2_4,73710,439188,305162,62214,41621,119122,38253,2348,258,44,9385,620999,63.19,0.55,36.27
sdifferent,2_5,76140,437052,303238,62046,40278,119122,38253,2348,258,44,9116,624409,63.0,0.53,36.47
sdifferent,2_6,79380,450450,310844,63156,35265,119118,38280,2349,258,44,8515,604645,64.19,0.5,35.31
sdifferent,2_7,90720,458346,310243,63330,38993,119118,38280,2349,258,44,8355,582268,65.51,0.49,34.0
sdifferent,2_8,174960,535826,309161,54387,12295,121179,20676,1400,258,44,47520,434598,71.84,2.78,25.38
sdifferent,2_9,90720,418186,294214,63330,39169,119118,37590,2349,258,44,8314,639012,62.2,0.49,37.32
sdifferent,2_T,87480,415646,293917,63330,38993,119118,37590,2349,258,44,8302,645277,61.83,0.48,37.68
sdifferent,2_J,84240,417280,294950,63498,40336,119118,37590,2349,258,44,8423,644218,61.89,0.49,37.62
sdifferent,2_Q,81810,418914,296082,63666,40869,119118,37590,2349,258,44,8544,643060,61.95,0.5,37.56
sdifferent,2_K,81810,422454,297313,63834,36432,119118,37590,2349,258,44,8665,642437,61.98,0.51,37.52
sdifferent,2_A,151470,372522,193736,34191,32070,121179,20157,990,258,44,327406,458281,54.12,19.12,26.76
sdifferent,3_4,68850,431062,303245,61872,41621,119122,38253,2348,258,44,9358,636271,62.29,0.55,37.16
sdifferent,3_5,68850,427020,301321,61704,40278,119122,38253,2348,258,44,9104,644002,61.86,0.53,37.61
sdifferent,3_6,71280,440418,308927,62814,35265,119118,38280,2349,258,44,8503,625048,63.0,0.5,36.5
sdifferent,3_7,82620,448314,308326,62988,38993,119118,38280,2349,258,44,8343,602671,64.32,0.49,35.2
sdifferent,3_8,174960,535826,307028,54387,12295,121179,20676,1400,258,44,47490,436761,71.72,2.77,25.51
sdifferent,3_9,90720,418186,293422,63330,39169,119118,37590,2349,258,44,8301,639817,62.15,0.48,37.37
sdifferent,3_T,87480,415646,293125,63330,38993,119118,37590,2349,258,44,8289,646082,61.78,0.48,37.73
sdifferent,3_J,84240,417280,294158,63498,40336,119118,37590,2349,258,44,8410,645023,61.84,0.49,37.67
sdifferent,3_Q,81810,418914,295290,63666,40869,119118,37590,2349,258,44,8531,643865,61.9,0.5,37.6
sdifferent,3_K,81810,422454,296521,63834,36432,119118,37590,2349,258,44,8652,643242,61.93,0.51,37.57
sdifferent,3_A,151470,372522,193184,34191,32070,121179,20157,990,258,44,325794,460445,54.08,19.03,26.89
sdifferent,4_5,68850,415660,292428,60594,38877,119126,38226,2347,258,44,8968,666926,60.53,0.52,38.95
sdifferent,4_6,71280,429058,300034,61704,33864,119122,38253,2348,258,44,8377,647962,61.67,0.49,37.84
sdifferent,4_7,82620,436954,299433,61878,37592,119122,38253,2348,258,44,8217,625585,62.99,0.48,36.53
sdifferent,4_8,166860,523504,302977,53983,12295,121179,20676,1400,258,44,45985,463143,70.27,2.69,27.05
sdifferent,4_9,90720,417684,292729,63330,37800,119118,37590,2349,258,44,8289,642393,62.0,0.48,37.52
sdifferent,4_T,87480,412106,291201,63162,37650,119118,37590,2349,258,44,8144,653202,61.38,0.48,38.15
sdifferent,4_J,84240,413740,292234,63330,38993,119118,37590,2349,258,44,8265,652143,61.43,0.48,38.09
sdifferent,4_Q,81810,415374,293366,63498,39526,119118,37590,2349,258,44,8386,650985,61.49,0.49,38.02
sdifferent,4_K,81810,418914,294597,63666,35089,119118,37590,2349,258,44,8507,650362,61.52,0.5,37.98
sdifferent,4_A,151470,368850,191533,34023,30727,121179,20157,990,258,44,324149,468924,53.68,18.93,27.39
sdifferent,5_6,71280,418200,291240,60594,32463,119126,38226,2347,258,44,8245,670281,60.37,0.48,39.14
sdifferent,5_7,82620,426096,290639,60768,36191,119126,38226,2347,258,44,8091,647898,61.69,0.47,37.84
sdifferent,5_8,158760,511182,299025,53579,12295,121179,20676,1400,258,44,44480,489426,68.82,2.6,28.58
sdifferent,5_9,90720,409336,284331,62220,36399,119122,37563,2348,258,44,8163,661800,60.87,0.48,38.65
sdifferent,5_T,90720,413510,290607,63162,36281,119118,37590,2349,258,44,8132,650533,61.53,0.47,37.99
sdifferent,5_J,86670,412106,290409,63162,37650,119118,37590,2349,258,44,8120,654828,61.28,0.47,38.24
sdifferent,5_Q,84240,413740,291541,63330,38183,119118,37590,2349,258,44,8241,653670,61.34,0.48,38.17
sdifferent,5_K,84240,417280,292772,63498,33746,119118,37590,2349,258,44,8362,653047,61.37,0.49,38.14
sdifferent,5_A,154710,366908,189882,33855,29384,121179,20157,990,258,44,322603,472334,53.58,18.84,27.58
sdifferent,6_7,82620,419914,283175,59826,29719,119130,38199,2346,258,44,7460,669613,60.46,0.44,39.11
sdifferent,6_8,150660,503166,296271,53343,7224,121179,20676,1400,258,44,42474,515609,67.41,2.48,30.11
sdifferent,6_9,90720,405664,277263,61278,29927,119126,37536,2347,258,44,7536,680605,59.81,0.44,39.75
sdifferent,6_T,90720,409838,283539,62220,29809,119122,37563,2348,258,44,7505,669338,60.47,0.44,39.09
sdifferent,6_J,90720,418186,291145,63330,31210,119118,37590,2349,258,44,7607,650747,61.55,0.44,38.0
sdifferent,6_Q,87480,416782,291046,63330,31769,119118,37590,2349,258,44,7595,654943,61.31,0.44,38.25
sdifferent,6_K,87480,420322,292277,63498,27332,119118,37590,2349,258,44,7716,654320,61.34,0.45,38.21
sdifferent,6_A,170910,379016,189870,34091,28041,121179,20157,990,258,44,316597,451151,55.16,18.49,26.35
sdifferent,7_8,142560,490844,292517,52939,13638,121179,20676,1400,258,44,40968,535281,66.35,2.39,31.26
sdifferent,7_9,90720,397316,269063,60168,34940,119130,37509,2346,258,44,7410,693400,59.07,0.43,40.5
sdifferent,7_T,90720,401490,275339,61110,34822,119126,37536,2347,258,44,7379,682133,59.73,0.43,39.84
sdifferent,7_J,90720,409838,282945,62220,36223,119122,37563,2348,258,44,7481,663542,60.81,0.44,38.75
sdifferent,7_Q,90720,418186,290650,63330,36990,119118,37590,2349,258,44,7583,645486,61.86,0.44,37.7
sdifferent,7_K,90720,418688,290650,63330,32403,119118,37590,2349,258,44,7571,649583,61.62,0.44,37.94
sdifferent,7_A,174150,375344,188219,33923,26698,121179,20157,990,258,44,324203,447139,54.95,18.93,26.11
sdifferent,8_9,145800,493208,285911,52939,13638,121179,20667,1400,258,44,34338,542922,66.29,2.01,31.71
sdifferent,8_T,153900,501224,286532,53175,12119,121179,20667,1400,258,44,35650,526156,67.19,2.08,30.73
sdifferent,8_J,162000,513546,288351,53579,12119,121179,20667,1400,258,44,37095,502066,68.51,2.17,29.32
sdifferent,8_Q,170100,525868,290269,53983,12119,121179,20667,1400,258,44,38540,477877,69.84,2.25,27.91
sdifferent,8_K,178200,538190,292286,54387,12119,121179,20667,1400,258,44,39985,453589,71.17,2.34,26.49
sdifferent,8_A,0,0,0,0,0,122259,0,0,258,44,1467182,122561,7.16,85.68,7.16
sdifferent,9_T,81810,354654,254276,59826,34940,119130,36819,2346,258,44,7551,760650,55.14,0.44,44.42
sdifferent,9_J,81810,360492,261486,60936,36341,119126,36846,2347,258,44,7653,744965,56.05,0.45,43.51
sdifferent,9_Q,81810,366330,268795,62046,37108,119122,36873,2348,258,44,7755,729815,56.93,0.45,42.62
sdifferent,9_K,81810,251194,276203,57066,33922,119118,36900,2349,258,44,135423,718017,50.16,7.91,41.93
sdifferent,9_A,0,116656,138797,25563,26874,121179,19080,990,258,44,241346,1021517,26.25,14.09,59.66
sdifferent,T_J,78570,346090,253088,59826,36133,119130,36819,2346,258,44,7660,772340,54.45,0.45,45.11
sdifferent,T_Q,78570,231724,260397,54846,36900,119126,36846,2347,258,44,134056,757190,47.95,7.83,44.22
