type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
sdifferent,2_3,51030,401828,292990,59242,121584,116451,38232,2221,2924,44,31823,593935,63.46,1.86,34.69
sdifferent,2_4,51030,397786,290967,59074,120241,116451,38232,2221,2924,44,31512,601822,63.01,1.84,35.15
sdifferent,2_5,51030,397786,290274,59074,120241,116451,38232,2221,2924,44,31375,602652,62.97,1.83,35.2
sdifferent,2_6,66420,417506,288570,59656,112910,116479,38228,2221,2924,44,30840,576506,64.53,1.8,33.67
sdifferent,2_7,79380,437724,287811,60406,105579,116507,38224,2221,2924,44,30974,550510,66.04,1.81,32.15
sdifferent,2_8,146610,483730,238581,48199,99903,118512,20556,1256,2924,44,124922,427067,67.76,7.3,24.94
sdifferent,2_9,87480,413142,270224,60588,98424,116535,37530,2221,2924,44,31783,591409,63.61,1.86,34.54
sdifferent,2_T,139320,363804,191898,33971,92679,118512,20157,990,2924,44,320935,427070,56.32,18.74,24.94
sdifferent,2_J,0,282858,231750,50778,105711,116507,36844,1980,2924,44,49987,832921,48.44,2.92,48.64
sdifferent,2_Q,0,250072,233830,49494,112408,116479,36848,1980,2924,44,42958,865267,46.96,2.51,50.53
sdifferent,2_K,0,225412,236657,48784,115152,116451,36852,1980,2924,44,33484,894564,45.8,1.96,52.24
sdifferent,2_A,0,207252,234679,48042,120241,116451,36852,1980,2924,44,18065,925774,44.88,1.06,54.07
sdifferent,3_4,46170,389660,289050,58732,120241,116451,38232,2221,2924,44,31485,617094,62.12,1.84,36.04
sdifferent,3_5,46170,389660,288357,58732,120241,116451,38232,2221,2924,44,31363,617909,62.08,1.83,36.09
sdifferent,3_6,59130,407474,286653,59314,112910,116479,38228,2221,2924,44,30828,596099,63.39,1.8,34.81
sdifferent,3_7,71280,427692,285894,60064,105579,116507,38224,2221,2924,44,30962,570913,64.85,1.81,33.34
sdifferent,3_8,146610,483730,237000,48199,99903,118512,20556,1256,2924,44,124340,429230,67.67,7.26,25.07
sdifferent,3_9,87480,413142,269432,60588,98424,116535,37530,2221,2924,44,31770,592214,63.56,1.86,34.59
sdifferent,3_T,139320,363804,191346,33971,92679,118512,20157,990,2924,44,319323,429234,56.28,18.65,25.07
sdifferent,3_J,0,282858,231750,50778,105711,116507,36844,1980,2924,44,49800,833108,48.44,2.91,48.65
sdifferent,3_Q,0,250072,233830,49494,112408,116479,36848,1980,2924,44,42829,865396,46.96,2.5,50.54
sdifferent,3_K,0,225412,236657,48784,115152,116451,36852,1980,2924,44,33413,894635,45.8,1.95,52.25
sdifferent,3_A,0,207252,234679,48042,120241,116451,36852,1980,2924,44,18052,925787,44.88,1.05,54.07
sdifferent,4_5,46170,378300,279464,57622,118840,116455,38205,2220,2924,44,31227,640833,60.75,1.82,37.43
sdifferent,4_6,59130,396114,277760,58204,111509,116483,38201,2220,2924,44,30702,619013,62.06,1.79,36.15
sdifferent,4_7,71280,416332,277001,58954,104178,116511,38197,2220,2924,44,30836,593827,63.52,1.8,34.68
sdifferent,4_8,138510,471408,233501,47795,99903,118512,20556,1256,2924,44,122283,455612,66.25,7.14,26.61
sdifferent,4_9,87480,412640,268739,60588,97055,116535,37530,2221,2924,44,31758,594790,63.41,1.85,34.74
sdifferent,4_T,139320,360132,189695,33803,91336,118512,20157,990,2924,44,317678,437713,55.88,18.55,25.56
sdifferent,4_J,0,279318,230519,50610,104368,116507,36844,1980,2924,44,49829,839361,48.07,2.91,49.02
sdifferent,4_Q,0,246532,232599,49326,111065,116479,36848,1980,2924,44,42800,871707,46.59,2.5,50.91
sdifferent,4_K,0,221872,235426,48616,113809,116451,36852,1980,2924,44,33326,901004,45.43,1.95,52.62
sdifferent,4_A,0,203712,233448,47874,118898,116451,36852,1980,2924,44,17907,932214,44.51,1.05,54.44
sdifferent,5_6,59130,387264,272936,57229,111509,116483,38178,2219,2924,44,30684,633704,61.2,1.79,37.01
sdifferent,5_7,71280,404444,271430,57811,104178,116511,38174,2219,2924,44,30824,612465,62.43,1.8,35.77
sdifferent,5_8,138510,471408,232118,47795,99903,118512,20556,1256,2924,44,121701,457577,66.17,7.11,26.72
sdifferent,5_9,87480,400118,263168,59445,97055,116535,37507,2220,2924,44,31746,614062,62.28,1.85,35.86
sdifferent,5_T,139320,360132,189143,33803,91336,118512,20157,990,2924,44,316265,439678,55.85,18.47,25.68
