type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
sdifferent,2_3,70470,433602,304829,61872,58200,118302,38289,2348,129,990,9865,613408,63.6,0.58,35.82
sdifferent,2_4,68040,431062,304037,61872,58200,118302,38289,2348,129,990,9510,619525,63.26,0.56,36.18
sdifferent,2_5,65610,428522,303344,61872,58200,118302,38289,2348,129,990,9197,625501,62.93,0.54,36.53
sdifferent,2_6,65610,444056,312181,63150,54530,118298,38316,2349,129,990,8728,603967,64.22,0.51,35.27
sdifferent,2_7,73710,450046,311580,63324,58258,118298,38316,2349,129,990,8568,586736,65.23,0.5,34.27
sdifferent,2_8,76140,447910,309953,63156,56915,118298,38316,2349,129,990,8410,589738,65.07,0.49,34.44
sdifferent,2_9,78570,450450,309656,63156,56915,118298,38316,2349,129,990,8571,584904,65.34,0.5,34.16
sdifferent,2_T,93150,458904,305634,63228,47933,118326,38312,2349,129,990,8639,574710,65.93,0.5,33.56
sdifferent,2_J,172530,528232,307144,53983,41050,120359,20676,1400,129,990,34380,431431,72.8,2.01,25.2
sdifferent,2_Q,92340,425428,291628,63396,49452,118326,37622,2349,129,990,8925,621719,63.17,0.52,36.31
sdifferent,2_K,89100,427062,292859,63564,50795,118326,37622,2349,129,990,9046,620462,63.24,0.53,36.24
sdifferent,2_A,160380,504496,227872,45599,48807,120359,20247,990,129,990,127323,455112,65.99,7.44,26.58
sdifferent,3_4,63180,418894,300889,61362,58200,118302,38289,2348,129,990,9333,640388,62.06,0.55,37.4
sdifferent,3_5,60750,416354,300196,61362,58200,118302,38289,2348,129,990,9035,646349,61.73,0.53,37.75
sdifferent,3_6,60750,431888,309033,62640,54530,118298,38316,2349,129,990,8566,624815,63.01,0.5,36.49
sdifferent,3_7,68850,437878,308432,62814,58258,118298,38316,2349,129,990,8406,607584,64.03,0.49,35.48
sdifferent,3_8,76140,447910,309161,63156,56915,118298,38316,2349,129,990,8398,590542,65.02,0.49,34.49
sdifferent,3_9,76140,447910,308864,63156,56915,118298,38316,2349,129,990,8382,590855,65.0,0.49,34.51
sdifferent,3_T,90720,456364,304842,63228,47933,118326,38312,2349,129,990,8450,580661,65.6,0.49,33.91
