type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
sdifferent,2_3,58320,422260,306272,62130,81960,117437,38304,2317,989,990,13132,608193,63.71,0.77,35.52
sdifferent,2_4,55890,419720,305480,62130,81960,117437,38304,2317,989,990,12777,614310,63.38,0.75,35.88
sdifferent,2_5,53460,417180,304787,62130,81960,117437,38304,2317,989,990,12464,620286,63.05,0.73,36.23
sdifferent,2_6,60750,431888,306423,62640,81960,117437,38304,2317,989,990,12025,596581,64.46,0.7,34.84
sdifferent,2_7,65610,440014,307053,62982,80617,117437,38304,2317,989,990,11997,583994,65.19,0.7,34.11
sdifferent,2_8,65610,440014,306657,62982,80617,117437,38304,2317,989,990,11971,584416,65.17,0.7,34.13
sdifferent,2_9,75330,447566,303020,63054,73286,117465,38300,2317,989,990,12036,577951,65.54,0.7,33.75
sdifferent,2_T,89910,459692,299718,63294,64304,117493,38296,2317,989,990,12230,563071,66.4,0.71,32.88
sdifferent,2_J,160380,517852,287974,53747,64734,119498,20646,1364,989,990,51356,432774,71.73,3.0,25.27
sdifferent,2_Q,89100,428726,286108,63462,65823,117493,37606,2317,989,990,12516,607174,63.81,0.73,35.46
sdifferent,2_K,160380,504496,228232,45715,71148,119498,20247,990,989,990,126847,432772,67.32,7.41,25.27
sdifferent,2_A,0,359808,236699,56964,74629,117465,36920,1980,989,990,21354,804506,51.77,1.25,46.98
sdifferent,3_4,51030,407552,302332,61620,81960,117437,38304,2317,989,990,12600,635173,62.17,0.74,37.09
sdifferent,3_5,48600,405012,301639,61620,81960,117437,38304,2317,989,990,12302,641134,61.84,0.72,37.44
sdifferent,3_6,55890,419720,303275,62130,81960,117437,38304,2317,989,990,11863,617429,63.25,0.69,36.06
sdifferent,3_7,60750,427846,303905,62472,80617,117437,38304,2317,989,990,11835,604842,63.99,0.69,35.32
sdifferent,3_8,65610,440014,305865,62982,80617,117437,38304,2317,989,990,11959,585220,65.12,0.7,34.18
sdifferent,3_9,72900,445026,302228,63054,73286,117465,38300,2317,989,990,11847,583902,65.21,0.69,34.1
sdifferent,3_T,87480,457152,298926,63294,64304,117493,38296,2317,989,990,12041,569022,66.07,0.7,33.23
sdifferent,3_J,157140,515488,285979,53747,64734,119498,20646,1364,989,990,51011,440718,71.28,2.98,25.74
sdifferent,3_Q,86670,426186,285316,63462,65823,117493,37606,2317,989,990,12327,613125,63.47,0.72,35.81
sdifferent,3_K,157140,502132,227266,45715,71148,119498,20247,990,989,990,125473,440716,66.93,7.33,25.74
sdifferent,3_A,0,357268,236699,56964,74629,117465,36920,1980,989,990,21165,807235,51.62,1.24,47.14
sdifferent,4_5,43740,392844,298590,61110,81960,117437,38304,2317,989,990,12130,661893,60.64,0.71,38.66
sdifferent,4_6,51030,407552,300226,61620,81960,117437,38304,2317,989,990,11701,638178,62.05,0.68,37.27
sdifferent,4_7,55890,415678,300856,61962,80617,117437,38304,2317,989,990,11673,625591,62.78,0.68,36.54
sdifferent,4_8,60750,427846,302816,62472,80617,117437,38304,2317,989,990,11797,605969,63.92,0.69,35.39
sdifferent,4_9,72900,445026,301535,63054,73286,117465,38300,2317,989,990,11835,584607,65.17,0.69,34.14
sdifferent,4_T,85050,454612,298233,63294,64304,117493,38296,2317,989,990,11852,574874,65.73,0.69,33.57
sdifferent,4_J,153900,513124,284083,53747,64734,119498,20646,1364,989,990,50666,448563,70.84,2.96,26.2
sdifferent,4_Q,84240,423646,284623,63462,65823,117493,37606,2317,989,990,12138,618977,63.14,0.71,36.15
sdifferent,4_K,153900,499768,226300,45715,71148,119498,20247,990,989,990,124198,448561,66.55,7.25,26.2
sdifferent,4_A,0,354728,236699,56964,74629,117465,36920,1980,989,990,20976,809964,51.47,1.23,47.3
sdifferent,5_6,46170,395384,297276,61110,81960,117437,38304,2317,989,990,11533,658834,60.85,0.67,38.48
sdifferent,5_7,51030,403510,297906,61452,80617,117437,38304,2317,989,990,11511,646241,61.59,0.67,37.74
sdifferent,5_8,55890,415678,299866,61962,80617,117437,38304,2317,989,990,11635,626619,62.73,0.68,36.6
sdifferent,5_9,68040,432858,298585,62544,73286,117465,38300,2317,989,990,11673,605257,63.97,0.68,35.35
sdifferent,5_T,85050,454612,297639,63294,64304,117493,38296,2317,989,990,11840,575480,65.7,0.69,33.61
sdifferent,5_J,150660,510760,282286,53747,64734,119498,20646,1364,989,990,50321,456309,70.41,2.94,26.65
sdifferent,5_Q,81810,421106,284029,63462,65823,117493,37606,2317,989,990,11949,624730,62.82,0.7,36.48
sdifferent,5_K,150660,497404,225334,45715,71148,119498,20247,990,989,990,123022,456307,66.17,7.18,26.65
sdifferent,5_A,0,352188,236699,56964,74629,117465,36920,1980,989,990,20787,812693,51.32,1.21,47.46
sdifferent,6_7,49410,397924,296286,61110,80617,117437,38304,2317,989,990,10862,656058,61.05,0.63,38.31
