type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
sdifferent,2_3,75330,438682,304829,61872,45372,118386,38313,2348,43,990,10195,615944,63.43,0.6,35.97
sdifferent,2_4,72900,436142,304037,61872,45372,118386,38313,2348,43,990,9840,622061,63.1,0.57,36.33
sdifferent,2_5,70470,433602,303344,61872,45372,118386,38313,2348,43,990,9527,628037,62.77,0.56,36.68
sdifferent,2_6,68040,446596,312181,63150,41702,118382,38340,2349,43,990,8882,611649,63.76,0.52,35.72
sdifferent,2_7,73710,454088,312811,63492,46773,118382,38340,2349,43,990,8678,592648,64.88,0.51,34.61
sdifferent,2_8,73710,454088,312415,63492,46773,118382,38340,2349,43,990,8652,593070,64.86,0.51,34.64
sdifferent,2_9,76140,456628,312118,63492,46773,118382,38340,2349,43,990,8813,588236,65.13,0.51,34.35
sdifferent,2_T,86670,463176,308096,63564,37791,118410,38336,2349,43,990,8881,583998,65.38,0.52,34.11
sdifferent,2_J,89100,465716,308096,63564,37791,118410,38336,2349,43,990,9046,578863,65.67,0.53,33.81
sdifferent,2_Q,91530,468256,308096,63564,37791,118410,38336,2349,43,990,9211,573728,65.96,0.54,33.51
sdifferent,2_K,179010,532960,307144,53983,41050,120443,20676,1400,43,990,21908,432697,73.45,1.28,25.27
sdifferent,2_A,166860,522580,257167,53747,35979,120443,20307,990,43,990,76818,456380,68.86,4.49,26.65
sdifferent,3_4,68040,423974,300889,61362,45372,118386,38313,2348,43,990,9663,642924,61.89,0.56,37.55
sdifferent,3_5,65610,421434,300196,61362,45372,118386,38313,2348,43,990,9365,648885,61.56,0.55,37.9
sdifferent,3_6,63180,434428,309033,62640,41702,118382,38340,2349,43,990,8720,632497,62.55,0.51,36.94
sdifferent,3_7,68850,441920,309663,62982,46773,118382,38340,2349,43,990,8516,613496,63.67,0.5,35.83
sdifferent,3_8,73710,454088,311623,63492,46773,118382,38340,2349,43,990,8640,593874,64.81,0.5,34.68
sdifferent,3_9,73710,454088,311326,63492,46773,118382,38340,2349,43,990,8624,594187,64.8,0.5,34.7
sdifferent,3_T,84240,460636,307304,63564,37791,118410,38336,2349,43,990,8692,589949,65.04,0.51,34.45
sdifferent,3_J,86670,463176,307304,63564,37791,118410,38336,2349,43,990,8857,584814,65.33,0.52,34.15
sdifferent,3_Q,89100,465716,307304,63564,37791,118410,38336,2349,43,990,9022,579679,65.62,0.53,33.85
sdifferent,3_K,175770,530596,305011,53983,41050,120443,20676,1400,43,990,21701,440641,73.0,1.27,25.73
sdifferent,3_A,163620,520216,255925,53747,35979,120443,20307,990,43,990,75720,464324,68.46,4.42,27.12
sdifferent,4_5,60750,409266,297147,60852,45372,118386,38313,2348,43,990,9193,669644,60.36,0.54,39.11
sdifferent,4_6,58320,422260,305984,62130,41702,118382,38340,2349,43,990,8558,653246,61.35,0.5,38.15
sdifferent,4_7,63990,429752,306614,62472,46773,118382,38340,2349,43,990,8354,634245,62.47,0.49,37.04
sdifferent,4_8,68850,441920,308574,62982,46773,118382,38340,2349,43,990,8478,614623,63.61,0.5,35.89
sdifferent,4_9,73710,454088,310633,63492,46773,118382,38340,2349,43,990,8612,594892,64.75,0.5,34.74
sdifferent,4_T,81810,458096,306611,63564,37791,118410,38336,2349,43,990,8503,595801,64.71,0.5,34.8
sdifferent,4_J,84240,460636,306611,63564,37791,118410,38336,2349,43,990,8668,590666,65.0,0.51,34.5
sdifferent,4_Q,86670,463176,306611,63564,37791,118410,38336,2349,43,990,8833,585531,65.29,0.52,34.2
sdifferent,4_K,172530,528232,302977,53983,41050,120443,20676,1400,43,990,21494,448486,72.55,1.26,26.19
sdifferent,4_A,160380,517852,254683,53747,35979,120443,20307,990,43,990,74721,472169,68.06,4.36,27.58
sdifferent,5_6,53460,410092,303034,61620,41702,118382,38340,2349,43,990,8390,673902,60.15,0.49,39.36
sdifferent,5_7,59130,417584,303664,61962,46773,118382,38340,2349,43,990,8192,654895,61.28,0.48,38.25
sdifferent,5_8,63990,429752,305624,62472,46773,118382,38340,2349,43,990,8316,635273,62.41,0.49,37.1
sdifferent,5_9,68850,441920,307683,62982,46773,118382,38340,2349,43,990,8450,615542,63.56,0.49,35.95
sdifferent,5_T,81810,458096,306017,63564,37791,118410,38336,2349,43,990,8491,596407,64.67,0.5,34.83
sdifferent,5_J,81810,458096,306017,63564,37791,118410,38336,2349,43,990,8479,596419,64.67,0.5,34.83
sdifferent,5_Q,84240,460636,306017,63564,37791,118410,38336,2349,43,990,8644,591284,64.96,0.5,34.53
sdifferent,5_K,169290,525868,301042,53983,41050,120443,20676,1400,43,990,21287,456232,72.11,1.24,26.64
sdifferent,5_A,157140,515488,253441,53747,35979,120443,20307,990,43,990,73821,479915,67.66,4.31,28.03
sdifferent,6_7,54270,410092,302044,61620,41702,118382,38340,2349,43,990,7525,674947,60.14,0.44,39.42
sdifferent,6_8,59130,422260,304004,62130,41702,118382,38340,2349,43,990,7653,655321,61.28,0.45,38.27
sdifferent,6_9,63990,434428,306063,62640,41702,118382,38340,2349,43,990,7787,635590,62.43,0.45,37.12
sdifferent,6_T,76950,450604,304397,63222,32720,118410,38336,2349,43,990,7828,616455,63.54,0.46,36.0
sdifferent,6_J,81810,462772,306753,63732,32720,118410,38336,2349,43,990,7966,596423,64.7,0.47,34.83
sdifferent,6_Q,81810,462772,306753,63732,32720,118410,38336,2349,43,990,7954,596435,64.7,0.46,34.83
