type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
sdifferent,2_3,72900,436142,304829,61872,51786,118344,38301,2348,86,990,10030,614676,63.52,0.59,35.9
sdifferent,2_4,70470,433602,304037,61872,51786,118344,38301,2348,86,990,9675,620793,63.18,0.57,36.25
sdifferent,2_5,68040,431062,303344,61872,51786,118344,38301,2348,86,990,9362,626769,62.85,0.55,36.6
sdifferent,2_6,65610,444056,312181,63150,48116,118340,38328,2349,86,990,8717,610381,63.84,0.51,35.65
sdifferent,2_7,73710,454088,312811,63492,53187,118340,38328,2349,86,990,8689,586234,65.26,0.51,34.24
sdifferent,2_8,73710,450046,311184,63324,51844,118340,38328,2349,86,990,8531,593572,64.84,0.5,34.67
sdifferent,2_9,76140,452586,310887,63324,51844,118340,38328,2349,86,990,8692,588738,65.11,0.51,34.38
sdifferent,2_T,89910,461040,306865,63396,42862,118368,38324,2349,86,990,8760,579354,65.65,0.51,33.83
sdifferent,2_J,92340,463580,306865,63396,42862,118368,38324,2349,86,990,8925,574219,65.94,0.52,33.53
sdifferent,2_Q,175770,530596,307144,53983,41050,120401,20676,1400,86,990,28144,432064,73.12,1.64,25.23
sdifferent,2_K,91530,429602,292859,63564,44381,118368,37634,2349,86,990,9211,621730,63.15,0.54,36.31
sdifferent,2_A,163620,520216,241975,49687,42393,120401,20277,990,86,990,95923,455746,67.78,5.6,26.62
sdifferent,3_4,65610,421434,300889,61362,51786,118344,38301,2348,86,990,9498,641656,61.97,0.55,37.47
sdifferent,3_5,63180,418894,300196,61362,51786,118344,38301,2348,86,990,9200,647617,61.64,0.54,37.82
sdifferent,3_6,60750,431888,309033,62640,48116,118340,38328,2349,86,990,8555,631229,62.64,0.5,36.86
sdifferent,3_7,68850,441920,309663,62982,53187,118340,38328,2349,86,990,8527,607082,64.05,0.5,35.45
sdifferent,3_8,73710,450046,310392,63324,51844,118340,38328,2349,86,990,8519,594376,64.79,0.5,34.71
