type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
sdifferent,2_3,51030,407552,300541,61272,115804,116492,38280,2285,1935,990,16584,599539,64.02,0.97,35.01
sdifferent,2_4,48600,405012,299749,61272,115804,116492,38280,2285,1935,990,16229,605656,63.68,0.95,35.37
sdifferent,2_5,48600,405012,299056,61272,115804,116492,38280,2285,1935,990,16092,606486,63.64,0.94,35.42
sdifferent,2_6,55890,415678,299461,61614,114461,116492,38280,2285,1935,990,15521,589697,64.65,0.91,34.44
sdifferent,2_7,60750,427846,301322,62124,114461,116492,38280,2285,1935,990,15625,570194,65.79,0.91,33.3
sdifferent,2_8,68040,432858,297586,62196,107130,116520,38276,2285,1935,990,15503,568985,65.87,0.91,33.23
sdifferent,2_9,78570,443448,294669,62436,99799,116548,38272,2285,1935,990,15694,557658,66.52,0.92,32.57
sdifferent,2_T,149040,503166,269352,52503,93489,118553,20616,1328,1935,990,73628,427704,70.72,4.3,24.98
sdifferent,2_J,89910,425714,278027,62786,92336,116576,37578,2285,1935,990,16193,587974,64.72,0.95,34.34
sdifferent,2_Q,149040,467550,214119,41431,99903,118553,20217,990,1935,990,169874,427702,65.1,9.92,24.98
sdifferent,2_K,0,348712,234520,54768,101142,116548,36892,1980,1935,990,33810,781007,52.41,1.97,45.61
sdifferent,2_A,0,305400,234622,52162,108473,116520,36896,1980,1935,990,35561,817765,50.17,2.08,47.76
sdifferent,3_4,43740,392844,296601,60762,115804,116492,38280,2285,1935,990,16052,626519,62.47,0.94,36.59
sdifferent,3_5,43740,392844,295908,60762,115804,116492,38280,2285,1935,990,15930,627334,62.43,0.93,36.64
sdifferent,3_6,51030,403510,296313,61104,114461,116492,38280,2285,1935,990,15359,610545,63.45,0.9,35.66
sdifferent,3_7,55890,415678,298174,61614,114461,116492,38280,2285,1935,990,15463,591042,64.58,0.9,34.52
sdifferent,3_8,68040,432858,296794,62196,107130,116520,38276,2285,1935,990,15491,569789,65.82,0.9,33.28
sdifferent,3_9,76140,440908,293877,62436,99799,116548,38272,2285,1935,990,15505,563609,66.18,0.91,32.92
sdifferent,3_T,145800,500802,267495,52503,93489,118553,20616,1328,1935,990,73145,435648,70.29,4.27,25.44
sdifferent,3_J,87480,423174,277235,62786,92336,116576,37578,2285,1935,990,16004,593925,64.38,0.93,34.69
sdifferent,3_Q,145800,465186,213291,41431,99903,118553,20217,990,1935,990,168362,435646,64.73,9.83,25.44
sdifferent,3_K,0,346172,234520,54768,101142,116548,36892,1980,1935,990,33621,783736,52.27,1.96,45.77
sdifferent,3_A,0,302860,234622,52162,108473,116520,36896,1980,1935,990,35372,820494,50.02,2.07,47.92
sdifferent,4_5,38880,380676,292859,60252,115804,116492,38280,2285,1935,990,15758,648093,61.23,0.92,37.85
sdifferent,4_6,46170,391342,293264,60594,114461,116492,38280,2285,1935,990,15197,631294,62.24,0.89,36.87
sdifferent,4_7,51030,403510,295125,61104,114461,116492,38280,2285,1935,990,15301,611791,63.38,0.89,35.73
sdifferent,4_8,63180,420690,293745,61686,107130,116520,38276,2285,1935,990,15329,590538,64.62,0.9,34.49
sdifferent,4_9,76140,440908,293184,62436,99799,116548,38272,2285,1935,990,15493,564314,66.14,0.9,32.96
sdifferent,4_T,142560,498438,265737,52503,93489,118553,20616,1328,1935,990,72662,443493,69.86,4.24,25.9
sdifferent,4_J,85050,420634,276542,62786,92336,116576,37578,2285,1935,990,15815,599777,64.05,0.92,35.03
sdifferent,4_Q,142560,462822,212463,41431,99903,118553,20217,990,1935,990,166949,443491,64.35,9.75,25.9
sdifferent,4_K,0,343632,234520,54768,101142,116548,36892,1980,1935,990,33432,786465,52.12,1.95,45.93
sdifferent,4_A,0,300320,234622,52162,108473,116520,36896,1980,1935,990,35183,823223,49.87,2.05,48.08
sdifferent,5_6,41310,383216,291545,60252,114461,116492,38280,2285,1935,990,15179,646359,61.37,0.89,37.75
sdifferent,5_7,46170,395384,293406,60762,114461,116492,38280,2285,1935,990,15289,626850,62.5,0.89,36.61
sdifferent,5_8,55890,410658,292026,61344,107130,116520,38276,2285,1935,990,15317,609933,63.48,0.89,35.62
sdifferent,5_9,68040,430876,291465,62094,99799,116548,38272,2285,1935,990,15481,584519,64.96,0.9,34.14
