type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
ssame,3_4,83265,393615,284352,63837,45615,66079,36780,2221,172,44,36893,699431,57.0,2.15,40.85
ssame,3_5,83265,393615,283488,63837,45615,66079,36780,2221,172,44,36881,700307,56.95,2.15,40.9
ssame,3_6,83265,399909,291135,65070,45132,66079,36780,2221,129,44,36278,686262,57.8,2.12,40.08
ssame,3_7,86010,405267,297489,66114,39993,66121,36780,2221,86,44,36239,675940,58.41,2.12,39.48
ssame,3_8,98820,414579,296790,66297,44319,67110,36780,2221,43,44,36065,649236,59.98,2.11,37.92
ssame,3_9,102480,412326,294957,66108,42861,67153,36780,2221,0,44,36242,651132,59.86,2.12,38.03
ssame,3_J,0,202260,246600,53298,42861,0,36090,1980,44,0,26077,1103094,34.06,1.52,64.42
ssame,3_Q,0,205002,248001,53487,44319,0,36090,1980,87,0,19239,1104099,34.4,1.12,64.48
ssame,3_K,0,207744,249402,53676,45777,0,36090,1980,130,0,15042,1102463,34.74,0.88,64.38
ssame,3_A,0,203790,242508,52632,45696,0,36090,1980,173,0,11245,1118190,34.04,0.66,65.3
ssame,4_5,77775,381063,279981,63276,45615,65176,36780,2221,172,44,36707,723494,55.6,2.14,42.25
ssame,4_6,77775,387357,287628,64509,45132,65176,36780,2221,129,44,36104,709449,56.46,2.11,41.43
ssame,4_7,80520,392715,293982,65553,39993,65218,36780,2221,86,44,36065,699127,57.06,2.11,40.83
ssame,4_8,93330,402027,293283,65736,44319,66207,36780,2221,43,44,35891,672423,58.63,2.1,39.27
ssame,4_9,102480,412326,294093,66108,42861,67153,36780,2221,0,44,36230,652008,59.81,2.12,38.08
ssame,4_J,0,200808,246600,53298,42861,0,36090,1980,44,0,25875,1104748,33.97,1.51,64.52
ssame,4_Q,0,203550,248001,53487,44319,0,36090,1980,87,0,19037,1105753,34.31,1.11,64.58
ssame,4_K,0,206292,249402,53676,45777,0,36090,1980,130,0,14840,1104117,34.65,0.87,64.48
ssame,4_A,0,202338,242508,52632,45696,0,36090,1980,173,0,11043,1119844,33.96,0.64,65.4
ssame,5_6,72285,378837,285630,64137,45132,64273,36780,2221,129,44,36092,726744,55.45,2.11,42.44
ssame,5_7,72285,382065,291984,65181,39993,64273,36780,2221,86,44,36053,721339,55.77,2.11,42.13
ssame,5_8,84180,391377,291285,65364,44319,65261,36780,2221,43,44,35879,695551,57.28,2.1,40.62
ssame,5_9,93330,387636,292095,65309,42861,66207,36780,2221,0,44,50685,675136,57.61,2.96,39.43
ssame,5_J,0,200808,246600,53298,42861,0,36090,1980,44,0,25863,1104760,33.97,1.51,64.52
ssame,5_Q,0,203550,248001,53487,44319,0,36090,1980,87,0,19025,1105765,34.31,1.11,64.58
ssame,5_K,0,206292,249402,53676,45777,0,36090,1980,130,0,14828,1104129,34.65,0.87,64.48
ssame,5_A,0,202338,242508,52632,45696,0,36090,1980,173,0,11031,1119856,33.96,0.64,65.4
ssame,6_7,72285,373359,283470,64137,32670,64273,36780,2221,86,44,35342,747637,54.27,2.06,43.66
ssame,6_8,80520,367203,282771,63893,43512,65218,36780,2221,86,44,48933,721123,55.03,2.86,42.11
ssame,6_9,89670,355038,283581,63411,42054,66164,36780,2221,43,44,58825,714473,54.84,3.44,41.73
ssame,6_J,0,204276,248001,53487,42108,0,36090,1980,43,0,25287,1101032,34.22,1.48,64.3
ssame,6_Q,0,203550,248001,53487,43593,0,36090,1980,87,0,18287,1107229,34.27,1.07,64.66
ssame,6_K,0,206292,249402,53676,45051,0,36090,1980,130,0,14090,1105593,34.61,0.82,64.57
ssame,6_A,0,209760,250803,53865,45213,0,36090,1980,130,0,10428,1104035,34.91,0.61,64.48
