type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
ssame,2_4,59475,352755,269964,55544,71718,67145,37434,2093,86,0,219007,577083,53.51,12.79,33.7
ssame,2_5,63135,350502,267807,55355,70260,67188,37434,2093,43,0,219184,579303,53.37,12.8,33.83
ssame,2_7,0,251982,258036,53100,78696,0,36744,1980,0,0,136476,895290,39.74,7.97,52.29
ssame,2_8,0,246900,257199,53199,81453,0,36744,1980,990,0,85403,948436,39.62,4.99,55.39
ssame,2_9,0,245448,257199,53199,87237,0,36744,1980,990,0,54906,974601,39.88,3.21,56.92
ssame,2_T,0,246738,258600,53388,87780,0,36744,1980,1032,0,36278,989764,40.08,2.12,57.8
ssame,2_J,0,250206,260001,53577,82722,0,36744,1980,1032,0,26097,999945,40.08,1.52,58.4
ssame,2_Q,0,250206,260001,53577,89964,0,36744,1980,1075,0,19448,999309,40.5,1.14,58.36
ssame,2_K,0,251658,260001,53577,89964,0,36744,1980,1075,0,15279,1002026,40.59,0.89,58.52
ssame,2_A,0,245850,255816,52488,89964,0,36744,1980,1075,0,11645,1016742,39.94,0.68,59.38
ssame,4_5,63135,297558,226089,54194,60099,67188,36744,2093,43,0,218809,686352,47.14,12.78,40.08
ssame,4_7,0,198474,218583,51939,68535,0,36054,1980,0,0,136209,1000530,33.61,7.95,58.43
ssame,4_8,0,197022,234945,52011,73053,0,36054,1980,0,0,85244,1031995,34.75,4.98,60.27
ssame,4_9,0,206460,240075,53289,77586,0,36054,1980,0,0,54747,1042113,35.94,3.2,60.86
ssame,4_T,0,204282,240075,53289,78156,0,36054,1980,43,0,35957,1062468,35.85,2.1,62.05
ssame,4_J,0,207750,241476,53478,73098,0,36054,1980,43,0,25776,1072649,35.85,1.51,62.64
ssame,4_Q,0,207750,241476,53478,80340,0,36054,1980,86,0,19127,1072013,36.28,1.12,62.61
ssame,4_K,0,209202,241476,53478,80340,0,36054,1980,86,0,14958,1074730,36.36,0.87,62.77
ssame,4_A,0,199764,236346,52200,80340,0,36054,1980,86,0,11324,1094210,35.44,0.66,63.9
ssame,5_7,0,188394,209856,50706,66996,0,36054,1980,0,0,136062,1022256,32.35,7.95,59.7
ssame,5_8,0,186942,226218,50778,71514,0,36054,1980,0,0,85097,1053721,33.49,4.97,61.54
ssame,5_9,0,196380,231348,52056,76047,0,36054,1980,0,0,54600,1063839,34.68,3.19,62.13
ssame,5_T,0,205008,240075,53289,76860,0,36054,1980,0,0,35945,1063093,35.82,2.1,62.09
ssame,5_J,0,205008,240075,53289,71640,0,36054,1980,0,0,25602,1078656,35.51,1.5,62.99
ssame,5_Q,0,205008,240075,53289,78882,0,36054,1980,43,0,18953,1078020,35.94,1.11,62.96
ssame,5_K,0,206460,240075,53289,78882,0,36054,1980,43,0,14784,1080737,36.02,0.86,63.12
ssame,5_A,0,197022,234945,52011,78882,0,36054,1980,43,0,11150,1100217,35.1,0.65,64.25
ssame,7_8,0,137214,205185,49455,74004,0,35364,1980,990,0,79333,1128779,29.45,4.63,65.92
ssame,7_9,0,143022,209478,50544,83757,0,35364,1980,990,0,52817,1134352,30.67,3.08,66.25
ssame,7_T,0,148830,217881,51777,84570,0,35364,1980,990,0,35060,1135852,31.62,2.05,66.33
ssame,7_J,0,156090,226176,53010,80889,0,35364,1980,990,0,24987,1132818,32.38,1.46,66.16
ssame,7_Q,0,159720,227013,53199,86673,0,35364,1980,990,0,18338,1129027,32.99,1.07,65.94
ssame,7_K,0,159720,227013,53199,86673,0,35364,1980,990,0,13979,1133386,32.99,0.82,66.19
ssame,7_A,0,161172,227013,53199,86673,0,35364,1980,990,0,10345,1135568,33.08,0.6,66.32
ssame,8_9,0,133584,210513,50265,85788,0,35364,1980,1935,0,49733,1143142,30.34,2.9,66.76
