type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
ssame,2_3,83265,498030,341622,67821,48612,66079,38280,2349,215,44,11241,554746,66.95,0.66,32.4
ssame,2_4,83265,493434,339357,67632,47154,66079,38280,2349,172,44,11067,563471,66.45,0.65,32.91
ssame,2_5,86010,490968,337200,67443,45696,66121,38280,2349,129,44,10893,567171,66.24,0.64,33.12
ssame,2_6,89670,506160,345819,68676,39993,66164,38280,2349,86,44,10290,544773,67.58,0.6,31.82
ssame,2_7,102480,514908,345120,68859,44319,67153,38280,2349,43,44,10116,518633,69.12,0.59,30.29
ssame,2_9,102480,469788,327678,68859,44508,67153,37590,2349,44,44,10092,581719,65.44,0.59,33.97
ssame,2_T,98820,466932,327354,68859,44319,67110,37590,2349,87,0,10080,588804,65.02,0.59,34.39
ssame,2_J,95160,468834,328539,69048,45777,67067,37590,2349,130,0,10230,587580,65.09,0.6,34.32
ssame,2_Q,92415,470736,329832,69237,46320,67025,37590,2349,172,0,10380,586248,65.16,0.61,34.24
ssame,2_K,92415,474768,331233,69426,41262,67025,37590,2349,172,0,10530,585534,65.19,0.61,34.2
ssame,3_4,77775,484350,337251,67260,47154,65176,38280,2349,172,44,11055,581438,65.4,0.65,33.96
ssame,3_5,77775,479754,335094,67071,45696,65176,38280,2349,129,44,10881,590055,64.9,0.64,34.46
ssame,3_6,80520,494946,343713,68304,39993,65218,38280,2349,86,44,10278,568573,66.19,0.6,33.21
ssame,3_7,93330,503694,343014,68487,44319,66207,38280,2349,43,44,10104,542433,67.73,0.59,31.68
ssame,3_9,102480,469788,326814,68859,44508,67153,37590,2349,44,44,10080,582595,65.39,0.59,34.02
ssame,3_T,98820,466932,326490,68859,44319,67110,37590,2349,87,0,10068,589680,64.97,0.59,34.44
ssame,3_J,95160,468834,327675,69048,45777,67067,37590,2349,130,0,10218,588456,65.04,0.6,34.37
ssame,3_Q,92415,470736,328968,69237,46320,67025,37590,2349,172,0,10368,587124,65.11,0.61,34.29
ssame,3_K,92415,474768,330369,69426,41262,67025,37590,2349,172,0,10518,586410,65.14,0.61,34.25
ssame,4_5,77775,466854,325071,65838,44157,65176,38280,2349,129,44,10734,615897,63.4,0.63,35.97
ssame,4_6,80520,482046,333690,67071,38454,65218,38280,2349,86,44,10131,594415,64.69,0.59,34.71
ssame,4_7,93330,490794,332991,67254,42780,66207,38280,2349,43,44,9957,568275,66.23,0.58,33.19
