type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
ssame,2_3,74115,499152,346002,68682,44367,65133,38268,2317,215,44,15065,558944,66.48,0.88,32.64
ssame,2_4,74115,494556,343737,68493,42909,65133,38268,2317,172,44,14891,567669,65.98,0.87,33.15
ssame,2_5,76860,492090,341580,68304,41451,65175,38268,2317,129,44,14717,571369,65.77,0.86,33.37
ssame,2_6,89670,506160,342039,68676,39993,66164,38268,2317,86,44,14114,544773,67.36,0.82,31.82
ssame,2_7,98820,517374,342741,69048,38535,67110,38268,2317,43,44,14102,523902,68.58,0.82,30.6
ssame,2_9,98820,468060,324462,68859,38724,67110,37578,2317,44,44,14078,592208,64.59,0.82,34.59
ssame,2_T,99735,466608,324138,68859,38535,67111,37578,2317,87,0,14066,593270,64.53,0.82,34.65
ssame,2_J,96075,468510,325323,69048,39993,67068,37578,2317,130,0,14216,592046,64.59,0.83,34.58
ssame,2_Q,92415,471138,326616,69237,40725,67025,37578,2317,173,0,14366,590714,64.66,0.84,34.5
ssame,2_A,0,317484,270483,56244,42909,0,36888,1980,216,0,44530,941570,42.41,2.6,54.99
ssame,3_4,68625,485472,341631,68121,42909,64230,38268,2317,172,44,14879,585636,64.93,0.87,34.2
ssame,3_5,68625,480876,339474,67932,41451,64230,38268,2317,129,44,14705,594253,64.44,0.86,34.7
ssame,3_6,80520,494946,339933,68304,39993,65218,38268,2317,86,44,14102,568573,65.97,0.82,33.21
ssame,3_7,89670,506160,340635,68676,38535,66164,38268,2317,43,44,14090,547702,67.19,0.82,31.99
ssame,3_9,98820,468060,323598,68859,38724,67110,37578,2317,44,44,14066,593084,64.54,0.82,34.64
ssame,3_T,99735,466608,323274,68859,38535,67111,37578,2317,87,0,14054,594146,64.48,0.82,34.7
ssame,3_J,96075,468510,324459,69048,39993,67068,37578,2317,130,0,14204,592922,64.54,0.83,34.63
ssame,3_Q,92415,471138,325752,69237,40725,67025,37578,2317,173,0,14354,591590,64.61,0.84,34.55
ssame,3_A,0,317484,270483,56244,42909,0,36888,1980,216,0,44518,941582,42.41,2.6,54.99
ssame,4_5,68625,467976,329451,66699,39912,64230,38268,2317,129,44,14558,620095,62.94,0.85,36.21
ssame,4_6,80520,482046,329910,67071,38454,65218,38268,2317,86,44,13955,594415,64.47,0.81,34.71
ssame,4_7,89670,493260,330612,67443,36996,66164,38268,2317,43,44,13943,573544,65.69,0.81,33.5
ssame,4_9,98820,467496,322842,68859,37239,67110,37578,2317,0,44,14054,595945,64.38,0.82,34.8
ssame,4_T,99735,462576,321117,68670,37077,67111,37578,2317,44,0,13880,602199,64.02,0.81,35.17
ssame,4_J,96075,464478,322302,68859,38535,67068,37578,2317,87,0,14030,600975,64.08,0.82,35.1
ssame,4_Q,92415,467106,323595,69048,39267,67025,37578,2317,130,0,14180,599643,64.15,0.83,35.02
ssame,4_A,0,313452,269082,56055,41451,0,36888,1980,173,0,44344,948879,41.99,2.59,55.42
ssame,5_6,80520,469710,319995,65838,36915,65218,38268,2317,86,44,13808,619585,63.01,0.81,36.18
ssame,5_7,89670,480924,320697,66210,35457,66164,38268,2317,43,44,13796,598714,64.23,0.81,34.97
ssame,5_9,98820,457980,313359,67626,35700,67110,37578,2317,0,44,13907,617863,63.1,0.81,36.08
ssame,5_T,103395,464142,320469,68670,35592,67154,37578,2317,0,0,13868,599119,64.2,0.81,34.99
ssame,5_J,98820,462576,320253,68670,37077,67110,37578,2317,44,0,13856,604003,63.92,0.81,35.27
ssame,5_Q,95160,465204,321546,68859,37809,67067,37578,2317,87,0,14006,602671,63.99,0.82,35.2
ssame,5_A,0,310848,267681,55866,39993,0,36888,1980,130,0,44872,954046,41.66,2.62,55.72
ssame,6_7,93330,471444,310890,64977,33918,66207,38268,2317,43,44,12923,617943,63.16,0.75,36.09
ssame,6_9,102480,451320,303984,66393,34161,67153,37578,2317,0,44,13035,633839,62.22,0.76,37.02
ssame,6_T,107055,457482,311094,67437,34053,67197,37578,2317,0,0,12996,615095,63.32,0.76,35.92
ssame,6_J,107055,466998,319713,68670,35592,67197,37578,2317,0,0,13119,594065,64.54,0.77,34.69
ssame,6_Q,102480,466158,319605,68670,36351,67153,37578,2317,44,0,13107,598841,64.26,0.77,34.97
ssame,6_A,0,322950,268518,56238,38535,0,36888,1980,87,0,44836,942272,42.35,2.62,55.03
ssame,7_9,105225,444660,294717,65160,32622,67195,37578,2317,0,44,13077,649709,61.29,0.76,37.94
ssame,7_T,109800,450822,301827,66204,32514,67239,37578,2317,0,0,13038,630965,62.39,0.76,36.85
ssame,7_J,109800,460338,310446,67437,34053,67239,37578,2317,0,0,13161,609935,63.61,0.77,35.62
ssame,7_Q,109800,470418,319173,68670,35028,67239,37578,2317,0,0,13284,588797,64.84,0.78,34.39
ssame,7_A,0,250848,267117,53487,37077,0,36888,1980,44,0,116020,948843,37.81,6.78,55.41
ssame,9_T,108885,391746,273819,63738,32622,67238,36888,2317,44,0,13231,721776,57.07,0.77,42.15
ssame,9_J,108885,398442,282006,64971,34161,67238,36888,2317,44,0,13354,703998,58.11,0.78,41.11
ssame,9_Q,108885,270216,290301,59799,35136,67238,36888,2317,44,0,155368,686112,50.86,9.07,40.07
ssame,9_A,0,206292,252453,53487,37239,0,36198,1980,44,0,9586,1115025,34.32,0.56,65.12
ssame,T_J,105225,248040,272523,57333,33918,67195,36888,2317,87,0,153856,734922,48.09,8.99,42.92
