type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
ssame,2_3,63135,471792,336963,67133,99045,63327,38268,2285,1978,44,18953,549381,66.81,1.11,32.08
ssame,2_4,63135,471792,336099,67133,99045,63327,38268,2285,1978,44,18941,550257,66.76,1.11,32.14
ssame,2_5,63135,467196,333942,66944,97587,63327,38268,2285,1935,44,18767,558874,66.27,1.1,32.64
ssame,2_6,75030,481266,334401,67316,96129,64315,38268,2285,1892,44,18164,533194,67.8,1.06,31.14
ssame,2_7,80520,494946,336504,67877,96129,65218,38268,2285,1892,44,18314,510307,69.13,1.07,29.8
ssame,2_8,89670,500520,332232,67961,87963,66164,38268,2285,946,44,18167,508084,69.27,1.06,29.67
ssame,2_T,102480,472212,312732,68234,79797,67153,37578,2285,44,0,18333,551456,66.72,1.07,32.21
ssame,2_J,98820,474114,314025,68423,81255,67110,37578,2285,87,0,18483,550124,66.79,1.08,32.13
ssame,2_K,0,358248,266697,57847,90315,0,36888,1980,1076,0,43922,855331,47.48,2.57,49.95
ssame,2_A,0,309210,267732,55677,93261,0,36888,1980,2022,0,44558,900976,44.78,2.6,52.62
ssame,3_4,57645,458112,332592,66572,99045,62424,38268,2285,1978,44,18767,574572,65.35,1.1,33.56
ssame,3_5,57645,453516,330435,66383,97587,62424,38268,2285,1935,44,18593,583189,64.86,1.09,34.06
ssame,3_6,69540,467586,330894,66755,96129,63412,38268,2285,1892,44,17990,557509,66.39,1.05,32.56
ssame,3_7,75030,481266,332997,67316,96129,64315,38268,2285,1892,44,18140,534622,67.72,1.06,31.22
ssame,3_8,89670,500520,331368,67961,87963,66164,38268,2285,946,44,18155,508960,69.22,1.06,29.72
ssame,3_T,99735,469356,311868,68234,79797,67111,37578,2285,44,0,18131,558165,66.34,1.06,32.6
ssame,3_J,96075,471258,313161,68423,81255,67068,37578,2285,87,0,18281,556833,66.41,1.07,32.52
ssame,3_K,0,355392,266697,57847,90315,0,36888,1980,1076,0,43720,858389,47.32,2.55,50.13
ssame,3_A,0,306354,267732,55677,93261,0,36888,1980,2022,0,44356,904034,44.61,2.59,52.8
ssame,4_5,52155,444432,328437,66011,97587,61521,38268,2285,1935,44,18581,601048,63.81,1.09,35.1
ssame,4_6,61305,456372,328896,66383,96129,62467,38268,2285,1892,44,17978,580285,65.06,1.05,33.89
ssame,4_7,66795,470052,330999,66944,96129,63370,38268,2285,1892,44,18128,557398,66.39,1.06,32.55
ssame,4_8,80520,489306,329370,67589,87963,65218,38268,2285,946,44,18143,532652,67.83,1.06,31.11
ssame,4_T,99735,469356,311112,68234,79797,67111,37578,2285,44,0,18119,558933,66.3,1.06,32.64
ssame,4_J,96075,471258,312405,68423,81255,67068,37578,2285,87,0,18269,557601,66.37,1.07,32.56
ssame,4_K,0,355392,266697,57847,90315,0,36888,1980,1076,0,43708,858401,47.32,2.55,50.13
ssame,4_A,0,306354,267732,55677,93261,0,36888,1980,2022,0,44344,904046,44.61,2.59,52.8
ssame,5_6,61305,443472,318981,65150,94590,62467,38268,2285,1892,44,17831,606019,63.57,1.04,35.39
ssame,5_7,66795,457152,321084,65711,94590,63370,38268,2285,1892,44,17981,583132,64.89,1.05,34.06
ssame,5_8,80520,476406,319455,66356,86424,65218,38268,2285,946,44,17996,558386,66.34,1.05,32.61
ssame,5_T,99735,468792,310464,68234,78312,67111,37578,2285,0,0,18107,561686,66.14,1.06,32.8
ssame,5_J,96075,467226,310356,68234,79797,67068,37578,2285,44,0,18095,565546,65.91,1.06,33.03
ssame,5_K,0,351360,265296,57658,88857,0,36888,1980,1033,0,43534,865698,46.9,2.54,50.56
ssame,5_A,0,302322,266331,55488,91803,0,36888,1980,1979,0,44170,911343,44.2,2.58,53.22
ssame,6_7,70455,447672,311277,64478,93051,63413,38268,2285,1892,44,17108,602361,63.82,1.0,35.18
ssame,6_8,84180,466926,309648,65123,84885,65261,38268,2285,946,44,17124,577614,65.27,1.0,33.73
ssame,6_T,103395,462132,301089,67001,76773,67154,37578,2285,0,0,17235,577662,65.26,1.01,33.74
ssame,6_J,103395,471648,309816,68234,78312,67154,37578,2285,0,0,17358,556524,66.48,1.01,32.5
ssame,6_K,0,351612,263895,57469,87399,0,36888,1980,990,0,43337,868734,46.73,2.53,50.73
ssame,6_A,0,314424,267168,55860,90345,0,36888,1980,1936,0,44134,899569,44.89,2.58,52.54
ssame,7_8,86925,459702,304491,64034,84885,65303,38268,2285,946,44,17301,588120,64.64,1.01,34.35
ssame,7_T,106140,450714,295095,65723,76773,67196,37578,2285,0,0,17412,593388,64.33,1.02,34.65
ssame,7_J,106140,460230,303822,66956,78312,67196,37578,2285,0,0,17535,572250,65.56,1.02,33.42
ssame,7_K,0,354468,263895,57469,87399,0,36888,1980,990,0,43514,865701,46.9,2.54,50.56
ssame,7_A,0,246330,267168,53298,90345,0,36888,1980,1936,0,114778,899581,40.76,6.7,52.54
ssame,8_T,108885,456954,278196,65651,68151,67238,37578,2285,0,0,17482,609884,63.36,1.02,35.62
ssame,8_J,108885,466470,286923,66884,69690,67238,37578,2285,0,0,17605,588746,64.59,1.03,34.38
ssame,8_K,0,250854,263868,53100,79422,0,36888,1980,0,0,155368,870824,40.07,9.07,50.86
ssame,8_A,0,245772,263031,53199,82179,0,36888,1980,990,0,9463,1018802,39.95,0.55,59.5
ssame,T_J,107970,252768,245853,56756,61014,67237,36888,2285,44,0,187307,694182,48.52,10.94,40.54
ssame,T_K,0,198474,223767,51939,70746,0,36198,1980,44,0,13562,1115594,34.06,0.79,65.15
ssame,T_A,0,197022,240129,52011,75264,0,36198,1980,44,0,9656,1100000,35.2,0.56,64.24
ssame,J_K,0,201216,225168,52128,72204,0,36198,1980,87,0,13712,1109611,34.4,0.8,64.8
ssame,J_A,0,199764,241530,52200,76722,0,36198,1980,87,0,9806,1094017,35.54,0.57,63.89
ssame,K_A,0,158994,230058,52488,80562,0,35508,1980,1076,0,10079,1141559,32.74,0.59,66.67
