type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
ssame,2_3,60390,460968,334590,66633,123489,62466,38292,2285,1892,990,18816,541493,67.28,1.1,31.62
ssame,2_4,57645,458112,333726,66633,123489,62424,38292,2285,1892,990,18614,548202,66.9,1.09,32.02
ssame,2_5,54900,455256,332970,66633,123489,62382,38292,2285,1892,990,18412,554803,66.52,1.08,32.4
ssame,2_6,63135,471792,334830,67194,123489,63327,38292,2285,1892,990,17971,527107,68.17,1.05,30.78
ssame,2_7,68625,485472,336933,67755,123489,64230,38292,2285,1892,990,18121,504220,69.49,1.06,29.45
ssame,2_8,74115,488916,332661,67839,115323,65133,38292,2285,946,990,17974,507830,69.29,1.05,29.66
ssame,2_9,85095,500814,329307,68112,107157,66120,38292,2285,0,990,18152,495980,69.97,1.06,28.97
ssame,2_T,101565,515166,325362,68324,97182,67152,38292,2285,0,0,18526,478450,70.98,1.08,27.94
ssame,2_K,0,416592,263184,62384,107157,0,36912,1980,990,0,31537,791568,51.93,1.84,46.23
ssame,2_A,0,374592,263382,59232,115323,0,36912,1980,1936,0,30830,828117,49.84,1.8,48.36
ssame,3_4,52155,444432,330219,66072,123489,61521,38292,2285,1892,990,18440,572517,65.49,1.08,33.44
ssame,3_5,49410,441576,329463,66072,123489,61479,38292,2285,1892,990,18238,579118,65.11,1.07,33.82
ssame,3_6,57645,458112,331323,66633,123489,62424,38292,2285,1892,990,17797,551422,66.76,1.04,32.2
ssame,3_7,63135,471792,333426,67194,123489,63327,38292,2285,1892,990,17947,528535,68.08,1.05,30.87
ssame,3_8,74115,488916,331797,67839,115323,65133,38292,2285,946,990,17962,508706,69.24,1.05,29.71
ssame,3_9,82350,497958,328443,68112,107157,66078,38292,2285,0,990,17950,502689,69.59,1.05,29.36
ssame,3_T,98820,512310,324498,68324,97182,67110,38292,2285,0,0,18324,485159,70.6,1.07,28.33
ssame,3_K,0,413736,263184,62384,107157,0,36912,1980,990,0,31335,794626,51.76,1.83,46.41
ssame,3_A,0,371736,263382,59232,115323,0,36912,1980,1936,0,30628,831175,49.67,1.79,48.54
ssame,4_5,43920,427896,326064,65511,123489,60576,38292,2285,1892,990,18064,603325,63.71,1.05,35.23
ssame,4_6,52155,444432,327924,66072,123489,61521,38292,2285,1892,990,17623,575629,65.35,1.03,33.62
ssame,4_7,57645,458112,330027,66633,123489,62424,38292,2285,1892,990,17773,552742,66.68,1.04,32.28
ssame,4_8,68625,475236,328398,67278,115323,64230,38292,2285,946,990,17788,532913,67.84,1.04,31.12
ssame,4_9,82350,497958,327687,68112,107157,66078,38292,2285,0,990,17938,503457,69.55,1.05,29.4
ssame,4_T,96075,509454,323742,68324,97182,67068,38292,2285,0,0,18122,491760,70.22,1.06,28.72
ssame,4_K,0,410880,263184,62384,107157,0,36912,1980,990,0,31133,797684,51.6,1.82,46.59
ssame,4_A,0,368880,263382,59232,115323,0,36912,1980,1936,0,30426,834233,49.5,1.78,48.72
ssame,5_6,46665,430752,324633,65511,123489,60618,38292,2285,1892,990,17449,599728,63.96,1.02,35.02
ssame,5_7,52155,444432,326736,66072,123489,61521,38292,2285,1892,990,17599,576841,65.28,1.03,33.69
ssame,5_8,63135,461556,325107,66717,115323,63327,38292,2285,946,990,17614,557012,66.44,1.03,32.53
ssame,5_9,76860,484278,324396,67551,107157,65175,38292,2285,0,990,17764,527556,68.15,1.04,30.81
ssame,5_T,96075,509454,323094,68324,97182,67068,38292,2285,0,0,18110,492420,70.18,1.06,28.76
ssame,5_K,0,408024,263184,62384,107157,0,36912,1980,990,0,30931,800742,51.43,1.81,46.76
ssame,5_A,0,366024,263382,59232,115323,0,36912,1980,1936,0,30224,837291,49.34,1.77,48.9
ssame,6_7,55815,447288,326196,66072,123489,61564,38292,2285,1892,990,16861,571560,65.64,0.98,33.38
ssame,6_8,61305,455328,323325,66345,115323,62467,38292,2285,946,990,16877,568821,65.79,0.99,33.22
ssame,6_9,72285,475920,322614,67179,107157,64273,38292,2285,0,990,17027,544282,67.22,0.99,31.79
ssame,6_T,90585,501096,321312,67952,97182,66165,38292,2285,0,0,17373,510062,69.2,1.01,29.79
ssame,6_K,0,410880,263184,62384,107157,0,36912,1980,990,0,30194,798623,51.6,1.76,46.64
ssame,6_A,0,381432,265620,59793,115323,0,36912,1980,1936,0,29648,819660,50.4,1.73,47.87
ssame,7_8,64050,448104,318168,65256,115323,62509,38292,2285,946,990,17054,579327,65.17,1.0,33.83
ssame,7_9,75030,465228,316620,65901,107157,64315,38292,2285,0,990,17204,559282,66.33,1.0,32.66
ssame,7_T,93330,489678,315318,66674,97182,66207,38292,2285,0,0,17550,525788,68.27,1.02,30.71
ssame,7_K,0,413736,263184,62384,107157,0,36912,1980,990,0,30371,795590,51.76,1.77,46.46
ssame,7_A,0,381432,265620,59793,115323,0,36912,1980,1936,0,29636,819672,50.4,1.73,47.87
ssame,8_9,77775,470904,299559,65829,98535,64357,38292,2285,0,990,17274,576504,65.32,1.01,33.67
ssame,8_T,96075,495354,298257,66602,88560,66249,38292,2285,0,0,17620,543010,67.26,1.03,31.71
ssame,8_K,0,419772,263157,62346,99018,0,36912,1980,0,0,31373,797746,51.58,1.83,46.59
ssame,8_A,0,384360,261483,59694,107157,0,36912,1980,990,0,32548,827180,49.79,1.9,48.31
ssame,9_T,98820,504414,281736,66674,79938,66291,38292,2285,0,0,17690,556164,66.49,1.03,32.48
ssame,9_K,0,422628,246795,62418,90396,0,36912,1980,0,0,31443,819732,50.29,1.84,47.87
ssame,9_A,0,255054,262293,53379,99018,0,36912,1980,0,0,176723,826945,41.38,10.32,48.29
ssame,T_K,0,264726,225759,53523,79938,0,36912,1980,0,0,201238,848228,38.71,11.75,49.54
ssame,T_A,0,256506,241257,53451,88560,0,36912,1980,0,0,9876,1023762,39.63,0.58,59.79
ssame,K_A,0,172788,214422,53550,98535,0,35532,1980,990,0,10327,1124180,33.74,0.6,65.65
