type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
ssame,2_3,85095,492918,338979,67260,51330,65301,38340,2349,0,990,11779,557963,66.73,0.69,32.59
ssame,2_4,82350,490062,338115,67260,51330,65259,38340,2349,0,990,11577,564672,66.35,0.68,32.98
ssame,2_5,79605,487206,337359,67260,51330,65217,38340,2349,0,990,11375,571273,65.97,0.66,33.36
ssame,2_6,76860,502008,347379,68682,47085,65175,38340,2349,0,990,10744,552692,67.09,0.63,32.28
ssame,2_7,83265,510366,348081,69054,52869,66079,38340,2349,0,990,10542,530369,68.41,0.62,30.97
ssame,2_8,83265,510366,347649,69054,52869,66079,38340,2349,0,990,10530,530813,68.39,0.61,31.0
ssame,2_9,86010,513222,347325,69054,52869,66121,38340,2349,0,990,10708,525316,68.7,0.63,30.68
ssame,2_T,97905,520524,342705,69138,42894,67109,38340,2349,0,0,10751,520589,68.97,0.63,30.4
ssame,2_J,100650,523380,342705,69138,42894,67151,38340,2349,0,0,10929,514768,69.3,0.64,30.06
ssame,2_Q,103395,526236,342705,69138,42894,67193,38340,2349,0,0,11107,508947,69.63,0.65,29.72
ssame,3_4,76860,476382,334608,66699,51330,64356,38340,2349,0,990,11403,588987,64.94,0.67,34.4
ssame,3_5,74115,473526,333852,66699,51330,64314,38340,2349,0,990,11201,595588,64.56,0.65,34.78
ssame,3_6,71370,488328,343872,68121,47085,64272,38340,2349,0,990,10570,577007,65.69,0.62,33.7
ssame,3_7,77775,496686,344574,68493,52869,65176,38340,2349,0,990,10368,554684,67.0,0.61,32.39
ssame,3_8,83265,510366,346785,69054,52869,66079,38340,2349,0,990,10518,531689,68.33,0.61,31.05
ssame,3_9,83265,510366,346461,69054,52869,66079,38340,2349,0,990,10506,532025,68.32,0.61,31.07
ssame,3_T,95160,517668,341841,69138,42894,67067,38340,2349,0,0,10549,527298,68.59,0.62,30.79
ssame,3_J,97905,520524,341841,69138,42894,67109,38340,2349,0,0,10727,521477,68.92,0.63,30.45
ssame,3_Q,100650,523380,341841,69138,42894,67151,38340,2349,0,0,10905,515656,69.25,0.64,30.11
ssame,4_5,68625,459846,330453,66138,51330,63411,38340,2349,0,990,11027,619795,63.16,0.64,36.2
ssame,4_6,65880,474648,340473,67560,47085,63369,38340,2349,0,990,10396,601214,64.28,0.61,35.11
ssame,4_7,72285,483006,341175,67932,52869,64273,38340,2349,0,990,10194,578891,65.6,0.6,33.81
ssame,4_8,77775,496686,343386,68493,52869,65176,38340,2349,0,990,10344,555896,66.93,0.6,32.46
ssame,4_9,83265,510366,345705,69054,52869,66079,38340,2349,0,990,10494,532793,68.27,0.61,31.12
ssame,4_T,92415,514812,341085,69138,42894,67025,38340,2349,0,0,10347,533899,68.22,0.6,31.18
ssame,4_J,95160,517668,341085,69138,42894,67067,38340,2349,0,0,10525,528078,68.55,0.61,30.84
ssame,4_Q,97905,520524,341085,69138,42894,67109,38340,2349,0,0,10703,522257,68.87,0.63,30.5
ssame,5_6,60390,460968,337182,66999,47085,62466,38340,2349,0,990,10222,625313,62.88,0.6,36.52
ssame,5_7,66795,469326,337884,67371,52869,63370,38340,2349,0,990,10020,602990,64.2,0.59,35.22
ssame,5_8,72285,483006,340095,67932,52869,64273,38340,2349,0,990,10170,579995,65.53,0.59,33.87
ssame,5_9,77775,496686,342414,68493,52869,65176,38340,2349,0,990,10320,556892,66.87,0.6,32.52
ssame,5_T,92415,514812,340437,69138,42894,67025,38340,2349,0,0,10335,534559,68.18,0.6,31.22
ssame,5_J,92415,514812,340437,69138,42894,67025,38340,2349,0,0,10323,534571,68.18,0.6,31.22
ssame,5_Q,95160,517668,340437,69138,42894,67067,38340,2349,0,0,10501,528750,68.51,0.61,30.88
ssame,6_7,61305,460968,336102,66999,47085,62467,38340,2349,0,990,9282,626417,62.87,0.54,36.58
ssame,6_8,66795,474648,338313,67560,47085,63370,38340,2349,0,990,9475,603379,64.21,0.55,35.24
ssame,6_9,72285,488328,340632,68121,47085,64273,38340,2349,0,990,9625,580276,65.55,0.56,33.89
ssame,6_T,86925,506454,338655,68766,37110,66122,38340,2349,0,0,9640,557943,66.85,0.56,32.58
ssame,6_J,92415,520134,341298,69327,37110,67025,38340,2349,0,0,9790,534516,68.21,0.57,31.22
ssame,6_Q,92415,520134,341298,69327,37110,67025,38340,2349,0,0,9778,534528,68.21,0.57,31.22
ssame,7_8,61305,460968,335238,66999,54327,62467,38340,2349,43,990,9258,620020,63.25,0.54,36.21
ssame,7_9,66795,474648,337557,67560,54327,63370,38340,2349,43,990,9408,596917,64.59,0.55,34.86
ssame,7_T,81435,492774,335580,68205,44352,65219,38340,2349,43,0,9423,574584,65.89,0.55,33.56
ssame,7_J,86925,506454,338223,68766,44352,66122,38340,2349,43,0,9573,551157,67.25,0.56,32.19
ssame,7_Q,92415,520134,340866,69327,44352,67025,38340,2349,43,0,9723,527730,68.61,0.57,30.82
ssame,8_9,69540,477504,337233,67560,54327,63412,38340,2349,43,990,9586,591420,64.9,0.56,34.54
ssame,8_T,75030,484416,334014,67833,44352,64315,38340,2349,43,0,9601,592011,64.87,0.56,34.57
ssame,8_J,80520,498096,336657,68394,44352,65218,38340,2349,43,0,9751,568584,66.22,0.57,33.21
ssame,8_Q,86010,511776,339300,68955,44352,66121,38340,2349,43,0,9901,545157,67.58,0.58,31.84
ssame,9_T,77775,472998,328236,66555,44352,64357,38340,2349,43,0,9779,607520,63.95,0.57,35.48
ssame,9_J,83265,486678,330879,67116,44352,65260,38340,2349,43,0,9929,584093,65.31,0.58,34.11
ssame,9_Q,88755,500358,333522,67677,44352,66163,38340,2349,43,0,10079,560666,66.67,0.59,32.74
ssame,T_J,86010,492918,309360,67044,33894,65302,38340,2349,43,0,9999,607045,63.96,0.58,35.45
ssame,T_Q,91500,506598,312003,67605,33894,66205,38340,2349,43,0,10149,583618,65.32,0.59,34.08
ssame,J_Q,94245,509454,312003,67605,33894,66247,38340,2349,43,0,10327,577797,65.65,0.6,33.74
