type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
ssame,2_3,68625,477504,340851,67560,85287,63411,38316,2317,946,990,15128,551369,66.92,0.88,32.2
ssame,2_4,65880,474648,339987,67560,85287,63369,38316,2317,946,990,14926,558078,66.54,0.87,32.59
ssame,2_5,63135,471792,339231,67560,85287,63327,38316,2317,946,990,14724,564679,66.16,0.86,32.98
ssame,2_6,68625,485472,341091,68121,85287,64230,38316,2317,946,990,14093,542816,67.48,0.82,31.7
ssame,2_7,74115,499152,343194,68682,85287,65133,38316,2317,946,990,14243,519929,68.8,0.83,30.36
ssame,2_8,74115,499152,342762,68682,85287,65133,38316,2317,946,990,14231,520373,68.78,0.83,30.39
ssame,2_9,82350,505452,338598,68766,77121,66078,38316,2317,0,990,14274,518042,68.91,0.83,30.25
ssame,2_T,97905,519078,334788,69039,67146,67109,38316,2317,0,0,14452,502154,69.83,0.84,29.33
ssame,2_J,100650,521934,334788,69039,67146,67151,38316,2317,0,0,14630,496333,70.16,0.85,28.99
ssame,2_A,0,418080,265620,65100,77121,0,36936,1980,990,0,14401,832076,50.57,0.84,48.59
ssame,3_4,60390,460968,336480,66999,85287,62466,38316,2317,946,990,14752,582393,65.13,0.86,34.01
ssame,3_5,57645,458112,335724,66999,85287,62424,38316,2317,946,990,14550,588994,64.75,0.85,34.4
ssame,3_6,63135,471792,337584,67560,85287,63327,38316,2317,946,990,13919,567131,66.07,0.81,33.12
ssame,3_7,68625,485472,339687,68121,85287,64230,38316,2317,946,990,14069,544244,67.39,0.82,31.78
ssame,3_8,74115,499152,341898,68682,85287,65133,38316,2317,946,990,14219,521249,68.73,0.83,30.44
ssame,3_9,79605,502596,337734,68766,77121,66036,38316,2317,0,990,14072,524751,68.53,0.82,30.65
ssame,3_T,95160,516222,333924,69039,67146,67067,38316,2317,0,0,14250,508863,69.45,0.83,29.72
ssame,3_J,97905,519078,333924,69039,67146,67109,38316,2317,0,0,14428,503042,69.78,0.84,29.38
ssame,3_A,0,415224,265620,65100,77121,0,36936,1980,990,0,14199,835134,50.4,0.83,48.77
ssame,4_5,52155,444432,332325,66438,85287,61521,38316,2317,946,990,14376,613201,63.35,0.84,35.81
ssame,4_6,57645,458112,334185,66999,85287,62424,38316,2317,946,990,13745,591338,64.66,0.8,34.53
ssame,4_7,63135,471792,336288,67560,85287,63327,38316,2317,946,990,13895,568451,65.99,0.81,33.2
