type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
ssame,2_3,76860,484350,338979,67260,73056,65175,38304,2349,129,990,11245,553607,67.01,0.66,32.33
ssame,2_4,74115,481494,338115,67260,73056,65133,38304,2349,129,990,11043,560316,66.63,0.64,32.72
ssame,2_5,74115,481494,337359,67260,73056,65133,38304,2349,129,990,11031,561084,66.59,0.64,32.77
ssame,2_6,74115,494556,345978,68493,67353,65133,38304,2349,86,990,10428,544519,67.59,0.61,31.8
ssame,2_7,86010,503304,345279,68676,71679,66121,38304,2349,43,990,10254,519295,69.07,0.6,30.33
ssame,2_8,89670,500838,343446,68487,70221,66164,38304,2349,0,990,10080,521755,68.94,0.59,30.47
ssame,2_9,92415,503694,343122,68487,70221,66206,38304,2349,0,990,10258,516258,69.25,0.6,30.15
ssame,2_J,105225,473292,323325,68760,61893,67195,37614,2349,44,0,10451,562156,66.56,0.61,32.83
ssame,2_Q,101565,475194,324726,68949,63351,67152,37614,2349,87,0,10601,560716,66.63,0.62,32.75
ssame,2_K,97905,477096,326127,69138,64809,67109,37614,2349,130,0,10751,559276,66.71,0.63,32.66
ssame,3_4,68625,467814,334608,66699,73056,64230,38304,2349,129,990,10869,584631,65.22,0.63,34.14
ssame,3_5,68625,467814,333852,66699,73056,64230,38304,2349,129,990,10857,585399,65.18,0.63,34.19
ssame,3_6,68625,480876,342471,67932,67353,64230,38304,2349,86,990,10254,568834,66.18,0.6,33.22
ssame,3_7,80520,489624,341772,68115,71679,65218,38304,2349,43,990,10080,543610,67.66,0.59,31.75
ssame,3_8,89670,500838,342582,68487,70221,66164,38304,2349,0,990,10068,522631,68.89,0.59,30.52
ssame,3_9,89670,500838,342258,68487,70221,66164,38304,2349,0,990,10056,522967,68.87,0.59,30.54
ssame,3_J,102480,470436,322461,68760,61893,67153,37614,2349,44,0,10249,568865,66.18,0.6,33.22
ssame,3_Q,98820,472338,323862,68949,63351,67110,37614,2349,87,0,10399,567425,66.25,0.61,33.14
ssame,3_K,95160,474240,325263,69138,64809,67067,37614,2349,130,0,10549,565985,66.33,0.62,33.05
ssame,4_5,63135,454134,330453,66138,73056,63327,38304,2349,129,990,10683,609606,63.77,0.62,35.6
ssame,4_6,63135,467196,339072,67371,67353,63327,38304,2349,86,990,10080,593041,64.78,0.59,34.63
ssame,4_7,75030,475944,338373,67554,71679,64315,38304,2349,43,990,9906,567817,66.26,0.58,33.16
ssame,4_8,84180,487158,339183,67926,70221,65261,38304,2349,0,990,9894,546838,67.49,0.58,31.94
ssame,4_9,89670,500838,341502,68487,70221,66164,38304,2349,0,990,10044,523735,68.83,0.59,30.59
ssame,4_J,99735,467580,321705,68760,61893,67111,37614,2349,44,0,10047,575466,65.81,0.59,33.61
ssame,4_Q,96075,469482,323106,68949,63351,67068,37614,2349,87,0,10197,574026,65.88,0.6,33.52
ssame,4_K,92415,471384,324507,69138,64809,67025,37614,2349,130,0,10347,572586,65.96,0.6,33.44
ssame,5_6,57645,458112,337182,66999,67353,62424,38304,2349,86,990,10068,610792,63.74,0.59,35.67
ssame,5_7,66795,464730,336483,67182,71679,63370,38304,2349,43,990,9894,590485,64.94,0.58,34.48
ssame,5_8,75030,475944,337293,67554,70221,64315,38304,2349,0,990,9882,570422,66.11,0.58,33.31
ssame,5_9,80520,489624,339612,68115,70221,65218,38304,2349,0,990,10032,547319,67.45,0.59,31.96
ssame,5_J,99735,467580,321057,68760,61893,67111,37614,2349,44,0,10035,576126,65.77,0.59,33.65
ssame,5_Q,96075,469482,322458,68949,63351,67068,37614,2349,87,0,10185,574686,65.84,0.59,33.56
ssame,5_K,92415,471384,323859,69138,64809,67025,37614,2349,130,0,10335,573246,65.92,0.6,33.48
ssame,6_7,66795,457152,328077,66138,64356,63370,38304,2349,43,990,9183,615547,63.52,0.54,35.95
ssame,6_8,75030,468366,328887,66510,62898,64315,38304,2349,0,990,9214,595441,64.69,0.54,34.77
ssame,6_9,80520,482046,331206,67071,62898,65218,38304,2349,0,990,9364,572338,66.03,0.55,33.43
ssame,6_J,99735,472338,321918,68949,54624,67111,37614,2349,0,0,9502,578164,65.68,0.55,33.77
ssame,6_Q,96075,470772,321918,68949,56109,67068,37614,2349,44,0,9490,581916,65.46,0.55,33.98
ssame,6_K,92415,472674,323319,69138,57567,67025,37614,2349,87,0,9640,580476,65.54,0.56,33.9
ssame,7_8,75030,456030,319188,65277,68601,64315,38304,2349,43,990,9024,613153,63.66,0.53,35.81
ssame,7_9,80520,469710,321507,65838,68601,65218,38304,2349,43,990,9174,590050,65.0,0.54,34.46
ssame,7_J,99735,462822,312651,67716,60327,67111,37614,2349,43,0,9312,592624,64.85,0.54,34.61
ssame,7_Q,99735,472338,321486,68949,61866,67111,37614,2349,43,0,9435,571378,66.08,0.55,33.37
ssame,7_K,95160,470772,321486,68949,63351,67067,37614,2349,87,0,9423,576046,65.81,0.55,33.64
ssame,8_9,83265,460230,311916,64605,67062,65260,38304,2349,43,990,9217,609063,63.89,0.54,35.57
ssame,8_J,102480,456162,303492,66483,58788,67153,37614,2349,43,0,9355,608385,63.92,0.55,35.53
ssame,8_Q,102480,465678,312327,67716,60327,67153,37614,2349,43,0,9478,587139,65.16,0.55,34.29
ssame,8_K,102480,475194,321162,68949,61866,67153,37614,2349,43,0,9601,565893,66.39,0.56,33.05
ssame,9_J,105225,444744,297714,65205,58788,67195,37614,2349,43,0,9533,623894,63.01,0.56,36.44
ssame,9_Q,105225,454260,306549,66438,60327,67195,37614,2349,43,0,9656,602648,64.24,0.56,35.2
ssame,9_K,105225,463776,315384,67671,61866,67195,37614,2349,43,0,9779,581402,65.47,0.57,33.95
ssame,J_Q,104310,422922,271905,66555,51516,67194,36924,2349,87,0,9876,678666,59.79,0.58,39.63
ssame,J_K,104310,255522,280308,55832,53055,67194,36924,2349,87,0,196051,660672,49.97,11.45,38.58
ssame,Q_K,100650,258264,281709,52605,54513,67151,36924,2349,130,0,13565,844444,49.89,0.79,49.32
