type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
ssame,2_3,52155,444432,328356,65401,161691,61521,38268,2253,2838,990,22782,531617,67.62,1.33,31.05
ssame,2_4,49410,441576,327492,65401,161691,61479,38268,2253,2838,990,22580,538326,67.24,1.32,31.44
ssame,2_5,49410,441576,326736,65401,161691,61479,38268,2253,2838,990,22568,539094,67.2,1.32,31.48
ssame,2_6,57645,458112,328596,65962,161691,62424,38268,2253,2838,990,22127,511398,68.84,1.29,29.87
ssame,2_7,68625,475236,326859,66607,153525,64230,38268,2253,1892,990,22142,491677,69.99,1.29,28.71
ssame,2_8,76860,484278,323397,66880,145359,65175,38268,2253,946,990,22130,485768,70.34,1.29,28.37
ssame,2_9,88755,496902,319908,67092,137193,66163,38268,2253,0,990,22504,472276,71.1,1.31,27.58
ssame,2_Q,0,392022,258294,59534,137193,0,36888,1980,990,0,44726,780677,51.8,2.61,45.59
ssame,2_K,0,356256,260730,57370,145359,0,36888,1980,1936,0,40946,810839,50.26,2.39,47.35
ssame,2_A,0,304428,260928,55011,153525,0,36888,1980,2882,0,43047,853615,47.63,2.51,49.85
ssame,3_4,43920,427896,323985,64840,161691,60576,38268,2253,2838,990,22406,562641,65.83,1.31,32.86
ssame,3_5,43920,427896,323229,64840,161691,60576,38268,2253,2838,990,22394,563409,65.79,1.31,32.9
ssame,3_6,52155,444432,325089,65401,161691,61521,38268,2253,2838,990,21953,535713,67.43,1.28,31.29
ssame,3_7,63135,461556,323352,66046,153525,63327,38268,2253,1892,990,21968,515992,68.58,1.28,30.13
ssame,3_8,76860,484278,322533,66880,145359,65175,38268,2253,946,990,22118,486644,70.29,1.29,28.42
ssame,3_9,86010,494046,319044,67092,137193,66121,38268,2253,0,990,22302,478985,70.72,1.3,27.97
