type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1s,2_3,101700,503935,310212,65723,45858,26284,38232,2349,86,44,11176,606705,63.92,0.65,35.43
1s,2_5,102600,456862,291803,65536,44433,18342,37542,2349,43,44,10678,682072,59.54,0.62,39.83
1s,2_6,99900,450343,311315,65612,50103,18338,37542,2349,43,44,10090,666625,60.48,0.59,38.93
1s,2_7,97200,458249,315743,66876,54536,18338,37542,2349,43,44,9857,651527,61.37,0.58,38.05
1s,2_8,90900,453948,315203,66876,55088,18338,37542,2349,86,44,9643,662287,60.76,0.56,38.68
1s,2_9,90900,457882,316134,67063,50139,18338,37542,2349,86,44,9788,662039,60.76,0.57,38.66
1s,2_T,90900,453462,314501,66892,55586,18338,37542,2349,129,44,9640,662921,60.72,0.56,38.72
1s,2_J,93600,456236,314285,66892,55586,18338,37542,2349,129,44,9817,657486,61.03,0.57,38.4
1s,2_Q,96300,459010,314177,66892,55586,18338,37542,2349,129,44,9994,651943,61.34,0.58,38.07
1s,2_K,99000,461784,314177,66892,55586,18338,37542,2349,129,44,10171,646292,61.66,0.59,37.74
1s,2_A,0,189872,169788,27192,44904,18518,20037,990,129,44,807730,433100,27.53,47.17,25.29
1s,3_5,102600,447522,282340,64317,42922,18342,37542,2349,43,44,10532,703751,58.29,0.62,41.1
1s,3_6,99900,441003,301960,64393,48592,18338,37542,2349,43,44,9944,688196,59.23,0.58,40.19
1s,3_7,97200,448909,306388,65657,53025,18338,37542,2349,43,44,9711,673098,60.12,0.57,39.31
1s,3_8,94500,455475,314447,66876,53824,18338,37542,2349,43,44,9631,659235,60.94,0.56,38.5
1s,3_9,94500,456010,314015,66876,48714,18338,37542,2349,43,44,9615,664258,60.65,0.56,38.79
1s,3_T,94500,451590,312382,66705,54161,18338,37542,2349,86,44,9467,665140,60.6,0.55,38.84
1s,3_J,97200,454364,312166,66705,54161,18338,37542,2349,86,44,9644,659705,60.91,0.56,38.53
1s,3_Q,99900,457138,312058,66705,54161,18338,37542,2349,86,44,9821,654162,61.22,0.57,38.2
1s,3_K,102600,459912,312058,66705,54161,18338,37542,2349,86,44,9998,648511,61.54,0.58,37.87
1s,3_A,0,185761,168586,27005,43479,18518,20037,990,86,44,811897,435901,27.13,47.42,25.46
1s,5_6,94500,383131,276005,62633,47081,18338,36852,2349,43,44,9619,781709,53.79,0.56,45.65
1s,5_7,91800,391037,280433,63897,51514,18338,36852,2349,43,44,9392,766605,54.68,0.55,44.77
1s,5_8,89100,394848,288066,65116,52313,18338,36852,2349,43,44,9312,755923,55.31,0.54,44.15
1s,5_9,89100,401968,295807,66335,48714,18338,36852,2349,43,44,9430,743324,56.04,0.55,43.41
1s,5_T,98100,408393,295353,66518,52736,18338,36852,2349,43,44,9282,724296,57.16,0.54,42.3
1s,5_J,98100,408393,295137,66518,52736,18338,36852,2349,43,44,9270,724524,57.15,0.54,42.31
1s,5_Q,100800,411167,295029,66518,52736,18338,36852,2349,43,44,9447,718981,57.46,0.55,41.99
1s,5_K,103500,399325,295029,66091,52736,18338,36852,2349,43,44,24667,713330,56.9,1.44,41.66
1s,5_A,0,120328,136252,26818,42054,18518,18960,990,43,44,720655,627642,21.26,42.09,36.65
1s,6_7,73800,369174,280938,63282,54477,18338,36852,2349,87,44,8798,804165,52.52,0.51,46.96
1s,6_8,71100,372985,288571,64501,55276,18338,36852,2349,87,44,8721,793480,53.15,0.51,46.34
1s,6_9,71100,380105,296312,65720,51677,18338,36852,2349,87,44,8839,780881,53.88,0.52,45.6
1s,6_T,79200,386530,295858,65903,56599,18338,36852,2349,87,44,8691,761853,55.0,0.51,44.49
1s,6_J,84600,398696,298184,66444,56599,18338,36852,2349,87,44,8840,741271,56.19,0.52,43.29
1s,6_Q,84600,388256,298076,66078,56599,18338,36852,2349,87,44,19634,741391,55.56,1.15,43.3
1s,6_K,87300,370150,298076,65346,56599,18338,36852,2349,87,44,30617,746546,54.61,1.79,43.6
1s,6_A,0,134568,145062,28269,50210,18518,18960,990,43,44,585652,729988,23.17,34.2,42.63
1s,7_8,65700,360819,285489,63960,60953,18338,36852,2349,129,44,8531,809140,52.25,0.5,47.25
1s,7_9,65700,367939,293230,65179,57354,18338,36852,2349,129,44,8650,796540,52.98,0.51,46.52
1s,7_T,73800,374364,292776,65362,62276,18338,36852,2349,130,44,8502,777511,54.1,0.5,45.41
1s,7_J,79200,376090,295102,65537,62276,18338,36852,2349,130,44,19457,756929,54.66,1.14,44.21
1s,7_Q,84600,367376,297536,65346,62276,18338,36852,2349,130,44,30412,747045,54.6,1.78,43.63
1s,7_K,84600,336752,297536,64065,62276,18338,36852,2349,130,44,40693,768669,52.73,2.38,44.89
1s,7_A,0,133856,145062,28269,50210,18518,18960,990,87,44,462106,854202,23.13,26.99,49.89
1s,8_9,60300,359156,291619,64825,52405,18338,36852,2349,129,44,8638,817649,51.74,0.5,47.75
1s,8_T,65700,353079,291165,64703,62801,18338,36852,2349,172,44,19235,797866,52.28,1.12,46.6
1s,8_J,71100,345061,293491,64451,62801,18338,36852,2349,172,44,29555,788090,52.25,1.73,46.03
1s,8_Q,76500,327299,295925,64077,62801,18338,36852,2349,172,44,39631,788316,51.65,2.31,46.04
1s,8_K,81900,307449,298467,62544,62801,18338,36852,2349,172,44,42661,798727,50.86,2.49,46.65
1s,8_A,0,136704,146264,28456,50735,18518,18960,990,129,44,347372,964132,23.41,20.29,56.31
1s,9_T,56700,325758,290971,63727,57852,18338,36852,2349,172,44,29555,829986,49.8,1.73,48.47
1s,9_J,62100,307996,293297,63170,57852,18338,36852,2349,172,44,39814,830320,49.18,2.33,48.49
1s,9_Q,67500,288146,295731,61820,57852,18338,36852,2349,172,44,42661,840839,48.4,2.49,49.11
1s,9_K,72900,270384,298273,60226,57852,18338,36852,2349,172,44,41149,853765,47.74,2.4,49.86
1s,9_A,0,140264,147466,28643,45786,18518,18960,990,129,44,259325,1052179,23.41,15.14,61.45
1s,T_J,62100,261598,283050,59977,63249,18342,36825,2348,215,44,40295,884261,46.01,2.35,51.64
1s,T_Q,67500,244532,285484,58383,63249,18342,36825,2348,215,44,38087,897295,45.37,2.22,52.4
1s,T_K,72900,233730,288026,56362,63249,18342,36825,2348,215,44,31703,908560,45.09,1.85,53.06
1s,T_A,0,135992,146264,28456,52872,18518,18960,990,172,44,178476,1131560,23.49,10.42,66.08
1s,J_Q,70200,228514,285376,55882,63249,18342,36825,2348,215,44,28886,922423,44.44,1.69,53.87
1s,J_K,75600,224672,287918,53434,63249,18342,36825,2348,215,44,22502,927155,44.54,1.31,54.15
1s,J_A,0,136704,146264,28456,52872,18518,18960,990,172,44,132613,1176711,23.53,7.74,68.72
1s,Q_K,78300,226054,287918,50140,63249,18342,36825,2348,215,44,12605,936264,44.59,0.74,54.68
1s,Q_A,0,137416,146264,28456,52872,18518,18960,990,172,44,99562,1209050,23.58,5.81,70.61
1s,K_A,0,138128,146264,28456,52872,18518,18960,990,172,44,80019,1227881,23.62,4.67,71.71
