type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1s,2_3,72900,459517,311861,62480,83600,25976,38208,2221,301,44,34510,620686,61.74,2.02,36.25
1s,2_4,75600,457094,309634,62293,82175,26018,38208,2221,258,44,34337,624422,61.53,2.01,36.47
1s,2_5,75600,457094,308878,62293,82175,26061,38208,2221,215,44,34325,625190,61.48,2.0,36.51
1s,2_7,97200,446412,298318,63956,74469,18212,37518,2221,172,44,33733,640049,60.65,1.97,37.38
1s,2_8,97200,443239,296577,63785,74470,18212,37518,2221,216,44,33572,645250,60.36,1.96,37.68
1s,2_9,97200,443117,296199,63801,74444,18212,37518,2221,259,44,33930,645359,60.33,1.98,37.69
1s,2_T,97200,284128,190670,31306,51447,18392,20097,990,301,44,586345,431384,40.56,34.24,25.19
1s,2_J,0,249467,254314,51527,76818,18212,36828,1980,301,44,47651,975162,40.27,2.78,56.95
1s,2_Q,0,236243,254314,51100,82183,18212,36828,1980,344,44,30498,1000558,39.79,1.78,58.43
1s,2_K,0,238746,255623,51271,83634,18212,36828,1980,344,44,12624,1012998,40.1,0.74,59.16
1s,2_A,0,238569,256158,51271,85085,18212,36828,1980,344,44,8936,1014877,40.21,0.52,59.27
1s,3_4,75600,444999,299745,61074,80664,26018,38208,2221,258,44,34191,649282,60.08,2.0,37.92
1s,3_5,75600,444999,298989,61074,80664,26061,38208,2221,215,44,34179,650050,60.04,2.0,37.96
1s,3_7,97200,437072,288855,62737,72958,18212,37518,2221,172,44,33587,661728,59.39,1.96,38.65
1s,3_8,100800,444766,295713,63785,73018,18212,37518,2221,172,44,33560,642495,60.52,1.96,37.52
1s,3_9,99900,441245,293972,63614,73019,18212,37518,2221,216,44,33757,648586,60.15,1.97,37.88
1s,3_T,100800,281891,189180,31119,50022,18392,20097,990,258,44,584174,435337,40.46,34.12,25.42
1s,3_J,0,246899,252951,51340,75393,18212,36828,1980,258,44,48174,980225,39.94,2.81,57.25
1s,3_Q,0,232979,252951,50913,80758,18212,36828,1980,301,44,31021,1006317,39.42,1.81,58.77
1s,3_K,0,235482,254260,51084,82209,18212,36828,1980,301,44,12451,1019453,39.74,0.73,59.54
1s,3_A,0,234635,254795,51084,83660,18212,36828,1980,301,44,8763,1022002,39.8,0.51,59.69
1s,4_5,75600,432904,289208,59855,79153,26061,38208,2221,215,44,34033,674802,58.6,1.99,39.41
1s,4_7,97200,427732,279500,61518,71447,18212,37518,2221,172,44,33441,683299,58.14,1.95,39.91
1s,4_8,100800,435426,286358,62566,71507,18212,37518,2221,172,44,33414,664066,59.27,1.95,38.78
1s,4_9,104400,442772,293216,63614,71567,18212,37518,2221,172,44,33745,644823,60.37,1.97,37.66
1s,4_T,105300,278958,187690,30932,48597,18392,20097,990,215,44,582807,438282,40.37,34.04,25.6
1s,4_J,0,243635,251588,51153,73968,18212,36828,1980,215,44,48697,985984,39.57,2.84,57.58
1s,4_Q,0,229715,251588,50726,79333,18212,36828,1980,258,44,30848,1012772,39.05,1.8,59.15
1s,4_K,0,232218,252897,50897,80784,18212,36828,1980,258,44,12278,1025908,39.37,0.72,59.91
1s,4_A,0,231371,253432,50897,82235,18212,36828,1980,258,44,8590,1028457,39.44,0.5,60.06
1s,5_7,97200,414458,273350,60254,71447,18212,37518,2221,172,44,33429,703999,56.93,1.95,41.11
1s,5_8,100800,421440,280208,61302,71507,18212,37518,2221,172,44,33402,685478,58.02,1.95,40.03
1s,5_9,104400,428786,287066,62350,71567,18212,37518,2221,172,44,33733,666235,59.12,1.97,38.91
1s,5_T,105300,278958,187402,30932,48597,18392,20097,990,172,44,581013,440407,40.35,33.93,25.72
1s,5_J,0,229715,251588,50726,73968,18212,36828,1980,172,44,63032,986039,38.73,3.68,57.59
1s,5_Q,0,229715,251588,50726,79333,18212,36828,1980,215,44,16489,1027174,39.05,0.96,59.99
1s,5_K,0,232218,252897,50897,80784,18212,36828,1980,215,44,12266,1025963,39.37,0.72,59.92
1s,5_A,0,231371,253432,50897,82235,18212,36828,1980,215,44,8578,1028512,39.43,0.5,60.07
1s,7_8,100800,378125,241909,60282,63161,18220,36801,2220,215,44,32611,777916,52.66,1.9,45.43
1s,7_9,104400,313116,248341,58768,63221,18220,36801,2220,215,44,105105,761853,49.37,6.14,44.49
1s,7_T,0,119616,140644,26818,43667,18392,19020,990,215,44,454278,888620,21.57,26.53,51.9
1s,7_J,0,180355,229847,49640,67220,18216,36111,1979,215,44,22780,1105897,34.08,1.33,64.59
1s,7_Q,0,190405,234590,50804,71541,18212,36138,1980,215,44,15798,1092577,35.27,0.92,63.81
1s,7_K,0,189693,234590,50804,73019,18212,36138,1980,215,44,11439,1096170,35.31,0.67,64.02
1s,7_A,0,192196,235899,50975,74470,18212,36138,1980,172,44,7794,1094424,35.63,0.46,63.92
1s,8_9,100800,270371,240649,56116,63118,18224,36774,2219,258,44,67992,855739,46.05,3.97,49.98
1s,8_T,0,119616,140644,26818,45092,18392,19020,990,258,44,338364,1003066,21.66,19.76,58.58
1s,8_J,0,173693,222902,48696,67117,18220,36084,1978,258,44,22812,1120500,33.23,1.33,65.44
1s,8_Q,0,183743,227645,49860,71438,18216,36111,1979,258,44,15830,1107180,34.42,0.92,64.66
1s,8_K,0,193118,235953,50991,72966,18212,36138,1980,258,44,11588,1091056,35.6,0.68,63.72
1s,8_A,0,192406,235953,50991,74444,18212,36138,1980,216,44,7806,1094114,35.65,0.46,63.9
1s,9_T,0,119616,140644,26818,45617,18392,19020,990,300,44,252694,1088169,21.69,14.76,63.55
1s,9_J,0,167701,216056,47752,66344,18224,36057,1977,300,44,22844,1135005,32.38,1.33,66.29
1s,9_Q,0,177081,220799,48916,71335,18220,36084,1978,301,44,15862,1121684,33.57,0.93,65.51
1s,9_K,0,186456,229107,50047,72863,18216,36111,1979,301,44,11620,1105560,34.76,0.68,64.57
1s,9_A,0,195831,237316,51178,74391,18212,36138,1980,259,44,7955,1089000,35.94,0.46,63.6
