type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1s,2_3,78300,472322,327797,65146,64310,25870,38289,2348,172,88,10018,627644,62.76,0.59,36.65
1s,2_4,75600,469548,326933,65146,64310,25828,38289,2348,172,88,9817,634225,62.39,0.57,37.04
1s,2_5,72900,466774,326177,65146,64310,25786,38289,2348,172,88,9616,640698,62.02,0.56,37.42
1s,2_6,72900,483244,335560,66448,60161,26025,38316,2349,172,88,9186,617855,63.38,0.54,36.08
1s,2_7,81900,489830,334890,66631,64413,26225,38316,2349,129,88,8997,598536,64.52,0.53,34.96
1s,2_8,84600,487407,333095,66444,62988,26267,38316,2349,86,88,8824,601840,64.34,0.52,35.15
1s,2_9,87300,490181,332771,66444,62988,26352,38316,2349,43,88,9001,596471,64.64,0.53,34.83
1s,2_T,103500,499346,328326,66518,53287,26438,38316,2349,43,44,9061,585076,65.3,0.53,34.17
1s,2_Q,102600,462667,313348,66705,54900,18338,37626,2349,87,44,9387,644253,61.83,0.55,37.62
1s,2_K,99000,464539,314711,66892,56325,18338,37626,2349,130,44,9536,642814,61.9,0.56,37.54
1s,2_A,178200,552086,244412,48930,53772,18518,20247,990,173,44,135463,459469,65.26,7.91,26.83
1s,3_4,70200,456280,323527,64605,64310,25628,38289,2348,172,88,9644,657213,61.05,0.56,38.38
1s,3_5,67500,453506,322771,64605,64310,25586,38289,2348,172,88,9443,663686,60.69,0.55,38.76
1s,3_6,67500,469976,332154,65907,60161,25825,38316,2349,172,88,9013,640843,62.05,0.53,37.43
1s,3_7,76500,476562,331484,66090,64413,26025,38316,2349,129,88,8824,621524,63.19,0.52,36.3
1s,3_8,84600,487407,332231,66444,62988,26267,38316,2349,86,88,8812,602716,64.29,0.51,35.2
1s,3_9,84600,487407,331907,66444,62988,26310,38316,2349,43,88,8800,603052,64.27,0.51,35.22
1s,3_T,100800,496572,327462,66518,53287,26396,38316,2349,43,44,8860,591657,64.93,0.52,34.55
1s,3_Q,99900,459893,312484,66705,54900,18338,37626,2349,87,44,9186,650792,61.46,0.54,38.01
1s,3_K,96300,461765,313847,66892,56325,18338,37626,2349,130,44,9335,649353,61.53,0.55,37.92
1s,3_A,174600,549500,243404,48930,53772,18518,20247,990,173,44,133984,468142,64.84,7.82,27.34
1s,4_5,62100,440238,319473,64064,64310,25386,38289,2348,172,88,9270,686566,59.36,0.54,40.1
1s,4_6,62100,456708,328856,65366,60161,25625,38316,2349,172,88,8840,663723,60.72,0.52,38.76
1s,4_7,71100,463294,328186,65549,64413,25825,38316,2349,129,88,8651,644404,61.86,0.51,37.63
1s,4_8,79200,474139,328933,65903,62988,26067,38316,2349,86,88,8639,625596,62.96,0.5,36.54
1s,4_9,84600,487407,331151,66444,62988,26310,38316,2349,43,88,8788,603820,64.22,0.51,35.26
1s,4_T,98100,493798,326706,66518,53287,26354,38316,2349,43,44,8659,598130,64.56,0.51,34.93
1s,4_Q,97200,457119,311728,66705,54900,18338,37626,2349,87,44,8985,657223,61.09,0.52,38.38
1s,4_K,93600,458991,313091,66892,56325,18338,37626,2349,130,44,9134,655784,61.17,0.53,38.3
1s,4_A,171000,546914,242396,48930,53772,18518,20247,990,173,44,132613,476707,64.42,7.74,27.84
1s,5_6,56700,443440,325666,64825,60161,25425,38316,2349,172,88,8667,686495,59.4,0.51,40.09
1s,5_7,65700,450026,324996,65008,64413,25625,38316,2349,129,88,8478,667176,60.54,0.5,38.96
1s,5_8,73800,460871,325743,65362,62988,25867,38316,2349,86,88,8466,648368,61.64,0.49,37.87
1s,5_9,79200,474139,327961,65903,62988,26110,38316,2349,43,88,8615,626592,62.9,0.5,36.59
1s,5_T,98100,493798,326058,66518,53287,26354,38316,2349,43,44,8647,598790,64.53,0.5,34.97
1s,5_Q,94500,454345,311080,66705,54900,18338,37626,2349,87,44,8784,663546,60.74,0.51,38.75
1s,5_K,90900,456217,312443,66892,56325,18338,37626,2349,130,44,8933,662107,60.81,0.52,38.67
1s,5_A,167400,544328,241388,48930,53772,18518,20247,990,173,44,131350,485164,64.0,7.67,28.33
1s,6_7,60300,446214,324586,64825,58736,25468,38316,2349,129,88,7931,683362,59.63,0.46,39.91
1s,6_8,65700,454997,325333,65179,57311,25668,38316,2349,86,88,7920,669357,60.45,0.46,39.09
1s,6_9,71100,468265,327551,65720,57311,25910,38316,2349,43,88,8069,647582,61.71,0.47,37.82
1s,6_T,89100,487924,325648,66335,47610,26154,38316,2349,43,44,8101,620680,63.28,0.47,36.25
1s,6_Q,94500,459316,311849,66876,49223,18338,37626,2349,87,44,8238,663858,60.75,0.48,38.77
1s,6_K,90900,461188,313212,67063,50648,18338,37626,2349,130,44,8387,662419,60.82,0.49,38.69
1s,6_A,180900,560395,242140,49363,53772,18518,20247,990,173,44,124577,461185,65.79,7.28,26.93
1s,7_8,65700,442367,315876,63960,62928,25710,38316,2349,86,88,7732,687192,59.42,0.45,40.13
1s,7_9,71100,455635,318094,64501,62928,25952,38316,2349,43,88,7881,665417,60.68,0.46,38.86
