type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1s,2_3,64800,459482,329234,65366,90366,25866,38304,2317,172,88,13528,622781,62.84,0.79,36.37
1s,2_4,62100,456708,328370,65366,90366,25824,38304,2317,172,88,13327,629362,62.47,0.78,36.76
1s,2_5,59400,453934,327614,65366,90366,25782,38304,2317,172,88,13126,635835,62.1,0.77,37.13
1s,2_6,67500,469976,329373,65907,90366,26025,38304,2317,172,88,12698,609578,63.66,0.74,35.6
1s,2_7,72900,478759,330012,66261,88941,26225,38304,2317,129,88,12686,595682,64.47,0.74,34.79
1s,2_8,72900,478759,329580,66261,88941,26267,38304,2317,86,88,12674,596127,64.45,0.74,34.81
1s,2_9,83700,486948,325562,66335,81014,26352,38304,2317,43,88,12734,588907,64.86,0.74,34.39
1s,2_T,99900,500224,321918,66596,71313,26438,38304,2317,43,44,12929,572278,65.82,0.76,33.42
1s,2_Q,99000,466300,307366,66783,72926,18338,37614,2317,87,44,13255,628274,62.53,0.77,36.69
1s,2_K,178200,552086,244784,49052,78300,18518,20247,990,130,44,134969,434984,66.71,7.88,25.4
1s,2_A,0,392074,254924,59946,82439,18338,36924,1980,173,44,22920,842542,49.46,1.34,49.21
1s,3_4,56700,443440,324964,64825,90366,25624,38304,2317,172,88,13154,652350,61.13,0.77,38.1
1s,3_5,54000,440666,324208,64825,90366,25582,38304,2317,172,88,12953,658823,60.77,0.76,38.48
1s,3_6,62100,456708,325967,65366,90366,25825,38304,2317,172,88,12525,632566,62.33,0.73,36.94
1s,3_7,67500,465491,326606,65720,88941,26025,38304,2317,129,88,12513,618670,63.14,0.73,36.13
1s,3_8,72900,478759,328716,66261,88941,26267,38304,2317,86,88,12662,597003,64.4,0.74,34.87
1s,3_9,81000,484174,324698,66335,81014,26310,38304,2317,43,88,12533,595488,64.49,0.73,34.78
1s,3_T,97200,497450,321054,66596,71313,26396,38304,2317,43,44,12728,578859,65.45,0.74,33.81
1s,3_Q,96300,463526,306502,66783,72926,18338,37614,2317,87,44,13054,634813,62.16,0.76,37.07
1s,3_K,174600,549500,243776,49052,78300,18518,20247,990,130,44,133490,443657,66.29,7.8,25.91
1s,3_A,0,389300,254924,59946,82439,18338,36924,1980,173,44,22719,845517,49.29,1.33,49.38
1s,4_5,48600,427398,320910,64284,90366,25382,38304,2317,172,88,12780,681703,59.44,0.75,39.81
1s,4_6,56700,443440,322669,64825,90366,25625,38304,2317,172,88,12352,655446,61.0,0.72,38.28
1s,4_7,62100,452223,323308,65179,88941,25825,38304,2317,129,88,12340,641550,61.81,0.72,37.47
1s,4_8,67500,465491,325418,65720,88941,26067,38304,2317,86,88,12489,619883,63.07,0.73,36.2
1s,4_9,81000,484174,323942,66335,81014,26310,38304,2317,43,88,12521,596256,64.45,0.73,34.82
1s,4_T,94500,494676,320298,66596,71313,26354,38304,2317,43,44,12527,585332,65.08,0.73,34.18
1s,4_Q,93600,460752,305746,66783,72926,18338,37614,2317,87,44,12853,641244,61.8,0.75,37.45
1s,4_K,171000,546914,242768,49052,78300,18518,20247,990,130,44,132119,452222,65.87,7.72,26.41
1s,4_A,0,386526,254924,59946,82439,18338,36924,1980,173,44,22518,848492,49.13,1.32,49.55
1s,5_6,51300,430172,319479,64284,90366,25425,38304,2317,172,88,12179,678218,59.68,0.71,39.61
1s,5_7,56700,438955,320118,64638,88941,25625,38304,2317,129,88,12167,664322,60.49,0.71,38.8
1s,5_8,62100,452223,322228,65179,88941,25867,38304,2317,86,88,12316,642655,61.75,0.72,37.53
1s,5_9,75600,470906,320752,65794,81014,26110,38304,2317,43,88,12348,619028,63.13,0.72,36.15
1s,5_T,94500,494676,319650,66596,71313,26354,38304,2317,43,44,12515,585992,65.05,0.73,34.22
1s,5_Q,90900,457978,305098,66783,72926,18338,37614,2317,87,44,12652,647567,61.44,0.74,37.82
1s,5_K,167400,544328,241760,49052,78300,18518,20247,990,130,44,130856,460679,65.45,7.64,26.9
1s,5_A,0,383752,254924,59946,82439,18338,36924,1980,173,44,22317,851467,48.97,1.3,49.73
1s,6_7,54900,432946,318399,64284,88941,25468,38304,2317,129,88,11443,675085,59.91,0.67,39.43
1s,6_8,60300,446214,320509,64825,88941,25668,38304,2317,86,88,11593,653459,61.16,0.68,38.16
1s,6_9,71100,462835,319033,65440,81014,25910,38304,2317,43,88,11625,634595,62.26,0.68,37.06
1s,6_T,89100,486605,317931,66242,71313,26154,38304,2317,43,44,11792,602459,64.13,0.69,35.18
1s,6_Q,94500,460752,304558,66783,72926,18338,37614,2317,87,44,11929,642456,61.78,0.7,37.52
1s,6_K,171900,546914,240752,49052,78300,18518,20247,990,130,44,129179,456278,65.81,7.54,26.65
1s,6_A,0,398708,257061,60487,82439,18338,36924,1980,173,44,21754,834396,50.0,1.27,48.73
1s,7_8,63000,436358,311052,63606,87430,25710,38304,2317,86,88,11635,672718,60.03,0.68,39.29
1s,7_9,73800,452979,309576,64221,79503,25952,38304,2317,43,88,11667,653854,61.13,0.68,38.19
1s,7_T,91800,476749,308474,65023,69802,26196,38304,2317,43,44,11834,621718,63.0,0.69,36.31
1s,7_Q,97200,462991,304126,66783,71474,18338,37614,2317,43,44,12105,639269,61.96,0.71,37.33
1s,7_K,175500,545389,238542,48865,76875,18518,20247,990,87,44,128348,458899,65.7,7.5,26.8
1s,7_A,0,394774,255698,60300,81014,18338,36924,1980,130,44,21581,841521,49.59,1.26,49.15
1s,8_9,76500,445878,304578,63144,79503,25994,38304,2317,43,88,11844,664111,60.52,0.69,38.78
1s,8_T,94500,465537,302648,63759,69802,26238,38304,2317,43,44,12011,637101,62.09,0.7,37.21
1s,8_Q,99900,451779,298300,65519,71474,18338,37614,2317,43,44,12282,654694,61.05,0.72,38.23
1s,8_K,179100,547975,237534,48865,76875,18518,20247,990,43,44,127787,454326,66.0,7.46,26.53
1s,8_A,0,397548,255698,60300,81014,18338,36924,1980,87,44,21758,838613,49.75,1.27,48.98
1s,9_T,97200,471521,286357,63683,61371,26284,38304,2317,43,44,12089,653091,61.15,0.71,38.14
1s,9_Q,102600,457763,282168,65443,63043,18342,37614,2317,43,44,12360,670567,60.12,0.72,39.16
1s,9_K,195300,547819,228394,47725,70332,18518,20247,990,43,44,126476,456416,65.96,7.39,26.66
1s,9_A,0,402002,255632,60191,73119,18338,36924,1980,43,44,26172,837859,49.54,1.53,48.93
1s,T_Q,105300,464282,261684,65509,52806,18346,37614,2317,43,44,12438,691921,58.86,0.73,40.41
1s,T_K,217800,539842,218262,46274,62176,18518,20247,990,43,44,130150,457958,65.65,7.6,26.75
1s,T_A,0,246784,235485,51290,62882,18342,36924,1980,43,44,193209,865321,38.18,11.28,50.54
1s,Q_K,0,114632,142086,25741,63789,18518,19170,990,87,44,93452,1233795,22.49,5.46,72.05
1s,Q_A,0,209003,221938,51477,64495,18342,36234,1980,87,44,8971,1099733,35.25,0.52,64.23
1s,K_A,0,128160,150896,27192,71757,18518,19170,990,130,44,20671,1274776,24.34,1.21,74.45
