type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1s,2_3,67500,462256,329234,65366,83280,25908,38316,2317,129,88,13705,624205,62.75,0.8,36.45
1s,2_4,64800,459482,328370,65366,83280,25866,38316,2317,129,88,13504,630786,62.37,0.79,36.84
1s,2_5,62100,456708,327614,65366,83280,25824,38316,2317,129,88,13303,637259,62.01,0.78,37.22
1s,2_6,67500,469976,329373,65907,83280,26025,38316,2317,129,88,12686,616707,63.24,0.74,36.02
1s,2_7,72900,483244,331375,66448,83280,26225,38316,2317,129,88,12835,595147,64.49,0.75,34.76
1s,2_8,72900,483244,330943,66448,83280,26225,38316,2317,86,88,12823,595634,64.47,0.75,34.79
1s,2_9,81000,489371,326925,66522,75353,26309,38316,2317,43,88,12883,593177,64.61,0.75,34.64
1s,2_T,96300,502647,323281,66783,65652,26395,38316,2317,43,44,13078,577448,65.51,0.76,33.72
1s,2_J,99000,505421,323281,66783,65652,26437,38316,2317,43,44,13255,571755,65.83,0.77,33.39
1s,2_K,181800,569288,259010,53214,71214,18518,20277,990,87,44,102124,435738,68.59,5.96,25.45
1s,2_A,0,405288,254924,62874,75353,18338,36936,1980,130,44,13023,843414,49.98,0.76,49.26
1s,3_4,59400,446214,324964,64825,83280,25666,38316,2317,129,88,13331,653774,61.04,0.78,38.18
1s,3_5,56700,443440,324208,64825,83280,25624,38316,2317,129,88,13130,660247,60.67,0.77,38.56
1s,3_6,62100,456708,325967,65366,83280,25825,38316,2317,129,88,12513,639695,61.91,0.73,37.36
1s,3_7,67500,469976,327969,65907,83280,26025,38316,2317,129,88,12662,618135,63.16,0.74,36.1
1s,3_8,72900,483244,330079,66448,83280,26225,38316,2317,86,88,12811,596510,64.42,0.75,34.84
1s,3_9,78300,486597,326061,66522,75353,26267,38316,2317,43,88,12682,599758,64.23,0.74,35.03
1s,3_T,93600,499873,322417,66783,65652,26353,38316,2317,43,44,12877,584029,65.14,0.75,34.11
1s,3_J,96300,502647,322417,66783,65652,26395,38316,2317,43,44,13054,578336,65.46,0.76,33.78
1s,3_K,178200,566702,257858,53214,71214,18518,20277,990,87,44,100789,444411,68.16,5.89,25.95
1s,3_A,0,402514,254924,62874,75353,18338,36936,1980,130,44,12822,846389,49.82,0.75,49.43
