type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1s,2_3,51300,430172,316968,63247,157862,25740,38268,2253,301,88,21302,604803,63.43,1.24,35.32
1s,2_4,48600,427398,316104,63247,157862,25698,38268,2253,301,88,21101,611384,63.06,1.23,35.71
1s,2_5,48600,427398,315348,63247,157862,25698,38268,2253,301,88,21089,612152,63.02,1.23,35.75
1s,2_6,56700,443440,317107,63788,157862,25941,38268,2253,258,88,20661,585938,64.57,1.21,34.22
1s,2_7,67500,460061,315415,64403,149935,26183,38268,2253,215,88,20693,567290,65.66,1.21,33.13
1s,2_8,75600,468875,312090,64664,142008,26226,38268,2253,172,88,20699,561361,66.01,1.21,32.78
1s,2_9,87300,481175,308738,64864,134081,26311,38268,2253,129,88,21090,548007,66.76,1.23,32.0
1s,2_J,156600,498178,228346,44134,134442,18434,20217,990,173,44,186328,424418,64.33,10.88,24.79
1s,2_Q,0,379190,247934,57304,134081,18254,36888,1980,216,44,43149,793264,51.15,2.52,46.33
1s,2_K,0,344050,250257,55152,142008,18254,36888,1980,259,44,39345,824067,49.58,2.3,48.13
1s,2_A,0,293248,250443,52825,149935,18254,36888,1980,302,44,41375,867010,46.95,2.42,50.63
1s,3_4,43200,414130,312698,62706,157862,25498,38268,2253,301,88,20928,634372,61.73,1.22,37.05
1s,3_5,43200,414130,311942,62706,157862,25498,38268,2253,301,88,20916,635140,61.69,1.22,37.09
1s,3_6,51300,430172,313701,63247,157862,25741,38268,2253,258,88,20488,608926,63.24,1.2,35.56
1s,3_7,62100,446793,312009,63862,149935,25983,38268,2253,215,88,20520,590278,64.33,1.2,34.47
1s,3_8,75600,468875,311226,64664,142008,26226,38268,2253,172,88,20687,562237,65.96,1.21,32.84
1s,3_9,84600,478401,307874,64864,134081,26269,38268,2253,129,88,20889,554588,66.39,1.22,32.39
1s,3_J,153000,495592,227482,44134,134442,18434,20217,990,173,44,184705,433091,63.92,10.79,25.29
1s,3_Q,0,376416,247934,57304,134081,18254,36888,1980,216,44,42948,796239,50.99,2.51,46.5
1s,3_K,0,341276,250257,55152,142008,18254,36888,1980,259,44,39144,827042,49.41,2.29,48.3
1s,3_A,0,290474,250443,52825,149935,18254,36888,1980,302,44,41174,869985,46.79,2.4,50.81
