type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_3,215475,597600,313393,57649,34195,18386,20667,1400,43,44,27679,425773,73.52,1.62,24.87
1o,3_3,0,152672,243984,44932,27472,16922,33494,2389,43,44,11148,1179204,30.48,0.65,68.87
1o,3_4,100425,434312,290176,67822,33786,18342,36824,2349,43,44,10731,717450,57.47,0.63,41.9
1o,3_5,97500,431344,289312,67822,33786,18342,36824,2349,43,44,10353,724585,57.08,0.6,42.32
1o,3_6,94575,425046,309318,67894,34117,18338,36828,2349,43,44,9715,714037,57.73,0.57,41.7
1o,3_7,91650,433088,313854,69164,38514,18338,36828,2349,43,44,9428,699004,58.63,0.55,40.82
1o,3_8,98475,441845,314592,69544,44328,18338,36828,2349,43,44,9154,676764,59.94,0.53,39.52
1o,3_9,98475,441845,314160,69544,44328,18338,36828,2349,43,44,9139,677211,59.92,0.53,39.55
1o,3_T,101400,440033,312435,69356,42299,18338,36828,2349,43,44,9189,679990,59.75,0.54,39.71
1o,3_J,104325,443001,312219,69356,42299,18338,36828,2349,43,44,9419,674083,60.08,0.55,39.37
1o,3_Q,107250,445969,312111,69356,42299,18338,36828,2349,43,44,9649,668068,60.42,0.56,39.02
1o,3_K,110175,448937,312111,69356,42299,18338,36828,2349,43,44,9879,661945,60.76,0.58,38.66
1o,3_A,0,132854,136864,27216,31494,18518,18900,990,43,44,865337,480044,21.43,50.54,28.03
1o,2_4,211575,594873,312529,57649,34195,18386,20667,1400,43,44,27199,433744,73.08,1.59,25.33
1o,3_4,100425,434312,290176,67822,33786,18342,36824,2349,43,44,10731,717450,57.47,0.63,41.9
1o,4_4,0,151938,232644,44932,27472,16922,33470,2389,43,44,10032,1192418,29.78,0.59,69.64
1o,4_5,91650,418362,285769,67254,33786,18342,36824,2349,43,44,9953,747928,55.74,0.58,43.68
1o,4_6,88725,412064,305883,67326,34117,18338,36828,2349,43,44,9315,737272,56.4,0.54,43.06
1o,4_7,85800,420106,310419,68596,38514,18338,36828,2349,43,44,9028,722239,57.29,0.53,42.18
1o,4_8,92625,428863,311157,68976,44328,18338,36828,2349,43,44,8754,699999,58.61,0.51,40.88
1o,4_9,98475,441845,313404,69544,44328,18338,36828,2349,43,44,8918,678188,59.87,0.52,39.61
1o,4_T,98475,437065,311679,69356,42299,18338,36828,2349,43,44,8727,687101,59.36,0.51,40.13
1o,4_J,101400,440033,311463,69356,42299,18338,36828,2349,43,44,8957,681194,59.69,0.52,39.78
1o,4_Q,104325,443001,311355,69356,42299,18338,36828,2349,43,44,9187,675179,60.03,0.54,39.43
1o,4_K,107250,445969,311355,69356,42299,18338,36828,2349,43,44,9417,669056,60.38,0.55,39.07
1o,4_A,0,132120,136864,27216,31494,18518,18900,990,43,44,855040,491075,21.39,49.94,28.68
1o,2_5,207675,592146,311665,57649,34195,18386,20667,1400,43,44,26803,441631,72.64,1.57,25.79
1o,3_5,97500,431344,289312,67822,33786,18342,36824,2349,43,44,10353,724585,57.08,0.6,42.32
1o,4_5,91650,418362,285769,67254,33786,18342,36824,2349,43,44,9953,747928,55.74,0.58,43.68
1o,5_5,0,151204,222564,44932,27472,16922,33446,2389,43,44,9084,1204204,29.14,0.53,70.33
1o,5_6,82875,399082,302448,66758,34117,18338,36828,2349,43,44,8999,760423,55.07,0.53,44.41
1o,5_7,79950,407124,306984,68028,38514,18338,36828,2349,43,44,8712,745390,55.96,0.51,43.53
1o,5_8,86775,415881,307722,68408,44328,18338,36828,2349,43,44,8438,723150,57.27,0.49,42.23
1o,5_9,92625,428863,309969,68976,44328,18338,36828,2349,43,44,8602,701339,58.54,0.5,40.96
1o,5_T,98475,437065,310923,69356,42299,18338,36828,2349,43,44,8590,687994,59.32,0.5,40.18
1o,5_J,98475,437065,310707,69356,42299,18338,36828,2349,43,44,8579,688221,59.31,0.5,40.19
1o,5_Q,101400,440033,310599,69356,42299,18338,36828,2349,43,44,8809,682206,59.64,0.51,39.84
1o,5_K,104325,428001,310599,68908,42299,18338,36828,2349,43,44,24487,676083,59.09,1.43,39.48
1o,5_A,0,131386,136864,27216,31494,18518,18900,990,43,44,760060,586789,21.34,44.39,34.27
1o,2_6,203775,608718,320567,59107,8577,18383,20667,1400,86,44,21586,449394,72.49,1.26,26.24
1o,3_6,94575,425046,309318,67894,34117,18338,36824,2349,86,44,9714,713999,57.73,0.57,41.7
1o,4_6,88725,412064,305883,67326,34117,18338,36824,2349,86,44,9314,737234,56.4,0.54,43.06
1o,5_6,82875,399082,302448,66758,34117,18338,36824,2349,86,44,8998,760385,55.07,0.53,44.41
1o,6_6,0,146066,217209,44744,41406,16913,33426,2389,86,44,7967,1202054,29.33,0.47,70.2
1o,6_7,74100,397472,308676,67742,8577,18338,36828,2349,86,44,8037,790055,53.39,0.47,46.14
1o,6_8,71175,394504,308136,67742,42228,18338,36828,2349,86,44,7763,763111,54.98,0.45,44.57
1o,6_9,77025,407486,310383,68310,42228,18338,36828,2349,86,44,7927,741300,56.24,0.46,43.29
1o,6_T,82875,415688,311337,68690,40199,18338,36828,2349,86,44,7915,727955,57.02,0.46,42.51
1o,6_J,88725,428670,313800,69258,40199,18338,36828,2349,86,44,8083,705924,58.3,0.47,41.23
1o,6_Q,88725,417420,313692,68874,40199,18338,36828,2349,86,44,19706,706043,57.62,1.15,41.23
1o,6_K,91650,398638,313692,68106,40199,18338,36828,2349,86,44,30820,711554,56.64,1.8,41.56
1o,6_A,0,146066,145418,28672,33651,18518,18900,990,86,44,621938,698021,22.91,36.32,40.77
1o,2_7,199875,605991,319919,59107,42220,18383,20667,1400,86,44,21289,423323,74.03,1.24,24.72
1o,3_7,91650,433088,313854,69162,38572,18338,36824,2349,86,44,9434,698903,58.63,0.55,40.82
1o,4_7,85800,420106,310419,68594,38572,18338,36824,2349,86,44,9034,722138,57.3,0.53,42.17
1o,5_7,79950,407124,306984,68026,38572,18338,36824,2349,86,44,8718,745289,55.97,0.51,43.53
1o,6_7,74100,397472,308676,67742,8577,18338,36828,2349,86,44,8037,790055,53.39,0.47,46.14
1o,7_7,0,145332,209649,44744,47212,16913,33402,2389,86,44,7388,1205145,29.19,0.43,70.38
1o,7_8,65325,381522,304917,67174,48034,18338,36828,2349,86,44,7546,780141,54.0,0.44,45.56
1o,7_9,71175,394504,307164,67742,48034,18338,36828,2349,86,44,7710,758330,55.26,0.45,44.29
1o,7_T,77025,402706,308118,68122,46005,18338,36828,2349,86,44,7698,744985,56.04,0.45,43.51
1o,7_J,82875,404438,310581,68306,46005,18338,36828,2349,86,44,19500,722954,56.64,1.14,42.22
1o,7_Q,88725,395670,313152,68106,46005,18338,36828,2349,86,44,30552,712449,56.61,1.78,41.61
1o,7_K,88725,363420,313152,66762,46005,18338,36828,2349,86,44,41617,734978,54.65,2.43,42.92
1o,7_A,0,145332,145418,28672,33651,18518,18900,990,86,44,490476,830217,22.87,28.64,48.49
1o,2_8,195975,603264,319379,59107,42220,18383,20667,1400,129,44,28606,423130,73.62,1.67,24.71
1o,3_8,98475,441845,314592,69542,44386,18338,36824,2349,129,44,9167,676613,59.95,0.54,39.51
1o,4_8,92625,428863,311157,68974,44386,18338,36824,2349,129,44,8767,699848,58.62,0.51,40.87
1o,5_8,86775,415881,307722,68406,44386,18338,36824,2349,129,44,8451,722999,57.28,0.49,42.22
1o,6_8,71175,394504,308136,67742,42228,18338,36828,2349,129,44,7770,763061,54.98,0.45,44.56
1o,7_8,65325,381522,304917,67174,48034,18338,36828,2349,129,44,7545,780099,54.0,0.44,45.56
1o,8_8,0,144598,203349,44744,54814,16913,33378,2389,129,44,6904,1205042,29.22,0.4,70.38
1o,8_9,65325,381522,304053,67174,55636,18338,36828,2349,129,44,7505,773401,54.39,0.44,45.17
1o,8_T,71175,378474,305007,67234,53607,18338,36828,2349,129,44,19063,760056,54.5,1.11,44.39
1o,8_J,77025,369706,307470,66970,53607,18338,36828,2349,129,44,30179,749659,54.46,1.76,43.78
1o,8_Q,82875,350438,310041,66578,53607,18338,36828,2349,129,44,41039,750038,53.8,2.4,43.8
1o,8_K,88725,328920,312720,64970,53607,18338,36828,2349,129,44,44289,761385,52.95,2.59,44.47
1o,8_A,0,144598,145418,28672,41253,18518,18900,990,129,44,367965,945817,23.27,21.49,55.24
1o,2_9,199875,605991,318947,59107,42220,18383,20667,1400,129,44,28814,416727,73.98,1.68,24.34
1o,3_9,98475,441845,314160,69542,44386,18338,36824,2349,129,44,9152,677060,59.92,0.53,39.54
1o,4_9,98475,441845,313404,69542,44386,18338,36824,2349,129,44,8931,678037,59.88,0.52,39.6
1o,5_9,92625,428863,309969,68974,44386,18338,36824,2349,129,44,8615,701188,58.55,0.5,40.95
1o,6_9,77025,407486,310383,68310,42228,18338,36828,2349,129,44,7934,741250,56.25,0.46,43.29
1o,7_9,71175,394504,307164,67742,48034,18338,36828,2349,129,44,7709,758288,55.27,0.45,44.28
1o,8_9,65325,381522,304053,67174,55636,18338,36828,2349,129,44,7505,773401,54.39,0.44,45.17
1o,9_9,0,145332,198309,44744,54814,16913,33354,2389,129,44,7164,1209112,28.97,0.42,70.61
1o,9_T,64350,347772,303405,66022,53607,18338,36828,2349,129,44,30987,788473,52.14,1.81,46.05
1o,9_J,70200,327754,305868,65438,53607,18338,36828,2349,129,44,42039,789710,51.43,2.46,46.12
1o,9_Q,76050,306236,308439,64022,53607,18338,36828,2349,129,44,44347,801915,50.58,2.59,46.83
1o,9_K,81900,286968,311118,62350,53607,18338,36828,2349,129,44,42713,815960,49.85,2.49,47.65
1o,9_A,0,145332,145418,28672,41253,18518,18900,990,129,44,274426,1038622,23.32,16.03,60.66
1o,2_T,203775,603759,317401,58919,40183,18383,20667,1400,129,44,28846,418798,73.86,1.68,24.46
1o,3_T,101400,440033,312435,69354,42349,18338,36824,2349,129,44,9202,679847,59.76,0.54,39.7
1o,4_T,98475,437065,311679,69354,42349,18338,36824,2349,129,44,8740,686958,59.37,0.51,40.12
1o,5_T,98475,437065,310923,69354,42349,18338,36824,2349,129,44,8603,687851,59.33,0.5,40.17
1o,6_T,82875,415688,311337,68690,40191,18338,36828,2349,129,44,7922,727913,57.03,0.46,42.51
1o,7_T,77025,402706,308118,68122,45997,18338,36828,2349,129,44,7697,744951,56.04,0.45,43.51
1o,8_T,71175,378474,305007,67234,53599,18338,36828,2349,129,44,19063,760064,54.5,1.11,44.39
1o,9_T,64350,347772,303405,66022,53599,18338,36828,2349,129,44,30987,788481,52.14,1.81,46.05
1o,T_T,0,141662,193128,44556,50056,16923,33330,2389,129,44,7072,1223015,28.16,0.41,71.43
1o,T_J,73125,279302,295023,62042,51785,18342,36828,2349,129,44,42775,850560,47.83,2.5,49.67
1o,T_Q,78975,260784,297594,60370,51785,18342,36828,2349,129,44,39641,865463,47.14,2.32,50.54
1o,T_K,84825,249016,300273,58250,51785,18342,36828,2349,129,44,32757,877706,46.83,1.91,51.26
1o,T_A,0,141662,144196,28484,41253,18518,18900,990,129,44,188560,1129568,23.02,11.01,65.97
1o,2_J,207675,606486,317185,58919,40183,18383,20667,1400,129,44,29058,412175,74.23,1.7,24.07
1o,3_J,104325,443001,312219,69354,42349,18338,36824,2349,129,44,9432,673940,60.09,0.55,39.36
1o,4_J,101400,440033,311463,69354,42349,18338,36824,2349,129,44,8970,681051,59.7,0.52,39.77
1o,5_J,98475,437065,310707,69354,42349,18338,36824,2349,129,44,8592,688078,59.31,0.5,40.18
1o,6_J,88725,428670,313800,69258,40191,18338,36828,2349,129,44,8090,705882,58.3,0.47,41.22
1o,7_J,82875,404438,310581,68306,45997,18338,36828,2349,129,44,19499,722920,56.64,1.14,42.22
1o,8_J,77025,369706,307470,66970,53599,18338,36828,2349,129,44,30179,749667,54.46,1.76,43.78
1o,9_J,70200,327754,305868,65438,53599,18338,36828,2349,129,44,42039,789718,51.42,2.46,46.12
1o,T_J,73125,279302,295023,62042,51785,18342,36828,2349,129,44,42775,850560,47.83,2.5,49.67
1o,J_J,0,142396,190608,44556,50056,16923,33306,2389,129,44,7340,1224557,28.06,0.43,71.52
1o,J_Q,81900,243502,297486,57746,51785,18342,36828,2349,129,44,29755,892438,46.14,1.74,52.12
1o,J_K,87750,239234,300165,55178,51785,18342,36828,2349,129,44,22871,897629,46.24,1.34,52.42
1o,J_A,0,142396,144196,28484,41253,18518,18900,990,129,44,139912,1177482,23.06,8.17,68.77
