type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_3,189150,586593,269296,55742,31383,18299,20577,1292,129,44,88408,451391,68.48,5.16,26.36
1o,3_3,0,150470,231864,44744,38051,16829,33462,2281,129,44,26529,1167901,30.24,1.55,68.21
1o,3_4,91650,412523,289275,65282,39739,18254,36792,2253,129,44,25875,730488,55.83,1.51,42.66
1o,3_5,88725,409555,288411,65282,39739,18254,36792,2253,129,44,25497,737623,55.43,1.49,43.08
1o,3_6,88725,420010,297432,66692,40820,18254,36792,2253,129,44,25002,716151,56.72,1.46,41.82
1o,3_7,88725,423304,303759,67726,35409,18254,36792,2253,129,44,24909,711000,57.02,1.45,41.52
1o,3_8,101400,433217,303096,67918,39435,18254,36792,2253,129,44,24697,685069,58.55,1.44,40.01
1o,3_9,105300,431405,301263,67730,37647,18254,36792,2253,129,44,24503,686984,58.45,1.43,40.12
1o,3_T,113100,431452,299538,67542,35618,18254,36792,2253,129,44,24928,682654,58.68,1.46,39.87
1o,3_J,0,141662,144196,28484,11628,18434,18900,990,129,44,866264,481573,21.29,50.59,28.12
1o,3_Q,0,207527,247758,52946,37647,18254,36102,1980,129,44,17900,1092017,35.18,1.05,63.77
1o,3_K,0,210284,249159,53134,39435,18254,36102,1980,129,44,13448,1090335,35.54,0.79,63.68
1o,3_A,0,206256,242292,52100,39587,18254,36102,1980,129,44,9419,1106141,34.85,0.55,64.6
1o,2_4,185250,583866,268324,55742,31383,18299,20577,1292,129,44,87928,459470,68.03,5.14,26.83
1o,3_4,91650,412523,289275,65282,39739,18254,36792,2253,129,44,25875,730488,55.83,1.51,42.66
1o,4_4,0,149736,223980,44744,38051,16829,33438,2281,129,44,21957,1181115,29.74,1.28,68.98
1o,4_5,82875,396573,284868,64714,39739,18254,36792,2253,129,44,25097,760966,54.09,1.47,44.44
1o,4_6,82875,407028,293889,66124,40820,18254,36792,2253,129,44,24602,739494,55.38,1.44,43.19
1o,4_7,82875,410322,300216,67158,35409,18254,36792,2253,129,44,24509,734343,55.68,1.43,42.89
1o,4_8,95550,420235,299553,67350,39435,18254,36792,2253,129,44,24297,708412,57.21,1.42,41.37
1o,4_9,105300,431405,300399,67730,37647,18254,36792,2253,129,44,24282,688069,58.4,1.42,40.18
1o,4_T,110175,428484,298674,67542,35618,18254,36792,2253,129,44,24466,689873,58.28,1.43,40.29
1o,4_J,0,140928,144196,28484,11628,18434,18900,990,129,44,855571,493000,21.24,49.97,28.79
1o,4_Q,0,206059,247758,52946,37647,18254,36102,1980,129,44,17438,1093947,35.09,1.02,63.89
1o,4_K,0,208816,249159,53134,39435,18254,36102,1980,129,44,12986,1092265,35.45,0.76,63.79
1o,4_A,0,204788,242292,52100,39587,18254,36102,1980,129,44,8957,1108071,34.76,0.52,64.71
1o,2_5,181350,581139,267460,55742,31383,18299,20577,1292,129,44,87532,467357,67.59,5.11,27.29
1o,3_5,88725,409555,288411,65282,39739,18254,36792,2253,129,44,25497,737623,55.43,1.49,43.08
1o,4_5,82875,396573,284868,64714,39739,18254,36792,2253,129,44,25097,760966,54.09,1.47,44.44
1o,5_5,0,149002,216924,44744,38051,16829,33414,2281,129,44,17985,1192901,29.28,1.05,69.67
1o,5_6,77025,394046,290454,65556,40820,18254,36792,2253,129,44,24286,762645,54.04,1.42,44.54
1o,5_7,77025,397340,296781,66590,35409,18254,36792,2253,129,44,24193,757494,54.35,1.41,44.24
1o,5_8,89700,407253,296118,66782,39435,18254,36792,2253,129,44,23981,731563,55.88,1.4,42.72
1o,5_9,99450,418423,296964,67162,37647,18254,36792,2253,129,44,23966,711220,57.06,1.4,41.54
1o,5_T,110175,413484,297918,67094,35618,18254,36792,2253,129,44,39777,690766,57.34,2.32,40.34
1o,5_J,0,140194,144196,28484,11628,18434,18900,990,129,44,760303,589002,21.2,44.4,34.4
1o,5_Q,0,204591,247758,52946,37647,18254,36102,1980,129,44,17060,1095793,35.01,1.0,64.0
1o,5_K,0,207348,249159,53134,39435,18254,36102,1980,129,44,12608,1094111,35.37,0.74,63.9
1o,5_A,0,203320,242292,52100,39587,18254,36102,1980,129,44,8579,1109917,34.68,0.5,64.82
1o,2_6,195975,598056,268403,56185,31383,18299,20577,1292,172,44,81594,440324,69.52,4.77,25.72
1o,3_6,88725,420010,297432,66692,40820,18254,36792,2253,172,44,25001,716109,56.72,1.46,41.82
1o,4_6,82875,407028,293889,66124,40820,18254,36792,2253,172,44,24601,739452,55.38,1.44,43.18
1o,5_6,77025,394046,290454,65556,40820,18254,36792,2253,172,44,24285,762603,54.05,1.42,44.54
1o,6_6,0,148268,211251,44932,41826,16829,33390,2281,172,44,14672,1198639,29.14,0.86,70.0
1o,6_7,71175,392629,296256,66398,29595,18254,36792,2253,172,44,23565,775171,53.35,1.38,45.27
1o,6_8,77025,398074,295593,66590,40489,18254,36792,2253,172,44,23353,753665,54.62,1.36,44.01
1o,6_9,85800,394994,296439,66522,38701,18254,36792,2253,172,44,38036,734297,54.9,2.22,42.88
1o,6_T,96525,380305,297393,66006,36672,18254,36792,2253,172,44,49347,728541,54.57,2.88,42.55
1o,6_J,0,144598,145418,28672,12682,18434,18900,990,172,44,632904,709490,21.6,36.96,41.43
1o,6_Q,0,208082,249159,53134,38701,18254,36102,1980,172,44,16432,1090244,35.37,0.96,63.67
1o,6_K,0,210839,250560,53322,40489,18254,36102,1980,172,44,11980,1088562,35.73,0.7,63.57
1o,6_A,0,214330,251961,53510,40668,18254,36102,1980,172,44,8083,1087200,36.03,0.47,63.49
1o,2_7,205725,608021,268754,56440,29587,18299,20577,1292,172,44,83326,420067,70.6,4.87,24.53
1o,3_7,88725,423304,303759,67726,35401,18254,36792,2253,172,44,24916,710958,57.02,1.46,41.52
1o,4_7,82875,410322,300216,67158,35401,18254,36792,2253,172,44,24516,734301,55.68,1.43,42.88
1o,5_7,77025,397340,296781,66590,35401,18254,36792,2253,172,44,24200,757452,54.35,1.41,44.24
1o,6_7,71175,392629,296256,66398,29587,18254,36792,2253,172,44,23565,775179,53.35,1.38,45.27
1o,7_7,0,144598,205005,44932,34709,16839,33366,2281,172,44,12236,1218122,28.15,0.71,71.14
1o,7_8,77025,374425,287226,65106,33766,18258,36792,2253,172,44,38059,779178,52.27,2.22,45.5
1o,7_9,85800,361595,288072,64590,31978,18258,36792,2253,172,44,48242,774508,51.95,2.82,45.23
1o,7_T,96525,340156,289026,63626,29949,18258,36792,2253,172,44,55803,779700,51.21,3.26,45.54
1o,7_J,0,144598,145418,28672,7602,18434,18900,990,172,44,481930,865544,21.31,28.15,50.55
1o,7_Q,0,211573,250560,53322,31763,18254,36102,1980,172,44,16573,1091961,35.26,0.97,63.77
1o,7_K,0,210839,250560,53322,33613,18254,36102,1980,172,44,11942,1095476,35.33,0.7,63.98
1o,7_A,0,211394,250560,53322,33613,18254,36102,1980,172,44,7866,1098997,35.36,0.46,64.18
1o,2_8,209625,605789,266992,56252,27791,18299,20577,1292,215,44,90705,414723,70.48,5.3,24.22
1o,3_8,101400,433217,303096,67918,39419,18254,36792,2253,215,44,24711,684985,58.55,1.44,40.0
1o,4_8,95550,420235,299553,67350,39419,18254,36792,2253,215,44,24311,708328,57.21,1.42,41.37
1o,5_8,89700,407253,296118,66782,39419,18254,36792,2253,215,44,23995,731479,55.88,1.4,42.72
1o,6_8,77025,398074,295593,66590,40473,18254,36792,2253,215,44,23360,753631,54.62,1.36,44.01
1o,7_8,77025,374425,287226,65106,33758,18258,36792,2253,215,44,38058,779144,52.27,2.22,45.5
1o,8_8,0,140928,199032,44744,38035,16849,33342,2281,215,44,10148,1226686,27.77,0.59,71.64
1o,8_9,85800,320955,278412,62086,37937,18262,36792,2253,215,44,52217,817331,49.22,3.05,47.73
1o,8_T,96525,295766,279366,61378,35908,18262,36792,2253,215,44,56074,829721,48.27,3.27,48.46
1o,8_J,0,140928,144196,28484,15204,18434,18900,990,215,44,358038,986871,21.46,20.91,57.63
1o,8_Q,0,201458,241758,52098,37722,18258,36102,1980,215,44,16414,1106255,34.44,0.96,64.61
1o,8_K,0,211573,250560,53322,39357,18254,36102,1980,215,44,11916,1088981,35.71,0.7,63.6
1o,8_A,0,208637,249159,53134,39419,18254,36102,1980,215,44,7661,1097699,35.45,0.45,64.11
1o,2_9,218400,606284,265338,56064,25995,18299,20577,1292,215,44,90734,409062,70.81,5.3,23.89
1o,3_9,105300,431405,301263,67730,37623,18254,36792,2253,215,44,24517,686908,58.45,1.43,40.12
1o,4_9,105300,431405,300399,67730,37623,18254,36792,2253,215,44,24296,687993,58.4,1.42,40.18
1o,5_9,99450,418423,296964,67162,37623,18254,36792,2253,215,44,23980,711144,57.07,1.4,41.53
1o,6_9,85800,394994,296439,66522,38677,18254,36792,2253,215,44,38043,734271,54.9,2.22,42.88
1o,7_9,85800,361595,288072,64590,31962,18258,36792,2253,215,44,48241,774482,51.95,2.82,45.23
1o,8_9,85800,320955,278412,62086,37929,18262,36792,2253,215,44,52217,817339,49.22,3.05,47.73
1o,9_9,0,137992,193887,44556,33759,16859,33318,2281,215,44,8754,1240639,27.03,0.51,72.45
1o,9_T,99450,252844,269922,57338,34265,18266,36792,2253,215,44,57147,883768,45.05,3.34,51.61
1o,9_J,0,137992,142974,28296,15204,18434,18900,990,215,44,266204,1083051,21.2,15.55,63.25
1o,9_Q,0,192811,232956,50874,36079,18262,36102,1980,215,44,16507,1126474,33.25,0.96,65.79
1o,9_K,0,202926,241758,52098,37714,18258,36102,1980,215,44,12009,1109200,34.52,0.7,64.78
1o,9_A,0,210839,249159,53134,37561,18254,36102,1980,215,44,7887,1097129,35.47,0.46,64.07
1o,2_T,228150,605177,263792,55876,23958,18299,20577,1292,215,44,91634,403290,71.1,5.35,23.55
1o,3_T,113100,431452,299538,67542,35586,18254,36792,2253,215,44,24942,682586,58.68,1.46,39.86
1o,4_T,110175,428484,298674,67542,35586,18254,36792,2253,215,44,24480,689805,58.29,1.43,40.29
1o,5_T,110175,413484,297918,67094,35586,18254,36792,2253,215,44,39791,690698,57.34,2.32,40.34
1o,6_T,96525,380305,297393,66006,36640,18254,36792,2253,215,44,49354,728523,54.57,2.88,42.55
1o,7_T,96525,340156,289026,63626,29925,18258,36792,2253,215,44,55802,779682,51.21,3.26,45.53
1o,8_T,96525,295766,279366,61378,35892,18262,36792,2253,215,44,56074,829737,48.27,3.27,48.46
1o,9_T,99450,252844,269922,57338,34257,18266,36792,2253,215,44,57147,883776,45.05,3.34,51.61
1o,T_T,0,134322,189570,44368,29001,16869,33294,2281,215,44,7798,1254542,26.28,0.46,73.27
1o,T_J,0,134322,141752,28108,15204,18434,18900,990,215,44,193118,1161217,20.91,11.28,67.82
1o,T_Q,0,179939,222861,49462,34257,18266,36102,1980,215,44,16603,1152575,31.72,0.97,67.31
1o,T_K,0,190054,231663,50686,35892,18262,36102,1980,215,44,12105,1135301,32.99,0.71,66.3
1o,T_A,0,197967,239064,51722,35739,18258,36102,1980,215,44,7983,1123230,33.94,0.47,65.6
1o,2_J,0,0,0,0,0,18434,0,0,215,44,1663194,30417,1.09,97.13,1.78
1o,3_J,0,141662,143252,28574,11628,18434,18900,990,215,44,866008,482597,21.24,50.58,28.18
1o,4_J,0,140928,143252,28574,11628,18434,18900,990,215,44,855342,493997,21.2,49.95,28.85
1o,5_J,0,140194,143252,28574,11628,18434,18900,990,215,44,760101,589972,21.15,44.39,34.45
1o,6_J,0,144598,144466,28762,12682,18434,18900,990,215,44,632722,710491,21.56,36.95,41.49
1o,7_J,0,144598,144466,28762,7602,18434,18900,990,215,44,481775,866518,21.26,28.14,50.61
1o,8_J,0,140928,143252,28574,15204,18434,18900,990,215,44,357919,987844,21.41,20.9,57.69
1o,9_J,0,137992,142038,28386,15204,18434,18900,990,215,44,266120,1083981,21.15,15.54,63.31
1o,T_J,0,134322,140824,28198,15204,18434,18900,990,215,44,193069,1162104,20.86,11.28,67.87
1o,J_J,0,0,0,31020,15204,18434,7920,990,215,44,45944,1592533,4.31,2.68,93.01
1o,J_Q,0,138726,142038,28386,15204,18434,18900,990,215,44,71827,1277540,21.2,4.19,74.61
1o,J_K,0,142396,143252,28574,15204,18434,18900,990,215,44,55038,1289257,21.49,3.21,75.29
1o,J_A,0,142396,143252,28574,13416,18434,18900,990,215,44,37221,1308862,21.39,2.17,76.44
1o,2_Q,0,138726,160686,28386,25995,18299,19509,990,215,44,67994,1251460,22.94,3.97,73.09
1o,3_Q,0,207527,247785,52946,37623,18254,36102,1980,215,44,17914,1091914,35.19,1.05,63.77
1o,4_Q,0,206059,247785,52946,37623,18254,36102,1980,215,44,17452,1093844,35.1,1.02,63.88
1o,5_Q,0,204591,247785,52946,37623,18254,36102,1980,215,44,17074,1095690,35.01,1.0,63.99
1o,6_Q,0,208082,249186,53134,38677,18254,36102,1980,215,44,16439,1090191,35.37,0.96,63.67
1o,7_Q,0,211573,250587,53322,31747,18254,36102,1980,215,44,16572,1091908,35.26,0.97,63.77
1o,8_Q,0,201458,241785,52098,37714,18258,36102,1980,215,44,16414,1106236,34.44,0.96,64.61
1o,9_Q,0,192811,232983,50874,36079,18262,36102,1980,215,44,16507,1126447,33.25,0.96,65.79
1o,T_Q,0,179939,222888,49462,34265,18266,36102,1980,215,44,16603,1152540,31.72,0.97,67.31
1o,J_Q,0,138726,142974,28296,15204,18434,18900,990,215,44,71857,1276664,21.25,4.2,74.56
1o,Q_Q,0,0,64935,44556,33759,16859,27456,1978,215,44,7347,1515155,11.08,0.43,88.49
1o,Q_K,0,154874,217149,50874,37929,18262,35412,1980,215,44,12503,1183062,30.18,0.73,69.09
1o,Q_A,0,160012,224124,51910,37776,18258,35412,1980,215,44,8381,1174192,30.94,0.49,68.57
1o,2_K,0,142396,161908,28574,27791,18299,19509,990,215,44,49704,1262874,23.34,2.9,73.75
1o,3_K,0,210284,249186,53134,39419,18254,36102,1980,215,44,13462,1090224,35.54,0.79,63.67
1o,4_K,0,208816,249186,53134,39419,18254,36102,1980,215,44,13000,1092154,35.46,0.76,63.78
1o,5_K,0,207348,249186,53134,39419,18254,36102,1980,215,44,12622,1094000,35.37,0.74,63.89
1o,6_K,0,210839,250587,53322,40473,18254,36102,1980,215,44,11987,1088501,35.73,0.7,63.57
1o,7_K,0,210839,250587,53322,33605,18254,36102,1980,215,44,11941,1095415,35.33,0.7,63.97
1o,8_K,0,211573,250587,53322,39357,18254,36102,1980,215,44,11916,1088954,35.71,0.7,63.6
1o,9_K,0,202926,241785,52098,37722,18258,36102,1980,215,44,12009,1109165,34.52,0.7,64.78
1o,T_K,0,190054,231690,50686,35908,18262,36102,1980,215,44,12105,1135258,32.99,0.71,66.3
1o,J_K,0,142396,144196,28484,15204,18434,18900,990,215,44,55049,1288392,21.54,3.21,75.24
1o,Q_K,0,154874,217149,50874,37937,18262,35412,1980,215,44,12503,1183054,30.18,0.73,69.09
1o,K_K,0,0,65490,44744,38035,16849,27456,1978,215,44,7455,1510038,11.38,0.44,88.19
1o,K_A,0,162214,225525,52098,39572,18258,35412,1980,215,44,8549,1168437,31.26,0.5,68.24
1o,2_A,0,142396,161908,28574,29587,18299,19509,990,172,44,29051,1281774,23.45,1.7,74.86
1o,3_A,0,206256,242319,52100,39579,18254,36102,1980,172,44,9426,1106072,34.85,0.55,64.6
1o,4_A,0,204788,242319,52100,39579,18254,36102,1980,172,44,8964,1108002,34.77,0.52,64.71
1o,5_A,0,203320,242319,52100,39579,18254,36102,1980,172,44,8586,1109848,34.68,0.5,64.82
1o,6_A,0,214330,251988,53510,40660,18254,36102,1980,172,44,8091,1087173,36.04,0.47,63.49
1o,7_A,0,211394,250587,53322,33613,18254,36102,1980,172,44,7858,1098978,35.36,0.46,64.18
1o,8_A,0,208637,249186,53134,39427,18254,36102,1980,172,44,7654,1097714,35.45,0.45,64.11
1o,9_A,0,210839,249186,53134,37577,18254,36102,1980,172,44,7880,1097136,35.47,0.46,64.07
1o,T_A,0,197967,239091,51722,35763,18258,36102,1980,172,44,7976,1123229,33.94,0.47,65.6
1o,J_A,0,142396,144196,28484,13416,18434,18900,990,172,44,37206,1308066,21.43,2.17,76.39
1o,Q_A,0,160012,224124,51910,37792,18258,35412,1980,172,44,8374,1174226,30.94,0.49,68.58
1o,K_A,0,162214,225525,52098,39580,18258,35412,1980,172,44,8542,1168479,31.26,0.5,68.24
1o,A_A,0,0,65490,44744,38043,16839,27456,1978,172,44,7196,1510342,11.37,0.42,88.21
