type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_2,0,292132,342384,44744,45653,29334,39150,2354,172,44,16068,900269,46.49,0.94,52.58
1o,2_3,104325,507333,329136,67006,45553,30759,38232,2317,172,44,14286,573141,65.69,0.83,33.47
1o,2_4,108225,504974,326871,66818,43765,30759,38232,2317,172,44,13886,576241,65.54,0.81,33.65
1o,2_5,189150,591801,314089,58664,16179,30804,20646,1364,172,44,70221,419170,71.42,4.1,24.48
1o,2_6,109200,475089,318996,68040,43792,30759,37542,2317,172,44,12834,613519,63.42,0.75,35.83
1o,2_7,106275,481641,327144,69262,45428,30759,37542,2317,172,44,12679,599041,64.28,0.74,34.98
1o,2_8,101400,479962,326604,69262,47278,30759,37542,2317,172,44,12646,604318,63.97,0.74,35.29
1o,2_9,98475,477720,326172,69262,46303,30759,37542,2317,172,44,12631,610907,63.58,0.74,35.68
1o,2_T,102375,479212,325848,69262,39194,30759,37542,2317,172,44,12619,612960,63.47,0.74,35.8
1o,2_J,102375,479212,325632,69262,46796,30759,37542,2317,172,44,12608,605585,63.9,0.74,35.37
1o,2_Q,105300,482180,325524,69262,46796,30759,37542,2317,172,44,12838,599570,64.23,0.75,35.02
1o,2_K,48750,239769,185803,29500,34434,30939,20067,990,172,44,757371,364465,34.48,44.23,21.29
1o,2_A,0,248375,258612,52100,47189,30759,36852,1980,172,44,24487,1011734,39.48,1.43,59.09
1o,2_3,104325,507333,329136,67006,45553,30802,38232,2317,129,44,14600,572827,65.69,0.85,33.45
1o,3_3,0,289196,331767,44556,41385,29377,39102,2354,129,44,14012,920382,45.43,0.82,53.75
1o,3_4,108225,492679,316785,65596,42129,30802,38232,2317,129,44,13734,601632,64.06,0.8,35.14
1o,3_5,179400,577611,309768,58221,16179,30847,20646,1364,129,44,68075,450020,69.74,3.98,26.28
1o,3_6,109200,465569,309336,66818,42156,30802,37542,2317,129,44,12682,635709,62.13,0.74,37.13
1o,3_7,106275,472121,317484,68040,43792,30802,37542,2317,129,44,12527,621231,62.99,0.73,36.28
1o,3_8,106275,481641,325740,69262,45428,30802,37542,2317,129,44,12634,600490,64.19,0.74,35.07
1o,3_9,102375,475916,323907,69074,44515,30802,37542,2317,129,44,12432,613251,63.46,0.73,35.81
1o,3_T,106275,477408,323583,69074,37406,30802,37542,2317,129,44,12420,615304,63.34,0.73,35.93
1o,3_J,106275,477408,323367,69074,45008,30802,37542,2317,129,44,12409,607929,63.77,0.72,35.5
1o,3_Q,109200,480376,323259,69074,45008,30802,37542,2317,129,44,12639,601914,64.11,0.74,35.15
1o,3_K,53625,236795,184437,29312,32646,30982,20067,990,129,44,755780,367497,34.4,44.14,21.46
1o,3_A,0,245071,257211,51912,45401,30802,36852,1980,129,44,25038,1017864,39.09,1.46,59.44
1o,2_4,108225,504974,326871,66818,43765,30845,38232,2317,86,44,14401,575726,65.54,0.84,33.62
1o,3_4,108225,492679,316785,65596,42129,30845,38232,2317,86,44,13935,601431,64.06,0.81,35.12
1o,4_4,0,286260,322158,44368,37117,29420,39054,2354,86,44,12213,939230,44.43,0.71,54.85
1o,4_5,169650,563421,305555,57778,16179,30890,20646,1364,86,44,65929,480762,68.07,3.85,28.08
1o,4_6,109200,456049,299784,65596,40520,30845,37542,2317,86,44,12530,657791,60.85,0.73,38.42
1o,4_7,106275,462601,307932,66818,42156,30845,37542,2317,86,44,12375,643313,61.71,0.72,37.57
1o,4_8,106275,472121,316188,68040,43792,30845,37542,2317,86,44,12482,622572,62.91,0.73,36.36
1o,4_9,106275,477595,323151,69074,42906,30845,37542,2317,86,44,12420,610049,63.65,0.73,35.63
1o,4_T,110175,475604,321426,68886,35618,30845,37542,2317,86,44,12221,617540,63.22,0.71,36.06
