type,vs_Hand,Highest_Card_Wins,Pair_Wins,Two_Pair_Wins,Three_of_a_Kind_Wins,Straight_Wins,Flush_Wins,Full_House_Wins,Four_of_a_Kind_Wins,Straight_Flush_Wins,Royal_Flush_Wins,Draws,Loses,Equity_%,Draws_%,Loses_%
1o,2_2,0,289196,337215,44744,77620,29237,39174,2318,301,44,20109,872346,47.88,1.17,50.95
1o,2_3,73125,493780,339750,67862,78442,30662,38256,2285,301,44,17684,570113,65.67,1.03,33.3
1o,2_4,73125,489187,337485,67674,76654,30662,38256,2285,301,44,17284,579347,65.16,1.01,33.83
1o,2_5,76050,486828,335328,67486,74866,30662,38256,2285,301,44,16968,583230,64.95,0.99,34.06
1o,2_6,89700,501521,335814,67866,73078,30662,38256,2285,301,44,16298,556479,66.55,0.95,32.5
1o,2_7,95550,515605,337953,68434,73078,30662,38256,2285,301,44,16431,533705,67.87,0.96,31.17
1o,2_8,195975,603264,297131,58091,49822,30707,20616,1328,301,44,83414,371611,73.43,4.87,21.7
1o,2_9,105300,479413,317460,68530,63857,30662,37562,2285,301,44,16258,590632,64.56,0.95,34.49
1o,2_T,106275,478671,317244,68530,63616,30662,37562,2285,301,44,16246,590868,64.54,0.95,34.51
1o,2_J,102375,480475,318429,68718,65404,30662,37562,2285,301,44,16414,589635,64.61,0.96,34.44
1o,2_Q,186225,434391,211973,37572,56457,30842,20157,990,301,44,360878,372474,57.17,21.08,21.75
1o,2_K,0,327311,269583,56010,70840,30662,36876,1980,301,44,48120,870577,46.35,2.81,50.84
1o,2_A,0,282087,267336,54098,76654,30662,36876,1980,301,44,41039,921227,43.8,2.4,53.8
1o,2_3,73125,493780,339750,67862,78442,30662,38256,2285,301,44,18006,569791,65.67,1.05,33.28
1o,3_3,0,289196,329151,44744,77620,29237,39126,2318,301,44,17267,883300,47.41,1.01,51.59
1o,3_4,67275,479696,335343,67294,76654,30662,38256,2285,301,44,17272,597222,64.11,1.01,34.88
1o,3_5,67275,475103,333186,67106,74866,30662,38256,2285,301,44,16956,606264,63.6,0.99,35.41
